ó^Ç¶ÇΩèdóvìx,0.270000,0.330000,0.210000,0.290000,0.150000,0.250000,0.090000,0.210000,0.030000,0.170000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
1,0.285929, 0.379227,0.164885, 0.316307,0.189613, 0.282327,0.122272, 0.164460,0.039245, 0.055736,0.396112
2,0.273074, 0.433073,0.156809, 0.278146,0.142892, 0.176483,0.130441, 0.166113,0.100078, 0.142892,0.393414
3,0.225164, 0.414846,0.194455, 0.273261,0.189338, 0.247861,0.111735, 0.183117,0.047642, 0.112582,0.463333
4,0.263827, 0.316118,0.256734, 0.331781,0.158059, 0.280668,0.090001, 0.141864,0.053233, 0.107715,0.356293
5,0.387000, 0.470636,0.151195, 0.193500,0.153654, 0.262096,0.080140, 0.176612,0.036904, 0.088264,0.382215
6,0.248867, 0.528433,0.172338, 0.248867,0.131107, 0.303910,0.051025, 0.148883,0.039042, 0.127527,0.715242
7,0.231654, 0.298004,0.231654, 0.298004,0.207236, 0.238742,0.096840, 0.215898,0.066142, 0.115827,0.332951
8,0.219354, 0.397283,0.173126, 0.333288,0.144673, 0.337822,0.068186, 0.116221,0.059833, 0.150214,0.669657
9,0.289507, 0.403372,0.173537, 0.302623,0.167529, 0.178022,0.124604, 0.210727,0.052682, 0.097397,0.384282
10,0.255612, 0.385510,0.240348, 0.264024,0.156059, 0.259711,0.123724, 0.162936,0.064928, 0.087150,0.318660
11,0.310755, 0.348325,0.202311, 0.347486,0.140372, 0.252917,0.145047, 0.157172,0.028178, 0.067437,0.346672
12,0.299540, 0.366741,0.174942, 0.372647,0.113010, 0.197726,0.122247, 0.196912,0.042202, 0.114033,0.496118
13,0.296928, 0.343399,0.296928, 0.343399,0.116249, 0.148464,0.116249, 0.148464,0.065168, 0.124751,0.216954
14,0.275273, 0.345596,0.156679, 0.341502,0.228968, 0.275273,0.085100, 0.162753,0.036122, 0.092734,0.435717
15,0.204770, 0.338239,0.202748, 0.346659,0.213131, 0.249464,0.109755, 0.219714,0.038518, 0.077002,0.462156
16,0.242355, 0.399552,0.175075, 0.269553,0.181878, 0.304829,0.074216, 0.082640,0.094828, 0.175075,0.463297
17,0.210660, 0.392831,0.226585, 0.349493,0.082827, 0.231553,0.121449, 0.247478,0.039950, 0.097175,0.637060
18,0.237594, 0.333581,0.275804, 0.302387,0.157109, 0.275804,0.135526, 0.164859,0.033388, 0.083948,0.321158
19,0.169132, 0.256235,0.256235, 0.349553,0.145744, 0.274596,0.087805, 0.184716,0.084031, 0.191952,0.514105
20,0.264296, 0.450485,0.175393, 0.264296,0.160002, 0.241022,0.094037, 0.196112,0.050255, 0.104101,0.512032
21,0.243618, 0.253943,0.212193, 0.314699,0.157350, 0.357910,0.111490, 0.246702,0.036934, 0.065159,0.476829
22,0.236232, 0.443879,0.205195, 0.279720,0.143641, 0.263519,0.093240, 0.146829,0.039082, 0.148663,0.565220
23,0.232613, 0.400849,0.181140, 0.300687,0.194095, 0.263504,0.094838, 0.195631,0.058119, 0.078525,0.478391
24,0.256448, 0.370894,0.309322, 0.329756,0.163779, 0.206437,0.083275, 0.128224,0.053936, 0.097928,0.266478
25,0.274043, 0.444419,0.177683, 0.279244,0.206867, 0.206867,0.088133, 0.182525,0.047209, 0.093010,0.412130
26,0.252445, 0.340403,0.263271, 0.284324,0.161694, 0.263271,0.111527, 0.222916,0.044537, 0.055612,0.333051
27,0.276984, 0.409404,0.203552, 0.314533,0.157267, 0.201269,0.098678, 0.100204,0.097156, 0.140953,0.332726
28,0.306773, 0.407878,0.157032, 0.308757,0.188188, 0.194991,0.126704, 0.189180,0.041981, 0.078516,0.358645
29,0.257532, 0.336858,0.211904, 0.257532,0.151257, 0.316526,0.120518, 0.158684,0.060095, 0.129093,0.397388
30,0.384781, 0.384781,0.158905, 0.274037,0.155945, 0.254851,0.086748, 0.168359,0.048615, 0.082979,0.330013
31,0.204539, 0.479842,0.223057, 0.288657,0.127316, 0.213124,0.082709, 0.204539,0.041433, 0.134785,0.641894
32,0.246715, 0.442541,0.192080, 0.247489,0.192080, 0.247489,0.097153, 0.151470,0.059626, 0.123358,0.424691
33,0.249617, 0.345004,0.193496, 0.270559,0.172502, 0.352952,0.126183, 0.135471,0.056089, 0.098127,0.404227
34,0.261579, 0.379667,0.210802, 0.426227,0.108126, 0.236638,0.085373, 0.130789,0.037291, 0.123508,0.593658
35,0.270589, 0.449775,0.134850, 0.270589,0.144398, 0.198353,0.078027, 0.251501,0.046656, 0.155264,0.650963
36,0.378775, 0.439729,0.153517, 0.268756,0.174027, 0.189388,0.059426, 0.156978,0.041360, 0.138044,0.385789
37,0.236253, 0.343666,0.268423, 0.300906,0.168713, 0.269451,0.134212, 0.150453,0.040662, 0.087260,0.303473
38,0.246454, 0.426234,0.168068, 0.252635,0.126334, 0.251756,0.121617, 0.198976,0.071381, 0.136543,0.532290
39,0.221670, 0.291497,0.220510, 0.315025,0.151848, 0.257264,0.145749, 0.264694,0.045004, 0.086739,0.430438
40,0.350079, 0.437274,0.184399, 0.248703,0.194472, 0.199849,0.078934, 0.116925,0.085999, 0.103366,0.212233
41,0.182789, 0.312674,0.218141, 0.239414,0.155074, 0.375523,0.114517, 0.207545,0.053646, 0.140677,0.551665
42,0.237922, 0.292323,0.193727, 0.264647,0.237922, 0.292323,0.090138, 0.195219,0.076819, 0.118961,0.326944
43,0.336608, 0.409617,0.150691, 0.308236,0.139716, 0.168304,0.130968, 0.241859,0.035421, 0.078579,0.413189
