ó^Ç¶ÇΩèdóvìx,0.270000,0.330000,0.210000,0.290000,0.150000,0.250000,0.090000,0.210000,0.030000,0.170000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
1,0.234317, 0.344967,0.185838, 0.309730,0.117159, 0.247784,0.092919, 0.283133,0.029290, 0.154865,0.680956
2,0.225399, 0.384012,0.128004, 0.276009,0.086403, 0.280809,0.075133, 0.244182,0.056350, 0.243700,0.857424
3,0.249203, 0.365498,0.143984, 0.311965,0.143984, 0.323964,0.071992, 0.196342,0.035996, 0.157073,0.709683
4,0.226600, 0.352489,0.190821, 0.327122,0.123600, 0.247200,0.082400, 0.247200,0.037767, 0.164800,0.677624
5,0.305152, 0.432298,0.152576, 0.290318,0.152576, 0.281520,0.079178, 0.168572,0.025429, 0.112381,0.570179
6,0.192853, 0.401778,0.157789, 0.328728,0.120163, 0.282393,0.039447, 0.243604,0.026298, 0.206947,0.926898
7,0.195699, 0.358781,0.195699, 0.358781,0.125806, 0.251613,0.065233, 0.203226,0.041935, 0.203226,0.751254
8,0.241495, 0.431471,0.136579, 0.336895,0.074498, 0.248325,0.040249, 0.250964,0.024150, 0.215374,0.966059
9,0.217241, 0.372413,0.145946, 0.304225,0.124138, 0.267857,0.082758, 0.257837,0.031034, 0.196551,0.797766
10,0.221225, 0.350272,0.175210, 0.306617,0.121674, 0.248878,0.081116, 0.228138,0.043802, 0.223068,0.713947
11,0.280347, 0.356274,0.243158, 0.305139,0.140173, 0.207664,0.140173, 0.216101,0.017522, 0.093449,0.357254
12,0.228682, 0.424696,0.140328, 0.297563,0.053075, 0.245157,0.076701, 0.273932,0.032669, 0.227197,0.937090
13,0.257235, 0.334405,0.257235, 0.334405,0.112540, 0.205788,0.112540, 0.205788,0.051447, 0.128617,0.418006
14,0.210010, 0.396686,0.122506, 0.255328,0.164449, 0.310625,0.070003, 0.258624,0.018272, 0.193497,0.829519
15,0.187373, 0.312289,0.187373, 0.337272,0.187373, 0.353927,0.062458, 0.197502,0.020819, 0.153612,0.709205
16,0.203449, 0.361688,0.139202, 0.311158,0.114993, 0.268317,0.046401, 0.278404,0.046401, 0.229986,0.899107
17,0.182131, 0.390281,0.149016, 0.384959,0.056136, 0.235772,0.062090, 0.254531,0.026019, 0.259066,1.049216
18,0.238564, 0.351219,0.167071, 0.316556,0.119282, 0.252275,0.083536, 0.284005,0.029821, 0.157672,0.723453
19,0.139736, 0.319582,0.199838, 0.385401,0.110624, 0.290389,0.049959, 0.224999,0.046579, 0.232893,0.906528
20,0.204643, 0.363810,0.143099, 0.301164,0.116656, 0.311084,0.063883, 0.233313,0.035775, 0.226573,0.871888
21,0.151101, 0.384048,0.191098, 0.350346,0.097460, 0.257186,0.050367, 0.226651,0.031850, 0.259893,0.956249
22,0.188839, 0.368236,0.188839, 0.356696,0.121397, 0.256282,0.062946, 0.239680,0.020982, 0.196102,0.833993
23,0.208786, 0.372833,0.112174, 0.280435,0.135790, 0.303530,0.045263, 0.224348,0.045263, 0.271579,0.905448
24,0.250690, 0.322316,0.282027, 0.385677,0.141013, 0.225621,0.072315, 0.148435,0.048210, 0.123696,0.411491
25,0.208687, 0.375637,0.142541, 0.307998,0.110865, 0.307958,0.054460, 0.221730,0.024637, 0.245487,0.917621
26,0.201390, 0.342000,0.201390, 0.362502,0.157715, 0.252344,0.067130, 0.209446,0.031543, 0.174538,0.681662
27,0.282464, 0.415850,0.148830, 0.264587,0.081650, 0.239079,0.054433, 0.217733,0.070616, 0.224757,0.724012
28,0.213737, 0.366407,0.158594, 0.299318,0.122136, 0.263537,0.081424, 0.270932,0.030534, 0.193381,0.787150
29,0.207066, 0.372718,0.162695, 0.292850,0.113886, 0.246240,0.103533, 0.296104,0.032539, 0.172368,0.760563
30,0.323092, 0.479252,0.161546, 0.278666,0.122552, 0.229785,0.053849, 0.170866,0.032309, 0.148084,0.613306
31,0.148926, 0.335084,0.137470, 0.381862,0.111695, 0.310263,0.061862, 0.274940,0.024821, 0.213079,1.030453
32,0.278027, 0.370702,0.155368, 0.284841,0.155368, 0.284841,0.077684, 0.186755,0.046338, 0.160076,0.574432
33,0.218473, 0.339847,0.183977, 0.337292,0.109237, 0.238334,0.091989, 0.291298,0.030663, 0.158890,0.731322
34,0.193926, 0.366305,0.164774, 0.342223,0.107737, 0.238679,0.082387, 0.299269,0.021547, 0.183153,0.859257
35,0.193035, 0.367686,0.130104, 0.302028,0.105710, 0.348842,0.052855, 0.273219,0.015101, 0.211419,1.006389
36,0.314226, 0.479194,0.119189, 0.238378,0.157113, 0.322081,0.039278, 0.166177,0.031423, 0.132942,0.677544
37,0.237897, 0.343629,0.172064, 0.309715,0.118949, 0.248711,0.086032, 0.277547,0.039650, 0.165807,0.690817
38,0.176213, 0.367111,0.137667, 0.308373,0.090698, 0.259137,0.068833, 0.286347,0.044053, 0.261567,0.965070
39,0.198721, 0.312276,0.198721, 0.347762,0.149041, 0.303405,0.099361, 0.223562,0.028389, 0.138762,0.651534
40,0.334533, 0.399442,0.182970, 0.242435,0.182970, 0.262257,0.060990, 0.124388,0.073188, 0.136826,0.330697
41,0.185804, 0.353913,0.119446, 0.341273,0.100911, 0.274351,0.092902, 0.283683,0.017064, 0.230653,0.967747
42,0.193261, 0.354311,0.133796, 0.240833,0.193261, 0.354311,0.064420, 0.200694,0.064420, 0.200694,0.701685
43,0.272050, 0.417143,0.149260, 0.298520,0.092044, 0.245449,0.092044, 0.236683,0.022671, 0.174136,0.743865
44,0.157932, 0.324638,0.200736, 0.384744,0.116732, 0.261936,0.077822, 0.266817,0.016272, 0.192372,0.861013
45,0.176725, 0.382903,0.126232, 0.279039,0.110453, 0.294541,0.088362, 0.284022,0.036818, 0.220906,0.922821
46,0.211953, 0.403720,0.112302, 0.314447,0.068344, 0.278144,0.045563, 0.284767,0.023550, 0.257209,1.076575
