No.,tL,tR
true,0.900901,1.123596
0,0.869365,1.176835
1,0.810172,1.306003
2,0.851164,1.211917
3,0.851781,1.210671
4,0.871576,1.172810
5,0.797114,1.341427
6,0.824712,1.269915
7,0.785970,1.374219
8,0.817124,1.288334
9,0.849108,1.216112
10,0.906866,1.114453
11,0.786588,1.372333
12,0.896254,1.130908
13,0.815568,1.292222
14,0.841717,1.231603
15,0.821322,1.278039
16,0.775996,1.405807
17,0.861135,1.192260
18,0.789297,1.364163
19,0.805467,1.318419
20,0.803099,1.324814
21,0.808016,1.311647
22,0.815389,1.292671
23,0.907363,1.113704
24,0.807781,1.312267
25,0.847660,1.219096
26,0.834233,1.247983
27,0.830519,1.256387
28,0.841957,1.231087
29,0.869193,1.177152
30,0.786884,1.371430
31,0.863750,1.187285
32,0.857374,1.199547
33,0.824574,1.270240
34,0.793612,1.351466
35,0.851931,1.210365
36,0.866631,1.181884
37,0.790501,1.360585
38,0.853677,1.206859
39,0.920759,1.094166
40,0.792364,1.355098
41,0.840482,1.234251
42,0.820664,1.279633
43,0.805469,1.318411
44,0.796665,1.342700
45,0.769774,1.426704
46,0.793318,1.352316
47,0.911346,1.107761
48,0.840627,1.233939
49,0.837689,1.240327
50,0.810684,1.304674
51,0.892095,1.137601
52,0.876517,1.163979
53,0.833738,1.249093
54,0.821069,1.278650
55,0.828860,1.260205
56,0.906645,1.114787
57,0.817287,1.287935
58,0.811754,1.301916
59,0.848084,1.218217
60,0.793095,1.352968
61,0.872798,1.170604
62,0.875277,1.166175
63,0.885054,1.149259
64,0.866303,1.182493
65,0.842446,1.230040
66,0.812403,1.300248
67,0.788549,1.366406
68,0.862706,1.189263
69,0.840846,1.233468
70,0.808847,1.309464
71,0.846178,1.222173
72,0.811819,1.301748
73,0.825996,1.266881
74,0.772890,1.416122
75,0.775011,1.409052
76,0.892737,1.136559
77,0.845066,1.224497
78,0.798723,1.336895
79,0.815082,1.293444
80,0.810025,1.306387
81,0.921229,1.093502
82,0.825518,1.268006
83,0.833603,1.249394
84,0.846710,1.221065
85,0.801016,1.330520
86,0.851239,1.211764
87,0.805482,1.318381
88,0.849416,1.215479
89,0.781540,1.387973
90,0.836243,1.243510
91,0.895050,1.132831
92,0.853871,1.206471
93,0.829546,1.258620
94,0.851123,1.212001
95,0.790603,1.360281
96,0.833149,1.250414
97,0.837502,1.240733
98,0.834307,1.247816
99,0.826538,1.265608
100,0.772064,1.418905
101,0.906839,1.114493
102,0.865135,1.184680
103,0.861624,1.191326
104,0.824905,1.269456
105,0.845859,1.222836
106,0.829906,1.257789
107,0.831478,1.254197
108,0.840218,1.234824
109,0.836889,1.242082
110,0.865709,1.183606
111,0.817700,1.286907
112,0.869357,1.176854
113,0.795989,1.344623
114,0.828665,1.260653
115,0.789010,1.365022
116,0.870662,1.174466
117,0.816394,1.290156
118,0.813632,1.297113
119,0.867746,1.179820
120,0.858379,1.197585
121,0.818496,1.284937
122,0.839183,1.237063
123,0.876725,1.163615
124,0.843569,1.227655
125,0.821643,1.277260
126,0.844033,1.226673
127,0.878441,1.160604
128,0.814731,1.294331
129,0.829443,1.258856
130,0.887066,1.145884
131,0.862901,1.188894
132,0.849597,1.215110
133,0.817104,1.288386
134,0.830917,1.255475
135,0.836764,1.242361
136,0.787426,1.369790
137,0.809276,1.308342
138,0.819535,1.282390
139,0.807955,1.311806
140,0.797870,1.339292
141,0.856935,1.200405
142,0.783923,1.380521
143,0.815936,1.291299
144,0.854944,1.204338
145,0.798515,1.337478
146,0.793272,1.352452
147,0.822984,1.274033
148,0.840185,1.234891
149,0.846982,1.220495
150,0.814957,1.293758
151,0.920089,1.095110
152,0.851536,1.211164
153,0.875574,1.165649
154,0.814862,1.293998
155,0.830418,1.256616
156,0.784508,1.378709
157,0.872960,1.170315
158,0.851909,1.210413
159,0.796184,1.344070
160,0.797582,1.340102
161,0.801294,1.329755
162,0.859853,1.194729
163,0.856287,1.201685
164,0.875141,1.166415
165,0.815786,1.291678
166,0.881356,1.155555
167,0.869985,1.175703
168,0.807505,1.312996
169,0.822187,1.275948
170,0.875889,1.165091
171,0.794660,1.348436
172,0.841325,1.232439
173,0.836579,1.242767
174,0.813919,1.296385
175,0.845649,1.223278
176,0.780533,1.391159
177,0.853718,1.206778
178,0.792688,1.354151
179,0.848958,1.216418
180,0.829114,1.259617
181,0.828662,1.260659
182,0.856495,1.201270
183,0.864475,1.185917
184,0.804502,1.321011
185,0.860804,1.192896
186,0.835382,1.245420
187,0.803380,1.324047
188,0.922679,1.091462
189,0.866479,1.182166
190,0.835983,1.244083
191,0.787236,1.370364
192,0.876314,1.164341
193,0.858674,1.197011
194,0.843467,1.227871
195,0.840238,1.234780
196,0.853299,1.207613
197,0.807923,1.311892
198,0.784837,1.377697
199,0.815964,1.291229
200,0.807205,1.313786
201,0.844480,1.225732
202,0.881439,1.155412
203,0.844874,1.224903
204,0.807957,1.311802
205,0.831340,1.254515
206,0.837437,1.240880
207,0.868564,1.178306
208,0.851396,1.211447
209,0.850443,1.213383
210,0.843654,1.227477
211,0.816091,1.290912
212,0.810077,1.306250
213,0.838552,1.238441
214,0.896847,1.129966
215,0.833479,1.249672
216,0.799058,1.335955
217,0.833706,1.249162
218,0.782966,1.383495
219,0.732014,1.577521
220,0.933704,1.076429
221,0.850886,1.212481
222,0.861634,1.191306
223,0.843259,1.228314
224,0.831714,1.253659
225,0.820842,1.279198
226,0.811049,1.303735
227,0.799994,1.333349
228,0.845753,1.223061
229,0.820987,1.278849
230,0.810657,1.304747
231,0.835876,1.244321
232,0.848673,1.217005
233,0.871880,1.172261
234,0.897976,1.128178
235,0.846068,1.222403
236,0.912441,1.106147
237,0.813954,1.296299
238,0.793216,1.352614
239,0.810392,1.305434
240,0.857400,1.199494
241,0.802413,1.326684
242,0.909936,1.109852
243,0.807128,1.313995
244,0.794086,1.350092
245,0.805060,1.319510
246,0.833389,1.249877
247,0.850459,1.213346
248,0.822967,1.274072
249,0.911461,1.107593
250,0.868658,1.178134
251,0.844647,1.225376
252,0.884029,1.150992
253,0.852144,1.209937
254,0.865902,1.183242
255,0.863712,1.187358
256,0.792525,1.354626
257,0.840186,1.234894
258,0.785912,1.374397
259,0.865739,1.183545
260,0.856513,1.201234
261,0.784616,1.378377
262,0.772303,1.418094
263,0.787380,1.369929
264,0.864309,1.186230
265,0.880952,1.156251
266,0.852434,1.209354
267,0.834320,1.247787
268,0.920638,1.094336
269,0.831132,1.254984
270,0.818284,1.285463
271,0.861936,1.190731
272,0.834544,1.247287
273,0.822268,1.275749
274,0.818849,1.284071
275,0.839869,1.235579
276,0.866269,1.182557
277,0.771510,1.420779
278,0.847157,1.220136
279,0.815817,1.291599
280,0.769121,1.428947
281,0.788435,1.366751
282,0.840729,1.233721
283,0.839723,1.235897
284,0.875781,1.165281
285,0.790809,1.359669
286,0.894089,1.134373
287,0.858237,1.197863
288,0.843621,1.227545
289,0.803100,1.324812
290,0.897797,1.128462
291,0.807816,1.312174
292,0.841850,1.231312
293,0.836632,1.242647
294,0.753639,1.485655
295,0.891379,1.138768
296,0.832782,1.251243
297,0.862769,1.189144
298,0.807342,1.313427
299,0.850230,1.213818
300,0.796562,1.342994
301,0.821097,1.278581
302,0.855591,1.203054
303,0.850221,1.213835
304,0.779812,1.393456
305,0.867650,1.179995
306,0.862459,1.189733
307,0.780849,1.390157
308,0.765020,1.443328
309,0.837171,1.241465
310,0.812898,1.298981
311,0.814114,1.295889
312,0.834475,1.247437
313,0.868120,1.179124
314,0.816255,1.290499
315,0.791563,1.357451
316,0.844113,1.226505
317,0.816607,1.289624
318,0.839834,1.235654
319,0.853626,1.206960
320,0.860621,1.193249
321,0.890083,1.140887
322,0.809234,1.308448
323,0.847006,1.220450
324,0.820926,1.278993
325,0.838956,1.237558
326,0.823150,1.273635
327,0.861053,1.192420
328,0.759226,1.464408
329,0.891098,1.139227
330,0.829269,1.259259
331,0.886551,1.146747
332,0.833622,1.249353
333,0.844271,1.226171
334,0.868485,1.178453
335,0.790998,1.359113
336,0.788859,1.365471
337,0.774625,1.410330
338,0.832565,1.251734
339,0.843371,1.228077
340,0.752536,1.489958
341,0.812294,1.300529
342,0.813818,1.296640
343,0.823856,1.271946
344,0.833712,1.249149
345,0.820270,1.280590
346,0.833768,1.249026
347,0.844580,1.225519
348,0.920108,1.095084
349,0.856301,1.201654
350,0.852748,1.208722
351,0.860041,1.194365
352,0.831623,1.253868
353,0.824680,1.269990
354,0.810240,1.305826
355,0.821485,1.277637
356,0.853529,1.207157
357,0.839075,1.237304
358,0.804505,1.321009
359,0.861068,1.192390
360,0.846254,1.222011
361,0.838598,1.238339
362,0.835411,1.245356
363,0.901099,1.123289
364,0.810063,1.306290
365,0.805841,1.317415
366,0.845587,1.223405
367,0.835224,1.245771
368,0.782884,1.383752
369,0.845888,1.222778
370,0.816877,1.288950
371,0.892674,1.136662
372,0.854662,1.204898
373,0.793973,1.350421
374,0.829616,1.258462
375,0.811539,1.302468
376,0.832058,1.252882
377,0.838515,1.238517
378,0.889177,1.142383
379,0.842378,1.230189
380,0.846725,1.221034
381,0.812597,1.299755
382,0.880800,1.156512
383,0.851314,1.211615
384,0.856897,1.200483
385,0.827089,1.264317
386,0.813548,1.297326
387,0.811324,1.303022
388,0.886994,1.146004
389,0.916905,1.099656
390,0.862050,1.190514
391,0.775327,1.408012
392,0.821300,1.278086
393,0.868482,1.178463
394,0.821891,1.276660
395,0.774368,1.411184
396,0.786267,1.373311
397,0.854089,1.206035
398,0.803859,1.322753
399,0.863892,1.187017
400,0.805949,1.317131
401,0.843348,1.228123
402,0.879164,1.159342
403,0.860827,1.192855
404,0.851022,1.212205
405,0.767282,1.435338
406,0.874813,1.167001
407,0.884029,1.150992
408,0.878306,1.160840
409,0.792411,1.354960
410,0.843251,1.228332
411,0.819412,1.282686
