ó^Ç¶ÇΩèdóvìx,0.230000,0.370000,0.190000,0.310000,0.150000,0.250000,0.110000,0.190000,0.070000,0.130000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
1,0.283991, 0.308991,0.235766, 0.283991,0.154496, 0.241100,0.120550, 0.170567,0.069331, 0.131216,0.271732
2,0.290428, 0.324555,0.184079, 0.290428,0.137992, 0.204079,0.108185, 0.184079,0.108185, 0.167992,0.342264
3,0.259818, 0.316957,0.158478, 0.252923,0.158478, 0.239034,0.113961, 0.259818,0.084308, 0.156225,0.449913
4,0.279219, 0.304219,0.250893, 0.283429,0.152109, 0.250893,0.116356, 0.162337,0.070857, 0.129689,0.261132
5,0.359101, 0.381743,0.179550, 0.203080,0.179550, 0.200727,0.127248, 0.179550,0.062203, 0.127248,0.184695
6,0.381074, 0.405317,0.190537, 0.214066,0.170077, 0.190537,0.101151, 0.170077,0.063512, 0.113651,0.187297
7,0.240892, 0.270521,0.240892, 0.263114,0.202363, 0.240892,0.087705, 0.202363,0.101182, 0.150076,0.253933
8,0.315859, 0.354321,0.177160, 0.243827,0.117152, 0.241446,0.117152, 0.182172,0.080482, 0.170430,0.384391
9,0.252702, 0.274924,0.234520, 0.270884,0.196862, 0.252702,0.091641, 0.196862,0.088565, 0.140337,0.271419
10,0.277048, 0.311112,0.250674, 0.277048,0.155556, 0.250674,0.103704, 0.173738,0.076986, 0.123460,0.272064
11,0.253260, 0.282890,0.230403, 0.264689,0.126630, 0.203782,0.203782, 0.253260,0.056578, 0.124725,0.258693
12,0.286456, 0.326456,0.202834, 0.286456,0.138582, 0.207379,0.108819, 0.207182,0.071614, 0.164223,0.383392
13,0.281539, 0.320428,0.160214, 0.262174,0.126325, 0.281539,0.126325, 0.187436,0.084217, 0.169803,0.442761
14,0.269827, 0.304113,0.152056, 0.236205,0.236205, 0.269827,0.134913, 0.189556,0.059051, 0.148247,0.295895
15,0.232579, 0.279129,0.232579, 0.263348,0.232579, 0.267195,0.093043, 0.232579,0.061991, 0.104977,0.294457
16,0.299772, 0.319772,0.229137, 0.299772,0.159886, 0.229137,0.099924, 0.129924,0.099924, 0.132750,0.222712
17,0.240761, 0.287190,0.240761, 0.293142,0.123038, 0.240761,0.095730, 0.245109,0.067333, 0.166176,0.464754
18,0.276243, 0.311837,0.250789, 0.276243,0.155919, 0.250789,0.125394, 0.168556,0.069061, 0.115169,0.245189
19,0.203497, 0.267599,0.267599, 0.294872,0.147436, 0.203497,0.147436, 0.203497,0.101748, 0.162821,0.264569
20,0.291006, 0.324339,0.190289, 0.291006,0.162169, 0.223622,0.108113, 0.202337,0.065017, 0.142102,0.366812
21,0.242809, 0.288963,0.242809, 0.273579,0.136789, 0.242809,0.121405, 0.242809,0.080936, 0.127090,0.350502
22,0.245701, 0.281503,0.245701, 0.281256,0.201225, 0.245701,0.089308, 0.152081,0.056301, 0.201225,0.323531
23,0.264437, 0.303823,0.151911, 0.221255,0.212922, 0.264437,0.093250, 0.212922,0.106461, 0.168582,0.342038
24,0.306146, 0.325193,0.289479, 0.306146,0.153073, 0.184249,0.092125, 0.153073,0.081298, 0.109219,0.155759
25,0.290057, 0.322710,0.206209, 0.290057,0.161355, 0.221209,0.095412, 0.209286,0.064542, 0.139162,0.364849
26,0.255395, 0.284427,0.258621, 0.291954,0.186632, 0.258621,0.094809, 0.186632,0.068822, 0.114086,0.271442
27,0.356227, 0.386858,0.193429, 0.232677,0.116338, 0.204050,0.077559, 0.143742,0.098104, 0.191017,0.316687
28,0.300161, 0.338088,0.169044, 0.300161,0.169044, 0.210070,0.112696, 0.190666,0.084522, 0.125548,0.329065
29,0.267971, 0.298740,0.234807, 0.267971,0.149370, 0.234807,0.133985, 0.182703,0.078269, 0.151377,0.271195
30,0.385972, 0.416275,0.192986, 0.215713,0.168848, 0.199882,0.071904, 0.168848,0.064329, 0.115243,0.231923
31,0.249781, 0.287281,0.249781, 0.289781,0.124890, 0.174306,0.160973, 0.249781,0.052456, 0.160973,0.324240
32,0.321490, 0.351977,0.175989, 0.236139,0.175989, 0.224610,0.107543, 0.166806,0.078713, 0.160745,0.280554
33,0.352684, 0.377075,0.188537, 0.217949,0.188537, 0.212067,0.094269, 0.176342,0.068728, 0.123811,0.214488
34,0.344707, 0.379795,0.189897, 0.223231,0.165136, 0.199897,0.094949, 0.181445,0.055808, 0.165136,0.299007
35,0.273386, 0.313386,0.201871, 0.273386,0.146693, 0.221871,0.092240, 0.201871,0.092240, 0.183057,0.387141
36,0.381074, 0.405317,0.170077, 0.190537,0.190537, 0.214066,0.101151, 0.170077,0.063512, 0.113651,0.187297
37,0.276243, 0.311837,0.250789, 0.276243,0.155919, 0.250789,0.125394, 0.168556,0.069061, 0.115169,0.245189
38,0.277363, 0.317363,0.158681, 0.215824,0.158681, 0.222051,0.103883, 0.277363,0.079341, 0.189451,0.444103
39,0.227451, 0.257516,0.227451, 0.254118,0.227451, 0.260784,0.128758, 0.227451,0.063529, 0.125490,0.250719
40,0.382258, 0.392258,0.196129, 0.202581,0.196129, 0.202581,0.098065, 0.127419,0.098065, 0.104516,0.058709
41,0.230598, 0.265166,0.230598, 0.277265,0.132583, 0.236848,0.135299, 0.238932,0.078949, 0.173761,0.383943
42,0.237681, 0.259903,0.202899, 0.237681,0.237681, 0.267311,0.086634, 0.202899,0.118841, 0.148470,0.232528
43,0.355291, 0.383014,0.191507, 0.260140,0.130070, 0.184312,0.130070, 0.182646,0.060882, 0.122069,0.264361
44,0.233586, 0.288563,0.288563, 0.326299,0.163149, 0.233586,0.098574, 0.148041,0.049347, 0.170292,0.333562
45,0.272015, 0.309515,0.241795, 0.272015,0.136007, 0.241795,0.136007, 0.161007,0.080504, 0.149341,0.267344
46,0.302409, 0.356085,0.178043, 0.248688,0.124344, 0.302409,0.105296, 0.160852,0.055426, 0.166449,0.468965
47,0.297956, 0.355099,0.177550, 0.235975,0.107731, 0.221359,0.092346, 0.297956,0.063786, 0.150241,0.521261
48,0.260162, 0.280307,0.260162, 0.280995,0.244658, 0.260162,0.086721, 0.126677,0.070077, 0.130081,0.156443
49,0.304029, 0.337363,0.281807, 0.313289,0.152015, 0.180586,0.080769, 0.148596,0.049532, 0.152015,0.263696
50,0.351177, 0.377843,0.185588, 0.209363,0.185588, 0.215000,0.104681, 0.185588,0.061863, 0.123309,0.222206
51,0.248000, 0.265833,0.253333, 0.265833,0.248000, 0.265833,0.126667, 0.139167,0.063333, 0.124000,0.121333
52,0.293378, 0.318378,0.277588, 0.293378,0.146689, 0.201263,0.095869, 0.138794,0.095869, 0.138794,0.181213
53,0.347802, 0.374469,0.183901, 0.214771,0.183901, 0.206978,0.107386, 0.183901,0.068993, 0.127898,0.216035
54,0.225641, 0.255651,0.225641, 0.247863,0.225641, 0.255271,0.127825, 0.225641,0.082621, 0.128205,0.225261
55,0.274858, 0.310679,0.227167, 0.274858,0.155339, 0.227167,0.113584, 0.227167,0.064844, 0.124336,0.328416
56,0.285714, 0.300000,0.285714, 0.300000,0.142857, 0.161905,0.142857, 0.157143,0.080952, 0.142857,0.123810
57,0.390795, 0.415795,0.201648, 0.216519,0.160030, 0.201648,0.107234, 0.160030,0.054130, 0.092170,0.172326
58,0.304997, 0.340395,0.205449, 0.304997,0.152498, 0.195294,0.113465, 0.205449,0.056551, 0.120906,0.334081
59,0.248749, 0.283317,0.227696, 0.275065,0.141659, 0.242696,0.121530, 0.248749,0.055676, 0.154863,0.409381
60,0.220598, 0.260598,0.220598, 0.251709,0.191752, 0.228932,0.125855, 0.228006,0.080199, 0.191752,0.321994
61,0.310694, 0.365110,0.182555, 0.261910,0.108148, 0.310694,0.108148, 0.158148,0.047160, 0.147434,0.486590
62,0.304874, 0.322731,0.281345, 0.304874,0.140672, 0.176246,0.107577, 0.147339,0.073669, 0.140672,0.183725
63,0.256696, 0.285752,0.211641, 0.256696,0.197356, 0.256696,0.142876, 0.211641,0.070203, 0.110442,0.242456
64,0.287822, 0.315600,0.310044, 0.338616,0.144496, 0.162040,0.081020, 0.143911,0.071956, 0.144496,0.209325
65,0.252698, 0.292698,0.146349, 0.233651,0.190794, 0.252698,0.109683, 0.213016,0.095397, 0.213016,0.410159
66,0.358136, 0.385856,0.192928, 0.214746,0.192928, 0.220201,0.096464, 0.179068,0.053686, 0.105988,0.211716
67,0.337996, 0.372779,0.186390, 0.223440,0.156498, 0.205139,0.111720, 0.175059,0.074480, 0.156498,0.265831
68,0.235391, 0.286906,0.249027, 0.289470,0.144735, 0.244086,0.084524, 0.249027,0.078464, 0.138370,0.415719
69,0.306980, 0.328691,0.257213, 0.306980,0.164345, 0.257213,0.102327, 0.132985,0.053492, 0.089773,0.231284
70,0.223408, 0.251979,0.251979, 0.281609,0.211444, 0.251979,0.125990, 0.211444,0.066699, 0.123469,0.240961
71,0.288702, 0.317662,0.237461, 0.288702,0.158831, 0.237461,0.102114, 0.148591,0.065600, 0.154877,0.294586
72,0.283553, 0.308553,0.150110, 0.238498,0.238498, 0.283553,0.141777, 0.178681,0.075055, 0.101722,0.222015
73,0.277859, 0.310291,0.200658, 0.277859,0.139761, 0.200658,0.155146, 0.213158,0.069465, 0.155146,0.314224
74,0.204170, 0.266589,0.266589, 0.296219,0.148109, 0.212503,0.148109, 0.212503,0.081715, 0.163494,0.302616
75,0.295185, 0.327838,0.163919, 0.208388,0.193388, 0.295185,0.096694, 0.213388,0.065568, 0.140444,0.370490
76,0.274313, 0.327024,0.163512, 0.299303,0.132128, 0.213651,0.098826, 0.274313,0.074826, 0.142104,0.512792
77,0.309561, 0.324561,0.309561, 0.324561,0.144041, 0.154781,0.103187, 0.144041,0.077390, 0.108315,0.112519
78,0.269317, 0.302650,0.239793, 0.269317,0.134658, 0.239793,0.134658, 0.167992,0.089772, 0.152050,0.263602
79,0.319740, 0.339740,0.169870, 0.227013,0.169870, 0.227013,0.113506, 0.159870,0.113506, 0.159870,0.227013
80,0.325326, 0.358660,0.177663, 0.230927,0.177663, 0.216125,0.096524, 0.168724,0.070726, 0.177663,0.304196
81,0.306724, 0.339377,0.174158, 0.306724,0.169688, 0.208004,0.102463, 0.194158,0.067875, 0.130829,0.358182
82,0.263188, 0.276304,0.263188, 0.276232,0.263188, 0.276232,0.092101, 0.131594,0.065797, 0.092174,0.105072
83,0.265657, 0.300224,0.214141, 0.265657,0.150112, 0.222475,0.107071, 0.222475,0.082997, 0.169192,0.360045
84,0.309537, 0.332614,0.309537, 0.332614,0.154768, 0.176961,0.088480, 0.154768,0.044240, 0.096480,0.186875
85,0.286829, 0.318606,0.235162, 0.286829,0.159303, 0.235162,0.117581, 0.168414,0.063721, 0.128392,0.274807
86,0.248026, 0.287752,0.236420, 0.294876,0.147438, 0.260407,0.095917, 0.236420,0.057550, 0.135193,0.429296
87,0.237681, 0.259903,0.202899, 0.237681,0.237681, 0.267311,0.086634, 0.202899,0.118841, 0.148470,0.232528
88,0.230598, 0.277265,0.230598, 0.265166,0.132583, 0.238932,0.135299, 0.238932,0.076866, 0.173761,0.388110
89,0.228392, 0.293488,0.293488, 0.318488,0.159244, 0.228392,0.114196, 0.163411,0.073372, 0.127529,0.262616
