No.,tL,tR
true,0.900901,1.123596
0,0.912771,1.105663
1,0.916128,1.100776
2,0.917563,1.098712
3,0.896254,1.130908
4,0.917664,1.098567
5,0.965049,1.037577
6,0.946563,1.059832
7,0.865840,1.183359
8,0.898211,1.127808
9,0.923881,1.089789
10,0.898122,1.127948
11,0.846981,1.220501
12,0.879648,1.158507
13,0.882203,1.154101
14,0.910993,1.108281
15,0.944895,1.061930
16,0.806861,1.314701
17,0.937021,1.072056
18,0.905521,1.116491
19,0.829047,1.259770
20,0.902834,1.120603
21,0.887062,1.145894
22,0.920893,1.093976
23,0.934416,1.075484
24,0.924483,1.088953
25,0.907388,1.113665
26,0.960707,1.042644
27,0.868575,1.178285
28,0.911521,1.107501
29,0.966227,1.036219
30,0.850158,1.213962
31,0.912536,1.106006
32,0.937075,1.071984
33,0.881873,1.154668
34,0.822479,1.275245
35,0.965049,1.037577
36,0.937021,1.072056
37,0.841863,1.231291
38,0.882680,1.153288
39,0.921193,1.093552
40,0.873761,1.168876
41,0.962901,1.040073
42,0.916420,1.100356
43,0.923218,1.090712
44,0.899289,1.126112
45,0.845931,1.222688
46,0.816971,1.288715
47,0.915189,1.102136
48,0.925027,1.088198
49,0.925603,1.087401
50,0.923295,1.090603
51,0.971529,1.030189
52,0.883491,1.151904
53,0.934361,1.075559
54,0.898749,1.126964
55,0.954524,1.050025
56,0.972351,1.029265
57,0.886519,1.146798
58,0.874851,1.166932
59,0.856005,1.202237
60,0.837385,1.240993
61,0.927372,1.084971
62,0.932125,1.078537
63,0.912895,1.105479
64,0.808324,1.310836
65,0.857273,1.199746
66,0.920036,1.095187
67,0.920714,1.094227
68,0.929487,1.082091
69,0.887934,1.144440
70,0.924023,1.089590
71,0.933652,1.076500
72,0.916727,1.099913
73,0.869559,1.176483
74,0.874158,1.168167
75,0.832013,1.252984
76,0.971663,1.030039
77,0.893467,1.135377
78,0.930742,1.080394
79,0.872406,1.171310
80,0.821741,1.277023
81,0.954911,1.049557
82,0.859084,1.196215
83,0.879521,1.158727
84,0.949863,1.055725
85,0.923882,1.089786
86,0.962901,1.040073
87,0.915331,1.101930
88,0.916618,1.100071
89,0.888036,1.144269
90,0.877332,1.162547
91,0.974286,1.027108
92,0.913397,1.104745
93,0.879027,1.159586
94,0.898007,1.128132
95,0.894831,1.133182
96,0.894498,1.133716
97,0.921643,1.092918
98,0.890395,1.140377
99,0.900864,1.123651
100,0.896791,1.130055
101,0.975104,1.026200
102,0.955077,1.049358
103,0.930473,1.080755
104,0.775155,1.408580
105,0.956380,1.047791
106,0.882299,1.153938
107,0.857508,1.199285
108,0.904521,1.118017
109,0.847487,1.219451
110,0.890688,1.139899
111,0.899938,1.125100
112,0.914487,1.103156
113,0.901968,1.121942
114,0.932572,1.077938
115,0.830034,1.257499
116,0.947510,1.058644
117,0.856739,1.200792
118,0.944895,1.061930
119,0.913244,1.104970
120,0.941665,1.066039
121,0.886284,1.147194
122,0.980260,1.020551
123,0.887715,1.144805
124,0.874903,1.166838
125,0.960475,1.042919
