ó^Ç¶ÇΩèdóvìx,0.230000,0.370000,0.190000,0.310000,0.150000,0.250000,0.110000,0.190000,0.070000,0.130000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
1,0.316292, 0.316292,0.239405, 0.239405,0.224745, 0.224745,0.136088, 0.136088,0.083470, 0.083470,0.000000
2,0.336314, 0.336314,0.220342, 0.220342,0.162231, 0.162231,0.151300, 0.151300,0.129813, 0.129813,0.000000
3,0.293042, 0.293042,0.230942, 0.230942,0.212486, 0.212486,0.166509, 0.166509,0.097021, 0.097021,0.000000
4,0.298740, 0.298740,0.276468, 0.276468,0.209404, 0.209404,0.119373, 0.119373,0.096015, 0.096015,0.000000
5,0.396297, 0.396297,0.175058, 0.175058,0.192982, 0.192982,0.144191, 0.144191,0.091471, 0.091471,0.000000
6,0.392542, 0.392542,0.199749, 0.199749,0.192793, 0.192793,0.125192, 0.125192,0.089725, 0.089725,0.000000
7,0.245555, 0.245555,0.275817, 0.275817,0.215293, 0.215293,0.155689, 0.155689,0.107646, 0.107646,0.000000
8,0.322393, 0.322393,0.244446, 0.244446,0.203336, 0.203336,0.118169, 0.118169,0.111656, 0.111656,0.000000
9,0.292450, 0.292450,0.243737, 0.243737,0.214043, 0.214043,0.152254, 0.152254,0.097516, 0.097516,0.000000
10,0.322779, 0.322779,0.256008, 0.256008,0.196026, 0.196026,0.144575, 0.144575,0.080612, 0.080612,0.000000
11,0.291065, 0.291065,0.243258, 0.243258,0.173797, 0.173797,0.209600, 0.209600,0.082280, 0.082280,0.000000
12,0.324502, 0.324502,0.247932, 0.247932,0.160411, 0.160411,0.168874, 0.168874,0.098282, 0.098282,0.000000
13,0.314226, 0.314226,0.265134, 0.265134,0.166496, 0.166496,0.136339, 0.136339,0.117805, 0.117805,0.000000
14,0.314525, 0.314525,0.215902, 0.215902,0.237159, 0.237159,0.139353, 0.139353,0.093062, 0.093062,0.000000
15,0.290213, 0.290213,0.238495, 0.238495,0.223696, 0.223696,0.171345, 0.171345,0.076251, 0.076251,0.000000
16,0.322562, 0.322562,0.259729, 0.259729,0.207817, 0.207817,0.100657, 0.100657,0.109236, 0.109236,0.000000
17,0.304812, 0.304812,0.272123, 0.272123,0.163504, 0.163504,0.168105, 0.168105,0.091456, 0.091456,0.000000
18,0.297466, 0.297466,0.272478, 0.272478,0.210482, 0.210482,0.136239, 0.136239,0.083334, 0.083334,0.000000
