ó^Ç¶ÇΩèdóvìx,0.230000,0.370000,0.200000,0.300000,0.170000,0.230000,0.100000,0.200000,0.030000,0.170000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
1,0.268969, 0.400381,0.183234, 0.300915,0.198738, 0.258753,0.121890, 0.168272,0.034319, 0.064530,0.385701
2,0.273074, 0.433073,0.156809, 0.278146,0.142892, 0.176483,0.130441, 0.166113,0.100078, 0.142892,0.393414
3,0.140924, 0.384764,0.188637, 0.293055,0.185224, 0.260678,0.130339, 0.217089,0.056811, 0.142477,0.596127
4,0.263827, 0.316118,0.256734, 0.331781,0.158059, 0.280668,0.090001, 0.141864,0.053233, 0.107715,0.356293
5,0.387000, 0.470636,0.151195, 0.193500,0.153654, 0.262096,0.080140, 0.176612,0.036904, 0.088264,0.382215
6,0.375752, 0.475141,0.163242, 0.187876,0.140446, 0.293379,0.050532, 0.149448,0.038077, 0.126106,0.463902
7,0.231654, 0.298004,0.231654, 0.298004,0.207236, 0.238742,0.096840, 0.215898,0.066142, 0.115827,0.332951
8,0.222190, 0.408730,0.184940, 0.325807,0.149995, 0.298113,0.109968, 0.115705,0.059623, 0.124931,0.546570
9,0.231026, 0.393472,0.188064, 0.284919,0.177087, 0.231026,0.113650, 0.228441,0.054125, 0.098189,0.472095
10,0.255612, 0.385510,0.240348, 0.264024,0.156059, 0.259711,0.123724, 0.162936,0.064928, 0.087150,0.318660
11,0.243002, 0.360993,0.186983, 0.303751,0.141622, 0.247113,0.174019, 0.243002,0.031219, 0.068297,0.446312
12,0.299540, 0.366741,0.174942, 0.372647,0.113010, 0.197726,0.122247, 0.196912,0.042202, 0.114033,0.496118
13,0.248316, 0.398307,0.183350, 0.337630,0.110787, 0.260396,0.146942, 0.146942,0.050023, 0.117306,0.521164
14,0.255556, 0.375767,0.153274, 0.350703,0.210276, 0.255556,0.094939, 0.172243,0.030779, 0.100908,0.510354
15,0.204770, 0.338239,0.202748, 0.346659,0.213131, 0.249464,0.109755, 0.219714,0.038518, 0.077002,0.462156
16,0.261777, 0.380766,0.183858, 0.265253,0.169032, 0.290856,0.079883, 0.093275,0.089549, 0.185751,0.431801
17,0.226515, 0.375880,0.200750, 0.320002,0.105792, 0.257558,0.124730, 0.244360,0.037092, 0.107321,0.610243
18,0.237594, 0.333581,0.275804, 0.302387,0.157109, 0.275804,0.135526, 0.164859,0.033388, 0.083948,0.321158
19,0.169132, 0.256235,0.256235, 0.349553,0.145744, 0.274596,0.087805, 0.184716,0.084031, 0.191952,0.514105
20,0.264296, 0.450485,0.175393, 0.264296,0.160002, 0.241022,0.094037, 0.196112,0.050255, 0.104101,0.512032
21,0.244917, 0.284965,0.185930, 0.245420,0.244917, 0.284965,0.142482, 0.252463,0.041575, 0.072365,0.280355
22,0.236232, 0.443879,0.205195, 0.279720,0.143641, 0.263519,0.093240, 0.146829,0.039082, 0.148663,0.565220
23,0.237298, 0.406893,0.193412, 0.243933,0.193700, 0.271939,0.115176, 0.198831,0.059719, 0.079099,0.401391
24,0.274143, 0.357069,0.306263, 0.348254,0.161079, 0.201088,0.096162, 0.138653,0.055613, 0.061675,0.213478
25,0.274043, 0.444419,0.177683, 0.279244,0.206867, 0.206867,0.088133, 0.182525,0.047209, 0.093010,0.412130
26,0.254707, 0.333260,0.265243, 0.296279,0.155211, 0.267865,0.111087, 0.219575,0.041289, 0.055484,0.344927
27,0.267616, 0.423480,0.193375, 0.259385,0.191687, 0.221142,0.082597, 0.120302,0.104796, 0.135619,0.319857
28,0.304438, 0.414061,0.117077, 0.304438,0.189988, 0.192352,0.132362, 0.189988,0.038035, 0.117260,0.436200
29,0.257532, 0.336858,0.211904, 0.257532,0.151257, 0.316526,0.120518, 0.158684,0.060095, 0.129093,0.397388
30,0.393100, 0.393100,0.157843, 0.271424,0.161704, 0.243642,0.084367, 0.168074,0.045204, 0.081543,0.315566
31,0.217621, 0.478120,0.178198, 0.282766,0.156169, 0.180940,0.107849, 0.217621,0.041689, 0.139025,0.596947
32,0.246715, 0.442541,0.192080, 0.247489,0.192080, 0.247489,0.097153, 0.151470,0.059626, 0.123358,0.424691
33,0.249617, 0.345004,0.193496, 0.270559,0.172502, 0.352952,0.126183, 0.135471,0.056089, 0.098127,0.404227
34,0.288757, 0.456308,0.181629, 0.341491,0.140402, 0.237313,0.100755, 0.144378,0.033423, 0.075544,0.510068
35,0.270589, 0.449775,0.134850, 0.270589,0.144398, 0.198353,0.078027, 0.251501,0.046656, 0.155264,0.650963
36,0.378767, 0.458746,0.155672, 0.259482,0.169411, 0.189384,0.057525, 0.156506,0.039063, 0.135446,0.399127
37,0.243270, 0.331286,0.268154, 0.318008,0.160140, 0.274440,0.135839, 0.145257,0.036848, 0.086757,0.311498
38,0.253426, 0.420226,0.176417, 0.176808,0.116225, 0.269797,0.124071, 0.256318,0.073071, 0.133640,0.513579
39,0.188572, 0.296747,0.206547, 0.338835,0.172174, 0.234342,0.148373, 0.267737,0.044824, 0.101848,0.479018
40,0.350079, 0.437274,0.184399, 0.248703,0.194472, 0.199849,0.078934, 0.116925,0.085999, 0.103366,0.212233
41,0.186588, 0.312594,0.222014, 0.243541,0.153208, 0.354917,0.117050, 0.208512,0.059153, 0.142423,0.523976
42,0.226145, 0.325490,0.196359, 0.234225,0.234225, 0.256884,0.105291, 0.206088,0.098179, 0.117113,0.279600
43,0.335716, 0.424346,0.149300, 0.305782,0.137621, 0.167858,0.132545, 0.235905,0.033310, 0.077617,0.423017
44,0.217079, 0.236714,0.234198, 0.320463,0.152510, 0.267438,0.090049, 0.289765,0.039276, 0.152510,0.533778
45,0.257938, 0.305699,0.161271, 0.289088,0.152849, 0.171468,0.131058, 0.254878,0.084959, 0.190792,0.423849
46,0.260288, 0.443995,0.221998, 0.285628,0.101243, 0.268663,0.108879, 0.150865,0.045217, 0.113225,0.524753
47,0.186140, 0.545905,0.120986, 0.193857,0.173995, 0.335703,0.063072, 0.186140,0.038944, 0.155257,0.833726
48,0.271373, 0.369323,0.262460, 0.272652,0.187231, 0.277078,0.089477, 0.093616,0.073865, 0.102926,0.231188
49,0.279105, 0.296016,0.163233, 0.309317,0.148008, 0.208816,0.084205, 0.302589,0.045478, 0.163233,0.559942
