ó^Ç¶ÇΩèdóvìx,0.230000,0.370000,0.200000,0.300000,0.170000,0.230000,0.100000,0.200000,0.030000,0.170000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
1,0.220092, 0.449258,0.148274, 0.335876,0.177331, 0.280159,0.092463, 0.197698,0.003090, 0.095759,0.717500
2,0.242684, 0.463462,0.121966, 0.312989,0.127104, 0.192271,0.101297, 0.195257,0.083282, 0.159688,0.647335
3,0.121611, 0.404077,0.163200, 0.318491,0.161626, 0.284277,0.121932, 0.225497,0.000001, 0.199288,0.863260
4,0.179620, 0.400325,0.178305, 0.410211,0.144986, 0.293741,0.078232, 0.153633,0.039435, 0.121512,0.758844
5,0.344695, 0.512941,0.130286, 0.214409,0.073790, 0.341961,0.049923, 0.206828,0.011543, 0.113625,0.779527
6,0.351118, 0.499775,0.138395, 0.212723,0.100641, 0.333183,0.000001, 0.199980,0.000001, 0.164182,0.819687
7,0.222989, 0.306669,0.222989, 0.306669,0.181148, 0.264829,0.088276, 0.224462,0.049554, 0.132414,0.470089
8,0.179575, 0.451344,0.105500, 0.405247,0.089521, 0.358587,0.098494, 0.127178,0.049097, 0.135457,0.955628
9,0.204056, 0.420442,0.155767, 0.317216,0.125732, 0.282381,0.044369, 0.297722,0.036982, 0.115332,0.866185
10,0.231155, 0.409966,0.231155, 0.273217,0.115666, 0.300104,0.102487, 0.184173,0.057899, 0.094178,0.523277
11,0.212892, 0.391103,0.121522, 0.369212,0.105514, 0.283221,0.121882, 0.295139,0.017727, 0.081789,0.840925
12,0.187542, 0.478739,0.148011, 0.399577,0.099153, 0.211583,0.111047, 0.208113,0.000867, 0.155368,0.906760
13,0.192433, 0.454190,0.107945, 0.413035,0.077299, 0.293885,0.146942, 0.146942,0.020386, 0.146942,0.909989
14,0.232916, 0.398408,0.101495, 0.402482,0.150170, 0.315662,0.067978, 0.199204,0.000001, 0.131686,0.894881
15,0.095879, 0.447130,0.132872, 0.416535,0.180426, 0.282169,0.084334, 0.245135,0.033808, 0.081712,0.945363
16,0.224556, 0.417988,0.156185, 0.292926,0.102542, 0.357346,0.074852, 0.098306,0.050744, 0.224556,0.782243
17,0.115897, 0.486498,0.064818, 0.455934,0.079279, 0.284071,0.108556, 0.260534,0.000001, 0.144412,1.262897
18,0.212996, 0.358178,0.253824, 0.324367,0.143818, 0.289095,0.115033, 0.185353,0.000001, 0.117336,0.548658
19,0.122474, 0.302894,0.212684, 0.393104,0.046077, 0.374264,0.059837, 0.212684,0.049512, 0.226471,1.018833
20,0.219845, 0.494937,0.111287, 0.328402,0.092312, 0.308712,0.049079, 0.241071,0.013045, 0.141310,1.028864
21,0.215675, 0.314207,0.163897, 0.267453,0.215675, 0.314207,0.132471, 0.262475,0.039640, 0.074300,0.465284
22,0.191133, 0.488978,0.124812, 0.360103,0.119077, 0.288082,0.080819, 0.159249,0.000001, 0.187744,0.968314
23,0.214081, 0.430111,0.166473, 0.270871,0.176719, 0.288920,0.086343, 0.227664,0.047228, 0.091590,0.618314
24,0.234815, 0.396397,0.293220, 0.361297,0.127351, 0.234815,0.079187, 0.155628,0.049724, 0.067564,0.431403
25,0.248235, 0.470227,0.152198, 0.304728,0.206867, 0.206867,0.063791, 0.206867,0.036785, 0.103434,0.584246
26,0.184711, 0.403256,0.250502, 0.311019,0.140821, 0.282256,0.101904, 0.228758,0.039249, 0.057525,0.565628
27,0.240415, 0.450681,0.153685, 0.299075,0.136629, 0.276201,0.061507, 0.141392,0.092226, 0.148189,0.631076
