ó^Ç¶ÇΩèdóvìx,0.230000,0.370000,0.200000,0.300000,0.170000,0.230000,0.100000,0.200000,0.030000,0.170000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
1,0.334675, 0.334675,0.242075, 0.242075,0.228745, 0.228745,0.145081, 0.145081,0.049424, 0.049424,0.000000
2,0.353073, 0.353073,0.217478, 0.217478,0.159688, 0.159688,0.148277, 0.148277,0.121485, 0.121485,0.000000
3,0.262844, 0.262844,0.240846, 0.240846,0.222951, 0.222951,0.173714, 0.173714,0.099644, 0.099644,0.000000
4,0.289972, 0.289972,0.294258, 0.294258,0.219364, 0.219364,0.115933, 0.115933,0.080474, 0.080474,0.000000
5,0.428818, 0.428818,0.172347, 0.172347,0.207875, 0.207875,0.128376, 0.128376,0.062584, 0.062584,0.000000
6,0.425447, 0.425447,0.175559, 0.175559,0.216912, 0.216912,0.099990, 0.099990,0.082091, 0.082091,0.000000
7,0.264829, 0.264829,0.264829, 0.264829,0.222989, 0.222989,0.156369, 0.156369,0.090984, 0.090984,0.000000
8,0.315460, 0.315460,0.255373, 0.255373,0.224054, 0.224054,0.112836, 0.112836,0.092277, 0.092277,0.000000
9,0.312249, 0.312249,0.236491, 0.236491,0.204056, 0.204056,0.171046, 0.171046,0.076157, 0.076157,0.000000
10,0.320561, 0.320561,0.252186, 0.252186,0.207885, 0.207885,0.143330, 0.143330,0.076039, 0.076039,0.000000
11,0.301997, 0.301997,0.245367, 0.245367,0.194367, 0.194367,0.208510, 0.208510,0.049758, 0.049758,0.000000
12,0.333141, 0.333141,0.273794, 0.273794,0.155368, 0.155368,0.159580, 0.159580,0.078118, 0.078118,0.000000
13,0.323312, 0.323312,0.260490, 0.260490,0.185592, 0.185592,0.146942, 0.146942,0.083664, 0.083664,0.000000
14,0.315662, 0.315662,0.251988, 0.251988,0.232916, 0.232916,0.133591, 0.133591,0.065843, 0.065843,0.000000
15,0.271505, 0.271505,0.274704, 0.274704,0.231297, 0.231297,0.164735, 0.164735,0.057760, 0.057760,0.000000
16,0.321272, 0.321272,0.224556, 0.224556,0.229944, 0.229944,0.086579, 0.086579,0.137650, 0.137650,0.000000
17,0.301198, 0.301198,0.260376, 0.260376,0.181675, 0.181675,0.184545, 0.184545,0.072206, 0.072206,0.000000
18,0.285587, 0.285587,0.289095, 0.289095,0.216456, 0.216456,0.150193, 0.150193,0.058668, 0.058668,0.000000
19,0.212684, 0.212684,0.302894, 0.302894,0.210170, 0.210170,0.136260, 0.136260,0.137991, 0.137991,0.000000
20,0.357391, 0.357391,0.219845, 0.219845,0.200512, 0.200512,0.145075, 0.145075,0.077178, 0.077178,0.000000
21,0.264941, 0.264941,0.215675, 0.215675,0.264941, 0.264941,0.197473, 0.197473,0.056970, 0.056970,0.000000
22,0.340055, 0.340055,0.242458, 0.242458,0.203580, 0.203580,0.120034, 0.120034,0.093873, 0.093873,0.000000
23,0.322096, 0.322096,0.218672, 0.218672,0.232819, 0.232819,0.157003, 0.157003,0.069409, 0.069409,0.000000
24,0.315606, 0.315606,0.327259, 0.327259,0.181083, 0.181083,0.117408, 0.117408,0.058644, 0.058644,0.000000
25,0.359231, 0.359231,0.228463, 0.228463,0.206867, 0.206867,0.135329, 0.135329,0.070109, 0.070109,0.000000
26,0.293984, 0.293984,0.280761, 0.280761,0.211538, 0.211538,0.165331, 0.165331,0.048387, 0.048387,0.000000
27,0.345548, 0.345548,0.226380, 0.226380,0.206415, 0.206415,0.101450, 0.101450,0.120208, 0.120208,0.000000
28,0.359250, 0.359250,0.210758, 0.210758,0.191170, 0.191170,0.161175, 0.161175,0.077648, 0.077648,0.000000
29,0.297195, 0.297195,0.234718, 0.234718,0.233892, 0.233892,0.139601, 0.139601,0.094594, 0.094594,0.000000
30,0.393100, 0.393100,0.214634, 0.214634,0.202673, 0.202673,0.126220, 0.126220,0.063373, 0.063373,0.000000
31,0.347871, 0.347871,0.230482, 0.230482,0.168555, 0.168555,0.162735, 0.162735,0.090357, 0.090357,0.000000
32,0.344628, 0.344628,0.219785, 0.219785,0.219785, 0.219785,0.124311, 0.124311,0.091492, 0.091492,0.000000
33,0.297310, 0.297310,0.232028, 0.232028,0.262727, 0.262727,0.130827, 0.130827,0.077108, 0.077108,0.000000
34,0.372532, 0.372532,0.261560, 0.261560,0.188858, 0.188858,0.122567, 0.122567,0.054483, 0.054483,0.000000
35,0.360182, 0.360182,0.202719, 0.202719,0.171375, 0.171375,0.164764, 0.164764,0.100960, 0.100960,0.000000
36,0.418756, 0.418756,0.207577, 0.207577,0.179397, 0.179397,0.107015, 0.107015,0.087254, 0.087254,0.000000
37,0.287278, 0.287278,0.293081, 0.293081,0.217290, 0.217290,0.140548, 0.140548,0.061803, 0.061803,0.000000
38,0.336826, 0.336826,0.176612, 0.176612,0.193011, 0.193011,0.190195, 0.190195,0.103355, 0.103355,0.000000
39,0.242659, 0.242659,0.272691, 0.272691,0.203258, 0.203258,0.208055, 0.208055,0.073336, 0.073336,0.000000
40,0.393677, 0.393677,0.216551, 0.216551,0.197160, 0.197160,0.097930, 0.097930,0.094683, 0.094683,0.000000
41,0.249591, 0.249591,0.232777, 0.232777,0.254063, 0.254063,0.162781, 0.162781,0.100788, 0.100788,0.000000
42,0.275817, 0.275817,0.215292, 0.215292,0.245555, 0.245555,0.155690, 0.155690,0.107646, 0.107646,0.000000
43,0.380031, 0.380031,0.227541, 0.227541,0.152739, 0.152739,0.184225, 0.184225,0.055464, 0.055464,0.000000
44,0.226897, 0.226897,0.277330, 0.277330,0.209974, 0.209974,0.189907, 0.189907,0.095893, 0.095893,0.000000
45,0.281818, 0.281818,0.225180, 0.225180,0.162159, 0.162159,0.192968, 0.192968,0.137876, 0.137876,0.000000
46,0.352142, 0.352142,0.253813, 0.253813,0.184953, 0.184953,0.129872, 0.129872,0.079221, 0.079221,0.000000
47,0.366023, 0.366023,0.157422, 0.157422,0.254849, 0.254849,0.124606, 0.124606,0.097100, 0.097100,0.000000
48,0.320348, 0.320348,0.267556, 0.267556,0.232154, 0.232154,0.091546, 0.091546,0.088395, 0.088395,0.000000
49,0.287561, 0.287561,0.236275, 0.236275,0.178412, 0.178412,0.193397, 0.193397,0.104355, 0.104355,0.000000
50,0.337516, 0.337516,0.208967, 0.208967,0.168758, 0.168758,0.214741, 0.214741,0.070018, 0.070018,0.000000
51,0.230748, 0.230748,0.311361, 0.311361,0.230748, 0.230748,0.155681, 0.155681,0.071463, 0.071463,0.000000
52,0.328786, 0.328786,0.272418, 0.272418,0.192577, 0.192577,0.122994, 0.122994,0.083224, 0.083224,0.000000
53,0.347059, 0.347059,0.215239, 0.215239,0.219712, 0.219712,0.137543, 0.137543,0.080447, 0.080447,0.000000
54,0.247625, 0.247625,0.253141, 0.253141,0.223632, 0.223632,0.199599, 0.199599,0.076003, 0.076003,0.000000
55,0.324055, 0.324055,0.253370, 0.253370,0.198515, 0.198515,0.179611, 0.179611,0.044449, 0.044449,0.000000
56,0.321935, 0.321935,0.222392, 0.222392,0.182269, 0.182269,0.160968, 0.160968,0.112436, 0.112436,0.000000
57,0.404703, 0.404703,0.250595, 0.250595,0.164382, 0.164382,0.127144, 0.127144,0.053176, 0.053176,0.000000
58,0.357047, 0.357047,0.231627, 0.231627,0.166190, 0.166190,0.187717, 0.187717,0.057419, 0.057419,0.000000
59,0.318173, 0.318173,0.263030, 0.263030,0.191906, 0.191906,0.160034, 0.160034,0.066857, 0.066857,0.000000
60,0.234254, 0.234254,0.253289, 0.253289,0.191789, 0.191789,0.209965, 0.209965,0.110704, 0.110704,0.000000
61,0.334430, 0.334430,0.193684, 0.193684,0.208018, 0.208018,0.177771, 0.177771,0.086097, 0.086097,0.000000
62,0.331806, 0.331806,0.253515, 0.253515,0.157473, 0.157473,0.171596, 0.171596,0.085610, 0.085610,0.000000
63,0.312988, 0.312988,0.249356, 0.249356,0.219748, 0.219748,0.152393, 0.152393,0.065516, 0.065516,0.000000
64,0.287183, 0.287183,0.330568, 0.330568,0.158852, 0.158852,0.126843, 0.126843,0.096554, 0.096554,0.000000
65,0.307804, 0.307804,0.233621, 0.233621,0.191443, 0.191443,0.160113, 0.160113,0.107019, 0.107019,0.000000
66,0.368725, 0.368725,0.258367, 0.258367,0.199687, 0.199687,0.111494, 0.111494,0.061728, 0.061728,0.000000
67,0.361634, 0.361634,0.270194, 0.270194,0.154449, 0.154449,0.120485, 0.120485,0.093238, 0.093238,0.000000
