ó^Ç¶ÇΩèdóvìx,0.250000,0.350000,0.200000,0.300000,0.150000,0.250000,0.100000,0.200000,0.050000,0.150000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
1,0.272312, 0.368112,0.169869, 0.300591,0.184056, 0.277945,0.126301, 0.162537,0.053343, 0.084934,0.388238
2,0.273074, 0.433073,0.156809, 0.278146,0.142892, 0.176483,0.130441, 0.166113,0.100078, 0.142892,0.393414
3,0.186423, 0.399821,0.192130, 0.261951,0.192130, 0.261951,0.128312, 0.199166,0.084904, 0.093211,0.432203
4,0.258388, 0.339093,0.237623, 0.315312,0.165913, 0.252895,0.104605, 0.134140,0.077859, 0.114172,0.311224
5,0.389220, 0.404540,0.174762, 0.194610,0.173558, 0.225472,0.098350, 0.186118,0.052930, 0.100441,0.222361
6,0.383442, 0.457701,0.176502, 0.191721,0.143447, 0.256443,0.057624, 0.146408,0.048708, 0.138005,0.380555
7,0.237922, 0.292323,0.237922, 0.292323,0.193727, 0.264647,0.090138, 0.195219,0.076819, 0.118961,0.326944
8,0.239071, 0.405085,0.193055, 0.328465,0.159078, 0.236463,0.112239, 0.121822,0.078821, 0.125901,0.435472
9,0.237860, 0.369939,0.200429, 0.279636,0.175997, 0.241383,0.113800, 0.211951,0.068791, 0.100215,0.406247
10,0.262414, 0.383144,0.229400, 0.282617,0.162609, 0.229443,0.123886, 0.165263,0.073754, 0.087471,0.295875
11,0.313691, 0.333350,0.187830, 0.319039,0.144100, 0.228024,0.155857, 0.192323,0.043856, 0.081931,0.309334
12,0.291583, 0.373516,0.169026, 0.344361,0.116255, 0.200406,0.124505, 0.204499,0.058174, 0.117676,0.480913
13,0.217095, 0.434311,0.211812, 0.336039,0.109886, 0.217095,0.124840, 0.140440,0.075233, 0.133249,0.522269
14,0.256649, 0.357889,0.150777, 0.328453,0.203402, 0.256649,0.112365, 0.162728,0.050061, 0.121026,0.453491
15,0.238007, 0.328910,0.214773, 0.303065,0.197344, 0.239939,0.104910, 0.233043,0.050511, 0.089499,0.388910
16,0.288806, 0.350375,0.145915, 0.307976,0.175187, 0.309568,0.081473, 0.100564,0.094220, 0.145915,0.428796
17,0.210523, 0.389432,0.222465, 0.333334,0.094805, 0.227462,0.120636, 0.239404,0.053146, 0.108792,0.596848
18,0.252042, 0.333270,0.269801, 0.281271,0.165871, 0.275992,0.134332, 0.154215,0.044021, 0.089184,0.267865
19,0.160451, 0.276453,0.276424, 0.336902,0.151687, 0.226881,0.091546, 0.182900,0.106021, 0.190736,0.427744
20,0.274293, 0.404798,0.180269, 0.274293,0.163183, 0.225922,0.102326, 0.195965,0.070188, 0.108762,0.419481
21,0.257421, 0.271844,0.204074, 0.317303,0.158651, 0.295503,0.131011, 0.233778,0.057406, 0.073009,0.382873
22,0.236181, 0.401446,0.208515, 0.290188,0.147911, 0.267952,0.096729, 0.151267,0.045305, 0.154504,0.530718
23,0.248879, 0.402712,0.194981, 0.249818,0.176845, 0.274442,0.115568, 0.176845,0.076703, 0.083208,0.374050
24,0.239733, 0.372152,0.290030, 0.330237,0.155250, 0.226607,0.094429, 0.119867,0.064685, 0.107010,0.311745
25,0.252729, 0.424996,0.187048, 0.259870,0.209405, 0.225720,0.086276, 0.191140,0.066097, 0.096717,0.396888
26,0.250161, 0.338778,0.257159, 0.270590,0.184196, 0.257159,0.112926, 0.200102,0.063578, 0.065350,0.263959
27,0.276984, 0.409404,0.203552, 0.314533,0.157267, 0.201269,0.098678, 0.100204,0.097156, 0.140953,0.332726
28,0.302097, 0.391198,0.173669, 0.302097,0.183359, 0.193615,0.125093, 0.183359,0.058282, 0.087230,0.315000
29,0.270161, 0.337533,0.216109, 0.270161,0.148477, 0.264217,0.120070, 0.163302,0.083662, 0.126308,0.323042
30,0.379673, 0.379673,0.168158, 0.272795,0.164000, 0.232301,0.087773, 0.171735,0.056845, 0.087047,0.287102
31,0.208367, 0.418817,0.243650, 0.294004,0.138472, 0.168301,0.119933, 0.208367,0.055434, 0.144655,0.468289
32,0.276169, 0.415589,0.187737, 0.267624,0.196470, 0.214793,0.105624, 0.111320,0.086354, 0.138321,0.295294
33,0.265665, 0.337003,0.196279, 0.279430,0.168502, 0.314101,0.130607, 0.140080,0.069670, 0.098664,0.338554
34,0.268011, 0.449829,0.173530, 0.348828,0.129147, 0.219964,0.091440, 0.134005,0.048683, 0.136563,0.578379
35,0.276650, 0.393384,0.193163, 0.276650,0.133170, 0.235446,0.091057, 0.198843,0.056564, 0.145073,0.498792
36,0.392227, 0.402939,0.154796, 0.250335,0.191578, 0.198457,0.092332, 0.154796,0.060589, 0.101951,0.216954
37,0.272253, 0.322679,0.254306, 0.290651,0.161340, 0.259625,0.125916, 0.146562,0.069809, 0.096859,0.232753
38,0.355780, 0.364002,0.177890, 0.182001,0.137465, 0.243025,0.119457, 0.203563,0.079353, 0.137465,0.260110
39,0.209796, 0.286798,0.226588, 0.288676,0.191490, 0.227231,0.143399, 0.259518,0.055528, 0.110977,0.346399
40,0.345387, 0.416055,0.188239, 0.251491,0.200195, 0.200195,0.083115, 0.115129,0.100098, 0.100098,0.165934
41,0.195875, 0.311114,0.231706, 0.251980,0.149260, 0.306759,0.120049, 0.213011,0.076690, 0.143556,0.452839
42,0.226145, 0.325490,0.196359, 0.234225,0.234225, 0.256884,0.105291, 0.206088,0.098179, 0.117113,0.279600
43,0.327216, 0.412817,0.167655, 0.300417,0.133682, 0.163608,0.131164, 0.221125,0.052268, 0.090048,0.376029
44,0.204534, 0.262272,0.262272, 0.370682,0.140704, 0.230234,0.088948, 0.237363,0.052615, 0.150376,0.501853
45,0.261908, 0.312297,0.157774, 0.295059,0.156148, 0.174683,0.129951, 0.214624,0.107312, 0.190244,0.373815
46,0.257318, 0.419574,0.209787, 0.295490,0.114873, 0.261764,0.107037, 0.139109,0.067266, 0.127783,0.487437
47,0.190558, 0.479193,0.166685, 0.294541,0.146064, 0.281687,0.092549, 0.190558,0.042837, 0.115327,0.722613
48,0.259126, 0.339101,0.230475, 0.285377,0.211247, 0.264827,0.091789, 0.109566,0.084044, 0.124447,0.246637
49,0.282915, 0.307618,0.245861, 0.282915,0.136762, 0.189383,0.092361, 0.244114,0.061028, 0.157042,0.362145
50,0.315326, 0.358591,0.167422, 0.258639,0.176342, 0.176934,0.124306, 0.253169,0.063132, 0.106137,0.306942
51,0.212033, 0.257697,0.257697, 0.326191,0.149886, 0.281791,0.125673, 0.185297,0.050248, 0.153487,0.408926
52,0.297359, 0.333959,0.223222, 0.324807,0.158495, 0.233489,0.109090, 0.141083,0.066207, 0.112288,0.291254
53,0.322216, 0.384582,0.192291, 0.214935,0.169430, 0.254713,0.099471, 0.179229,0.063678, 0.119455,0.305828
54,0.214724, 0.283827,0.223494, 0.269343,0.223044, 0.235871,0.141914, 0.234335,0.063912, 0.109537,0.265827
55,0.296455, 0.340225,0.195115, 0.296455,0.133596, 0.276627,0.136540, 0.211336,0.044224, 0.069427,0.388140
56,0.295049, 0.310618,0.265500, 0.295049,0.142615, 0.182777,0.132750, 0.147524,0.090459, 0.137659,0.147254
57,0.378328, 0.409121,0.192803, 0.278613,0.137064, 0.204562,0.132367, 0.137064,0.055723, 0.074356,0.207431
58,0.294016, 0.403135,0.169259, 0.308122,0.142940, 0.185612,0.134378, 0.217820,0.056929, 0.087788,0.404954
59,0.209368, 0.391420,0.223596, 0.306593,0.157787, 0.223596,0.096499, 0.231116,0.051081, 0.108943,0.523338
60,0.207715, 0.272529,0.218305, 0.290174,0.141281, 0.246331,0.145087, 0.239565,0.090843, 0.148171,0.393539
61,0.251901, 0.410318,0.198578, 0.263405,0.123434, 0.253935,0.100150, 0.209443,0.052361, 0.136476,0.547153
62,0.282537, 0.393019,0.255480, 0.282537,0.127740, 0.141269,0.119144, 0.203390,0.066155, 0.128729,0.297888
63,0.252643, 0.328279,0.238285, 0.279477,0.164112, 0.259996,0.139739, 0.176555,0.065656, 0.095259,0.279132
