ó^Ç¶ÇΩèdóvìx,0.250000,0.350000,0.200000,0.300000,0.150000,0.250000,0.100000,0.200000,0.050000,0.150000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
1,0.201803, 0.438621,0.138277, 0.332183,0.172847, 0.289154,0.081422, 0.207416,0.044836, 0.093441,0.721631
2,0.242684, 0.463462,0.121966, 0.312989,0.127104, 0.192271,0.101297, 0.195257,0.083282, 0.159688,0.647335
3,0.178115, 0.408129,0.182318, 0.271763,0.182318, 0.271763,0.116129, 0.211349,0.079316, 0.098799,0.523607
4,0.208319, 0.389161,0.182924, 0.370011,0.142341, 0.276468,0.094457, 0.144289,0.069117, 0.122913,0.605684
5,0.369371, 0.424388,0.170931, 0.198440,0.134443, 0.264587,0.087224, 0.197245,0.039833, 0.113537,0.396395
6,0.368223, 0.472919,0.157938, 0.210286,0.110676, 0.289214,0.010649, 0.193383,0.000001, 0.186712,0.705027
7,0.212215, 0.318030,0.212215, 0.318030,0.179346, 0.279027,0.061919, 0.223437,0.063219, 0.132561,0.542171
8,0.211194, 0.432962,0.143961, 0.377559,0.132466, 0.263075,0.103381, 0.130680,0.068921, 0.135802,0.680155
9,0.207459, 0.400340,0.169005, 0.311059,0.129181, 0.288199,0.072243, 0.253508,0.056708, 0.112298,0.730808
10,0.247979, 0.397579,0.207407, 0.304610,0.143858, 0.248193,0.104504, 0.184645,0.064261, 0.096964,0.463981
11,0.300025, 0.347016,0.180103, 0.326766,0.084606, 0.287518,0.136566, 0.211614,0.033534, 0.092253,0.530334
12,0.171593, 0.493506,0.132635, 0.380752,0.099699, 0.216962,0.110850, 0.218154,0.017519, 0.158331,0.935409
13,0.194341, 0.457065,0.179270, 0.368581,0.034115, 0.292866,0.112756, 0.152524,0.049122, 0.159360,0.860791
14,0.230026, 0.384513,0.110368, 0.368863,0.152782, 0.307269,0.082837, 0.192256,0.033539, 0.137547,0.780896
15,0.208981, 0.357935,0.135016, 0.382822,0.157263, 0.280019,0.079034, 0.258919,0.043153, 0.096856,0.753104
16,0.215782, 0.423399,0.132412, 0.321479,0.159795, 0.324960,0.074314, 0.107723,0.059300, 0.180835,0.716792
17,0.145110, 0.454845,0.155491, 0.400308,0.032192, 0.290075,0.082140, 0.277900,0.000805, 0.161133,1.168522
18,0.226425, 0.358887,0.262420, 0.288652,0.148382, 0.293481,0.115356, 0.173191,0.011173, 0.122032,0.472486
19,0.130240, 0.306663,0.243332, 0.369994,0.081810, 0.296758,0.074189, 0.200256,0.071324, 0.225434,0.798208
20,0.227281, 0.451810,0.133559, 0.321003,0.120679, 0.268426,0.071010, 0.227281,0.048245, 0.130705,0.798450
21,0.228577, 0.300688,0.158088, 0.363289,0.144452, 0.309702,0.107763, 0.257026,0.052924, 0.077491,0.616393
22,0.169905, 0.467722,0.126708, 0.371995,0.118267, 0.297596,0.083117, 0.164880,0.000001, 0.199808,1.004003
23,0.238006, 0.413585,0.173474, 0.271324,0.156751, 0.294536,0.079132, 0.213281,0.065892, 0.094018,0.573490
24,0.214296, 0.397589,0.263154, 0.357112,0.128123, 0.253734,0.061325, 0.152971,0.035719, 0.135976,0.594766
25,0.223459, 0.454267,0.156741, 0.290177,0.193774, 0.241350,0.036122, 0.241294,0.042140, 0.120675,0.695527
26,0.217238, 0.371702,0.247963, 0.279786,0.177481, 0.263874,0.108355, 0.204673,0.062960, 0.065969,0.372007
27,0.252727, 0.433661,0.191186, 0.326899,0.150627, 0.207909,0.097525, 0.101357,0.086101, 0.152008,0.443667
28,0.271496, 0.421799,0.161407, 0.314359,0.172705, 0.204270,0.119966, 0.188487,0.043377, 0.102135,0.462100
29,0.243135, 0.364559,0.182423, 0.303847,0.108935, 0.303760,0.105332, 0.178040,0.068284, 0.141686,0.583783
30,0.379673, 0.379673,0.139457, 0.301496,0.124472, 0.271829,0.069671, 0.189837,0.048974, 0.094918,0.475506
31,0.174914, 0.452271,0.218832, 0.318821,0.097786, 0.208986,0.059811, 0.268489,0.010076, 0.190014,0.877161
32,0.232407, 0.459352,0.129385, 0.325975,0.193759, 0.217503,0.094231, 0.122712,0.073115, 0.151560,0.554204
33,0.205562, 0.397107,0.187135, 0.288573,0.157048, 0.325554,0.124302, 0.146385,0.065823, 0.102511,0.520259
34,0.228231, 0.489609,0.051693, 0.470664,0.106802, 0.242310,0.045986, 0.179460,0.010690, 0.174556,1.113197
35,0.234906, 0.435127,0.134796, 0.335017,0.100603, 0.268013,0.000001, 0.289900,0.017328, 0.184308,1.024731
36,0.387853, 0.407314,0.147732, 0.257399,0.183442, 0.206593,0.067891, 0.179237,0.054378, 0.108162,0.317411
37,0.233145, 0.361787,0.240071, 0.304886,0.154607, 0.266357,0.117256, 0.155222,0.059066, 0.107602,0.391708
38,0.349614, 0.370168,0.169668, 0.190223,0.126845, 0.253645,0.100272, 0.222748,0.036872, 0.179946,0.433458
39,0.149862, 0.346732,0.206144, 0.309120,0.161089, 0.257632,0.124148, 0.278768,0.042356, 0.124148,0.632803
40,0.300293, 0.461148,0.140413, 0.299317,0.200195, 0.200195,0.077893, 0.120350,0.100098, 0.100098,0.362215
41,0.126458, 0.380531,0.191158, 0.292529,0.115942, 0.340077,0.091217, 0.241843,0.066438, 0.153807,0.817574
42,0.197012, 0.354622,0.185029, 0.245555,0.215292, 0.275817,0.096088, 0.215292,0.092515, 0.122777,0.428128
43,0.297290, 0.442742,0.140266, 0.327807,0.112282, 0.185008,0.067657, 0.284632,0.040062, 0.102254,0.684886
44,0.150329, 0.316477,0.233403, 0.399551,0.117757, 0.253182,0.000001, 0.326310,0.023963, 0.179029,0.949096
45,0.243372, 0.330832,0.122001, 0.330832,0.143551, 0.187281,0.060711, 0.283864,0.089580, 0.207977,0.681569
46,0.221501, 0.455391,0.184609, 0.320668,0.068962, 0.307674,0.051097, 0.195049,0.052989, 0.142060,0.841682
47,0.141554, 0.528198,0.033476, 0.427751,0.109272, 0.318478,0.000001, 0.283107,0.010576, 0.147588,1.410243
48,0.232634, 0.365593,0.213820, 0.302033,0.176961, 0.299113,0.076177, 0.125178,0.074778, 0.133713,0.451261
49,0.264388, 0.326145,0.233510, 0.295267,0.108715, 0.217430,0.077602, 0.258872,0.056940, 0.161130,0.517690
50,0.299435, 0.374483,0.129078, 0.296983,0.175158, 0.178119,0.099644, 0.277831,0.057246, 0.112023,0.478878
51,0.177786, 0.291944,0.234865, 0.349023,0.133930, 0.297748,0.101557, 0.209414,0.006922, 0.196812,0.689881
