ó^Ç¶ÇΩèdóvìx,0.250000,0.350000,0.200000,0.300000,0.150000,0.250000,0.100000,0.200000,0.050000,0.150000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
1,0.320212, 0.320212,0.235230, 0.235230,0.231000, 0.231000,0.144419, 0.144419,0.069139, 0.069139,0.000000
2,0.353073, 0.353073,0.217478, 0.217478,0.159688, 0.159688,0.148277, 0.148277,0.121485, 0.121485,0.000000
3,0.293122, 0.293122,0.227041, 0.227041,0.227041, 0.227041,0.163739, 0.163739,0.089057, 0.089057,0.000000
4,0.298740, 0.298740,0.276468, 0.276468,0.209404, 0.209404,0.119373, 0.119373,0.096015, 0.096015,0.000000
5,0.396880, 0.396880,0.184686, 0.184686,0.199515, 0.199515,0.142234, 0.142234,0.076685, 0.076685,0.000000
6,0.420571, 0.420571,0.184112, 0.184112,0.199945, 0.199945,0.102016, 0.102016,0.093356, 0.093356,0.000000
7,0.265122, 0.265122,0.265122, 0.265122,0.229187, 0.229187,0.142678, 0.142678,0.097890, 0.097890,0.000000
8,0.322078, 0.322078,0.260760, 0.260760,0.197770, 0.197770,0.117031, 0.117031,0.102361, 0.102361,0.000000
9,0.303900, 0.303900,0.240032, 0.240032,0.208690, 0.208690,0.162875, 0.162875,0.084503, 0.084503,0.000000
10,0.322779, 0.322779,0.256008, 0.256008,0.196026, 0.196026,0.144575, 0.144575,0.080612, 0.080612,0.000000
11,0.323520, 0.323520,0.253435, 0.253435,0.186062, 0.186062,0.174090, 0.174090,0.062893, 0.062893,0.000000
12,0.332549, 0.332549,0.256694, 0.256694,0.158331, 0.158331,0.164502, 0.164502,0.087925, 0.087925,0.000000
13,0.325703, 0.325703,0.273925, 0.273925,0.163491, 0.163491,0.132640, 0.132640,0.104241, 0.104241,0.000000
14,0.307269, 0.307269,0.239615, 0.239615,0.230026, 0.230026,0.137547, 0.137547,0.085543, 0.085543,0.000000
15,0.283458, 0.283458,0.258919, 0.258919,0.218641, 0.218641,0.168977, 0.168977,0.070005, 0.070005,0.000000
16,0.319590, 0.319590,0.226946, 0.226946,0.242378, 0.242378,0.091019, 0.091019,0.120068, 0.120068,0.000000
17,0.299978, 0.299978,0.277900, 0.277900,0.161133, 0.161133,0.180020, 0.180020,0.080969, 0.080969,0.000000
18,0.292656, 0.292656,0.275536, 0.275536,0.220932, 0.220932,0.144274, 0.144274,0.066603, 0.066603,0.000000
19,0.218452, 0.218452,0.306663, 0.306663,0.189284, 0.189284,0.137223, 0.137223,0.148379, 0.148379,0.000000
20,0.339546, 0.339546,0.227281, 0.227281,0.194552, 0.194552,0.149146, 0.149146,0.089475, 0.089475,0.000000
21,0.264633, 0.264633,0.260688, 0.260688,0.227077, 0.227077,0.182395, 0.182395,0.065207, 0.065207,0.000000
22,0.318814, 0.318814,0.249351, 0.249351,0.207932, 0.207932,0.123998, 0.123998,0.099905, 0.099905,0.000000
23,0.325796, 0.325796,0.222399, 0.222399,0.225643, 0.225643,0.146206, 0.146206,0.079955, 0.079955,0.000000
24,0.305943, 0.305943,0.310133, 0.310133,0.190929, 0.190929,0.107148, 0.107148,0.085848, 0.085848,0.000000
25,0.338863, 0.338863,0.223459, 0.223459,0.217562, 0.217562,0.138708, 0.138708,0.081407, 0.081407,0.000000
26,0.294470, 0.294470,0.263874, 0.263874,0.220678, 0.220678,0.156514, 0.156514,0.064464, 0.064464,0.000000
27,0.343194, 0.343194,0.259043, 0.259043,0.179268, 0.179268,0.099441, 0.099441,0.119055, 0.119055,0.000000
28,0.346648, 0.346648,0.237883, 0.237883,0.188487, 0.188487,0.154226, 0.154226,0.072756, 0.072756,0.000000
29,0.303847, 0.303847,0.243135, 0.243135,0.206347, 0.206347,0.141686, 0.141686,0.104985, 0.104985,0.000000
30,0.379673, 0.379673,0.220476, 0.220476,0.198151, 0.198151,0.129754, 0.129754,0.071946, 0.071946,0.000000
31,0.313592, 0.313592,0.268827, 0.268827,0.153386, 0.153386,0.164150, 0.164150,0.100045, 0.100045,0.000000
32,0.345879, 0.345879,0.227680, 0.227680,0.205631, 0.205631,0.108472, 0.108472,0.112337, 0.112337,0.000000
33,0.301334, 0.301334,0.237854, 0.237854,0.241301, 0.241301,0.135343, 0.135343,0.084167, 0.084167,0.000000
34,0.358920, 0.358920,0.261179, 0.261179,0.174556, 0.174556,0.112723, 0.112723,0.092623, 0.092623,0.000000
35,0.335017, 0.335017,0.234906, 0.234906,0.184308, 0.184308,0.144950, 0.144950,0.100818, 0.100818,0.000000
36,0.397583, 0.397583,0.202566, 0.202566,0.195017, 0.195017,0.123564, 0.123564,0.081270, 0.081270,0.000000
37,0.297466, 0.297466,0.272478, 0.272478,0.210482, 0.210482,0.136239, 0.136239,0.083334, 0.083334,0.000000
38,0.359891, 0.359891,0.179946, 0.179946,0.190245, 0.190245,0.161510, 0.161510,0.108409, 0.108409,0.000000
39,0.248297, 0.248297,0.257632, 0.257632,0.209361, 0.209361,0.201458, 0.201458,0.083252, 0.083252,0.000000
40,0.380721, 0.380721,0.219865, 0.219865,0.200195, 0.200195,0.099122, 0.099122,0.100098, 0.100098,0.000000
41,0.253494, 0.253494,0.241843, 0.241843,0.228009, 0.228009,0.166530, 0.166530,0.110123, 0.110123,0.000000
42,0.275817, 0.275817,0.215292, 0.215292,0.245555, 0.245555,0.155690, 0.155690,0.107646, 0.107646,0.000000
43,0.370016, 0.370016,0.234036, 0.234036,0.148645, 0.148645,0.176145, 0.176145,0.071158, 0.071158,0.000000
44,0.233403, 0.233403,0.316477, 0.316477,0.185469, 0.185469,0.163156, 0.163156,0.101496, 0.101496,0.000000
45,0.287102, 0.287102,0.226416, 0.226416,0.165416, 0.165416,0.172288, 0.172288,0.148778, 0.148778,0.000000
46,0.338446, 0.338446,0.252638, 0.252638,0.188318, 0.188318,0.123073, 0.123073,0.097524, 0.097524,0.000000
47,0.334876, 0.334876,0.230613, 0.230613,0.213875, 0.213875,0.141554, 0.141554,0.079082, 0.079082,0.000000
48,0.299113, 0.299113,0.257926, 0.257926,0.238037, 0.238037,0.100678, 0.100678,0.104246, 0.104246,0.000000
49,0.295267, 0.295267,0.264388, 0.264388,0.163073, 0.163073,0.168237, 0.168237,0.109035, 0.109035,0.000000
50,0.336959, 0.336959,0.213031, 0.213031,0.176638, 0.176638,0.188738, 0.188738,0.084635, 0.084635,0.000000
51,0.234865, 0.234865,0.291944, 0.291944,0.215839, 0.215839,0.155485, 0.155485,0.101867, 0.101867,0.000000
52,0.315659, 0.315659,0.274015, 0.274015,0.195992, 0.195992,0.125087, 0.125087,0.089247, 0.089247,0.000000
