ó^Ç¶ÇΩèdóvìx,0.250000,0.350000,0.200000,0.300000,0.150000,0.250000,0.100000,0.200000,0.050000,0.150000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
1,0.226125, 0.351750,0.176488, 0.308854,0.123341, 0.246682,0.088244, 0.276375,0.037687, 0.164455,0.696230
2,0.225399, 0.384012,0.128004, 0.276009,0.086403, 0.280809,0.075133, 0.244182,0.056350, 0.243700,0.857424
3,0.187303, 0.348772,0.093652, 0.327781,0.093652, 0.327781,0.066542, 0.266168,0.044361, 0.243987,1.028979
4,0.229165, 0.343747,0.192981, 0.308769,0.122221, 0.249998,0.083333, 0.229164,0.057291, 0.183332,0.630020
5,0.300591, 0.413312,0.150295, 0.274621,0.150295, 0.261543,0.104617, 0.169380,0.037574, 0.137771,0.513255
6,0.326425, 0.489637,0.163212, 0.326425,0.099741, 0.199482,0.040803, 0.170984,0.040803, 0.142487,0.658031
7,0.193261, 0.354311,0.193261, 0.354311,0.133796, 0.240833,0.064420, 0.200694,0.064420, 0.200694,0.701685
8,0.230531, 0.395195,0.122322, 0.285419,0.077842, 0.285419,0.077842, 0.259472,0.051894, 0.214064,0.879139
9,0.198237, 0.330395,0.198237, 0.379954,0.127438, 0.254876,0.066079, 0.209898,0.042479, 0.192406,0.735059
10,0.225472, 0.338207,0.182112, 0.303519,0.122757, 0.251093,0.081838, 0.209244,0.060704, 0.225054,0.654237
11,0.221484, 0.376522,0.189843, 0.285786,0.110742, 0.274218,0.123047, 0.246093,0.024609, 0.147656,0.660550
12,0.229129, 0.416050,0.137239, 0.289559,0.063341, 0.244919,0.076376, 0.259680,0.045826, 0.237881,0.896177
13,0.204181, 0.374332,0.108896, 0.291687,0.068060, 0.272241,0.068060, 0.306271,0.034030, 0.272241,1.033544
14,0.206112, 0.377872,0.113791, 0.248272,0.160646, 0.294518,0.103056, 0.303443,0.026774, 0.165514,0.779240
15,0.189049, 0.307204,0.189049, 0.324083,0.189049, 0.346589,0.063016, 0.196611,0.031508, 0.163842,0.676659
16,0.203449, 0.361688,0.139202, 0.311158,0.114993, 0.268317,0.046401, 0.278404,0.046401, 0.229986,0.899107
17,0.126332, 0.341097,0.156057, 0.398813,0.066741, 0.250281,0.069359, 0.261453,0.042111, 0.287756,1.078799
18,0.238844, 0.344997,0.172749, 0.310948,0.119422, 0.249701,0.086374, 0.270690,0.039807, 0.166467,0.685606
19,0.138673, 0.300457,0.200305, 0.367226,0.112672, 0.281679,0.050076, 0.225343,0.069336, 0.254233,0.857877
20,0.209046, 0.358364,0.141460, 0.296577,0.116858, 0.292145,0.068916, 0.233716,0.047153, 0.235766,0.833135
21,0.163288, 0.401242,0.166917, 0.331694,0.096298, 0.235861,0.081644, 0.235861,0.041729, 0.245466,0.900247
22,0.190769, 0.365640,0.190769, 0.354284,0.122637, 0.251114,0.063590, 0.235840,0.027253, 0.198106,0.809968
23,0.204459, 0.340764,0.115564, 0.269648,0.153034, 0.289960,0.077042, 0.231127,0.055374, 0.263028,0.789054
24,0.246828, 0.341761,0.249201, 0.359957,0.149521, 0.224281,0.078695, 0.166134,0.052463, 0.131158,0.446584
25,0.213204, 0.365492,0.139464, 0.311743,0.110409, 0.294424,0.051957, 0.220818,0.036803, 0.255684,0.896325
26,0.203253, 0.323935,0.203253, 0.359928,0.158165, 0.243332,0.067751, 0.203253,0.050813, 0.186316,0.633527
27,0.282464, 0.415850,0.148830, 0.264587,0.081650, 0.239079,0.054433, 0.217733,0.070616, 0.224757,0.724012
28,0.220219, 0.360358,0.165319, 0.296962,0.121484, 0.254538,0.080990, 0.257163,0.040495, 0.202474,0.742988
29,0.210922, 0.351536,0.171374, 0.285623,0.114249, 0.238433,0.105461, 0.266582,0.057125, 0.198694,0.681739
30,0.324687, 0.473501,0.162343, 0.273954,0.123157, 0.221682,0.054114, 0.170074,0.040586, 0.155901,0.590226
31,0.161032, 0.276054,0.218543, 0.400662,0.109272, 0.291391,0.109272, 0.238411,0.036424, 0.158940,0.730917
32,0.286426, 0.370669,0.155039, 0.258399,0.155039, 0.289812,0.079040, 0.190014,0.052693, 0.162870,0.543526
33,0.220652, 0.330978,0.185812, 0.325172,0.110326, 0.235362,0.092906, 0.275815,0.046453, 0.176522,0.687700
34,0.223827, 0.402889,0.156679, 0.335741,0.094008, 0.250687,0.078340, 0.227897,0.028487, 0.201445,0.837318
35,0.205877, 0.377441,0.164259, 0.316785,0.118603, 0.259797,0.079069, 0.256973,0.032475, 0.188721,0.799435
36,0.326010, 0.461848,0.127406, 0.203850,0.163005, 0.285259,0.083972, 0.175942,0.040751, 0.131956,0.517710
37,0.236634, 0.331287,0.182208, 0.298158,0.118831, 0.242944,0.091104, 0.257468,0.059158, 0.182208,0.624130
38,0.305556, 0.458333,0.152778, 0.305556,0.091667, 0.183333,0.076389, 0.183333,0.076389, 0.166667,0.594444
39,0.190088, 0.291469,0.190088, 0.316814,0.190088, 0.342159,0.095044, 0.203666,0.038018, 0.142566,0.593347
40,0.342451, 0.391373,0.183062, 0.228827,0.183062, 0.244082,0.061021, 0.122041,0.091531, 0.152551,0.277748
41,0.169945, 0.346184,0.121389, 0.382375,0.084972, 0.254917,0.094414, 0.265539,0.030347, 0.249919,0.997866
42,0.200979, 0.301469,0.139139, 0.250451,0.200979, 0.334965,0.066993, 0.200979,0.069570, 0.234476,0.644679
43,0.275910, 0.413864,0.148991, 0.297982,0.093120, 0.232799,0.093120, 0.223487,0.034489, 0.186239,0.708743
44,0.159784, 0.319568,0.204043, 0.382581,0.118101, 0.269477,0.078734, 0.251949,0.024471, 0.191291,0.829732
45,0.182961, 0.365921,0.130686, 0.281478,0.114350, 0.285876,0.091480, 0.261372,0.057175, 0.228701,0.846695
46,0.213161, 0.378953,0.115039, 0.306771,0.067106, 0.268425,0.067106, 0.290794,0.038346, 0.254297,0.998481
47,0.161536, 0.380084,0.122796, 0.343830,0.064369, 0.288231,0.061398, 0.269972,0.024559, 0.283224,1.130682
48,0.237455, 0.316607,0.237455, 0.336395,0.191437, 0.265066,0.079152, 0.144538,0.059364, 0.132533,0.390276
49,0.253734, 0.412318,0.197349, 0.345360,0.126867, 0.264306,0.063434, 0.163951,0.024669, 0.148012,0.667896
50,0.272641, 0.408961,0.160377, 0.258385,0.160377, 0.307389,0.080188, 0.181760,0.040094, 0.129829,0.572647
51,0.189098, 0.346680,0.189098, 0.346680,0.135377, 0.232075,0.094549, 0.245828,0.031516, 0.189098,0.720722
52,0.248117, 0.420913,0.223305, 0.319008,0.124058, 0.243686,0.066460, 0.167002,0.044307, 0.143144,0.587506
53,0.303612, 0.445929,0.151806, 0.265660,0.151806, 0.259450,0.081078, 0.169878,0.037951, 0.132830,0.547495
54,0.190121, 0.285182,0.190121, 0.316869,0.190121, 0.332712,0.095061, 0.201305,0.047530, 0.150979,0.574091
55,0.196713, 0.367197,0.167362, 0.301252,0.106503, 0.239632,0.083681, 0.253832,0.032785, 0.251043,0.825912
56,0.260870, 0.326087,0.260870, 0.326087,0.130435, 0.173913,0.130435, 0.195652,0.065217, 0.130435,0.304348
57,0.351407, 0.481193,0.175703, 0.253794,0.121821, 0.194395,0.087852, 0.175703,0.035141, 0.122992,0.456154
58,0.228367, 0.400147,0.133382, 0.279115,0.114183, 0.311952,0.076122, 0.228367,0.038061, 0.190305,0.819770
59,0.192952, 0.353745,0.124040, 0.330775,0.104194, 0.289428,0.078935, 0.248081,0.034731, 0.243119,0.930295
60,0.180150, 0.360300,0.180150, 0.320267,0.112594, 0.262719,0.090075, 0.233528,0.060050, 0.200167,0.753962
61,0.211183, 0.397521,0.114608, 0.329130,0.068324, 0.273295,0.068324, 0.273295,0.020571, 0.243750,1.033982
62,0.264339, 0.363466,0.217691, 0.344677,0.108845, 0.264339,0.088113, 0.173472,0.036282, 0.138778,0.569462
