No.,tL,tR
true,0.917431,1.098901
0,0.959255,1.044360
1,0.939158,1.069269
2,0.953867,1.050822
3,0.981489,1.019221
4,0.973423,1.028069
5,0.953186,1.051649
6,0.987843,1.012461
7,0.943006,1.064327
8,0.976652,1.024491
9,0.963619,1.039237
10,0.935168,1.074491
11,0.914634,1.102940
12,1.000000,1.000002
13,0.944508,1.062419
14,0.936242,1.073079
15,0.964699,1.037983
16,0.923362,1.090510
17,0.973024,1.028515
18,0.938447,1.070195
19,0.923626,1.090143
20,0.951220,1.054054
21,0.983437,1.017128
22,0.941764,1.065911
23,0.989555,1.010668
24,0.939316,1.069067
25,0.951144,1.054147
26,0.938587,1.070011
27,0.935855,1.073586
28,0.952235,1.052810
29,0.981338,1.019386
30,1.000000,1.000001
31,0.944961,1.061846
32,0.963040,1.039907
33,0.961376,1.041857
34,0.952102,1.052972
35,0.965794,1.036717
36,0.973024,1.028515
37,0.967742,1.034482
38,0.971475,1.030250
39,0.974771,1.026570
40,0.960141,1.043312
41,1.000000,1.000000
42,0.952412,1.052595
43,0.956173,1.048038
44,0.972871,1.028684
45,0.946595,1.059790
46,0.956761,1.047332
47,0.976492,1.024668
48,0.971472,1.030253
49,0.970689,1.031136
50,0.976450,1.024713
51,0.965220,1.037380
52,0.933341,1.076913
53,0.930131,1.081217
54,0.996621,1.003401
55,1.000000,1.000001
56,0.967894,1.034308
57,0.938988,1.069494
58,0.945885,1.060684
59,0.952886,1.052017
60,0.929265,1.082390
61,0.969570,1.032401
62,0.987478,1.012844
63,0.963574,1.039288
64,0.950804,1.054565
65,0.951854,1.053275
66,0.927056,1.085405
67,0.958446,1.045321
68,0.966538,1.035860
69,1.000000,1.000002
70,0.952102,1.052972
71,0.977881,1.023142
72,0.933331,1.076925
73,0.934991,1.074725
74,0.971922,1.029748
75,0.923602,1.090176
76,0.984829,1.015647
77,0.974026,1.027398
78,0.975611,1.025640
79,0.956789,1.047297
80,0.955542,1.048796
81,0.984017,1.016512
82,0.934051,1.075971
83,0.976193,1.024998
84,0.952935,1.051956
85,0.927803,1.084382
86,0.952941,1.051948
87,0.955975,1.048275
88,0.941478,1.066280
89,0.943456,1.063753
90,0.949181,1.056569
91,0.977302,1.023778
92,1.000000,1.000001
93,1.000000,1.000000
94,0.963168,1.039760
95,0.952630,1.052325
96,0.951516,1.053690
97,0.981489,1.019221
98,0.968141,1.034028
99,0.947209,1.059021
100,0.935169,1.074489
101,0.977332,1.023745
102,0.980060,1.020770
103,0.966999,1.035333
104,0.947012,1.059268
105,0.992509,1.007603
106,0.967928,1.034274
107,1.000000,1.000000
108,0.929141,1.082560
109,0.949188,1.056560
110,0.973282,1.028226
111,0.918734,1.097039
112,0.966999,1.035333
113,0.958793,1.044909
114,0.940806,1.067141
115,0.929503,1.082068
116,0.992367,1.007753
117,0.931631,1.079197
118,0.960873,1.042451
119,0.936503,1.072733
120,0.979245,1.021653
121,0.923823,1.089870
122,0.937500,1.071429
123,0.926669,1.085934
124,0.958854,1.044835
125,0.939405,1.068952
126,0.969506,1.032475
127,0.990101,1.010102
128,0.949877,1.055708
129,0.957894,1.045977
130,0.940026,1.068149
131,0.966241,1.036203
132,0.951762,1.053389
133,0.972924,1.028627
134,0.968963,1.033092
135,0.928666,1.083204
136,1.000000,1.000000
137,0.967741,1.034482
138,0.987260,1.013072
139,0.983565,1.016994
140,0.964307,1.038435
141,0.975049,1.026260
142,0.941244,1.066581
143,0.947527,1.058626
144,0.955915,1.048348
145,0.956939,1.047122
146,0.960990,1.042313
147,0.969546,1.032428
148,0.928430,1.083527
149,0.930495,1.080728
150,0.945590,1.061054
151,0.977030,1.024076
152,0.960571,1.042804
153,0.961193,1.042073
154,0.961183,1.042084
155,0.964913,1.037735
156,0.947012,1.059268
157,0.945593,1.061051
158,0.972346,1.029274
159,0.955975,1.048275
160,0.929025,1.082716
161,0.955485,1.048866
162,0.962877,1.040099
163,0.974330,1.027059
164,0.961314,1.041929
165,0.945933,1.060620
166,0.958888,1.044797
167,0.977881,1.023142
168,0.972354,1.029263
169,0.942048,1.065547
170,0.979022,1.021897
171,0.955413,1.048950
172,0.958633,1.045099
173,0.961498,1.041715
174,0.961183,1.042084
175,0.962763,1.040234
176,0.961183,1.042084
177,0.955959,1.048297
178,0.941752,1.065930
179,0.961923,1.041213
180,0.951487,1.053726
181,0.945308,1.061410
182,0.966442,1.035971
183,0.944033,1.063022
184,0.946196,1.060294
185,0.964359,1.038376
186,0.938127,1.070612
187,0.936416,1.072847
188,0.984829,1.015647
189,0.973847,1.027597
190,0.960694,1.042659
191,0.968550,1.033562
192,0.969131,1.032900
193,0.938865,1.069654
194,0.904656,1.117808
195,0.951487,1.053726
196,0.946123,1.060384
197,0.943457,1.063753
198,0.946564,1.059831
199,0.949877,1.055708
200,0.919858,1.095439
201,0.923552,1.090247
202,0.959617,1.043933
203,0.931479,1.079403
204,0.931271,1.079683
205,0.958900,1.044783
206,0.953260,1.051560
207,0.977030,1.024076
208,0.986717,1.013645
209,0.959453,1.044126
210,0.947516,1.058639
211,0.935175,1.074482
212,0.965891,1.036605
213,0.966408,1.036012
214,0.985604,1.014822
215,0.940917,1.067000
216,0.950734,1.054649
217,0.951942,1.053168
218,0.913595,1.104459
219,0.943044,1.064278
220,0.951762,1.053389
221,0.961916,1.041223
222,0.962877,1.040099
223,0.937830,1.070999
224,0.957531,1.046409
225,0.922270,1.092039
226,0.942839,1.064540
227,0.934668,1.075153
228,0.948116,1.057892
229,0.961403,1.041827
230,0.955975,1.048275
231,0.950414,1.055047
232,0.981489,1.019221
233,0.968877,1.033188
234,0.970562,1.031281
235,0.975743,1.025493
236,0.982671,1.017953
237,0.959555,1.044006
238,0.936923,1.072181
239,0.934738,1.075060
240,0.939264,1.069133
241,0.964468,1.038251
242,1.000000,1.000000
243,0.968162,1.034002
244,0.973807,1.027639
245,0.934865,1.074890
246,0.936590,1.072620
247,0.965048,1.037579
248,0.964913,1.037735
249,0.945332,1.061376
250,0.971748,1.029942
251,0.937778,1.071064
252,1.000000,1.000001
253,0.962160,1.040938
254,0.943767,1.063358
255,0.941952,1.065671
256,0.960341,1.043075
257,0.961183,1.042084
258,0.932211,1.078423
259,0.974789,1.026549
260,0.968877,1.033188
261,0.971626,1.030083
262,0.935291,1.074328
263,0.935065,1.074629
264,0.940393,1.067675
265,0.980592,1.020191
266,0.981996,1.018675
267,0.958026,1.045821
268,0.982838,1.017771
269,0.984152,1.016366
270,0.944508,1.062419
271,0.961183,1.042084
272,0.958904,1.044777
273,0.944592,1.062315
274,0.937093,1.071961
275,0.949339,1.056370
276,0.977881,1.023142
277,0.950843,1.054518
