ó^Ç¶ÇΩèdóvìx,0.270000,0.330000,0.200000,0.300000,0.130000,0.270000,0.100000,0.200000,0.070000,0.130000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
1,0.275802, 0.340949,0.179009, 0.372241,0.129705, 0.263988,0.089746, 0.180315,0.039048, 0.129195,0.573378
2,0.234855, 0.437774,0.130985, 0.309698,0.129813, 0.194648,0.112482, 0.190118,0.097396, 0.162231,0.588937
3,0.222535, 0.427163,0.169916, 0.285932,0.163909, 0.253461,0.082620, 0.196039,0.043493, 0.154933,0.635054
4,0.234807, 0.372390,0.217026, 0.306561,0.151799, 0.271437,0.089807, 0.151799,0.083960, 0.120415,0.445203
5,0.379247, 0.379247,0.180868, 0.204833,0.180868, 0.204833,0.101724, 0.189624,0.051882, 0.126874,0.210820
6,0.348358, 0.429997,0.194589, 0.266578,0.099209, 0.238898,0.099541, 0.143656,0.057575, 0.121599,0.401454
7,0.212878, 0.323753,0.212878, 0.323753,0.157441, 0.268316,0.075224, 0.212878,0.078721, 0.134158,0.525715
8,0.219833, 0.453066,0.202006, 0.308348,0.141910, 0.280000,0.082477, 0.133869,0.087777, 0.090714,0.531993
9,0.248201, 0.399038,0.208302, 0.343007,0.132824, 0.181152,0.107873, 0.184874,0.076061, 0.118666,0.453476
10,0.248729, 0.449073,0.211747, 0.292268,0.098506, 0.260976,0.127644, 0.152099,0.066230, 0.092729,0.494291
11,0.262932, 0.357420,0.161704, 0.327522,0.068549, 0.303719,0.155088, 0.202332,0.052127, 0.108608,0.599201
12,0.183314, 0.465690,0.107912, 0.387952,0.099575, 0.221247,0.108167, 0.229580,0.037992, 0.158571,0.926078
13,0.277906, 0.325236,0.277906, 0.325236,0.127120, 0.150785,0.127120, 0.150785,0.098953, 0.138953,0.181990
14,0.237159, 0.391891,0.092245, 0.339558,0.159793, 0.314525,0.083194, 0.195512,0.046771, 0.139353,0.761676
15,0.239511, 0.412637,0.192214, 0.285161,0.175720, 0.208707,0.124267, 0.209447,0.059220, 0.093116,0.418136
16,0.252267, 0.389404,0.189812, 0.320836,0.160418, 0.286848,0.076449, 0.107989,0.082374, 0.133604,0.477361
17,0.145237, 0.464387,0.178423, 0.365823,0.034324, 0.292684,0.064088, 0.272123,0.019407, 0.163504,1.117042
18,0.233145, 0.361787,0.240071, 0.304886,0.154607, 0.266357,0.117256, 0.155222,0.059066, 0.107602,0.391708
19,0.146656, 0.290845,0.209267, 0.421030,0.130998, 0.245185,0.088616, 0.218751,0.094046, 0.154606,0.660834
20,0.211837, 0.477955,0.108824, 0.314849,0.108337, 0.286312,0.056784, 0.240553,0.041896, 0.152653,0.944643
21,0.217082, 0.278369,0.123899, 0.406302,0.131643, 0.374822,0.075437, 0.247726,0.062146, 0.082575,0.779587
22,0.187855, 0.419044,0.183390, 0.327588,0.156494, 0.266932,0.085163, 0.133229,0.028590, 0.211713,0.717013
23,0.216232, 0.445775,0.177144, 0.243127,0.121893, 0.304473,0.047302, 0.252334,0.060021, 0.131700,0.754817
24,0.225907, 0.393038,0.278170, 0.346830,0.107949, 0.244472,0.066515, 0.150605,0.052289, 0.134224,0.538340
25,0.221614, 0.416038,0.159228, 0.304075,0.166788, 0.252304,0.064101, 0.221279,0.068420, 0.126152,0.639697
26,0.200280, 0.368626,0.263793, 0.351615,0.106778, 0.256639,0.097535, 0.191597,0.059324, 0.103813,0.544579
27,0.252727, 0.433661,0.191186, 0.326899,0.150627, 0.207909,0.097525, 0.101357,0.086101, 0.152008,0.443667
28,0.280648, 0.402698,0.175274, 0.309507,0.156576, 0.204133,0.110454, 0.180354,0.078288, 0.102067,0.397520
29,0.243135, 0.364559,0.182423, 0.303847,0.108935, 0.303760,0.105332, 0.178040,0.068284, 0.141686,0.583783
30,0.358019, 0.387583,0.144495, 0.305385,0.162993, 0.215424,0.075580, 0.189209,0.063070, 0.098243,0.391686
31,0.276498, 0.373118,0.257105, 0.295890,0.118856, 0.157642,0.118856, 0.157642,0.073887, 0.170507,0.309597
32,0.225808, 0.427672,0.123276, 0.338712,0.175399, 0.242484,0.079886, 0.160956,0.084349, 0.141459,0.622566
33,0.217804, 0.388566,0.178392, 0.303185,0.151592, 0.305614,0.110619, 0.165276,0.068974, 0.109980,0.545240
34,0.234481, 0.477125,0.058361, 0.423603,0.105901, 0.254248,0.056579, 0.177901,0.045486, 0.166315,0.998385
35,0.240756, 0.408516,0.156876, 0.324636,0.114665, 0.259709,0.033864, 0.230488,0.049777, 0.180711,0.808123
