ó^Ç¶ÇΩèdóvìx,0.270000,0.330000,0.200000,0.300000,0.130000,0.270000,0.100000,0.200000,0.070000,0.130000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
1,0.308376, 0.308376,0.275625, 0.275625,0.196847, 0.196847,0.135031, 0.135031,0.084122, 0.084122,0.000000
2,0.336314, 0.336314,0.220342, 0.220342,0.162231, 0.162231,0.151300, 0.151300,0.129813, 0.129813,0.000000
3,0.324849, 0.324849,0.227924, 0.227924,0.208685, 0.208685,0.139329, 0.139329,0.099213, 0.099213,0.000000
4,0.303598, 0.303598,0.261794, 0.261794,0.211618, 0.211618,0.120803, 0.120803,0.102187, 0.102187,0.000000
5,0.379247, 0.379247,0.192850, 0.192850,0.192850, 0.192850,0.145674, 0.145674,0.089378, 0.089378,0.000000
6,0.389177, 0.389177,0.230583, 0.230583,0.169054, 0.169054,0.121599, 0.121599,0.089587, 0.089587,0.000000
7,0.268316, 0.268316,0.268316, 0.268316,0.212878, 0.212878,0.144051, 0.144051,0.106439, 0.106439,0.000000
8,0.336449, 0.336449,0.255177, 0.255177,0.210955, 0.210955,0.108173, 0.108173,0.089246, 0.089246,0.000000
9,0.323620, 0.323620,0.275654, 0.275654,0.156988, 0.156988,0.146374, 0.146374,0.097364, 0.097364,0.000000
10,0.348901, 0.348901,0.252008, 0.252008,0.179741, 0.179741,0.139871, 0.139871,0.079479, 0.079479,0.000000
11,0.310176, 0.310176,0.244613, 0.244613,0.186134, 0.186134,0.178710, 0.178710,0.080368, 0.080368,0.000000
12,0.324502, 0.324502,0.247932, 0.247932,0.160411, 0.160411,0.168874, 0.168874,0.098282, 0.098282,0.000000
13,0.301571, 0.301571,0.301571, 0.301571,0.138953, 0.138953,0.138953, 0.138953,0.118953, 0.118953,0.000000
14,0.314525, 0.314525,0.215902, 0.215902,0.237159, 0.237159,0.139353, 0.139353,0.093062, 0.093062,0.000000
15,0.326074, 0.326074,0.238687, 0.238687,0.192214, 0.192214,0.166857, 0.166857,0.076168, 0.076168,0.000000
16,0.320836, 0.320836,0.255324, 0.255324,0.223633, 0.223633,0.092219, 0.092219,0.107989, 0.107989,0.000000
17,0.304812, 0.304812,0.272123, 0.272123,0.163504, 0.163504,0.168105, 0.168105,0.091456, 0.091456,0.000000
18,0.297466, 0.297466,0.272478, 0.272478,0.210482, 0.210482,0.136239, 0.136239,0.083334, 0.083334,0.000000
19,0.218751, 0.218751,0.315148, 0.315148,0.188092, 0.188092,0.153683, 0.153683,0.124326, 0.124326,0.000000
20,0.344896, 0.344896,0.211837, 0.211837,0.197324, 0.197324,0.148668, 0.148668,0.097275, 0.097275,0.000000
