ó^Ç¶ÇΩèdóvìx,0.270000,0.330000,0.200000,0.300000,0.130000,0.270000,0.100000,0.200000,0.070000,0.130000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
1,0.257117, 0.436180,0.179982, 0.330579,0.128558, 0.231405,0.068871, 0.173059,0.045914, 0.148337,0.639118
2,0.229574, 0.377158,0.125719, 0.268900,0.088004, 0.264011,0.076525, 0.229574,0.076525, 0.264011,0.807306
3,0.262643, 0.370790,0.137858, 0.298692,0.137858, 0.310180,0.074673, 0.190077,0.054308, 0.162923,0.665322
4,0.231536, 0.334440,0.194977, 0.292466,0.120801, 0.252584,0.084195, 0.210487,0.077179, 0.201335,0.582625
5,0.304184, 0.405579,0.152092, 0.263428,0.152092, 0.263428,0.105371, 0.167935,0.050697, 0.135193,0.471125
6,0.321941, 0.429255,0.165849, 0.276414,0.091217, 0.186580,0.091217, 0.212839,0.053657, 0.171031,0.552239
7,0.197669, 0.329448,0.197669, 0.329448,0.136847, 0.246325,0.065890, 0.197669,0.068424, 0.230613,0.667005
8,0.272772, 0.436435,0.150827, 0.301653,0.080127, 0.227456,0.045462, 0.199426,0.045462, 0.240380,0.810702
9,0.270089, 0.354492,0.221425, 0.306588,0.135045, 0.247582,0.090030, 0.165430,0.067522, 0.141797,0.431778
10,0.228568, 0.359178,0.181510, 0.311160,0.080147, 0.240442,0.080147, 0.240442,0.046401, 0.232005,0.766453
11,0.221643, 0.379960,0.141267, 0.293835,0.110822, 0.282534,0.126653, 0.253306,0.031663, 0.158316,0.735904
12,0.225968, 0.404232,0.133263, 0.280934,0.078746, 0.255926,0.075323, 0.244799,0.056492, 0.244316,0.860414
13,0.269058, 0.313901,0.269058, 0.313901,0.125561, 0.179372,0.125561, 0.179372,0.089686, 0.134529,0.242152
14,0.208505, 0.364884,0.114026, 0.243256,0.165856, 0.290249,0.104253, 0.285066,0.041464, 0.182442,0.731792
15,0.227435, 0.355367,0.139902, 0.284801,0.115571, 0.288929,0.077048, 0.231143,0.046634, 0.233170,0.786820
16,0.231744, 0.334742,0.190900, 0.301127,0.125821, 0.251641,0.063633, 0.206809,0.083880, 0.209701,0.608041
17,0.130529, 0.342640,0.130529, 0.369833,0.074371, 0.261059,0.071663, 0.261059,0.053747, 0.304569,1.078318
18,0.236634, 0.331287,0.182208, 0.298158,0.118831, 0.242944,0.091104, 0.257468,0.059158, 0.182208,0.624130
19,0.139252, 0.287614,0.218985, 0.350376,0.113142, 0.263998,0.075428, 0.226284,0.069626, 0.255295,0.767134
20,0.201985, 0.346261,0.136682, 0.286561,0.123665, 0.309161,0.082443, 0.239879,0.045561, 0.227803,0.819329
21,0.181599, 0.393464,0.181599, 0.322842,0.090799, 0.230946,0.060533, 0.205286,0.060533, 0.272398,0.849874
22,0.194441, 0.351075,0.194441, 0.349994,0.127946, 0.247638,0.064814, 0.228843,0.038888, 0.201920,0.758938
23,0.191700, 0.319501,0.117634, 0.287551,0.156846, 0.279779,0.078423, 0.215663,0.078423, 0.274480,0.753947
24,0.256266, 0.329485,0.247114, 0.329485,0.148268, 0.222402,0.076035, 0.164742,0.074134, 0.152070,0.396367
25,0.216752, 0.361254,0.136165, 0.281614,0.110634, 0.276585,0.068082, 0.221268,0.055317, 0.272330,0.826099
26,0.192051, 0.288077,0.222059, 0.370099,0.118432, 0.236863,0.074020, 0.222059,0.059216, 0.217125,0.668445
27,0.282464, 0.415850,0.148830, 0.264587,0.081650, 0.239079,0.054433, 0.217733,0.070616, 0.224757,0.724012
28,0.233833, 0.350750,0.146936, 0.293872,0.120814, 0.246460,0.080543, 0.244893,0.060407, 0.221492,0.714935
29,0.210922, 0.351536,0.171374, 0.285623,0.114249, 0.238433,0.105461, 0.266582,0.057125, 0.198694,0.681739
30,0.325900, 0.461692,0.162950, 0.264794,0.123617, 0.216330,0.054317, 0.168042,0.054317, 0.168042,0.557799
31,0.259740, 0.311688,0.259740, 0.324675,0.129870, 0.194805,0.129870, 0.194805,0.064935, 0.129870,0.311688
32,0.262147, 0.379662,0.131074, 0.289742,0.131074, 0.305839,0.083411, 0.194625,0.055607, 0.166821,0.673375
33,0.223464, 0.335196,0.188180, 0.313633,0.111732, 0.238361,0.094090, 0.260708,0.055866, 0.178771,0.653337
34,0.235798, 0.404226,0.160006, 0.320012,0.096004, 0.240009,0.080003, 0.218190,0.043638, 0.202113,0.769101
35,0.210445, 0.368279,0.173717, 0.312690,0.120091, 0.252246,0.080061, 0.240182,0.048458, 0.193831,0.734457
36,0.309009, 0.489264,0.115878, 0.238999,0.115878, 0.231757,0.077252, 0.196642,0.051502, 0.173818,0.660961
37,0.236634, 0.331287,0.182208, 0.298158,0.118831, 0.242944,0.091104, 0.257468,0.059158, 0.182208,0.624130
38,0.305556, 0.458333,0.152778, 0.305556,0.091667, 0.183333,0.076389, 0.183333,0.076389, 0.166667,0.594444
39,0.204850, 0.307275,0.181769, 0.311603,0.153638, 0.288071,0.108450, 0.230457,0.051213, 0.162675,0.600162
40,0.292159, 0.422008,0.171858, 0.257787,0.129848, 0.227234,0.060866, 0.152166,0.091300, 0.194773,0.507936
41,0.216790, 0.361317,0.146534, 0.293068,0.073267, 0.229358,0.108395, 0.293068,0.048845, 0.229358,0.812338
42,0.197566, 0.296349,0.154617, 0.231926,0.197566, 0.329277,0.065855, 0.197566,0.098783, 0.230494,0.571224
43,0.260622, 0.423510,0.150672, 0.276232,0.084753, 0.210941,0.084753, 0.226008,0.056502, 0.226008,0.725397
44,0.165899, 0.319947,0.207932, 0.381209,0.119787, 0.262391,0.079858, 0.239574,0.032799, 0.190604,0.787451
45,0.225564, 0.394737,0.173511, 0.277617,0.112782, 0.240602,0.112782, 0.225564,0.056391, 0.180451,0.637941
46,0.213161, 0.378953,0.115039, 0.306771,0.067106, 0.268425,0.067106, 0.290794,0.038346, 0.254297,0.998481
47,0.150925, 0.339580,0.139315, 0.383116,0.113193, 0.282983,0.062452, 0.278630,0.031226, 0.218580,1.005780
48,0.194641, 0.324401,0.194641, 0.364951,0.145980, 0.238877,0.064880, 0.202127,0.067376, 0.202127,0.664965
49,0.257780, 0.408152,0.200496, 0.342513,0.128890, 0.257780,0.064445, 0.156155,0.033416, 0.150372,0.629946
50,0.274271, 0.396168,0.161335, 0.250966,0.161335, 0.295782,0.080668, 0.182847,0.053778, 0.142849,0.537224
51,0.190183, 0.364518,0.190183, 0.364518,0.129369, 0.238835,0.063394, 0.213956,0.047546, 0.197498,0.758649
52,0.248241, 0.372362,0.235176, 0.313568,0.124121, 0.248241,0.076382, 0.152764,0.076382, 0.152764,0.479397
53,0.270437, 0.458240,0.142731, 0.309250,0.067609, 0.207189,0.080286, 0.202585,0.047577, 0.214096,0.782721
54,0.225351, 0.330092,0.138678, 0.277355,0.112675, 0.262909,0.112675, 0.262909,0.069339, 0.208016,0.682564
55,0.227689, 0.398456,0.173661, 0.289436,0.113845, 0.227689,0.056922, 0.227689,0.056922, 0.227689,0.741920
56,0.260870, 0.326087,0.260870, 0.326087,0.130435, 0.173913,0.130435, 0.195652,0.065217, 0.130435,0.304348
57,0.306728, 0.438183,0.177265, 0.259989,0.134477, 0.219092,0.092853, 0.185706,0.046427, 0.139280,0.484500
58,0.229929, 0.402884,0.134295, 0.281024,0.114964, 0.300405,0.076643, 0.229929,0.038321, 0.191607,0.811696
59,0.221300, 0.368834,0.179806, 0.299677,0.127862, 0.255725,0.073767, 0.221300,0.059935, 0.191793,0.674658
60,0.180150, 0.360300,0.180150, 0.320267,0.112594, 0.262719,0.090075, 0.233528,0.060050, 0.200167,0.753962
61,0.146594, 0.293188,0.219891, 0.439781,0.109945, 0.251304,0.073297, 0.229451,0.036648, 0.199901,0.827249
62,0.263875, 0.369425,0.239887, 0.323847,0.092356, 0.207802,0.092356, 0.184713,0.059972, 0.165768,0.503108
63,0.205270, 0.376328,0.175946, 0.351891,0.054739, 0.234594,0.102635, 0.226094,0.053549, 0.218954,0.815724
64,0.204284, 0.415863,0.262651, 0.415863,0.096766, 0.199580,0.043775, 0.145149,0.051071, 0.164998,0.682908
65,0.277548, 0.439450,0.148547, 0.272335,0.069387, 0.186433,0.079900, 0.206800,0.079900, 0.239700,0.689438
66,0.294261, 0.428016,0.159290, 0.273069,0.083438, 0.219024,0.073565, 0.219024,0.041719, 0.208594,0.695454
67,0.254390, 0.395718,0.133555, 0.271637,0.086164, 0.258493,0.057443, 0.218048,0.057443, 0.267109,0.822010
68,0.149130, 0.360398,0.189281, 0.336499,0.094640, 0.249631,0.063094, 0.223696,0.049710, 0.283921,0.908290
69,0.252049, 0.359403,0.206622, 0.319519,0.131106, 0.262212,0.068874, 0.211969,0.028005, 0.160241,0.626687
70,0.207363, 0.311044,0.207363, 0.311044,0.175808, 0.234410,0.103681, 0.207363,0.069121, 0.172802,0.473328
71,0.210445, 0.368279,0.173717, 0.312690,0.120091, 0.252246,0.080061, 0.240182,0.048458, 0.193831,0.734457
72,0.224784, 0.337176,0.119885, 0.239769,0.192672, 0.276657,0.112392, 0.256896,0.059942, 0.179827,0.580650
73,0.205394, 0.359440,0.146146, 0.292292,0.073073, 0.237487,0.118743, 0.296859,0.051349, 0.219219,0.810591
74,0.140351, 0.280702,0.202729, 0.337882,0.114035, 0.266082,0.114035, 0.266082,0.067576, 0.210526,0.722547
