ó^Ç¶ÇΩèdóvìx,0.160000,0.300000,0.140000,0.260000,0.130000,0.230000,0.110000,0.190000,0.100000,0.160000,0.090000,0.130000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.129656, 0.228609,0.192936, 0.259311,0.137248, 0.272733,0.116481, 0.209235,0.093035, 0.137248,0.103844, 0.119663,0.453598
2,0.137475, 0.187354,0.144072, 0.274950,0.118648, 0.173746,0.164562, 0.240622,0.151798, 0.168409,0.084129, 0.154235,0.398632
3,0.145405, 0.315305,0.193354, 0.247895,0.155108, 0.198043,0.123786, 0.193899,0.096823, 0.098266,0.086710, 0.145405,0.397626
4,0.154289, 0.274181,0.274181, 0.283477,0.115984, 0.163365,0.129980, 0.182502,0.087925, 0.129980,0.088152, 0.115984,0.298977
5,0.135054, 0.224720,0.138951, 0.281895,0.134580, 0.279093,0.105628, 0.151518,0.134117, 0.187823,0.087015, 0.139606,0.529309
6,0.155314, 0.295316,0.163601, 0.242782,0.151555, 0.166620,0.098439, 0.171948,0.112251, 0.179539,0.089770, 0.172866,0.458142
7,0.195974, 0.316036,0.160717, 0.200112,0.158018, 0.160896,0.158018, 0.160896,0.123680, 0.161866,0.079931, 0.123859,0.247326
8,0.172673, 0.266552,0.218944, 0.228009,0.141948, 0.219057,0.107497, 0.180943,0.088851, 0.152050,0.109472, 0.114004,0.321231
9,0.189870, 0.269794,0.134897, 0.283611,0.121056, 0.198466,0.115042, 0.209687,0.098056, 0.124333,0.104843, 0.150345,0.472471
10,0.143026, 0.347866,0.160876, 0.298673,0.121653, 0.212569,0.109960, 0.182611,0.106116, 0.134376,0.069307, 0.112968,0.578124
11,0.232496, 0.264413,0.215916, 0.256302,0.116248, 0.132207,0.132207, 0.224720,0.085106, 0.121188,0.101919, 0.117278,0.232217
12,0.169565, 0.264958,0.157411, 0.242926,0.118543, 0.247172,0.121463, 0.195403,0.123586, 0.196074,0.078320, 0.084580,0.462226
13,0.163639, 0.222283,0.172674, 0.228777,0.114260, 0.171941,0.218298, 0.229819,0.114479, 0.173394,0.074094, 0.116341,0.285111
14,0.136571, 0.222984,0.182118, 0.273142,0.163727, 0.191176,0.191176, 0.205481,0.092447, 0.163727,0.081864, 0.095588,0.304195
15,0.183483, 0.250261,0.166876, 0.241402,0.120701, 0.201962,0.170512, 0.185325,0.080995, 0.108716,0.108716, 0.181051,0.337434
16,0.185064, 0.264490,0.132245, 0.222451,0.185066, 0.264495,0.132248, 0.222449,0.097873, 0.097873,0.097873, 0.097873,0.339262
17,0.241666, 0.285035,0.176242, 0.270721,0.106700, 0.176242,0.121774, 0.194365,0.092964, 0.113512,0.097183, 0.123595,0.326942
18,0.171690, 0.375325,0.151540, 0.247920,0.116082, 0.201416,0.088426, 0.171690,0.100478, 0.116298,0.107136, 0.152000,0.529295
19,0.143727, 0.317784,0.126560, 0.299707,0.155593, 0.240114,0.116726, 0.133421,0.116726, 0.133421,0.099495, 0.116726,0.482347
20,0.175602, 0.224122,0.224122, 0.280497,0.122545, 0.199198,0.122545, 0.199198,0.098126, 0.127960,0.098126, 0.127960,0.317869
21,0.179273, 0.312468,0.156389, 0.201594,0.153228, 0.206193,0.124807, 0.198789,0.087713, 0.124807,0.098351, 0.156389,0.400480
22,0.212290, 0.241735,0.181653, 0.212290,0.114152, 0.213842,0.120867, 0.252819,0.106145, 0.120867,0.105680, 0.117658,0.318425
23,0.226383, 0.226383,0.112064, 0.265722,0.115985, 0.240352,0.132861, 0.229202,0.108680, 0.115985,0.113191, 0.113191,0.381672
24,0.160478, 0.268747,0.259815, 0.259860,0.093341, 0.193307,0.103354, 0.186682,0.117416, 0.161090,0.078465, 0.117446,0.374263
25,0.195012, 0.257837,0.210537, 0.236467,0.128919, 0.228738,0.115976, 0.205730,0.105269, 0.118234,0.092012, 0.105269,0.304550
26,0.183050, 0.224711,0.133713, 0.242726,0.166495, 0.194403,0.112356, 0.177768,0.121363, 0.209132,0.091358, 0.142927,0.383331
27,0.255416, 0.294027,0.136071, 0.229886,0.108605, 0.247042,0.127708, 0.147014,0.089560, 0.127708,0.082347, 0.154616,0.400585
28,0.182872, 0.261033,0.174775, 0.186420,0.133971, 0.191637,0.174775, 0.186420,0.084651, 0.133971,0.114700, 0.174775,0.268511
29,0.287300, 0.343388,0.133346, 0.179907,0.129384, 0.186642,0.093321, 0.156126,0.113594, 0.144496,0.089634, 0.142864,0.306844
30,0.161154, 0.343550,0.131771, 0.234980,0.141463, 0.178945,0.109140, 0.141463,0.117490, 0.173540,0.114517, 0.151988,0.448933
31,0.237554, 0.285443,0.112854, 0.261825,0.130913, 0.269373,0.113037, 0.165085,0.096277, 0.118777,0.082542, 0.126322,0.453648
32,0.176796, 0.313881,0.150343, 0.239927,0.165184, 0.186468,0.115554, 0.165184,0.079780, 0.118116,0.111970, 0.176796,0.400745
33,0.149574, 0.291858,0.131273, 0.233650,0.207430, 0.236922,0.118299, 0.133369,0.104282, 0.153565,0.097286, 0.142492,0.383713
34,0.181070, 0.249936,0.115848, 0.135204,0.211303, 0.231696,0.133132, 0.234822,0.109761, 0.181070,0.081951, 0.134208,0.333871
35,0.232362, 0.338349,0.162417, 0.232362,0.150049, 0.198225,0.100254, 0.163693,0.099113, 0.119783,0.098284, 0.105109,0.315044
36,0.199098, 0.203393,0.123065, 0.209180,0.167440, 0.246131,0.159402, 0.200496,0.095337, 0.168376,0.100248, 0.127833,0.310818
37,0.160340, 0.331148,0.216265, 0.221025,0.128021, 0.231827,0.097934, 0.160340,0.101674, 0.132781,0.106942, 0.111703,0.377647
38,0.137582, 0.292469,0.146235, 0.343629,0.148275, 0.164625,0.131533, 0.148275,0.131533, 0.148275,0.076034, 0.131533,0.457615
39,0.206537, 0.329287,0.148993, 0.206537,0.146348, 0.211611,0.105805, 0.177049,0.107363, 0.174324,0.078784, 0.107363,0.412339
40,0.153195, 0.266633,0.110973, 0.224069,0.131305, 0.248011,0.142750, 0.175980,0.112301, 0.142750,0.112035, 0.179998,0.474884
41,0.227085, 0.264306,0.132153, 0.186119,0.147996, 0.292591,0.126089, 0.156899,0.078450, 0.154379,0.097530, 0.136403,0.381394
42,0.170082, 0.273237,0.136618, 0.184300,0.174731, 0.181792,0.113891, 0.177816,0.136955, 0.231184,0.081359, 0.138036,0.372728
43,0.176017, 0.302934,0.163419, 0.315463,0.132644, 0.181206,0.104641, 0.176017,0.090603, 0.114142,0.079497, 0.163419,0.506360
44,0.175904, 0.179699,0.173005, 0.292979,0.145662, 0.219729,0.140833, 0.177139,0.109864, 0.183676,0.088570, 0.112941,0.332325
45,0.179100, 0.327514,0.122760, 0.244876,0.107852, 0.179100,0.110324, 0.182861,0.083701, 0.209063,0.103297, 0.149552,0.585931
46,0.208762, 0.314684,0.193609, 0.267446,0.147250, 0.195149,0.129388, 0.175536,0.081109, 0.123735,0.058309, 0.105023,0.363146
47,0.184096, 0.220007,0.206606, 0.248693,0.116392, 0.203445,0.110004, 0.188772,0.089619, 0.206606,0.101723, 0.124038,0.383122
48,0.156746, 0.286560,0.182630, 0.266929,0.129491, 0.156981,0.138233, 0.183101,0.129491, 0.156981,0.083367, 0.129491,0.360086
49,0.155499, 0.315225,0.159181, 0.201005,0.157612, 0.164740,0.080878, 0.159848,0.157612, 0.164740,0.124477, 0.159181,0.329479
50,0.162424, 0.200684,0.177629, 0.266950,0.162701, 0.202324,0.145702, 0.177629,0.095466, 0.162424,0.083366, 0.162701,0.345424
51,0.182208, 0.292225,0.139665, 0.311514,0.147067, 0.243802,0.113735, 0.196692,0.089262, 0.124730,0.062365, 0.096736,0.531398
52,0.185746, 0.318405,0.127085, 0.195096,0.103887, 0.231367,0.084541, 0.217536,0.111521, 0.136838,0.102229, 0.185746,0.569980
53,0.139460, 0.292897,0.140064, 0.256517,0.146448, 0.211800,0.152938, 0.160948,0.085506, 0.158771,0.101712, 0.152938,0.467742
54,0.181719, 0.298475,0.163801, 0.312797,0.117701, 0.163801,0.119133, 0.165684,0.076713, 0.182295,0.088899, 0.128982,0.504067
55,0.212108, 0.262229,0.216744, 0.252303,0.154391, 0.242257,0.082883, 0.154391,0.084101, 0.120846,0.105857, 0.111890,0.287832
56,0.165220, 0.242871,0.197842, 0.252282,0.157288, 0.197842,0.121435, 0.206418,0.094076, 0.166144,0.098230, 0.100352,0.331816
57,0.226053, 0.302783,0.168476, 0.257963,0.107032, 0.175409,0.151391, 0.198210,0.094606, 0.110346,0.085988, 0.121742,0.332907
58,0.141438, 0.269907,0.151190, 0.309014,0.134954, 0.151190,0.141479, 0.177464,0.095740, 0.141479,0.134954, 0.151190,0.400490
59,0.175596, 0.188735,0.166226, 0.251932,0.150385, 0.175596,0.150385, 0.175596,0.125966, 0.204286,0.084913, 0.150385,0.293060
60,0.234860, 0.322153,0.161077, 0.308247,0.118672, 0.157183,0.121916, 0.151919,0.073737, 0.132005,0.076247, 0.141984,0.426982
61,0.202101, 0.335345,0.091775, 0.162081,0.162470, 0.191936,0.154290, 0.202544,0.143153, 0.169786,0.084893, 0.099626,0.322636
62,0.207382, 0.297775,0.133222, 0.242622,0.118929, 0.166261,0.118062, 0.207382,0.138305, 0.140210,0.083130, 0.146720,0.401938
63,0.151687, 0.169855,0.165274, 0.306953,0.152358, 0.174469,0.129609, 0.153973,0.152358, 0.174469,0.085619, 0.183377,0.326193
64,0.186761, 0.258449,0.198607, 0.243675,0.106063, 0.264450,0.132225, 0.220970,0.080249, 0.099303,0.086150, 0.123099,0.419891
65,0.210557, 0.252254,0.153285, 0.272669,0.151965, 0.306569,0.106609, 0.106609,0.106609, 0.106609,0.072393, 0.153872,0.397164
66,0.136574, 0.272556,0.129386, 0.228133,0.186458, 0.273148,0.116241, 0.208803,0.103629, 0.119415,0.096269, 0.129386,0.462885
