ó^Ç¶ÇΩèdóvìx,0.160000,0.300000,0.140000,0.260000,0.130000,0.230000,0.110000,0.190000,0.100000,0.160000,0.090000,0.130000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.179132, 0.179132,0.226124, 0.226124,0.204990, 0.204990,0.162858, 0.162858,0.115142, 0.115142,0.111754, 0.111754,0.000000
2,0.162415, 0.162415,0.209511, 0.209511,0.146197, 0.146197,0.202592, 0.202592,0.160103, 0.160103,0.119182, 0.119182,0.000000
3,0.230355, 0.230355,0.220625, 0.220625,0.176575, 0.176575,0.158843, 0.158843,0.097544, 0.097544,0.116058, 0.116058,0.000000
4,0.214235, 0.214235,0.278829, 0.278829,0.139675, 0.139675,0.156241, 0.156241,0.108952, 0.108952,0.102068, 0.102068,0.000000
5,0.179887, 0.179887,0.210423, 0.210423,0.206836, 0.206836,0.128573, 0.128573,0.160970, 0.160970,0.113310, 0.113310,0.000000
6,0.225315, 0.225315,0.203192, 0.203192,0.159087, 0.159087,0.135193, 0.135193,0.145895, 0.145895,0.131318, 0.131318,0.000000
7,0.256005, 0.256005,0.180414, 0.180414,0.159457, 0.159457,0.159457, 0.159457,0.142773, 0.142773,0.101895, 0.101895,0.000000
8,0.219613, 0.219613,0.223476, 0.223476,0.180503, 0.180503,0.144220, 0.144220,0.120450, 0.120450,0.111738, 0.111738,0.000000
9,0.229832, 0.229832,0.209254, 0.209254,0.159761, 0.159761,0.162364, 0.162364,0.111194, 0.111194,0.127594, 0.127594,0.000000
10,0.245446, 0.245446,0.229775, 0.229775,0.167111, 0.167111,0.146285, 0.146285,0.120246, 0.120246,0.091137, 0.091137,0.000000
11,0.248455, 0.248455,0.236109, 0.236109,0.124227, 0.124227,0.178463, 0.178463,0.103147, 0.103147,0.109599, 0.109599,0.000000
12,0.217262, 0.217262,0.200168, 0.200168,0.182858, 0.182858,0.158433, 0.158433,0.159830, 0.159830,0.081450, 0.081450,0.000000
13,0.192961, 0.192961,0.200726, 0.200726,0.143100, 0.143100,0.224059, 0.224059,0.143937, 0.143937,0.095218, 0.095218,0.000000
14,0.179778, 0.179778,0.227630, 0.227630,0.177451, 0.177451,0.198328, 0.198328,0.128087, 0.128087,0.088726, 0.088726,0.000000
15,0.216872, 0.216872,0.204139, 0.204139,0.161331, 0.161331,0.177918, 0.177918,0.094856, 0.094856,0.144884, 0.144884,0.000000
16,0.224777, 0.224777,0.177348, 0.177348,0.224780, 0.224780,0.177348, 0.177348,0.097873, 0.097873,0.097873, 0.097873,0.000000
17,0.263350, 0.263350,0.223481, 0.223481,0.141471, 0.141471,0.158070, 0.158070,0.103238, 0.103238,0.110389, 0.110389,0.000000
18,0.273507, 0.273507,0.199730, 0.199730,0.158749, 0.158749,0.130058, 0.130058,0.108388, 0.108388,0.129568, 0.129568,0.000000
19,0.230755, 0.230755,0.213133, 0.213133,0.197854, 0.197854,0.125073, 0.125073,0.125073, 0.125073,0.108110, 0.108110,0.000000
20,0.199862, 0.199862,0.252310, 0.252310,0.160871, 0.160871,0.160871, 0.160871,0.113043, 0.113043,0.113043, 0.113043,0.000000
21,0.245870, 0.245870,0.178991, 0.178991,0.179711, 0.179711,0.161798, 0.161798,0.106260, 0.106260,0.127370, 0.127370,0.000000
22,0.227013, 0.227013,0.196972, 0.196972,0.163997, 0.163997,0.186843, 0.186843,0.113506, 0.113506,0.111669, 0.111669,0.000000
23,0.226383, 0.226383,0.188893, 0.188893,0.178169, 0.178169,0.181031, 0.181031,0.112332, 0.112332,0.113191, 0.113191,0.000000
24,0.214612, 0.214612,0.259837, 0.259837,0.143324, 0.143324,0.145018, 0.145018,0.139253, 0.139253,0.097956, 0.097956,0.000000
25,0.226425, 0.226425,0.223502, 0.223502,0.178828, 0.178828,0.160853, 0.160853,0.111751, 0.111751,0.098641, 0.098641,0.000000
26,0.203881, 0.203881,0.188219, 0.188219,0.180449, 0.180449,0.145062, 0.145062,0.165247, 0.165247,0.117142, 0.117142,0.000000
27,0.274722, 0.274722,0.182978, 0.182978,0.177823, 0.177823,0.137361, 0.137361,0.108634, 0.108634,0.118482, 0.118482,0.000000
28,0.221953, 0.221953,0.180597, 0.180597,0.162804, 0.162804,0.180597, 0.180597,0.109311, 0.109311,0.144737, 0.144737,0.000000
29,0.315344, 0.315344,0.156626, 0.156626,0.158013, 0.158013,0.124723, 0.124723,0.129045, 0.129045,0.116249, 0.116249,0.000000
30,0.252352, 0.252352,0.183376, 0.183376,0.160204, 0.160204,0.125301, 0.125301,0.145515, 0.145515,0.133252, 0.133252,0.000000
31,0.261498, 0.261498,0.187339, 0.187339,0.200143, 0.200143,0.139061, 0.139061,0.107527, 0.107527,0.104432, 0.104432,0.000000
32,0.245339, 0.245339,0.195135, 0.195135,0.175826, 0.175826,0.140369, 0.140369,0.098948, 0.098948,0.144383, 0.144383,0.000000
33,0.220716, 0.220716,0.182461, 0.182461,0.222176, 0.222176,0.125834, 0.125834,0.128923, 0.128923,0.119889, 0.119889,0.000000
34,0.215503, 0.215503,0.125526, 0.125526,0.221499, 0.221499,0.183977, 0.183977,0.145415, 0.145415,0.108079, 0.108079,0.000000
35,0.285356, 0.285356,0.197389, 0.197389,0.174137, 0.174137,0.131974, 0.131974,0.109448, 0.109448,0.101697, 0.101697,0.000000
36,0.201246, 0.201246,0.166123, 0.166123,0.206785, 0.206785,0.179949, 0.179949,0.131857, 0.131857,0.114041, 0.114041,0.000000
37,0.245744, 0.245744,0.218645, 0.218645,0.179924, 0.179924,0.129137, 0.129137,0.117228, 0.117228,0.109322, 0.109322,0.000000
38,0.215026, 0.215026,0.244932, 0.244932,0.156450, 0.156450,0.139904, 0.139904,0.139904, 0.139904,0.103784, 0.103784,0.000000
39,0.267912, 0.267912,0.177765, 0.177765,0.178980, 0.178980,0.141427, 0.141427,0.140843, 0.140843,0.093073, 0.093073,0.000000
40,0.209914, 0.209914,0.167521, 0.167521,0.189658, 0.189658,0.159365, 0.159365,0.127525, 0.127525,0.146016, 0.146016,0.000000
41,0.245695, 0.245695,0.159136, 0.159136,0.220294, 0.220294,0.141494, 0.141494,0.116414, 0.116414,0.116967, 0.116967,0.000000
42,0.221659, 0.221659,0.160459, 0.160459,0.178261, 0.178261,0.145853, 0.145853,0.184069, 0.184069,0.109698, 0.109698,0.000000
43,0.239476, 0.239476,0.239441, 0.239441,0.156925, 0.156925,0.140329, 0.140329,0.102372, 0.102372,0.121458, 0.121458,0.000000
44,0.177801, 0.177801,0.232992, 0.232992,0.182695, 0.182695,0.158986, 0.158986,0.146770, 0.146770,0.100755, 0.100755,0.000000
45,0.253307, 0.253307,0.183818, 0.183818,0.143476, 0.143476,0.146593, 0.146593,0.146382, 0.146382,0.126424, 0.126424,0.000000
46,0.261723, 0.261723,0.230527, 0.230527,0.171199, 0.171199,0.152462, 0.152462,0.102422, 0.102422,0.081666, 0.081666,0.000000
47,0.202052, 0.202052,0.227650, 0.227650,0.159918, 0.159918,0.149388, 0.149388,0.148112, 0.148112,0.112880, 0.112880,0.000000
48,0.221653, 0.221653,0.224780, 0.224780,0.143236, 0.143236,0.160667, 0.160667,0.143236, 0.143236,0.106429, 0.106429,0.000000
49,0.235362, 0.235362,0.180093, 0.180093,0.161176, 0.161176,0.120363, 0.120363,0.161176, 0.161176,0.141829, 0.141829,0.000000
50,0.181554, 0.181554,0.222289, 0.222289,0.182513, 0.182513,0.161666, 0.161666,0.128945, 0.128945,0.123034, 0.123034,0.000000
51,0.237216, 0.237216,0.225589, 0.225589,0.195435, 0.195435,0.155213, 0.155213,0.106996, 0.106996,0.079551, 0.079551,0.000000
52,0.252076, 0.252076,0.161091, 0.161091,0.167627, 0.167627,0.151039, 0.151039,0.124180, 0.124180,0.143988, 0.143988,0.000000
53,0.216178, 0.216178,0.198290, 0.198290,0.179124, 0.179124,0.156943, 0.156943,0.122138, 0.122138,0.127325, 0.127325,0.000000
54,0.240097, 0.240097,0.238299, 0.238299,0.140751, 0.140751,0.142408, 0.142408,0.129504, 0.129504,0.108940, 0.108940,0.000000
55,0.237168, 0.237168,0.234524, 0.234524,0.198324, 0.198324,0.118637, 0.118637,0.102474, 0.102474,0.108873, 0.108873,0.000000
56,0.204045, 0.204045,0.225062, 0.225062,0.177565, 0.177565,0.163927, 0.163927,0.130110, 0.130110,0.099291, 0.099291,0.000000
57,0.264418, 0.264418,0.213219, 0.213219,0.141221, 0.141221,0.174801, 0.174801,0.102476, 0.102476,0.103865, 0.103865,0.000000
58,0.205673, 0.205673,0.230102, 0.230102,0.143072, 0.143072,0.159472, 0.159472,0.118610, 0.118610,0.143072, 0.143072,0.000000
59,0.182165, 0.182165,0.209079, 0.209079,0.162990, 0.162990,0.162990, 0.162990,0.165126, 0.165126,0.117649, 0.117649,0.000000
60,0.278507, 0.278507,0.234662, 0.234662,0.137927, 0.137927,0.136918, 0.136918,0.102871, 0.102871,0.109115, 0.109115,0.000000
61,0.268723, 0.268723,0.126928, 0.126928,0.177203, 0.177203,0.178417, 0.178417,0.156469, 0.156469,0.092259, 0.092259,0.000000
62,0.252579, 0.252579,0.187922, 0.187922,0.142595, 0.142595,0.162722, 0.162722,0.139257, 0.139257,0.114925, 0.114925,0.000000
63,0.160771, 0.160771,0.236113, 0.236113,0.163413, 0.163413,0.141791, 0.141791,0.163413, 0.163413,0.134498, 0.134498,0.000000
64,0.222605, 0.222605,0.221141, 0.221141,0.185257, 0.185257,0.176597, 0.176597,0.089776, 0.089776,0.104624, 0.104624,0.000000
65,0.231406, 0.231406,0.212977, 0.212977,0.229267, 0.229267,0.106609, 0.106609,0.106609, 0.106609,0.113132, 0.113132,0.000000
66,0.204565, 0.204565,0.178760, 0.178760,0.229803, 0.229803,0.162522, 0.162522,0.111522, 0.111522,0.112828, 0.112828,0.000000
67,0.184919, 0.184919,0.201176, 0.201176,0.180253, 0.180253,0.165584, 0.165584,0.136180, 0.136180,0.131888, 0.131888,0.000000
68,0.201727, 0.201727,0.251513, 0.251513,0.142157, 0.142157,0.142157, 0.142157,0.142157, 0.142157,0.120290, 0.120290,0.000000
69,0.293452, 0.293452,0.244868, 0.244868,0.148970, 0.148970,0.105590, 0.105590,0.117551, 0.117551,0.089569, 0.089569,0.000000
70,0.262906, 0.262906,0.201476, 0.201476,0.155506, 0.155506,0.161738, 0.161738,0.126441, 0.126441,0.091932, 0.091932,0.000000
71,0.181471, 0.181471,0.206754, 0.206754,0.194146, 0.194146,0.161710, 0.161710,0.129723, 0.129723,0.126196, 0.126196,0.000000
72,0.274291, 0.274291,0.201710, 0.201710,0.123226, 0.123226,0.145403, 0.145403,0.139536, 0.139536,0.115833, 0.115833,0.000000
73,0.219857, 0.219857,0.222136, 0.222136,0.161678, 0.161678,0.138636, 0.138636,0.124013, 0.124013,0.133679, 0.133679,0.000000
74,0.201656, 0.201656,0.252033, 0.252033,0.181393, 0.181393,0.127668, 0.127668,0.111234, 0.111234,0.126017, 0.126017,0.000000
75,0.260573, 0.260573,0.158038, 0.158038,0.222749, 0.222749,0.125007, 0.125007,0.140804, 0.140804,0.092829, 0.092829,0.000000
76,0.241801, 0.241801,0.200679, 0.200679,0.162196, 0.162196,0.158071, 0.158071,0.141796, 0.141796,0.095458, 0.095458,0.000000
77,0.206537, 0.206537,0.228762, 0.228762,0.165807, 0.165807,0.141185, 0.141185,0.129741, 0.129741,0.127968, 0.127968,0.000000
78,0.276182, 0.276182,0.177527, 0.177527,0.155011, 0.155011,0.155011, 0.155011,0.147506, 0.147506,0.088763, 0.088763,0.000000
79,0.211701, 0.211701,0.211701, 0.211701,0.178740, 0.178740,0.197383, 0.197383,0.113386, 0.113386,0.087089, 0.087089,0.000000
80,0.226984, 0.226984,0.184833, 0.184833,0.186228, 0.186228,0.139337, 0.139337,0.142649, 0.142649,0.119969, 0.119969,0.000000
81,0.225429, 0.225429,0.229215, 0.229215,0.196783, 0.196783,0.128002, 0.128002,0.129606, 0.129606,0.090964, 0.090964,0.000000
82,0.243679, 0.243679,0.159125, 0.159125,0.169087, 0.169087,0.125064, 0.125064,0.184444, 0.184444,0.118602, 0.118602,0.000000
83,0.269052, 0.269052,0.198849, 0.198849,0.110498, 0.110498,0.157537, 0.157537,0.160774, 0.160774,0.103289, 0.103289,0.000000
84,0.183217, 0.183217,0.164118, 0.164118,0.209377, 0.209377,0.159384, 0.159384,0.149518, 0.149518,0.134387, 0.134387,0.000000
85,0.194303, 0.194303,0.244930, 0.244930,0.174953, 0.174953,0.155969, 0.155969,0.109685, 0.109685,0.120159, 0.120159,0.000000
86,0.254084, 0.254084,0.217560, 0.217560,0.160235, 0.160235,0.140271, 0.140271,0.116640, 0.116640,0.111211, 0.111211,0.000000
87,0.238865, 0.238865,0.201042, 0.201042,0.201042, 0.201042,0.127319, 0.127319,0.127319, 0.127319,0.104414, 0.104414,0.000000
88,0.177449, 0.177449,0.255426, 0.255426,0.179780, 0.179780,0.141985, 0.141985,0.156636, 0.156636,0.088725, 0.088725,0.000000
89,0.217215, 0.217215,0.195169, 0.195169,0.221002, 0.221002,0.159737, 0.159737,0.115147, 0.115147,0.091730, 0.091730,0.000000
90,0.215083, 0.215083,0.159385, 0.159385,0.186245, 0.186245,0.144542, 0.144542,0.163208, 0.163208,0.131536, 0.131536,0.000000
91,0.187006, 0.187006,0.174730, 0.174730,0.191120, 0.191120,0.159190, 0.159190,0.143977, 0.143977,0.143977, 0.143977,0.000000
92,0.181717, 0.181717,0.187655, 0.187655,0.202801, 0.202801,0.166820, 0.166820,0.129905, 0.129905,0.131103, 0.131103,0.000000
93,0.277977, 0.277977,0.177691, 0.177691,0.138989, 0.138989,0.159348, 0.159348,0.119868, 0.119868,0.126127, 0.126127,0.000000
94,0.209516, 0.209516,0.162414, 0.162414,0.202593, 0.202593,0.146196, 0.146196,0.160103, 0.160103,0.119178, 0.119178,0.000000
95,0.203591, 0.203591,0.179664, 0.179664,0.224812, 0.224812,0.131391, 0.131391,0.148136, 0.148136,0.112406, 0.112406,0.000000
96,0.266660, 0.266660,0.222926, 0.222926,0.175854, 0.175854,0.108021, 0.108021,0.136784, 0.136784,0.089755, 0.089755,0.000000
97,0.181146, 0.181146,0.219388, 0.219388,0.200886, 0.200886,0.159242, 0.159242,0.145834, 0.145834,0.093504, 0.093504,0.000000
98,0.267728, 0.267728,0.201724, 0.201724,0.161477, 0.161477,0.127620, 0.127620,0.117100, 0.117100,0.124350, 0.124350,0.000000
99,0.224768, 0.224768,0.209156, 0.209156,0.142111, 0.142111,0.144193, 0.144193,0.162186, 0.162186,0.117585, 0.117585,0.000000
100,0.243207, 0.243207,0.179284, 0.179284,0.182396, 0.182396,0.159610, 0.159610,0.127359, 0.127359,0.108144, 0.108144,0.000000
101,0.232331, 0.232331,0.184945, 0.184945,0.144711, 0.144711,0.144711, 0.144711,0.163731, 0.163731,0.129570, 0.129570,0.000000
102,0.224619, 0.224619,0.157388, 0.157388,0.213902, 0.213902,0.134655, 0.134655,0.157439, 0.157439,0.111998, 0.111998,0.000000
103,0.196022, 0.196022,0.225870, 0.225870,0.187277, 0.187277,0.127208, 0.127208,0.160825, 0.160825,0.102798, 0.102798,0.000000
104,0.210524, 0.210524,0.187075, 0.187075,0.162990, 0.162990,0.145833, 0.145833,0.147744, 0.147744,0.145833, 0.145833,0.000000
105,0.216329, 0.216329,0.206917, 0.206917,0.161684, 0.161684,0.178302, 0.178302,0.126622, 0.126622,0.110146, 0.110146,0.000000
106,0.264258, 0.264258,0.171599, 0.171599,0.202131, 0.202131,0.136605, 0.136605,0.138945, 0.138945,0.086462, 0.086462,0.000000
107,0.187644, 0.187644,0.185168, 0.185168,0.167513, 0.167513,0.168241, 0.168241,0.162845, 0.162845,0.128589, 0.128589,0.000000
108,0.200162, 0.200162,0.228657, 0.228657,0.195783, 0.195783,0.126231, 0.126231,0.144201, 0.144201,0.104966, 0.104966,0.000000
109,0.194047, 0.194047,0.200721, 0.200721,0.221649, 0.221649,0.147295, 0.147295,0.130644, 0.130644,0.105644, 0.105644,0.000000
110,0.221692, 0.221692,0.232906, 0.232906,0.160166, 0.160166,0.143782, 0.143782,0.133198, 0.133198,0.108255, 0.108255,0.000000
111,0.249488, 0.249488,0.205946, 0.205946,0.163466, 0.163466,0.141379, 0.141379,0.128178, 0.128178,0.111544, 0.111544,0.000000
112,0.201768, 0.201768,0.227911, 0.227911,0.178329, 0.178329,0.143154, 0.143154,0.159672, 0.159672,0.089165, 0.089165,0.000000
113,0.243549, 0.243549,0.206402, 0.206402,0.164116, 0.164116,0.134203, 0.134203,0.124170, 0.124170,0.127559, 0.127559,0.000000
114,0.159918, 0.159918,0.227648, 0.227648,0.202049, 0.202049,0.149390, 0.149390,0.112880, 0.112880,0.148116, 0.148116,0.000000
115,0.219292, 0.219292,0.182778, 0.182778,0.228083, 0.228083,0.127903, 0.127903,0.127903, 0.127903,0.114042, 0.114042,0.000000
116,0.205013, 0.205013,0.180833, 0.180833,0.204602, 0.204602,0.148448, 0.148448,0.131833, 0.131833,0.129271, 0.129271,0.000000
117,0.210524, 0.210524,0.187075, 0.187075,0.162990, 0.162990,0.147744, 0.147744,0.145833, 0.145833,0.145833, 0.145833,0.000000
118,0.257159, 0.257159,0.179427, 0.179427,0.195088, 0.195088,0.124708, 0.124708,0.132183, 0.132183,0.111435, 0.111435,0.000000
119,0.209065, 0.209065,0.203534, 0.203534,0.165935, 0.165935,0.128219, 0.128219,0.131701, 0.131701,0.161545, 0.161545,0.000000
120,0.204023, 0.204023,0.204023, 0.204023,0.166040, 0.166040,0.180441, 0.180441,0.131806, 0.131806,0.113667, 0.113667,0.000000
121,0.178839, 0.178839,0.226299, 0.226299,0.163302, 0.163302,0.181418, 0.181418,0.133127, 0.133127,0.117016, 0.117016,0.000000
122,0.223169, 0.223169,0.202874, 0.202874,0.167470, 0.167470,0.167225, 0.167225,0.111585, 0.111585,0.127677, 0.127677,0.000000
123,0.203432, 0.203432,0.184404, 0.184404,0.182018, 0.182018,0.182018, 0.182018,0.131384, 0.131384,0.116744, 0.116744,0.000000
124,0.225867, 0.225867,0.220437, 0.220437,0.170943, 0.170943,0.167097, 0.167097,0.126059, 0.126059,0.089597, 0.089597,0.000000
125,0.246149, 0.246149,0.179019, 0.179019,0.198836, 0.198836,0.141211, 0.141211,0.130604, 0.130604,0.104182, 0.104182,0.000000
126,0.201656, 0.201656,0.181393, 0.181393,0.252033, 0.252033,0.126017, 0.126017,0.111234, 0.111234,0.127668, 0.127668,0.000000
127,0.177187, 0.177187,0.264075, 0.264075,0.200880, 0.200880,0.123358, 0.123358,0.126477, 0.126477,0.108024, 0.108024,0.000000
128,0.227287, 0.227287,0.199115, 0.199115,0.196942, 0.196942,0.143014, 0.143014,0.135170, 0.135170,0.098471, 0.098471,0.000000
129,0.242698, 0.242698,0.161718, 0.161718,0.221019, 0.221019,0.145813, 0.145813,0.124833, 0.124833,0.103918, 0.103918,0.000000
130,0.276970, 0.276970,0.185111, 0.185111,0.180983, 0.180983,0.123938, 0.123938,0.123938, 0.123938,0.109060, 0.109060,0.000000
131,0.230024, 0.230024,0.182573, 0.182573,0.182573, 0.182573,0.144909, 0.144909,0.115012, 0.115012,0.144909, 0.144909,0.000000
132,0.200720, 0.200720,0.221650, 0.221650,0.194045, 0.194045,0.147297, 0.147297,0.130645, 0.130645,0.105644, 0.105644,0.000000
133,0.250216, 0.250216,0.178626, 0.178626,0.167243, 0.167243,0.198654, 0.198654,0.109289, 0.109289,0.095972, 0.095972,0.000000
134,0.198520, 0.198520,0.176827, 0.176827,0.211514, 0.211514,0.159200, 0.159200,0.142602, 0.142602,0.111337, 0.111337,0.000000
135,0.253027, 0.253027,0.215833, 0.215833,0.175871, 0.175871,0.155304, 0.155304,0.109132, 0.109132,0.090833, 0.090833,0.000000
136,0.232210, 0.232210,0.235592, 0.235592,0.178520, 0.178520,0.157203, 0.157203,0.110340, 0.110340,0.086136, 0.086136,0.000000
137,0.192527, 0.192527,0.217845, 0.217845,0.158669, 0.158669,0.182709, 0.182709,0.144993, 0.144993,0.103258, 0.103258,0.000000
138,0.280697, 0.280697,0.215431, 0.215431,0.155337, 0.155337,0.131384, 0.131384,0.115731, 0.115731,0.101420, 0.101420,0.000000
139,0.184107, 0.184107,0.204689, 0.204689,0.225807, 0.225807,0.127907, 0.127907,0.127907, 0.127907,0.129583, 0.129583,0.000000
140,0.250631, 0.250631,0.182551, 0.182551,0.144894, 0.144894,0.197739, 0.197739,0.110572, 0.110572,0.113613, 0.113613,0.000000
141,0.213627, 0.213627,0.287943, 0.287943,0.151170, 0.151170,0.133738, 0.133738,0.123419, 0.123419,0.090103, 0.090103,0.000000
142,0.241415, 0.241415,0.158729, 0.158729,0.180673, 0.180673,0.158729, 0.158729,0.138243, 0.138243,0.122210, 0.122210,0.000000
143,0.236266, 0.236266,0.221078, 0.221078,0.197740, 0.197740,0.141980, 0.141980,0.092397, 0.092397,0.110539, 0.110539,0.000000
144,0.253239, 0.253239,0.199804, 0.199804,0.199804, 0.199804,0.126621, 0.126621,0.110266, 0.110266,0.110266, 0.110266,0.000000
145,0.256168, 0.256168,0.205291, 0.205291,0.143654, 0.143654,0.143653, 0.143653,0.123150, 0.123150,0.128084, 0.128084,0.000000
146,0.253090, 0.253090,0.200889, 0.200889,0.143930, 0.143930,0.159428, 0.159428,0.129767, 0.129767,0.112896, 0.112896,0.000000
147,0.250028, 0.250028,0.142069, 0.142069,0.183022, 0.183022,0.162367, 0.162367,0.127211, 0.127211,0.135303, 0.135303,0.000000
148,0.225434, 0.225434,0.248700, 0.248700,0.142722, 0.142722,0.160619, 0.160619,0.111262, 0.111262,0.111262, 0.111262,0.000000
149,0.199167, 0.199167,0.199167, 0.199167,0.225346, 0.225346,0.159882, 0.159882,0.127272, 0.127272,0.089165, 0.089165,0.000000
150,0.197582, 0.197582,0.249902, 0.249902,0.176680, 0.176680,0.157904, 0.157904,0.112411, 0.112411,0.105521, 0.105521,0.000000
151,0.260750, 0.260750,0.158526, 0.158526,0.220118, 0.220118,0.148289, 0.148289,0.114987, 0.114987,0.097331, 0.097331,0.000000
152,0.203511, 0.203511,0.181840, 0.181840,0.201012, 0.201012,0.166088, 0.166088,0.147043, 0.147043,0.100506, 0.100506,0.000000
153,0.196579, 0.196579,0.235050, 0.235050,0.203479, 0.203479,0.141208, 0.141208,0.125418, 0.125418,0.098265, 0.098265,0.000000
154,0.237317, 0.237317,0.202714, 0.202714,0.157886, 0.157886,0.141876, 0.141876,0.141940, 0.141940,0.118266, 0.118266,0.000000
155,0.226684, 0.226684,0.144533, 0.144533,0.203124, 0.203124,0.179564, 0.179564,0.144533, 0.144533,0.101562, 0.101562,0.000000
156,0.250641, 0.250641,0.197755, 0.197755,0.218270, 0.218270,0.125322, 0.125322,0.098877, 0.098877,0.109135, 0.109135,0.000000
157,0.251245, 0.251245,0.213524, 0.213524,0.156643, 0.156643,0.156643, 0.156643,0.139170, 0.139170,0.082776, 0.082776,0.000000
158,0.218691, 0.218691,0.194735, 0.194735,0.208652, 0.208652,0.177005, 0.177005,0.115098, 0.115098,0.085819, 0.085819,0.000000
159,0.243984, 0.243984,0.198524, 0.198524,0.178964, 0.178964,0.159104, 0.159104,0.120162, 0.120162,0.099262, 0.099262,0.000000
160,0.185306, 0.185306,0.227294, 0.227294,0.180403, 0.180403,0.143186, 0.143186,0.147077, 0.147077,0.116734, 0.116734,0.000000
161,0.223223, 0.223223,0.202035, 0.202035,0.223223, 0.223223,0.128295, 0.128295,0.111612, 0.111612,0.111612, 0.111612,0.000000
162,0.213335, 0.213335,0.172704, 0.172704,0.226946, 0.226946,0.138923, 0.138923,0.138462, 0.138462,0.109630, 0.109630,0.000000
163,0.239468, 0.239468,0.184781, 0.184781,0.154648, 0.154648,0.160515, 0.160515,0.165451, 0.165451,0.095135, 0.095135,0.000000
164,0.252585, 0.252585,0.144891, 0.144891,0.182136, 0.182136,0.137906, 0.137906,0.135322, 0.135322,0.147160, 0.147160,0.000000
165,0.291871, 0.291871,0.186586, 0.186586,0.192209, 0.192209,0.137544, 0.137544,0.102905, 0.102905,0.088885, 0.088885,0.000000
166,0.185250, 0.185250,0.209253, 0.209253,0.163730, 0.163730,0.163730, 0.163730,0.146601, 0.146601,0.131435, 0.131435,0.000000
167,0.266845, 0.266845,0.187521, 0.187521,0.215352, 0.215352,0.130558, 0.130558,0.107676, 0.107676,0.092049, 0.092049,0.000000
168,0.251742, 0.251742,0.235939, 0.235939,0.137518, 0.137518,0.112860, 0.112860,0.157435, 0.157435,0.104506, 0.104506,0.000000
169,0.241358, 0.241358,0.203514, 0.203514,0.142632, 0.142632,0.160907, 0.160907,0.157839, 0.157839,0.093750, 0.093750,0.000000
170,0.253456, 0.253456,0.125367, 0.125367,0.195606, 0.195606,0.178745, 0.178745,0.141177, 0.141177,0.105648, 0.105648,0.000000
171,0.163174, 0.163174,0.187841, 0.187841,0.204476, 0.204476,0.178341, 0.178341,0.161831, 0.161831,0.104338, 0.104338,0.000000
172,0.222842, 0.222842,0.156234, 0.156234,0.220123, 0.220123,0.171954, 0.171954,0.108628, 0.108628,0.120218, 0.120218,0.000000
173,0.265018, 0.265018,0.179839, 0.179839,0.196209, 0.196209,0.143733, 0.143733,0.112623, 0.112623,0.102577, 0.102577,0.000000
174,0.203205, 0.203205,0.203113, 0.203113,0.182170, 0.182170,0.149513, 0.149513,0.147046, 0.147046,0.114953, 0.114953,0.000000
175,0.183511, 0.183511,0.206826, 0.206826,0.145505, 0.145505,0.204435, 0.204435,0.130807, 0.130807,0.128916, 0.128916,0.000000
176,0.202964, 0.202964,0.167299, 0.167299,0.207666, 0.207666,0.158015, 0.158015,0.146902, 0.146902,0.117154, 0.117154,0.000000
177,0.203962, 0.203962,0.203962, 0.203962,0.163731, 0.163731,0.182623, 0.182623,0.115386, 0.115386,0.130336, 0.130336,0.000000
178,0.262815, 0.262815,0.200736, 0.200736,0.161705, 0.161705,0.124226, 0.124226,0.133373, 0.133373,0.117144, 0.117144,0.000000
179,0.211230, 0.211230,0.249655, 0.249655,0.178109, 0.178109,0.140821, 0.140821,0.138136, 0.138136,0.082047, 0.082047,0.000000
180,0.250724, 0.250724,0.161505, 0.161505,0.162066, 0.162066,0.162066, 0.162066,0.141750, 0.141750,0.121891, 0.121891,0.000000
181,0.273133, 0.273133,0.199564, 0.199564,0.162474, 0.162474,0.124075, 0.124075,0.116679, 0.116679,0.124075, 0.124075,0.000000
182,0.203439, 0.203439,0.207613, 0.207613,0.146779, 0.146779,0.179834, 0.179834,0.144131, 0.144131,0.118204, 0.118204,0.000000
183,0.210264, 0.210264,0.128523, 0.128523,0.184543, 0.184543,0.203823, 0.203823,0.143811, 0.143811,0.129036, 0.129036,0.000000
184,0.203702, 0.203702,0.179809, 0.179809,0.203702, 0.203702,0.162991, 0.162991,0.146607, 0.146607,0.103189, 0.103189,0.000000
185,0.221657, 0.221657,0.183487, 0.183487,0.165199, 0.165199,0.130449, 0.130449,0.178014, 0.178014,0.121195, 0.121195,0.000000
186,0.272135, 0.272135,0.194848, 0.194848,0.172435, 0.172435,0.140855, 0.140855,0.101033, 0.101033,0.118695, 0.118695,0.000000
187,0.226401, 0.226401,0.219483, 0.219483,0.159579, 0.159579,0.128902, 0.128902,0.143260, 0.143260,0.122374, 0.122374,0.000000
