ó^Ç¶ÇΩèdóvìx,0.160000,0.300000,0.140000,0.260000,0.130000,0.230000,0.110000,0.190000,0.100000,0.160000,0.090000,0.130000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.070098, 0.231323,0.140196, 0.280391,0.081166, 0.243498,0.070098, 0.231323,0.070098, 0.231323,0.070098, 0.280391,0.996495
2,0.065936, 0.215790,0.113033, 0.263744,0.065936, 0.215790,0.113033, 0.282583,0.079123, 0.329680,0.039562, 0.215790,1.046755
3,0.122920, 0.290537,0.122920, 0.307299,0.079898, 0.239693,0.072634, 0.239693,0.042051, 0.252309,0.042051, 0.187995,1.035052
4,0.113655, 0.242043,0.145226, 0.314656,0.075770, 0.227310,0.079214, 0.237642,0.048409, 0.246252,0.056827, 0.212998,0.961799
5,0.102405, 0.307215,0.097750, 0.260667,0.051202, 0.217223,0.065167, 0.260667,0.065167, 0.260667,0.051202, 0.260667,1.134213
6,0.105075, 0.275821,0.105075, 0.297711,0.105075, 0.326899,0.040862, 0.183881,0.061294, 0.222886,0.052537, 0.222886,1.060166
7,0.141093, 0.282187,0.105820, 0.225750,0.105820, 0.264550,0.105820, 0.264550,0.070547, 0.211640,0.052910, 0.169312,0.835979
8,0.110105, 0.247736,0.146807, 0.318081,0.097871, 0.228366,0.080076, 0.205529,0.048936, 0.176168,0.073403, 0.266921,0.885604
9,0.112641, 0.300375,0.071339, 0.214018,0.071339, 0.237797,0.071339, 0.237797,0.056320, 0.285357,0.056320, 0.285357,1.121402
10,0.060626, 0.245652,0.099206, 0.277146,0.080834, 0.269447,0.053889, 0.251830,0.060626, 0.303128,0.033069, 0.264548,1.223502
11,0.170952, 0.284920,0.170952, 0.275423,0.085476, 0.214218,0.091808, 0.190677,0.056984, 0.158898,0.085476, 0.214218,0.676705
12,0.123573, 0.269614,0.123573, 0.278039,0.069510, 0.236400,0.064473, 0.235912,0.061786, 0.235912,0.046340, 0.254869,1.021491
13,0.094665, 0.236663,0.126220, 0.283996,0.070999, 0.198797,0.141998, 0.307662,0.079874, 0.198797,0.047333, 0.212997,0.877823
