ó^Ç¶ÇΩèdóvìx,0.160000,0.300000,0.150000,0.250000,0.150000,0.210000,0.120000,0.180000,0.080000,0.180000,0.040000,0.180000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.160156, 0.223952,0.187144, 0.320313,0.132464, 0.304850,0.138870, 0.197601,0.064302, 0.132464,0.065689, 0.072194,0.502748
2,0.118506, 0.170391,0.148989, 0.273561,0.136780, 0.190590,0.170391, 0.191101,0.170391, 0.191101,0.086121, 0.152077,0.337641
3,0.131655, 0.323633,0.189423, 0.237497,0.157352, 0.206687,0.118748, 0.240265,0.101174, 0.112527,0.046359, 0.134681,0.510577
4,0.164824, 0.198286,0.178570, 0.407019,0.126256, 0.178570,0.134941, 0.194186,0.056256, 0.134941,0.060205, 0.165946,0.557896
5,0.129428, 0.227705,0.165577, 0.268012,0.121298, 0.270560,0.107277, 0.177439,0.134763, 0.206944,0.061092, 0.129905,0.561130
6,0.136942, 0.313348,0.157077, 0.265127,0.150119, 0.160223,0.151232, 0.157077,0.104449, 0.192361,0.061925, 0.150119,0.476511
7,0.120308, 0.343709,0.166823, 0.190864,0.164279, 0.207677,0.165970, 0.181001,0.123206, 0.173796,0.036013, 0.126353,0.446800
8,0.190716, 0.300273,0.234943, 0.240957,0.144436, 0.238183,0.082623, 0.194701,0.074571, 0.154933,0.053574, 0.090090,0.438273
9,0.197671, 0.318693,0.141651, 0.219343,0.140958, 0.209680,0.109672, 0.214065,0.104840, 0.114170,0.079673, 0.149585,0.451072
10,0.183532, 0.305360,0.158900, 0.261123,0.141735, 0.226713,0.149294, 0.173761,0.087041, 0.169030,0.045343, 0.098169,0.468311
11,0.240501, 0.272084,0.212444, 0.278063,0.107953, 0.167978,0.130826, 0.212444,0.072989, 0.133808,0.062956, 0.107953,0.344662
12,0.170814, 0.268058,0.141991, 0.250629,0.134029, 0.255638,0.120611, 0.232282,0.115727, 0.182489,0.056736, 0.070996,0.520182
13,0.168286, 0.241294,0.180618, 0.237286,0.118308, 0.193782,0.180618, 0.237286,0.118308, 0.193782,0.048259, 0.082173,0.371204
