ó^Ç¶ÇΩèdóvìx,0.160000,0.300000,0.150000,0.250000,0.150000,0.210000,0.120000,0.180000,0.080000,0.180000,0.040000,0.180000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.077425, 0.270987,0.140333, 0.315749,0.071806, 0.231989,0.070166, 0.264156,0.038665, 0.207900,0.035083, 0.275741,1.133044
2,0.073313, 0.219940,0.115206, 0.248137,0.073313, 0.219940,0.115206, 0.288016,0.115206, 0.288016,0.057603, 0.186103,0.900302
3,0.115245, 0.285369,0.115245, 0.316924,0.074909, 0.270506,0.071342, 0.262183,0.039426, 0.256269,0.019713, 0.172868,1.128238
4,0.093028, 0.294589,0.124038, 0.289421,0.085872, 0.286241,0.067657, 0.270627,0.041346, 0.232570,0.022552, 0.192058,1.131014
5,0.111758, 0.298021,0.111758, 0.298021,0.055879, 0.216743,0.055879, 0.264155,0.055879, 0.264155,0.037253, 0.230501,1.143190
6,0.105967, 0.267861,0.105967, 0.317901,0.092721, 0.309070,0.067434, 0.247256,0.044956, 0.208623,0.030907, 0.201337,1.104097
7,0.102653, 0.231798,0.089822, 0.251500,0.089822, 0.282296,0.089822, 0.287429,0.089822, 0.287429,0.017964, 0.179643,1.040192
8,0.103661, 0.293706,0.138215, 0.345537,0.092143, 0.276429,0.059235, 0.207322,0.034554, 0.177705,0.034554, 0.236940,1.075278
9,0.116806, 0.276087,0.070627, 0.247194,0.084360, 0.295259,0.058403, 0.265733,0.058403, 0.292015,0.035313, 0.199800,1.152176
10,0.142130, 0.299395,0.115152, 0.248728,0.092121, 0.261011,0.092121, 0.270223,0.047377, 0.232146,0.023030, 0.176566,0.976136
11,0.176551, 0.338389,0.125057, 0.250113,0.070032, 0.227603,0.102988, 0.218849,0.051494, 0.188811,0.044138, 0.205976,0.859483
12,0.126117, 0.283762,0.126117, 0.283762,0.063058, 0.242775,0.063058, 0.242775,0.063058, 0.242775,0.031529, 0.231214,1.054125
13,0.145475, 0.297860,0.145475, 0.267674,0.072738, 0.186248,0.145475, 0.267674,0.072738, 0.186248,0.029095, 0.183299,0.778009
14,0.073897, 0.203217,0.147795, 0.270957,0.090319, 0.248377,0.147795, 0.332538,0.073897, 0.195089,0.022580, 0.193540,0.887436
15,0.131568, 0.263135,0.131568, 0.263135,0.065784, 0.197352,0.131568, 0.322939,0.035882, 0.187954,0.071764, 0.197352,0.863733
16,0.158146, 0.281149,0.079073, 0.205005,0.158146, 0.281149,0.079073, 0.205005,0.056481, 0.225923,0.052715, 0.218133,0.832729
17,0.181719, 0.363439,0.129641, 0.239338,0.090860, 0.204434,0.090860, 0.257436,0.045430, 0.192409,0.037170, 0.167264,0.848640
18,0.094163, 0.299105,0.094855, 0.316183,0.075884, 0.278241,0.075884, 0.281052,0.027101, 0.243913,0.025295, 0.188325,1.213637
19,0.102233, 0.268361,0.071563, 0.250470,0.067090, 0.306698,0.059636, 0.288240,0.044727, 0.268361,0.034078, 0.238543,1.241347
20,0.113562, 0.277595,0.138798, 0.323861,0.078074, 0.242896,0.066623, 0.233180,0.037854, 0.227123,0.033311, 0.227123,1.063558
21,0.131305, 0.245557,0.121205, 0.287861,0.078783, 0.223219,0.121205, 0.287861,0.052522, 0.246197,0.039392, 0.164895,0.911179
22,0.146604, 0.268773,0.146604, 0.329858,0.089591, 0.223978,0.073302, 0.193517,0.073302, 0.256556,0.036651, 0.161264,0.867894
23,0.126907, 0.338418,0.076144, 0.245353,0.069222, 0.276887,0.050763, 0.236893,0.038072, 0.227096,0.042302, 0.271943,1.193181
24,0.093435, 0.231364,0.166107, 0.373741,0.083054, 0.257466,0.083054, 0.295878,0.041527, 0.184672,0.031145, 0.158557,1.003357
25,0.092023, 0.230057,0.150583, 0.276068,0.150583, 0.301165,0.075291, 0.207051,0.075291, 0.207051,0.037646, 0.197192,0.837168
26,0.129777, 0.291999,0.086518, 0.270840,0.086518, 0.288394,0.067710, 0.247757,0.064889, 0.247757,0.032444, 0.185396,1.064286
