No.,tL,tR
true,0.833333,1.250000
0,0.980541,1.020247
1,0.971062,1.030715
2,0.939634,1.068654
3,0.916663,1.100007
4,0.909008,1.111235
5,0.931929,1.078799
6,0.955581,1.048750
7,0.917663,1.098569
8,0.906849,1.114479
9,0.875852,1.165158
10,0.963852,1.038966
11,0.883981,1.151074
12,0.926441,1.086247
13,0.970441,1.031418
14,0.901374,1.122860
15,0.929632,1.081892
16,0.936236,1.073085
17,0.931656,1.079167
18,0.975537,1.025721
19,0.891350,1.138813
20,0.954656,1.049864
21,0.975734,1.025501
22,0.882252,1.154020
23,0.887626,1.144949
24,0.916327,1.100489
25,0.896154,1.131069
26,0.874586,1.167402
27,0.904541,1.117985
28,0.915468,1.101729
29,0.930234,1.081082
30,0.939359,1.069012
31,0.944432,1.062516
32,0.940688,1.067294
33,0.960612,1.042755
34,0.959074,1.044575
35,0.936387,1.072884
36,0.937577,1.071327
37,0.949869,1.055719
38,0.927933,1.084205
39,0.899950,1.125078
40,0.918447,1.097447
41,0.928846,1.082960
42,0.908049,1.112671
43,0.930035,1.081346
44,0.887662,1.144890
45,0.930394,1.080863
46,0.903458,1.119642
47,0.959407,1.044178
48,0.974825,1.026510
49,0.911114,1.108102
50,0.928129,1.083937
51,0.857413,1.199471
52,0.857151,1.199982
53,0.898379,1.127544
54,0.946096,1.060416
55,0.927923,1.084215
56,0.909743,1.110138
57,0.938434,1.070211
58,0.921810,1.092684
59,0.896875,1.129922
60,0.982374,1.018270
61,0.899108,1.126398
62,0.988839,1.011416
63,0.923596,1.090184
64,0.938435,1.070208
65,0.925177,1.087991
66,0.903239,1.119981
67,0.928272,1.083741
68,0.924162,1.089396
69,0.894775,1.133269
70,0.903724,1.119236
71,0.954522,1.050029
72,0.890019,1.140994
73,0.932918,1.077475
74,0.960354,1.043061
75,0.913141,1.105121
76,0.899383,1.125968
77,0.950009,1.055545
78,0.929770,1.081708
79,0.892782,1.136485
80,0.919463,1.095999
81,0.905784,1.116090
82,0.925019,1.088210
83,0.876469,1.164064
84,0.904177,1.118539
85,0.927318,1.085047
86,0.895819,1.131602
87,0.920514,1.094510
88,0.942080,1.065506
89,0.898838,1.126822
90,0.863125,1.188470
91,0.903702,1.119269
92,0.932299,1.078307
93,0.958507,1.045247
94,0.929684,1.081823
95,0.871830,1.172348
96,0.943937,1.063146
97,0.913322,1.104855
98,0.913971,1.103908
99,0.914273,1.103467
100,0.912613,1.105894
101,0.931591,1.079253
