ó^Ç¶ÇΩèdóvìx,0.180000,0.280000,0.150000,0.250000,0.130000,0.230000,0.100000,0.200000,0.080000,0.180000,0.060000,0.160000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.218175, 0.218175,0.218175, 0.218175,0.213639, 0.213639,0.172382, 0.172382,0.100280, 0.100280,0.077350, 0.077350,0.000000
2,0.179193, 0.179193,0.186160, 0.186160,0.147619, 0.147619,0.203141, 0.203141,0.179193, 0.179193,0.104695, 0.104695,0.000000
3,0.229110, 0.229110,0.215849, 0.215849,0.187198, 0.187198,0.170167, 0.170167,0.094498, 0.094498,0.103178, 0.103178,0.000000
4,0.205636, 0.205636,0.287028, 0.287028,0.135367, 0.135367,0.168702, 0.168702,0.097806, 0.097806,0.105461, 0.105461,0.000000
5,0.178577, 0.178577,0.210228, 0.210228,0.220530, 0.220530,0.126850, 0.126850,0.157801, 0.157801,0.106014, 0.106014,0.000000
6,0.242409, 0.242409,0.199826, 0.199826,0.157584, 0.157584,0.132117, 0.132117,0.137021, 0.137021,0.131043, 0.131043,0.000000
7,0.250811, 0.250811,0.182451, 0.182451,0.173559, 0.173559,0.148373, 0.148373,0.174945, 0.174945,0.069861, 0.069861,0.000000
8,0.226454, 0.226454,0.233576, 0.233576,0.190959, 0.190959,0.141304, 0.141304,0.110923, 0.110923,0.096785, 0.096785,0.000000
9,0.245418, 0.245418,0.206211, 0.206211,0.158898, 0.158898,0.160430, 0.160430,0.109672, 0.109672,0.119371, 0.119371,0.000000
10,0.264448, 0.264448,0.208678, 0.208678,0.179153, 0.179153,0.144288, 0.144288,0.115304, 0.115304,0.088129, 0.088129,0.000000
11,0.245289, 0.245289,0.231188, 0.231188,0.124181, 0.124181,0.194267, 0.194267,0.106655, 0.106655,0.098420, 0.098420,0.000000
12,0.214090, 0.214090,0.200338, 0.200338,0.189464, 0.189464,0.178553, 0.178553,0.142400, 0.142400,0.075155, 0.075155,0.000000
13,0.204731, 0.204731,0.198253, 0.198253,0.141726, 0.141726,0.221257, 0.221257,0.143032, 0.143032,0.091001, 0.091001,0.000000
14,0.196433, 0.196433,0.196433, 0.196433,0.202693, 0.202693,0.180172, 0.180172,0.141151, 0.141151,0.083118, 0.083118,0.000000
15,0.224505, 0.224505,0.201878, 0.201878,0.171728, 0.171728,0.174292, 0.174292,0.084988, 0.084988,0.142609, 0.142609,0.000000
16,0.237849, 0.237849,0.174924, 0.174924,0.223207, 0.223207,0.176122, 0.176122,0.097192, 0.097192,0.090705, 0.090705,0.000000
17,0.261326, 0.261326,0.219042, 0.219042,0.156807, 0.156807,0.155455, 0.155455,0.106281, 0.106281,0.101090, 0.101090,0.000000
18,0.261367, 0.261367,0.215756, 0.215756,0.166674, 0.166674,0.126142, 0.126142,0.090547, 0.090547,0.139515, 0.139515,0.000000
19,0.249138, 0.249138,0.180603, 0.180603,0.199291, 0.199291,0.124043, 0.124043,0.117404, 0.117404,0.129522, 0.129522,0.000000
20,0.206320, 0.206320,0.270616, 0.270616,0.169504, 0.169504,0.141952, 0.141952,0.110915, 0.110915,0.100694, 0.100694,0.000000
21,0.257805, 0.257805,0.175371, 0.175371,0.187501, 0.187501,0.175371, 0.175371,0.085282, 0.085282,0.118670, 0.118670,0.000000
22,0.222574, 0.222574,0.222574, 0.222574,0.158947, 0.158947,0.197376, 0.197376,0.095551, 0.095551,0.102977, 0.102977,0.000000
23,0.248967, 0.248967,0.179115, 0.179115,0.191469, 0.191469,0.174709, 0.174709,0.094116, 0.094116,0.111623, 0.111623,0.000000
24,0.228192, 0.228192,0.252601, 0.252601,0.141761, 0.141761,0.139667, 0.139667,0.126781, 0.126781,0.110997, 0.110997,0.000000
25,0.223961, 0.223961,0.216800, 0.216800,0.190587, 0.190587,0.145369, 0.145369,0.131427, 0.131427,0.091856, 0.091856,0.000000
26,0.197354, 0.197354,0.188526, 0.188526,0.194064, 0.194064,0.129181, 0.129181,0.182322, 0.182322,0.108552, 0.108552,0.000000
27,0.265038, 0.265038,0.196765, 0.196765,0.186327, 0.186327,0.123574, 0.123574,0.117125, 0.117125,0.111172, 0.111172,0.000000
28,0.216617, 0.216617,0.193498, 0.193498,0.144871, 0.144871,0.200586, 0.200586,0.100847, 0.100847,0.143581, 0.143581,0.000000
29,0.314754, 0.314754,0.154017, 0.154017,0.157290, 0.157290,0.124278, 0.124278,0.145483, 0.145483,0.104178, 0.104178,0.000000
