No.,tL,tR
true,0.862069,1.190476
0,0.945750,1.060853
1,0.898373,1.127553
2,0.940993,1.066903
3,0.882040,1.154384
4,0.944279,1.062709
5,0.885068,1.149239
6,0.931654,1.079168
7,0.917544,1.098739
8,0.902307,1.121414
9,0.895321,1.132399
10,0.968186,1.033976
11,0.892333,1.137211
12,0.922816,1.091275
13,0.966809,1.035552
14,0.928092,1.083985
15,0.950158,1.055360
16,0.935462,1.074105
17,0.888639,1.143271
18,0.960881,1.042441
19,0.891978,1.137788
20,0.898061,1.128046
21,0.926976,1.085513
22,0.904342,1.118291
23,0.903134,1.120141
24,0.908559,1.111906
25,0.909252,1.110873
26,0.885065,1.149240
27,0.913080,1.105213
28,0.927368,1.084976
29,0.950912,1.054434
30,0.905232,1.116930
31,0.921059,1.093741
32,0.892383,1.137130
33,0.968749,1.033334
34,0.920275,1.094847
35,0.936387,1.072884
36,0.954751,1.049751
37,0.949861,1.055729
38,0.902179,1.121614
39,0.883288,1.152250
40,0.897706,1.128606
41,0.907569,1.113394
42,0.922360,1.091914
43,0.932688,1.077784
44,0.873704,1.168978
45,0.888886,1.142862
46,0.896640,1.130293
47,0.909451,1.110573
48,0.993060,1.007039
49,0.920166,1.095005
50,0.940886,1.067039
51,0.930811,1.080301
52,0.894231,1.134147
53,0.893729,1.134955
54,0.950250,1.055247
55,0.944504,1.062425
56,0.910878,1.108451
57,0.895142,1.132682
58,0.883048,1.152658
59,0.956828,1.047254
60,0.929727,1.081766
61,0.887958,1.144402
62,0.970928,1.030869
63,0.938361,1.070309
64,0.942449,1.065036
65,0.936363,1.072918
66,0.879949,1.157984
67,0.928355,1.083628
68,0.917620,1.098632
69,0.902079,1.121767
70,0.891498,1.138574
71,0.913815,1.104135
72,0.900941,1.123534
73,0.920352,1.094741
74,0.963321,1.039583
75,0.870534,1.174703
76,0.952412,1.052594
77,0.928432,1.083526
78,0.935260,1.074368
79,0.912315,1.106333
80,0.901316,1.122951
81,0.899232,1.126203
82,0.899961,1.125062
83,0.893188,1.135827
84,0.900459,1.124284
85,0.904037,1.118756
86,0.928700,1.083157
87,0.922900,1.091154
88,0.968354,1.033785
89,0.939485,1.068849
90,0.862578,1.189509
91,0.868884,1.177722
92,0.935275,1.074352
93,0.937476,1.071460
94,0.983606,1.016951
95,0.883718,1.151519
96,0.941747,1.065936
97,0.917584,1.098680
98,0.925086,1.088116
99,0.934386,1.075523
100,0.909055,1.111164
101,0.920393,1.094680
102,0.906707,1.114693
103,0.918686,1.097105
104,0.877885,1.161576
105,0.963422,1.039462
106,0.888495,1.143512
107,0.952416,1.052588
108,0.917149,1.099306
109,0.892919,1.136263
110,0.886780,1.146362
111,0.937458,1.071484
112,0.875293,1.166148
113,0.980872,1.019890
114,0.919068,1.096562
115,0.901132,1.123233
116,0.921989,1.092433
117,0.878423,1.160638
118,0.878929,1.159754
119,0.898854,1.126795
120,0.907728,1.113153
121,0.911611,1.107369
122,0.934960,1.074767
123,0.912947,1.105406
124,0.919941,1.095323
125,0.967090,1.035227
126,0.922067,1.092324
127,0.919133,1.096468
128,0.877737,1.161837
129,0.906075,1.115652
130,0.906594,1.114866
131,0.924504,1.088923
132,0.848711,1.216927
133,0.923770,1.089943
134,0.931905,1.078831
135,0.898211,1.127808
136,0.909972,1.109798
137,0.941667,1.066038
138,0.910439,1.109104
139,0.964455,1.038266
140,0.971229,1.030527
141,0.911571,1.107431
142,0.927844,1.084322
143,0.956096,1.048132
144,0.912963,1.105380
145,0.900615,1.124040
146,0.881868,1.154677
147,0.933991,1.076048
148,0.962219,1.040870
149,0.891316,1.138870
150,0.940380,1.067691
151,0.879548,1.158680
152,0.933796,1.076307
153,0.913365,1.104794
154,0.943088,1.064223
155,0.974230,1.027170
156,0.916097,1.100822
157,0.953982,1.050684
158,0.896704,1.130194
159,0.922813,1.091278
160,0.955497,1.048849
161,0.968279,1.033871
162,0.885914,1.147812
163,0.911622,1.107355
164,0.906622,1.114821
165,0.896754,1.130113
166,0.929744,1.081743
167,0.930222,1.081096
168,0.934872,1.074884
169,0.943349,1.063889
170,0.909835,1.110000
171,0.982151,1.018511
172,0.927511,1.084781
173,0.842734,1.229429
174,0.908293,1.112305
175,0.879751,1.158327
176,0.941563,1.066173
177,0.884298,1.150537
178,0.925894,1.087000
179,0.970425,1.031435
180,0.898905,1.126715
181,0.896518,1.130489
182,0.936042,1.073340
183,0.962978,1.039982
184,0.887407,1.145315
185,0.969942,1.031980
186,0.940294,1.067801
187,0.929594,1.081942
188,0.906409,1.115144
189,0.905406,1.116667
190,0.916179,1.100705
191,0.922692,1.091448
192,0.970425,1.031435
193,0.907327,1.113757
194,0.912341,1.106294
195,0.915299,1.101975
196,0.877331,1.162547
197,0.952010,1.053083
198,0.944917,1.061904
199,0.929933,1.081486
200,0.918089,1.097961
201,0.888125,1.144122
202,0.941360,1.066431
203,0.902508,1.121108
204,0.935629,1.073881
205,0.896061,1.131213
206,0.932397,1.078174
207,0.937895,1.070916
208,0.881733,1.154908
209,0.918837,1.096892
210,0.913740,1.104243
211,0.871429,1.173074
212,0.903275,1.119924
213,0.902464,1.121174
214,0.973503,1.027981
215,0.902097,1.121739
216,0.884086,1.150895
217,0.897283,1.129274
218,0.928812,1.083006
219,0.887920,1.144461
220,0.903428,1.119689
221,0.899934,1.125101
222,0.903063,1.120251
223,0.948653,1.057222
224,0.870719,1.174366
225,0.937718,1.071145
226,0.918054,1.098011
227,0.890483,1.140234
228,0.849108,1.216112
229,0.973423,1.028069
230,0.916999,1.099523
231,0.900940,1.123536
232,0.914098,1.103722
233,0.916816,1.099785
234,0.927209,1.085194
235,0.885056,1.149255
236,0.876312,1.164341
237,0.913825,1.104120
238,0.996119,1.003910
239,0.903404,1.119727
240,0.927392,1.084946
241,0.905457,1.116591
242,0.954719,1.049791
243,0.866079,1.182915
244,0.881810,1.154777
245,0.928248,1.083771
246,0.883126,1.152527
247,0.907495,1.113505
248,0.971836,1.029845
249,0.884742,1.149785
250,0.955268,1.049127
251,0.881708,1.154952
252,0.888997,1.142678
253,0.914777,1.102733
254,0.912564,1.105967
255,0.975329,1.025952
256,0.921575,1.093014
257,0.909710,1.110188
258,0.896962,1.129783
259,0.938988,1.069492
260,0.906483,1.115029
261,0.874106,1.168258
262,0.926599,1.086030
263,0.906775,1.114590
264,0.976790,1.024339
265,0.877729,1.161850
266,0.939108,1.069337
267,0.892695,1.136627
268,0.948022,1.058010
269,0.919676,1.095697
270,0.965169,1.037438
271,0.940984,1.066914
272,0.887493,1.145172
273,0.889311,1.142163
274,0.913236,1.104978
275,0.896720,1.130167
276,0.935131,1.074541
277,0.958698,1.045022
278,0.956546,1.047591
279,0.898679,1.127072
280,0.908557,1.111912
281,0.937018,1.072060
282,0.902714,1.120787
283,0.948496,1.057419
284,0.898103,1.127978
285,0.853078,1.208058
286,0.958559,1.045187
287,0.903156,1.120111
288,0.887674,1.144875
289,0.898105,1.127977
290,0.933647,1.076505
291,0.893260,1.135711
292,0.896568,1.130407
293,0.965270,1.037323
294,0.870373,1.174996
295,0.870671,1.174451
296,0.920492,1.094540
297,0.906274,1.115347
298,0.927360,1.084985
299,0.902819,1.120626
300,0.934388,1.075521
301,0.880570,1.156909
302,0.874910,1.166828
303,0.898054,1.128056
304,0.914978,1.102442
305,0.896518,1.130484
306,0.934927,1.074810
307,0.955182,1.049231
308,0.900386,1.124398
309,0.956144,1.048073
310,0.891898,1.137922
311,0.873019,1.170207
312,0.965743,1.036777
313,0.933748,1.076372
314,0.952016,1.053077
315,0.914677,1.102878
316,0.912564,1.105968
317,0.931616,1.079221
318,0.890623,1.140006
319,0.927772,1.084426
320,0.918642,1.097170
321,0.870301,1.175125
322,0.932221,1.078408
323,0.929822,1.081638
324,0.918474,1.097409
325,0.926821,1.085728
326,0.936538,1.072685
327,0.888430,1.143617
328,0.936375,1.072900
329,0.928068,1.084016
330,0.950519,1.054915
331,0.936093,1.073272
332,0.941726,1.065963
333,0.899671,1.125514
334,0.878612,1.160307
335,0.912649,1.105841
336,0.906886,1.114423
337,0.906351,1.115230
338,0.913396,1.104747
339,0.941535,1.066206
340,0.895881,1.131501
341,0.891812,1.138058
342,0.905916,1.115891
343,0.957137,1.046881
344,0.923574,1.090217
345,0.901517,1.122642
346,0.866026,1.183013
347,0.958738,1.044971
348,0.903361,1.119792
349,0.941512,1.066236
350,0.896904,1.129872
351,0.872932,1.170365
352,0.877283,1.162633
353,0.929653,1.081865
354,0.835583,1.244972
355,0.944612,1.062287
356,0.913220,1.105002
357,0.921896,1.092562
358,0.902227,1.121540
359,0.970033,1.031878
360,0.931900,1.078839
361,0.936294,1.073010
362,0.912623,1.105880
363,0.894883,1.133100
364,0.862515,1.189626
365,0.853549,1.207114
366,0.911381,1.107712
367,0.897324,1.129211
368,0.921969,1.092462
369,0.879105,1.159449
370,0.877608,1.162064
371,0.932065,1.078615
372,0.918816,1.096922
373,0.907271,1.113844
374,0.926187,1.086596
375,0.967143,1.035167
376,0.913212,1.105016
377,0.983194,1.017389
378,0.910762,1.108625
379,0.949946,1.055622
380,0.879479,1.158798
381,0.877700,1.161902
382,0.928032,1.084070
383,0.938660,1.069916
384,0.923119,1.090849
385,0.879022,1.159595
386,0.931874,1.078872
387,0.959679,1.043858
388,0.955034,1.049409
389,0.901049,1.123366
390,0.914813,1.102682
391,0.920453,1.094596
392,0.885780,1.148037
393,0.882085,1.154304
394,0.949278,1.056448
395,0.940807,1.067140
396,0.886099,1.147501
397,0.944767,1.062092
398,0.860170,1.194115
399,0.903821,1.119085
400,0.970549,1.031294
401,0.902577,1.121001
402,0.950135,1.055388
403,0.912386,1.106227
404,0.963204,1.039719
405,0.923767,1.089946
406,0.913779,1.104187
407,0.900637,1.124006
408,0.904032,1.118763
409,0.980918,1.019840
410,0.937633,1.071253
411,0.868197,1.178987
412,0.884052,1.150953
413,0.892115,1.137570
414,0.892886,1.136320
415,0.892490,1.136959
416,0.919862,1.095435
417,0.941038,1.066843
418,0.932664,1.077816
419,0.871724,1.172543
420,0.868106,1.179151
421,0.914921,1.102522
422,0.910736,1.108662
423,0.900480,1.124251
424,0.945207,1.061536
425,0.941480,1.066278
426,0.863099,1.188514
427,0.867862,1.179606
428,0.890923,1.139510
429,0.945704,1.060910
430,0.923396,1.090466
431,0.910880,1.108448
432,0.923608,1.090167
433,0.899566,1.125676
434,0.895926,1.131430
435,0.902895,1.120511
436,0.915102,1.102260
437,0.874341,1.167840
438,0.911246,1.107910
439,0.871902,1.172219
440,0.901995,1.121898
441,0.882162,1.154173
442,0.911187,1.107995
443,0.931150,1.079846
444,0.934236,1.075725
445,0.917117,1.099352
446,0.856074,1.202101
447,0.897106,1.129555
448,0.896855,1.129952
449,0.900439,1.124316
450,0.947639,1.058484
451,0.903662,1.119328
452,0.912619,1.105886
453,0.868331,1.178735
454,0.905515,1.116499
455,0.915248,1.102051
456,0.918089,1.097961
457,0.947644,1.058480
458,0.951962,1.053144
459,0.832152,1.252667
460,0.905143,1.117066
461,0.895039,1.132849
462,0.914221,1.103542
463,0.983820,1.016722
464,0.942238,1.065305
465,0.920361,1.094727
466,0.925563,1.087460
467,0.949999,1.055555
468,0.892182,1.137460
469,0.890604,1.140034
470,0.906726,1.114664
471,0.916347,1.100459
472,0.970585,1.031252
473,0.922819,1.091271
474,0.891448,1.138653
475,0.966008,1.036470
476,0.892988,1.136151
477,0.894827,1.133189
478,0.907833,1.112995
479,0.927437,1.084881
480,0.955244,1.049156
481,0.941219,1.066612
482,0.850126,1.214028
483,0.919887,1.095398
484,0.912353,1.106275
485,0.917485,1.098825
486,0.924948,1.088309
487,0.927644,1.084596
488,0.902117,1.121710
489,0.901239,1.123072
490,0.962734,1.040268
491,0.930616,1.080564
492,0.923127,1.090840
493,0.913515,1.104574
494,0.887325,1.145453
