ó^Ç¶ÇΩèdóvìx,0.200000,0.260000,0.150000,0.250000,0.110000,0.250000,0.080000,0.220000,0.080000,0.180000,0.080000,0.140000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.202791, 0.266614,0.179120, 0.259069,0.109109, 0.280200,0.085986, 0.230036,0.062072, 0.133307,0.073032, 0.118666,0.575783
2,0.092096, 0.322842,0.117159, 0.249063,0.103401, 0.193812,0.115315, 0.254908,0.134533, 0.184307,0.073144, 0.159420,0.728703
3,0.145463, 0.350621,0.149221, 0.287047,0.148091, 0.221785,0.114159, 0.220444,0.063693, 0.108398,0.091128, 0.099951,0.576492
4,0.121736, 0.291867,0.225586, 0.358148,0.093784, 0.218316,0.060846, 0.205655,0.051863, 0.140876,0.053908, 0.177413,0.784553
5,0.181306, 0.213137,0.097627, 0.321813,0.111109, 0.301074,0.059434, 0.197221,0.122838, 0.197221,0.090653, 0.106568,0.674069
6,0.108399, 0.407033,0.111390, 0.289181,0.115815, 0.235534,0.017017, 0.194399,0.091998, 0.208079,0.045481, 0.175674,1.019801
7,0.209395, 0.286178,0.166943, 0.272027,0.109743, 0.192061,0.103686, 0.142808,0.103630, 0.246494,0.043143, 0.123893,0.526922
8,0.150188, 0.304245,0.192278, 0.314797,0.116010, 0.236409,0.081979, 0.183913,0.060042, 0.157383,0.088750, 0.114007,0.621506
9,0.158625, 0.274758,0.145377, 0.311234,0.095442, 0.222654,0.105325, 0.216691,0.074502, 0.148151,0.020794, 0.226448,0.799869
10,0.121518, 0.411506,0.086828, 0.336220,0.068919, 0.266865,0.097191, 0.194991,0.077135, 0.154769,0.061224, 0.122834,0.974368
11,0.171499, 0.372071,0.212608, 0.241793,0.085416, 0.156378,0.105457, 0.261292,0.064097, 0.116783,0.099007, 0.113600,0.523834
12,0.147026, 0.260430,0.050701, 0.399800,0.077372, 0.259707,0.094113, 0.286946,0.089962, 0.186917,0.062944, 0.084081,0.955765
13,0.149155, 0.236767,0.165659, 0.235793,0.112029, 0.174172,0.211488, 0.236629,0.110481, 0.177393,0.071610, 0.118825,0.359157
14,0.192928, 0.194872,0.192928, 0.194872,0.109151, 0.302637,0.108944, 0.285020,0.050434, 0.193900,0.077362, 0.096950,0.536505
15,0.175775, 0.251075,0.094133, 0.313488,0.109157, 0.238261,0.138561, 0.212989,0.057003, 0.121215,0.098877, 0.189467,0.652989
16,0.132681, 0.320168,0.114674, 0.242983,0.197572, 0.249432,0.098204, 0.223502,0.085530, 0.111751,0.098786, 0.124716,0.545106
17,0.216987, 0.309714,0.153353, 0.293609,0.067066, 0.215876,0.102426, 0.213713,0.076887, 0.129589,0.090326, 0.130452,0.585908
18,0.115985, 0.370393,0.140996, 0.301880,0.038564, 0.308661,0.010097, 0.243189,0.067437, 0.138337,0.043022, 0.221438,1.167798
19,0.217341, 0.355289,0.116512, 0.243206,0.159183, 0.229052,0.106420, 0.124617,0.106420, 0.124617,0.097508, 0.119834,0.393231
20,0.137892, 0.274072,0.214995, 0.333148,0.105331, 0.230644,0.064122, 0.206237,0.015179, 0.203270,0.057725, 0.157385,0.809511
21,0.135490, 0.344593,0.128540, 0.216053,0.121598, 0.259929,0.092930, 0.227904,0.059469, 0.113817,0.015920, 0.283757,0.892107
22,0.131876, 0.353202,0.216503, 0.265561,0.071698, 0.218009,0.089023, 0.219616,0.092672, 0.125338,0.095453, 0.121050,0.605553
23,0.232146, 0.281597,0.064070, 0.333019,0.091431, 0.256872,0.087099, 0.234286,0.057880, 0.116157,0.090326, 0.155117,0.754096
24,0.138538, 0.290976,0.249409, 0.264681,0.077605, 0.208951,0.053346, 0.230387,0.073016, 0.181378,0.000001, 0.231712,0.816172
25,0.159952, 0.284262,0.199052, 0.285586,0.121159, 0.258946,0.054278, 0.201896,0.060309, 0.192441,0.056352, 0.125767,0.697795
26,0.090030, 0.342902,0.066469, 0.310504,0.128067, 0.227079,0.072155, 0.171735,0.106751, 0.257229,0.063608, 0.163471,0.945839
27,0.229655, 0.301511,0.088895, 0.302155,0.021003, 0.331371,0.066396, 0.161066,0.044170, 0.189340,0.073194, 0.191245,0.953374
28,0.180132, 0.253309,0.142377, 0.247017,0.047929, 0.216721,0.155656, 0.237799,0.064899, 0.173890,0.083544, 0.196727,0.650926
29,0.214856, 0.406441,0.120160, 0.184021,0.049130, 0.296925,0.064655, 0.169325,0.103549, 0.184021,0.054828, 0.152090,0.785644
30,0.134811, 0.399355,0.065022, 0.289544,0.116686, 0.201021,0.050734, 0.158853,0.088954, 0.200590,0.108627, 0.185804,0.870334
31,0.242229, 0.305899,0.113911, 0.289482,0.117708, 0.269262,0.027797, 0.181207,0.048706, 0.193522,0.056121, 0.154156,0.787055
32,0.169205, 0.302121,0.162944, 0.257207,0.139373, 0.239497,0.109779, 0.204225,0.048403, 0.113936,0.086382, 0.166927,0.567826
33,0.166795, 0.284948,0.106024, 0.246031,0.190154, 0.301623,0.031966, 0.161901,0.055087, 0.201550,0.074234, 0.179686,0.751480
34,0.239856, 0.270749,0.112205, 0.127651,0.140290, 0.274763,0.083171, 0.325059,0.057544, 0.170737,0.044274, 0.153701,0.645320
35,0.210605, 0.345345,0.160670, 0.279432,0.040224, 0.298476,0.078842, 0.182629,0.066328, 0.138466,0.094329, 0.104654,0.698004
36,0.131394, 0.306960,0.100659, 0.229539,0.175059, 0.227576,0.146587, 0.203530,0.076061, 0.201317,0.087529, 0.113788,0.565421
37,0.186947, 0.330113,0.177939, 0.304039,0.106198, 0.297074,0.064637, 0.120494,0.058643, 0.155867,0.077555, 0.120494,0.656162
38,0.131525, 0.265117,0.240672, 0.289562,0.124555, 0.220733,0.124054, 0.157209,0.106616, 0.142494,0.059179, 0.138285,0.426798
39,0.174246, 0.353355,0.084598, 0.263801,0.082917, 0.300121,0.064642, 0.175867,0.097369, 0.217780,0.027728, 0.157575,0.936998
40,0.182426, 0.315079,0.077141, 0.248752,0.083312, 0.286934,0.079960, 0.173483,0.074817, 0.212117,0.012535, 0.253443,0.979619
