ó^Ç¶ÇΩèdóvìx,0.200000,0.260000,0.150000,0.250000,0.110000,0.250000,0.080000,0.220000,0.080000,0.180000,0.080000,0.140000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.234702, 0.234702,0.219095, 0.219095,0.194654, 0.194654,0.158011, 0.158011,0.097689, 0.097689,0.095849, 0.095849,0.000000
2,0.207469, 0.207469,0.183111, 0.183111,0.148606, 0.148606,0.185112, 0.185112,0.159420, 0.159420,0.116282, 0.116282,0.000000
3,0.248042, 0.248042,0.218134, 0.218134,0.184938, 0.184938,0.167301, 0.167301,0.086045, 0.086045,0.095539, 0.095539,0.000000
4,0.206802, 0.206802,0.291867, 0.291867,0.156050, 0.156050,0.133251, 0.133251,0.096370, 0.096370,0.115660, 0.115660,0.000000
5,0.197221, 0.197221,0.209720, 0.209720,0.206092, 0.206092,0.128327, 0.128327,0.160029, 0.160029,0.098611, 0.098611,0.000000
6,0.257716, 0.257716,0.200286, 0.200286,0.175674, 0.175674,0.105708, 0.105708,0.150038, 0.150038,0.110578, 0.110578,0.000000
7,0.247786, 0.247786,0.219485, 0.219485,0.150902, 0.150902,0.123247, 0.123247,0.175062, 0.175062,0.083518, 0.083518,0.000000
8,0.227216, 0.227216,0.253537, 0.253537,0.176209, 0.176209,0.132946, 0.132946,0.108712, 0.108712,0.101378, 0.101378,0.000000
9,0.216691, 0.216691,0.228306, 0.228306,0.159048, 0.159048,0.161008, 0.161008,0.111327, 0.111327,0.123621, 0.123621,0.000000
10,0.266512, 0.266512,0.211524, 0.211524,0.167892, 0.167892,0.146091, 0.146091,0.115952, 0.115952,0.092029, 0.092029,0.000000
11,0.271785, 0.271785,0.227201, 0.227201,0.120897, 0.120897,0.183374, 0.183374,0.090440, 0.090440,0.106304, 0.106304,0.000000
12,0.203728, 0.203728,0.225251, 0.225251,0.168540, 0.168540,0.190530, 0.190530,0.138440, 0.138440,0.073513, 0.073513,0.000000
