ó^Ç¶ÇΩèdóvìx,0.145000,0.215000,0.130000,0.210000,0.115000,0.205000,0.090000,0.190000,0.075000,0.185000,0.060000,0.180000,0.035000,0.165000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
1,0.109371, 0.221229,0.167885, 0.224849,0.167864, 0.182068,0.050187, 0.126615,0.074763, 0.100374,0.091034, 0.259906,0.049787, 0.174069,0.578220
2,0.154637, 0.185155,0.165092, 0.216674,0.103550, 0.176689,0.108337, 0.227390,0.099835, 0.165737,0.085178, 0.207101,0.041434, 0.063190,0.483870
3,0.109635, 0.262702,0.131351, 0.359046,0.105386, 0.148065,0.069454, 0.177503,0.065942, 0.124383,0.087116, 0.115922,0.056592, 0.186901,0.749046
4,0.156677, 0.177633,0.100885, 0.270269,0.151800, 0.219623,0.072332, 0.156841,0.078421, 0.185313,0.126781, 0.164229,0.038314, 0.100885,0.549585
5,0.142707, 0.212239,0.092812, 0.240417,0.155174, 0.175221,0.083904, 0.179244,0.103290, 0.165340,0.106120, 0.220010,0.030711, 0.092812,0.570566
6,0.130623, 0.231853,0.136626, 0.230660,0.110387, 0.190678,0.095339, 0.154595,0.073793, 0.145528,0.111124, 0.184239,0.058116, 0.146440,0.567985
7,0.121057, 0.213739,0.152207, 0.224477,0.133661, 0.178112,0.089056, 0.162832,0.105477, 0.152207,0.068858, 0.230391,0.039500, 0.128427,0.580371
8,0.192846, 0.252453,0.133254, 0.242944,0.090684, 0.142105,0.126226, 0.194673,0.075973, 0.202033,0.047770, 0.158445,0.035252, 0.105342,0.595990
9,0.153100, 0.208850,0.178779, 0.222880,0.074898, 0.179982,0.064626, 0.244130,0.063117, 0.142552,0.104992, 0.154224,0.052386, 0.155486,0.616206
10,0.105602, 0.243452,0.094556, 0.239445,0.137031, 0.218411,0.090755, 0.171969,0.111074, 0.225134,0.064752, 0.181510,0.042252, 0.074056,0.707954
11,0.178365, 0.259166,0.113653, 0.265013,0.086576, 0.227307,0.104847, 0.195745,0.078772, 0.144834,0.072417, 0.117051,0.042159, 0.114097,0.646423
12,0.183084, 0.258931,0.118960, 0.223599,0.108852, 0.191937,0.129466, 0.160269,0.095968, 0.147204,0.062789, 0.134058,0.051244, 0.133640,0.499276
13,0.134678, 0.237487,0.181646, 0.228571,0.072435, 0.254369,0.097061, 0.144869,0.072726, 0.147412,0.077578, 0.180168,0.031996, 0.139004,0.663762
14,0.147407, 0.155564,0.147882, 0.172112,0.075157, 0.173212,0.143366, 0.225706,0.104449, 0.262983,0.087661, 0.182246,0.047098, 0.075157,0.493959
