ó^Ç¶ÇΩèdóvìx,0.145000,0.215000,0.130000,0.210000,0.115000,0.205000,0.090000,0.190000,0.075000,0.185000,0.060000,0.180000,0.035000,0.165000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
1,0.089234, 0.241365,0.128512, 0.264223,0.132334, 0.217597,0.043784, 0.133018,0.000001, 0.175136,0.087483, 0.263457,0.048428, 0.175427,0.940447
2,0.107006, 0.232786,0.125136, 0.256630,0.087943, 0.192296,0.102515, 0.233211,0.073604, 0.191969,0.040842, 0.251437,0.038630, 0.065994,0.848646
3,0.017535, 0.354802,0.100842, 0.389555,0.068830, 0.184621,0.043919, 0.203039,0.019672, 0.170653,0.077324, 0.125715,0.050760, 0.192734,1.242237
4,0.148130, 0.186179,0.077138, 0.294015,0.061124, 0.310299,0.008128, 0.221045,0.068159, 0.195575,0.105298, 0.185711,0.000001, 0.139197,1.064042
5,0.033082, 0.321864,0.082223, 0.251006,0.106210, 0.224184,0.056651, 0.206497,0.082599, 0.186031,0.094874, 0.231255,0.000001, 0.123522,1.088719
6,0.076912, 0.285564,0.075144, 0.292142,0.077284, 0.223780,0.077497, 0.172437,0.069022, 0.150299,0.081059, 0.214304,0.037978, 0.166577,1.010206
7,0.073879, 0.260917,0.135437, 0.241247,0.071520, 0.240253,0.077943, 0.173945,0.069342, 0.188342,0.059636, 0.239612,0.012040, 0.155887,1.000406
8,0.136496, 0.308802,0.079662, 0.296536,0.078387, 0.154401,0.111325, 0.209575,0.055356, 0.222649,0.016412, 0.189803,0.003117, 0.137477,1.038488
9,0.141162, 0.220788,0.150945, 0.250714,0.054051, 0.200829,0.022226, 0.286530,0.027279, 0.178389,0.078240, 0.180975,0.000001, 0.207871,1.052192
10,0.013692, 0.335362,0.000001, 0.334000,0.066773, 0.288669,0.073940, 0.188785,0.041059, 0.295149,0.000001, 0.246261,0.027941, 0.088367,1.553185
