ó^Ç¶ÇΩèdóvìx,0.145000,0.215000,0.130000,0.210000,0.115000,0.205000,0.090000,0.190000,0.075000,0.185000,0.060000,0.180000,0.035000,0.165000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
1,0.165300, 0.165300,0.196367, 0.196367,0.174966, 0.174966,0.088401, 0.088401,0.087569, 0.087569,0.175470, 0.175470,0.111928, 0.111928,0.000000
2,0.169896, 0.169896,0.190883, 0.190883,0.140120, 0.140120,0.167863, 0.167863,0.132786, 0.132786,0.146140, 0.146140,0.052312, 0.052312,0.000000
3,0.186169, 0.186169,0.245199, 0.245199,0.126726, 0.126726,0.123479, 0.123479,0.095162, 0.095162,0.101519, 0.101519,0.121747, 0.121747,0.000000
4,0.167155, 0.167155,0.185577, 0.185577,0.185711, 0.185711,0.114587, 0.114587,0.131867, 0.131867,0.145505, 0.145505,0.069599, 0.069599,0.000000
5,0.177473, 0.177473,0.166615, 0.166615,0.165197, 0.165197,0.131574, 0.131574,0.134315, 0.134315,0.163065, 0.163065,0.061761, 0.061761,0.000000
6,0.181238, 0.181238,0.183643, 0.183643,0.150532, 0.150532,0.124967, 0.124967,0.109661, 0.109661,0.147681, 0.147681,0.102278, 0.102278,0.000000
7,0.167398, 0.167398,0.188342, 0.188342,0.155887, 0.155887,0.125944, 0.125944,0.128842, 0.128842,0.149624, 0.149624,0.083963, 0.083963,0.000000
8,0.222649, 0.222649,0.188099, 0.188099,0.116394, 0.116394,0.160450, 0.160450,0.139003, 0.139003,0.103108, 0.103108,0.070297, 0.070297,0.000000
9,0.180975, 0.180975,0.200829, 0.200829,0.127440, 0.127440,0.154378, 0.154378,0.102834, 0.102834,0.129608, 0.129608,0.103936, 0.103936,0.000000
10,0.174527, 0.174527,0.167000, 0.167000,0.177721, 0.177721,0.131362, 0.131362,0.168104, 0.168104,0.123131, 0.123131,0.058154, 0.058154,0.000000
11,0.218765, 0.218765,0.189333, 0.189333,0.156941, 0.156941,0.150296, 0.150296,0.111803, 0.111803,0.094734, 0.094734,0.078128, 0.078128,0.000000
12,0.221007, 0.221007,0.171280, 0.171280,0.150394, 0.150394,0.144867, 0.144867,0.121586, 0.121586,0.098423, 0.098423,0.092442, 0.092442,0.000000
13,0.186082, 0.186082,0.205109, 0.205109,0.163402, 0.163402,0.120965, 0.120965,0.110069, 0.110069,0.128873, 0.128873,0.085500, 0.085500,0.000000
14,0.151486, 0.151486,0.159997, 0.159997,0.124184, 0.124184,0.184536, 0.184536,0.183716, 0.183716,0.134953, 0.134953,0.061128, 0.061128,0.000000
15,0.187723, 0.187723,0.206203, 0.206203,0.132423, 0.132423,0.155700, 0.155700,0.137527, 0.137527,0.067795, 0.067795,0.112629, 0.112629,0.000000
16,0.203606, 0.203606,0.174538, 0.174538,0.176137, 0.176137,0.147979, 0.147979,0.121729, 0.121729,0.096074, 0.096074,0.079936, 0.079936,0.000000
17,0.177530, 0.177530,0.158125, 0.158125,0.179261, 0.179261,0.163440, 0.163440,0.112944, 0.112944,0.125466, 0.125466,0.083233, 0.083233,0.000000
18,0.153392, 0.153392,0.203052, 0.203052,0.197524, 0.197524,0.136421, 0.136421,0.106391, 0.106391,0.123295, 0.123295,0.079925, 0.079925,0.000000
