ó^Ç¶ÇΩèdóvìx,0.115000,0.245000,0.110000,0.230000,0.105000,0.215000,0.090000,0.190000,0.085000,0.175000,0.080000,0.160000,0.065000,0.135000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
1,0.087214, 0.166746,0.183380, 0.244548,0.080771, 0.174429,0.083565, 0.200064,0.100032, 0.202916,0.081304, 0.197475,0.087214, 0.110341,0.593038
2,0.086215, 0.263113,0.154784, 0.204897,0.089867, 0.199468,0.098278, 0.210433,0.074632, 0.198378,0.083275, 0.149265,0.065778, 0.121617,0.694342
3,0.134290, 0.275903,0.140064, 0.197331,0.128526, 0.268581,0.097430, 0.140429,0.111999, 0.153617,0.076808, 0.156622,0.058327, 0.060073,0.505110
4,0.129974, 0.296565,0.143356, 0.271135,0.137176, 0.153712,0.110153, 0.156201,0.075752, 0.110153,0.076376, 0.083613,0.098295, 0.157538,0.457835
5,0.119312, 0.222431,0.109956, 0.204857,0.101728, 0.177372,0.117832, 0.225507,0.084993, 0.123978,0.110743, 0.194639,0.088330, 0.118323,0.534212
6,0.121298, 0.256000,0.166096, 0.242667,0.116447, 0.187930,0.076391, 0.126138,0.079110, 0.152783,0.103579, 0.173956,0.091330, 0.106275,0.491498
7,0.137480, 0.222204,0.112136, 0.241683,0.110109, 0.279824,0.109545, 0.132782,0.069443, 0.145879,0.072940, 0.155053,0.079933, 0.130991,0.616833
8,0.144423, 0.184023,0.103767, 0.234978,0.135954, 0.207601,0.072195, 0.114345,0.083342, 0.144389,0.175406, 0.182563,0.072590, 0.144423,0.424645
9,0.166545, 0.290661,0.114256, 0.130676,0.123504, 0.149758,0.130676, 0.175245,0.074871, 0.130019,0.122961, 0.154630,0.069652, 0.166545,0.395069
10,0.095269, 0.269001,0.179185, 0.205453,0.094928, 0.126396,0.082576, 0.211788,0.063198, 0.211376,0.068588, 0.165151,0.078712, 0.148379,0.675089
11,0.189524, 0.257391,0.092357, 0.158443,0.112209, 0.194664,0.103537, 0.171265,0.141912, 0.189524,0.075538, 0.109242,0.082398, 0.121998,0.405052
12,0.117884, 0.199276,0.133903, 0.197645,0.106250, 0.275963,0.084117, 0.138238,0.066539, 0.169944,0.073527, 0.224914,0.066425, 0.145373,0.702710
13,0.128580, 0.240438,0.120219, 0.240095,0.140652, 0.185401,0.092700, 0.182830,0.075171, 0.157945,0.071678, 0.141301,0.065982, 0.157009,0.610037
14,0.103551, 0.210298,0.093841, 0.250836,0.099100, 0.182434,0.104608, 0.211654,0.091217, 0.223908,0.103424, 0.114642,0.083612, 0.126874,0.641293
15,0.095862, 0.246731,0.160618, 0.277980,0.090254, 0.154859,0.131424, 0.160618,0.073274, 0.180507,0.109948, 0.163548,0.058515, 0.095862,0.560211
16,0.136867, 0.277639,0.095376, 0.190070,0.072296, 0.190787,0.126652, 0.176452,0.131588, 0.136867,0.076163, 0.160287,0.088226, 0.140729,0.545662
17,0.107717, 0.232539,0.099799, 0.196381,0.110044, 0.235845,0.146457, 0.217328,0.112504, 0.156632,0.062901, 0.132882,0.066223, 0.122747,0.588710
