ó^Ç¶ÇΩèdóvìx,0.115000,0.245000,0.110000,0.230000,0.105000,0.215000,0.090000,0.190000,0.085000,0.175000,0.080000,0.160000,0.065000,0.135000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
1,0.126980, 0.126980,0.213964, 0.213964,0.127600, 0.127600,0.141815, 0.141815,0.151474, 0.151474,0.139390, 0.139390,0.098778, 0.098778,0.000000
2,0.174664, 0.174664,0.179840, 0.179840,0.144667, 0.144667,0.154355, 0.154355,0.136505, 0.136505,0.116270, 0.116270,0.093698, 0.093698,0.000000
3,0.205097, 0.205097,0.168697, 0.168697,0.198553, 0.198553,0.118929, 0.118929,0.132808, 0.132808,0.116715, 0.116715,0.059200, 0.059200,0.000000
4,0.213270, 0.213270,0.207245, 0.207245,0.145444, 0.145444,0.133177, 0.133177,0.092953, 0.092953,0.079995, 0.079995,0.127917, 0.127917,0.000000
5,0.170871, 0.170871,0.157407, 0.157407,0.139550, 0.139550,0.171669, 0.171669,0.104486, 0.104486,0.152691, 0.152691,0.103327, 0.103327,0.000000
6,0.188649, 0.188649,0.204382, 0.204382,0.152188, 0.152188,0.101265, 0.101265,0.115946, 0.115946,0.138768, 0.138768,0.098803, 0.098803,0.000000
7,0.179842, 0.179842,0.176909, 0.176909,0.194967, 0.194967,0.121163, 0.121163,0.107661, 0.107661,0.113996, 0.113996,0.105462, 0.105462,0.000000
8,0.164223, 0.164223,0.169373, 0.169373,0.171778, 0.171778,0.093270, 0.093270,0.113866, 0.113866,0.178985, 0.178985,0.108507, 0.108507,0.000000
9,0.228603, 0.228603,0.122466, 0.122466,0.136631, 0.136631,0.152961, 0.152961,0.102445, 0.102445,0.138796, 0.138796,0.118098, 0.118098,0.000000
10,0.182135, 0.182135,0.192319, 0.192319,0.110662, 0.110662,0.147182, 0.147182,0.137287, 0.137287,0.116870, 0.116870,0.113546, 0.113546,0.000000
11,0.223457, 0.223457,0.125400, 0.125400,0.153436, 0.153436,0.137401, 0.137401,0.165718, 0.165718,0.092390, 0.092390,0.102198, 0.102198,0.000000
12,0.158580, 0.158580,0.165774, 0.165774,0.191106, 0.191106,0.111178, 0.111178,0.118241, 0.118241,0.149221, 0.149221,0.105899, 0.105899,0.000000
13,0.184509, 0.184509,0.180157, 0.180157,0.163026, 0.163026,0.137765, 0.137765,0.116558, 0.116558,0.106489, 0.106489,0.111495, 0.111495,0.000000
14,0.156925, 0.156925,0.172339, 0.172339,0.140767, 0.140767,0.158131, 0.158131,0.157563, 0.157563,0.109033, 0.109033,0.105243, 0.105243,0.000000
15,0.171297, 0.171297,0.219299, 0.219299,0.122556, 0.122556,0.146021, 0.146021,0.126891, 0.126891,0.136748, 0.136748,0.077189, 0.077189,0.000000
16,0.207253, 0.207253,0.142723, 0.142723,0.131541, 0.131541,0.151552, 0.151552,0.134228, 0.134228,0.118225, 0.118225,0.114478, 0.114478,0.000000
17,0.170128, 0.170128,0.148090, 0.148090,0.172945, 0.172945,0.181892, 0.181892,0.134568, 0.134568,0.097891, 0.097891,0.094485, 0.094485,0.000000
18,0.191939, 0.191939,0.186755, 0.186755,0.176250, 0.176250,0.102553, 0.102553,0.115240, 0.115240,0.137848, 0.137848,0.089417, 0.089417,0.000000
