ó^Ç¶ÇΩèdóvìx,0.120000,0.240000,0.120000,0.220000,0.120000,0.200000,0.110000,0.170000,0.090000,0.170000,0.070000,0.170000,0.040000,0.160000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
1,0.092936, 0.222092,0.105105, 0.262981,0.131424, 0.250858,0.051107, 0.191141,0.047705, 0.296123,0.023565, 0.145827,0.000001, 0.179135,1.096313
2,0.105257, 0.228314,0.139081, 0.216035,0.085148, 0.254942,0.105257, 0.216035,0.050909, 0.194148,0.009524, 0.232073,0.000001, 0.163275,1.009643
3,0.088473, 0.292877,0.113868, 0.198829,0.060110, 0.312624,0.109963, 0.182915,0.080393, 0.162865,0.019802, 0.232283,0.000001, 0.144998,1.054781
4,0.139167, 0.247163,0.092625, 0.306881,0.063148, 0.234253,0.081809, 0.169574,0.067128, 0.177749,0.064501, 0.172563,0.053627, 0.129812,0.875988
5,0.098067, 0.267768,0.133884, 0.281217,0.020218, 0.258190,0.091598, 0.177411,0.092508, 0.175260,0.039191, 0.134504,0.048175, 0.182010,0.952720
6,0.121732, 0.243684,0.104089, 0.166855,0.117163, 0.221644,0.099281, 0.180819,0.150932, 0.176540,0.079129, 0.171153,0.042988, 0.123991,0.569373
7,0.107232, 0.191335,0.085635, 0.298567,0.091625, 0.268056,0.089920, 0.178136,0.069734, 0.179841,0.000001, 0.241925,0.016050, 0.181943,1.079604
8,0.086821, 0.212094,0.115857, 0.239248,0.049358, 0.308378,0.126021, 0.220083,0.075827, 0.169818,0.077094, 0.148161,0.045218, 0.126021,0.847605
9,0.038684, 0.316665,0.084245, 0.284279,0.074358, 0.259610,0.000001, 0.279476,0.065536, 0.154336,0.074836, 0.222546,0.000001, 0.145427,1.324679
10,0.075501, 0.392013,0.145264, 0.255130,0.054338, 0.229404,0.076822, 0.127565,0.102194, 0.152936,0.000001, 0.219269,0.000001, 0.169562,1.091758
11,0.085507, 0.214342,0.111365, 0.216186,0.100841, 0.327551,0.115279, 0.214593,0.081888, 0.166857,0.018497, 0.149925,0.031337, 0.165830,0.910569
12,0.110204, 0.259875,0.048431, 0.264371,0.129937, 0.266619,0.101600, 0.158275,0.096831, 0.166880,0.091847, 0.179073,0.006917, 0.119140,0.828467
13,0.107667, 0.258431,0.047141, 0.245839,0.153345, 0.338334,0.049293, 0.215334,0.073241, 0.142093,0.026005, 0.180659,0.022983, 0.139636,1.040650
14,0.046915, 0.348145,0.094269, 0.203980,0.094269, 0.203980,0.114980, 0.233165,0.056593, 0.198940,0.007314, 0.227386,0.020940, 0.149124,1.129440
