ó^Ç¶ÇΩèdóvìx,0.120000,0.240000,0.120000,0.220000,0.120000,0.200000,0.110000,0.170000,0.090000,0.170000,0.070000,0.170000,0.040000,0.160000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
1,0.157514, 0.157514,0.184043, 0.184043,0.191141, 0.191141,0.121124, 0.121124,0.171914, 0.171914,0.084696, 0.084696,0.089568, 0.089568,0.000000
2,0.166786, 0.166786,0.177558, 0.177558,0.170045, 0.170045,0.160646, 0.160646,0.122528, 0.122528,0.120798, 0.120798,0.081638, 0.081638,0.000000
3,0.190675, 0.190675,0.156348, 0.156348,0.186367, 0.186367,0.146439, 0.146439,0.121629, 0.121629,0.126042, 0.126042,0.072499, 0.072499,0.000000
4,0.193165, 0.193165,0.199753, 0.199753,0.148700, 0.148700,0.125692, 0.125692,0.122439, 0.122439,0.118532, 0.118532,0.091719, 0.091719,0.000000
5,0.182917, 0.182917,0.207550, 0.207550,0.139204, 0.139204,0.134504, 0.134504,0.133884, 0.133884,0.086848, 0.086848,0.115092, 0.115092,0.000000
6,0.182708, 0.182708,0.135472, 0.135472,0.169404, 0.169404,0.140050, 0.140050,0.163736, 0.163736,0.125141, 0.125141,0.083490, 0.083490,0.000000
7,0.149283, 0.149283,0.192101, 0.192101,0.179841, 0.179841,0.134028, 0.134028,0.124788, 0.124788,0.120963, 0.120963,0.098997, 0.098997,0.000000
8,0.149457, 0.149457,0.177553, 0.177553,0.178868, 0.178868,0.173052, 0.173052,0.122823, 0.122823,0.112628, 0.112628,0.085620, 0.085620,0.000000
9,0.177675, 0.177675,0.184262, 0.184262,0.166984, 0.166984,0.139738, 0.139738,0.109936, 0.109936,0.148691, 0.148691,0.072714, 0.072714,0.000000
10,0.233757, 0.233757,0.200197, 0.200197,0.141871, 0.141871,0.102194, 0.102194,0.127565, 0.127565,0.109635, 0.109635,0.084782, 0.084782,0.000000
11,0.149925, 0.149925,0.163776, 0.163776,0.214196, 0.214196,0.164936, 0.164936,0.124372, 0.124372,0.084211, 0.084211,0.098584, 0.098584,0.000000
12,0.185039, 0.185039,0.156401, 0.156401,0.198278, 0.198278,0.129937, 0.129937,0.131855, 0.131855,0.135460, 0.135460,0.063029, 0.063029,0.000000
13,0.183049, 0.183049,0.146490, 0.146490,0.245839, 0.245839,0.132313, 0.132313,0.107667, 0.107667,0.103332, 0.103332,0.081310, 0.081310,0.000000
14,0.197530, 0.197530,0.149124, 0.149124,0.149124, 0.149124,0.174072, 0.174072,0.127766, 0.127766,0.117350, 0.117350,0.085032, 0.085032,0.000000
15,0.166302, 0.166302,0.211244, 0.211244,0.142171, 0.142171,0.124284, 0.124284,0.161870, 0.161870,0.128154, 0.128154,0.065976, 0.065976,0.000000
16,0.198174, 0.198174,0.162829, 0.162829,0.155243, 0.155243,0.133509, 0.133509,0.147371, 0.147371,0.099047, 0.099047,0.103827, 0.103827,0.000000
17,0.138956, 0.138956,0.214759, 0.214759,0.207123, 0.207123,0.138956, 0.138956,0.111114, 0.111114,0.108950, 0.108950,0.080141, 0.080141,0.000000
18,0.170496, 0.170496,0.154158, 0.154158,0.158517, 0.158517,0.116838, 0.116838,0.165484, 0.165484,0.115570, 0.115570,0.118936, 0.118936,0.000000
19,0.171789, 0.171789,0.185939, 0.185939,0.121536, 0.121536,0.156116, 0.156116,0.110027, 0.110027,0.168574, 0.168574,0.086018, 0.086018,0.000000
20,0.199890, 0.199890,0.198126, 0.198126,0.145103, 0.145103,0.166451, 0.166451,0.112292, 0.112292,0.119264, 0.119264,0.058874, 0.058874,0.000000
21,0.159528, 0.159528,0.200556, 0.200556,0.172918, 0.172918,0.137759, 0.137759,0.097696, 0.097696,0.100038, 0.100038,0.131505, 0.131505,0.000000
22,0.153010, 0.153010,0.169300, 0.169300,0.159560, 0.159560,0.131953, 0.131953,0.139999, 0.139999,0.122717, 0.122717,0.123462, 0.123462,0.000000
23,0.231343, 0.231343,0.130382, 0.130382,0.200391, 0.200391,0.135823, 0.135823,0.119604, 0.119604,0.122499, 0.122499,0.059958, 0.059958,0.000000
24,0.205069, 0.205069,0.180444, 0.180444,0.197463, 0.197463,0.145265, 0.145265,0.104929, 0.104929,0.101734, 0.101734,0.065097, 0.065097,0.000000
25,0.180303, 0.180303,0.176118, 0.176118,0.180431, 0.180431,0.159251, 0.159251,0.120286, 0.120286,0.118162, 0.118162,0.065449, 0.065449,0.000000
26,0.213476, 0.213476,0.176261, 0.176261,0.144833, 0.144833,0.148518, 0.148518,0.111717, 0.111717,0.134009, 0.134009,0.071186, 0.071186,0.000000
27,0.135889, 0.135889,0.237645, 0.237645,0.149528, 0.149528,0.150466, 0.150466,0.100377, 0.100377,0.135472, 0.135472,0.090624, 0.090624,0.000000
28,0.173990, 0.173990,0.180717, 0.180717,0.136360, 0.136360,0.141319, 0.141319,0.148904, 0.148904,0.126725, 0.126725,0.091985, 0.091985,0.000000
29,0.200517, 0.200517,0.168017, 0.168017,0.179185, 0.179185,0.169333, 0.169333,0.109200, 0.109200,0.085197, 0.085197,0.088550, 0.088550,0.000000
30,0.117070, 0.117070,0.162167, 0.162167,0.229366, 0.229366,0.114090, 0.114090,0.138729, 0.138729,0.112262, 0.112262,0.126316, 0.126316,0.000000
31,0.147414, 0.147414,0.184367, 0.184367,0.156243, 0.156243,0.184035, 0.184035,0.139215, 0.139215,0.125015, 0.125015,0.063711, 0.063711,0.000000
32,0.196486, 0.196486,0.163287, 0.163287,0.221822, 0.221822,0.133186, 0.133186,0.119926, 0.119926,0.092983, 0.092983,0.072308, 0.072308,0.000000
33,0.231919, 0.231919,0.191188, 0.191188,0.144982, 0.144982,0.110899, 0.110899,0.119798, 0.119798,0.131341, 0.131341,0.069873, 0.069873,0.000000
34,0.198837, 0.198837,0.153248, 0.153248,0.181971, 0.181971,0.110056, 0.110056,0.127322, 0.127322,0.115914, 0.115914,0.112653, 0.112653,0.000000
35,0.127418, 0.127418,0.176132, 0.176132,0.201890, 0.201890,0.150811, 0.150811,0.127063, 0.127063,0.149310, 0.149310,0.067375, 0.067375,0.000000
36,0.221904, 0.221904,0.189932, 0.189932,0.147096, 0.147096,0.121177, 0.121177,0.112517, 0.112517,0.089386, 0.089386,0.117988, 0.117988,0.000000
37,0.169760, 0.169760,0.134619, 0.134619,0.155475, 0.155475,0.156628, 0.156628,0.154925, 0.154925,0.104406, 0.104406,0.124186, 0.124186,0.000000
38,0.187802, 0.187802,0.177934, 0.177934,0.169283, 0.169283,0.132575, 0.132575,0.111307, 0.111307,0.127098, 0.127098,0.094002, 0.094002,0.000000
39,0.149746, 0.149746,0.187990, 0.187990,0.158000, 0.158000,0.154811, 0.154811,0.116697, 0.116697,0.139452, 0.139452,0.093304, 0.093304,0.000000
40,0.173130, 0.173130,0.177783, 0.177783,0.160956, 0.160956,0.140602, 0.140602,0.154571, 0.154571,0.122207, 0.122207,0.070752, 0.070752,0.000000
41,0.175206, 0.175206,0.188259, 0.188259,0.164381, 0.164381,0.147085, 0.147085,0.162775, 0.162775,0.103676, 0.103676,0.058618, 0.058618,0.000000
42,0.182026, 0.182026,0.195942, 0.195942,0.195175, 0.195175,0.110989, 0.110989,0.115984, 0.115984,0.132635, 0.132635,0.067249, 0.067249,0.000000
43,0.173202, 0.173202,0.205252, 0.205252,0.171251, 0.171251,0.120304, 0.120304,0.104824, 0.104824,0.132700, 0.132700,0.092467, 0.092467,0.000000
44,0.151147, 0.151147,0.158601, 0.158601,0.187140, 0.187140,0.152117, 0.152117,0.121073, 0.121073,0.147213, 0.147213,0.082709, 0.082709,0.000000
45,0.176099, 0.176099,0.169286, 0.169286,0.165427, 0.165427,0.107519, 0.107519,0.168333, 0.168333,0.129509, 0.129509,0.083828, 0.083828,0.000000
46,0.183286, 0.183286,0.202914, 0.202914,0.121157, 0.121157,0.141465, 0.141465,0.140083, 0.140083,0.102176, 0.102176,0.108918, 0.108918,0.000000
47,0.182406, 0.182406,0.165986, 0.165986,0.155075, 0.155075,0.136740, 0.136740,0.136332, 0.136332,0.085976, 0.085976,0.137483, 0.137483,0.000000
48,0.226361, 0.226361,0.169781, 0.169781,0.175981, 0.175981,0.119723, 0.119723,0.110896, 0.110896,0.097409, 0.097409,0.099850, 0.099850,0.000000
49,0.196097, 0.196097,0.169249, 0.169249,0.191978, 0.191978,0.133397, 0.133397,0.123072, 0.123072,0.108275, 0.108275,0.077933, 0.077933,0.000000
50,0.186094, 0.186094,0.188742, 0.188742,0.129723, 0.129723,0.155640, 0.155640,0.142244, 0.142244,0.135879, 0.135879,0.061679, 0.061679,0.000000
