ó^Ç¶ÇΩèdóvìx,0.130000,0.230000,0.120000,0.220000,0.110000,0.210000,0.090000,0.190000,0.080000,0.180000,0.070000,0.170000,0.050000,0.150000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
1,0.162902, 0.213922,0.134330, 0.189092,0.134330, 0.189092,0.101859, 0.159971,0.081451, 0.188412,0.064505, 0.153127,0.067165, 0.159841,0.506916
2,0.207429, 0.253064,0.115619, 0.190865,0.082337, 0.193760,0.096880, 0.219333,0.092471, 0.157947,0.069143, 0.128185,0.052932, 0.140034,0.566378
3,0.161056, 0.203181,0.161056, 0.203181,0.161056, 0.203181,0.080528, 0.182882,0.045759, 0.171408,0.080528, 0.117158,0.053685, 0.175342,0.512663
4,0.188953, 0.225583,0.147345, 0.212763,0.105466, 0.175123,0.066870, 0.165485,0.066870, 0.197357,0.094477, 0.161517,0.057538, 0.134655,0.544965
5,0.136472, 0.192918,0.107110, 0.179519,0.167038, 0.238029,0.089730, 0.201226,0.072894, 0.187088,0.068005, 0.151606,0.049118, 0.159246,0.619264
6,0.147164, 0.199035,0.147164, 0.185854,0.147164, 0.187980,0.092715, 0.172805,0.082129, 0.172805,0.082511, 0.164258,0.052456, 0.165961,0.497396
7,0.107021, 0.161853,0.214043, 0.250673,0.146363, 0.225948,0.071667, 0.146022,0.118010, 0.167101,0.059005, 0.153627,0.048788, 0.129879,0.470203
8,0.159365, 0.224365,0.098390, 0.197801,0.178923, 0.227534,0.087948, 0.201882,0.070537, 0.144921,0.058175, 0.139798,0.034867, 0.175494,0.623590
9,0.182273, 0.222407,0.185176, 0.224585,0.103550, 0.204223,0.097514, 0.201321,0.074136, 0.139265,0.074136, 0.130996,0.034737, 0.125683,0.496958
10,0.171364, 0.284560,0.131291, 0.184405,0.142280, 0.189899,0.079573, 0.170407,0.044548, 0.179044,0.044898, 0.182002,0.065363, 0.130366,0.641367
11,0.189577, 0.231701,0.105777, 0.197513,0.173704, 0.216032,0.068995, 0.128802,0.094788, 0.163964,0.049662, 0.140974,0.043832, 0.194679,0.547330
12,0.154938, 0.200393,0.146367, 0.184289,0.092145, 0.182411,0.143034, 0.184700,0.077469, 0.173839,0.077469, 0.182411,0.040358, 0.160176,0.536440
13,0.193341, 0.229038,0.114519, 0.157376,0.114519, 0.159757,0.096671, 0.222249,0.114519, 0.152614,0.064402, 0.147100,0.040554, 0.193341,0.522951
14,0.169605, 0.217224,0.095791, 0.195579,0.169605, 0.208066,0.095791, 0.195246,0.084802, 0.141426,0.046217, 0.137836,0.059601, 0.183210,0.557175
15,0.213120, 0.271162,0.099106, 0.230977,0.100349, 0.231753,0.049553, 0.149731,0.089254, 0.157351,0.079050, 0.145904,0.044416, 0.138276,0.650308
16,0.165269, 0.241248,0.110714, 0.208126,0.081446, 0.195344,0.104999, 0.185729,0.057364, 0.227141,0.075952, 0.171055,0.036430, 0.139182,0.735652
17,0.146228, 0.268184,0.121337, 0.168956,0.121337, 0.195598,0.078525, 0.189086,0.076154, 0.189086,0.070521, 0.188782,0.040241, 0.145967,0.691314
18,0.149137, 0.179749,0.084772, 0.171115,0.149137, 0.189953,0.149137, 0.189953,0.081894, 0.171115,0.074568, 0.163789,0.074568, 0.171115,0.473574
19,0.195878, 0.241332,0.180005, 0.227624,0.097939, 0.152623,0.060005, 0.210915,0.051102, 0.140419,0.053202, 0.195042,0.055463, 0.138451,0.612813
20,0.162971, 0.216542,0.166218, 0.224659,0.049671, 0.213696,0.062260, 0.198685,0.070483, 0.135057,0.062260, 0.175659,0.066401, 0.195438,0.719473
21,0.123776, 0.244151,0.116867, 0.195515,0.080562, 0.168594,0.110171, 0.257544,0.065823, 0.153255,0.079399, 0.159278,0.083864, 0.161202,0.679077
22,0.188201, 0.241262,0.106345, 0.206532,0.107493, 0.226378,0.104682, 0.219451,0.057254, 0.209365,0.035159, 0.138998,0.043262, 0.115615,0.715203
23,0.146945, 0.197486,0.148136, 0.206686,0.148136, 0.196747,0.074068, 0.179271,0.056990, 0.171381,0.083862, 0.179271,0.041931, 0.169088,0.599863
24,0.168420, 0.216039,0.115796, 0.208102,0.184293, 0.231912,0.062100, 0.149410,0.072013, 0.142112,0.072013, 0.145208,0.054139, 0.178445,0.542454
25,0.142659, 0.202083,0.096100, 0.189598,0.094268, 0.224853,0.129211, 0.219672,0.057157, 0.164925,0.076432, 0.162824,0.068148, 0.172071,0.672051
26,0.085893, 0.160446,0.171786, 0.224167,0.171786, 0.224167,0.063358, 0.192194,0.040254, 0.187915,0.085893, 0.203877,0.057262, 0.131006,0.647539
27,0.148145, 0.171955,0.148145, 0.182159,0.084277, 0.162797,0.148145, 0.182159,0.074073, 0.162797,0.148145, 0.182159,0.049382, 0.155664,0.399378
28,0.099509, 0.199430,0.135258, 0.209170,0.099715, 0.270516,0.135258, 0.199018,0.085594, 0.143417,0.053582, 0.137859,0.062581, 0.169092,0.657006
29,0.166813, 0.216264,0.152527, 0.195385,0.083407, 0.194286,0.094396, 0.196575,0.076264, 0.182289,0.083407, 0.182289,0.041703, 0.134396,0.602967
30,0.122566, 0.200937,0.146375, 0.215943,0.076589, 0.245131,0.122566, 0.180389,0.095366, 0.182089,0.095366, 0.158280,0.047683, 0.110720,0.586978
31,0.181697, 0.225653,0.166918, 0.212485,0.090848, 0.157180,0.101837, 0.194820,0.090848, 0.209599,0.048361, 0.192411,0.030621, 0.096722,0.577737
32,0.183798, 0.219287,0.158709, 0.199671,0.096507, 0.169531,0.164000, 0.206072,0.079354, 0.128571,0.050397, 0.104774,0.073096, 0.166232,0.388278
33,0.143082, 0.196654,0.077493, 0.193448,0.154987, 0.206007,0.077493, 0.193448,0.077493, 0.193448,0.077493, 0.193448,0.043849, 0.171654,0.696217
34,0.111314, 0.225400,0.123424, 0.186651,0.101626, 0.233081,0.111314, 0.177859,0.049612, 0.153093,0.108121, 0.203253,0.054061, 0.161190,0.681055
35,0.101183, 0.221937,0.087250, 0.147232,0.148031, 0.202366,0.148031, 0.208893,0.109137, 0.185730,0.039554, 0.171141,0.054568, 0.174947,0.624489
36,0.182636, 0.223008,0.102307, 0.199302,0.182636, 0.220334,0.091318, 0.135991,0.103223, 0.199302,0.039836, 0.139557,0.048765, 0.131785,0.498562
37,0.155157, 0.186903,0.155157, 0.210835,0.087102, 0.171641,0.155157, 0.191787,0.077579, 0.171030,0.103586, 0.171030,0.055382, 0.107654,0.421760
38,0.096018, 0.201294,0.157644, 0.199972,0.086758, 0.192035,0.086758, 0.185421,0.151150, 0.198769,0.086758, 0.174960,0.054352, 0.128112,0.561125
39,0.095266, 0.185495,0.152266, 0.214341,0.148865, 0.199885,0.085062, 0.178125,0.070747, 0.184186,0.070747, 0.183053,0.049622, 0.182341,0.654851
40,0.143922, 0.177652,0.155827, 0.194943,0.143922, 0.177652,0.077913, 0.170479,0.155827, 0.194943,0.055605, 0.157080,0.040788, 0.153446,0.452390
41,0.158983, 0.199799,0.145996, 0.191450,0.134091, 0.188745,0.079491, 0.186455,0.079491, 0.186455,0.079491, 0.161564,0.044848, 0.163139,0.555216
42,0.121997, 0.191495,0.161255, 0.248457,0.082105, 0.191495,0.069919, 0.186432,0.072581, 0.207123,0.072581, 0.162060,0.048388, 0.184112,0.742349
43,0.179342, 0.225260,0.089671, 0.166020,0.132290, 0.211484,0.064567, 0.198139,0.099875, 0.168005,0.089671, 0.211484,0.035057, 0.129135,0.619055
44,0.122101, 0.217989,0.139595, 0.244203,0.192479, 0.243170,0.096239, 0.171342,0.041584, 0.171377,0.077005, 0.139097,0.032080, 0.111739,0.597832
45,0.177619, 0.226850,0.113425, 0.228755,0.100092, 0.213810,0.100092, 0.152040,0.092619, 0.161044,0.050046, 0.192657,0.050046, 0.140908,0.632124
46,0.147164, 0.191382,0.147164, 0.199035,0.092715, 0.172805,0.147164, 0.185854,0.073582, 0.172805,0.082511, 0.172805,0.049055, 0.165961,0.521293
47,0.159961, 0.187434,0.159961, 0.192306,0.159961, 0.198423,0.090970, 0.177818,0.079981, 0.177818,0.079981, 0.121138,0.048077, 0.166172,0.442218
48,0.164949, 0.220626,0.102987, 0.192726,0.164949, 0.206219,0.091998, 0.162511,0.082474, 0.192726,0.050202, 0.176469,0.069351, 0.121812,0.546180
49,0.090294, 0.178699,0.160181, 0.204398,0.160181, 0.196811,0.089350, 0.187958,0.091079, 0.183990,0.080090, 0.187958,0.057362, 0.131648,0.542926
50,0.213362, 0.260981,0.128110, 0.184334,0.113824, 0.174406,0.071991, 0.168726,0.064301, 0.154440,0.058799, 0.153233,0.040131, 0.213362,0.618964
51,0.148106, 0.200487,0.101113, 0.196122,0.162392, 0.210011,0.066221, 0.205890,0.074053, 0.181836,0.090124, 0.181836,0.049369, 0.132442,0.617245
52,0.159276, 0.201400,0.159276, 0.201400,0.159276, 0.201400,0.048675, 0.172146,0.086073, 0.181101,0.079638, 0.181101,0.053092, 0.116148,0.509391
53,0.162710, 0.200304,0.126826, 0.190966,0.161826, 0.206643,0.096393, 0.186315,0.054439, 0.153142,0.060945, 0.157750,0.058023, 0.183719,0.557678
54,0.172697, 0.215025,0.174284, 0.219522,0.094285, 0.202422,0.094285, 0.137936,0.086348, 0.200835,0.053095, 0.131552,0.033499, 0.184217,0.583017
55,0.178099, 0.215136,0.108891, 0.197147,0.193972, 0.225718,0.096986, 0.213020,0.096986, 0.139194,0.044955, 0.124636,0.040626, 0.124636,0.478971
56,0.148446, 0.184160,0.148446, 0.184160,0.148446, 0.184160,0.074223, 0.161633,0.148446, 0.184160,0.074223, 0.164929,0.040408, 0.154160,0.434725
57,0.123712, 0.254378,0.127189, 0.223730,0.127189, 0.178034,0.068609, 0.132989,0.106939, 0.171231,0.099376, 0.165449,0.065207, 0.155970,0.563559
58,0.093561, 0.197611,0.165143, 0.216164,0.082572, 0.192616,0.082572, 0.197611,0.126182, 0.197611,0.082572, 0.164644,0.046388, 0.154754,0.642021
59,0.173734, 0.223583,0.141988, 0.192252,0.141988, 0.192252,0.074528, 0.154233,0.070994, 0.162491,0.109240, 0.161829,0.066251, 0.134637,0.442555
60,0.115620, 0.150012,0.075006, 0.200188,0.191784, 0.251648,0.070244, 0.153214,0.067334, 0.200188,0.115620, 0.169059,0.095892, 0.144191,0.537000
61,0.097951, 0.228870,0.108940, 0.202755,0.168193, 0.238141,0.103446, 0.176310,0.070914, 0.158724,0.065988, 0.147735,0.042048, 0.189985,0.685040
62,0.159025, 0.224424,0.110048, 0.180850,0.137417, 0.207160,0.085465, 0.176532,0.072110, 0.181582,0.051736, 0.179859,0.062543, 0.171251,0.643314
63,0.190850, 0.220071,0.181326, 0.222993,0.108412, 0.208707,0.095425, 0.143044,0.095425, 0.137092,0.060158, 0.194610,0.026832, 0.115053,0.483140
64,0.167929, 0.209198,0.183802, 0.217135,0.101425, 0.182214,0.125752, 0.198087,0.096663, 0.143609,0.062876, 0.126368,0.052980, 0.131963,0.417150
65,0.134211, 0.229274,0.101244, 0.235456,0.101244, 0.167178,0.078095, 0.176228,0.112233, 0.178167,0.067106, 0.176228,0.067106, 0.176228,0.677521
66,0.159341, 0.192308,0.083639, 0.171245,0.159341, 0.192308,0.079670, 0.167277,0.079670, 0.112637,0.090659, 0.171245,0.159341, 0.181319,0.376679
67,0.150293, 0.197912,0.150293, 0.186008,0.150293, 0.194511,0.075147, 0.179597,0.053499, 0.165331,0.082665, 0.179597,0.062003, 0.172850,0.551613
