ó^Ç¶ÇΩèdóvìx,0.130000,0.230000,0.120000,0.220000,0.110000,0.210000,0.090000,0.190000,0.080000,0.180000,0.070000,0.170000,0.050000,0.150000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
1,0.095814, 0.239535,0.067070, 0.257101,0.067070, 0.257101,0.051592, 0.223566,0.047907, 0.215582,0.034395, 0.194150,0.033535, 0.215582,1.205234
2,0.105393, 0.307396,0.059283, 0.242403,0.042872, 0.179558,0.046841, 0.210786,0.046841, 0.257627,0.035131, 0.217373,0.023421, 0.225076,1.280436
3,0.095501, 0.278545,0.095501, 0.278545,0.095501, 0.278545,0.047751, 0.198298,0.023875, 0.152940,0.047751, 0.206919,0.031834, 0.168492,1.124571
4,0.099911, 0.266428,0.072158, 0.252552,0.054118, 0.234512,0.030925, 0.206165,0.030925, 0.191005,0.049955, 0.234512,0.033304, 0.243532,1.257411
5,0.040632, 0.221220,0.051919, 0.250942,0.089004, 0.281846,0.044502, 0.244951,0.032791, 0.218606,0.034613, 0.255339,0.025959, 0.207676,1.361160
6,0.081779, 0.249231,0.081779, 0.258966,0.081779, 0.280385,0.046731, 0.218077,0.040889, 0.218077,0.046731, 0.178935,0.027260, 0.189383,1.186106
7,0.053698, 0.245619,0.107396, 0.286390,0.077564, 0.232692,0.041063, 0.219004,0.067556, 0.236445,0.033778, 0.177477,0.025855, 0.195461,1.186180
8,0.066791, 0.256033,0.049871, 0.245198,0.077923, 0.290047,0.044528, 0.233769,0.034633, 0.231543,0.027104, 0.234899,0.016624, 0.191037,1.365055
9,0.084751, 0.217932,0.093519, 0.280556,0.063563, 0.226003,0.057297, 0.226003,0.042376, 0.233066,0.042376, 0.222472,0.019099, 0.190989,1.194040
10,0.067750, 0.234868,0.047252, 0.275634,0.068252, 0.281541,0.039209, 0.255946,0.019604, 0.191547,0.022583, 0.202579,0.033875, 0.259359,1.402948
11,0.101207, 0.295186,0.057204, 0.234944,0.073094, 0.268010,0.031326, 0.219281,0.050603, 0.239216,0.025302, 0.219281,0.020884, 0.164461,1.280761
12,0.089729, 0.299097,0.065801, 0.210564,0.050616, 0.227774,0.054834, 0.246755,0.044865, 0.227774,0.044865, 0.227774,0.025308, 0.184244,1.247963
13,0.061733, 0.222240,0.067907, 0.271627,0.067907, 0.282945,0.030867, 0.238931,0.067907, 0.248991,0.033953, 0.226356,0.022636, 0.156002,1.294182
14,0.095217, 0.309456,0.047609, 0.225059,0.095217, 0.261847,0.047609, 0.206304,0.047609, 0.249284,0.023804, 0.188365,0.025788, 0.176832,1.234295
15,0.086640, 0.274359,0.046652, 0.227429,0.043320, 0.237317,0.023326, 0.209934,0.041826, 0.261412,0.041826, 0.261412,0.019564, 0.224983,1.393694
16,0.061484, 0.266589,0.048748, 0.284361,0.025851, 0.239462,0.048748, 0.301595,0.022749, 0.204740,0.032498, 0.227489,0.015371, 0.220316,1.489104
17,0.074010, 0.269167,0.048312, 0.241560,0.048312, 0.281089,0.026352, 0.251223,0.038650, 0.251223,0.024156, 0.246700,0.019325, 0.179921,1.441766
18,0.091927, 0.229817,0.045963, 0.197996,0.091927, 0.275781,0.091927, 0.275781,0.045963, 0.197996,0.045963, 0.164997,0.045963, 0.197996,1.080731
19,0.107649, 0.305006,0.067779, 0.271116,0.053825, 0.269123,0.027728, 0.192635,0.026912, 0.203337,0.027728, 0.192635,0.026912, 0.227616,1.322935
20,0.048051, 0.264282,0.069893, 0.305780,0.024026, 0.208918,0.032034, 0.235888,0.032034, 0.240256,0.032034, 0.238883,0.032034, 0.235888,1.459788
21,0.053710, 0.238712,0.054563, 0.265235,0.033700, 0.247137,0.053710, 0.238712,0.027281, 0.227345,0.035807, 0.250647,0.036375, 0.237066,1.409707
22,0.095442, 0.302232,0.047721, 0.269672,0.047721, 0.263973,0.047721, 0.226177,0.023860, 0.192454,0.015907, 0.222697,0.013579, 0.230845,1.416099
23,0.060855, 0.248489,0.076068, 0.276611,0.076068, 0.283143,0.038034, 0.226254,0.031207, 0.200179,0.046811, 0.226254,0.023406, 0.186621,1.295102
24,0.073493, 0.220478,0.060130, 0.242526,0.073493, 0.340739,0.030065, 0.233447,0.034812, 0.226280,0.034812, 0.213993,0.030065, 0.185666,1.326258
25,0.042422, 0.254531,0.050906, 0.254531,0.050906, 0.237562,0.060913, 0.251267,0.026996, 0.229463,0.034936, 0.244549,0.033937, 0.227081,1.397968
26,0.045179, 0.230497,0.090358, 0.301395,0.090358, 0.301395,0.027251, 0.190756,0.018167, 0.175373,0.045179, 0.228078,0.030119, 0.225895,1.306776
27,0.097260, 0.210730,0.097260, 0.259360,0.048630, 0.174569,0.097260, 0.259360,0.048630, 0.174569,0.097260, 0.259360,0.032420, 0.143331,0.962559
28,0.042367, 0.215684,0.059313, 0.266910,0.042367, 0.207126,0.059313, 0.231091,0.042367, 0.282444,0.028244, 0.260400,0.028244, 0.234131,1.395570
29,0.093121, 0.302642,0.060528, 0.242114,0.046560, 0.209522,0.046560, 0.226982,0.030264, 0.226982,0.046560, 0.226982,0.023280, 0.217902,1.306251
30,0.046509, 0.232544,0.076603, 0.268110,0.031006, 0.195337,0.046509, 0.279053,0.044905, 0.255799,0.044905, 0.209290,0.022453, 0.246978,1.374222
31,0.097164, 0.291493,0.065335, 0.266783,0.048582, 0.261650,0.052012, 0.241772,0.048582, 0.241772,0.018045, 0.173681,0.014802, 0.178325,1.310956
32,0.120252, 0.257683,0.083031, 0.249094,0.060126, 0.192482,0.096423, 0.261147,0.041516, 0.228336,0.032490, 0.184113,0.041516, 0.151792,1.049291
33,0.046803, 0.257418,0.040117, 0.237616,0.080234, 0.280819,0.040117, 0.237616,0.040117, 0.237616,0.040117, 0.237616,0.021601, 0.202190,1.381786
34,0.041587, 0.231930,0.036695, 0.275211,0.043022, 0.228224,0.041587, 0.284181,0.023540, 0.253056,0.043022, 0.225474,0.021511, 0.250959,1.498072
35,0.041263, 0.206313,0.041263, 0.247575,0.068771, 0.244854,0.068771, 0.286545,0.051578, 0.266487,0.017193, 0.209347,0.025789, 0.224253,1.370747
36,0.100769, 0.299020,0.054583, 0.207415,0.100769, 0.282012,0.050384, 0.226729,0.050384, 0.207415,0.018194, 0.179596,0.025192, 0.197538,1.199450
37,0.092645, 0.247054,0.092645, 0.231613,0.053449, 0.187072,0.092645, 0.285062,0.046323, 0.193011,0.053449, 0.193011,0.030882, 0.201138,1.075923
38,0.048765, 0.228923,0.070438, 0.258272,0.048765, 0.187834,0.048765, 0.228923,0.057631, 0.308842,0.048765, 0.211313,0.019210, 0.233557,1.315326
39,0.044523, 0.237457,0.072350, 0.261839,0.072350, 0.265284,0.041343, 0.237457,0.027562, 0.237457,0.027562, 0.237457,0.024117, 0.213243,1.380386
40,0.059260, 0.227165,0.101589, 0.296302,0.059260, 0.227165,0.050795, 0.182340,0.101589, 0.296302,0.033863, 0.177781,0.025397, 0.161189,1.136490
41,0.092137, 0.276411,0.058633, 0.263847,0.053747, 0.241860,0.046069, 0.223255,0.046069, 0.223255,0.046069, 0.223255,0.024806, 0.180589,1.264944
42,0.046755, 0.280528,0.036040, 0.234260,0.033920, 0.280528,0.031170, 0.243471,0.033920, 0.248747,0.033920, 0.243471,0.022613, 0.230656,1.523324
43,0.086562, 0.281325,0.043281, 0.244056,0.060593, 0.257521,0.025247, 0.207292,0.050494, 0.252471,0.043281, 0.257521,0.015148, 0.175209,1.350788
44,0.057899, 0.235043,0.077199, 0.220907,0.099715, 0.328095,0.049858, 0.232668,0.019300, 0.185353,0.038599, 0.239316,0.016619, 0.199430,1.281623
45,0.063979, 0.239922,0.054528, 0.239922,0.054528, 0.239922,0.054528, 0.272639,0.046139, 0.261454,0.027264, 0.189412,0.027264, 0.228498,1.343541
46,0.079601, 0.288080,0.079601, 0.242594,0.045486, 0.212269,0.079601, 0.252070,0.039800, 0.212269,0.045486, 0.212269,0.026534, 0.184339,1.207781
47,0.100255, 0.229913,0.100255, 0.250639,0.100255, 0.281005,0.050128, 0.193723,0.050128, 0.193723,0.050128, 0.229913,0.025546, 0.144390,1.046609
48,0.086283, 0.265487,0.053927, 0.233683,0.086283, 0.273230,0.049779, 0.215708,0.043142, 0.233683,0.018757, 0.177437,0.028136, 0.234465,1.267387
49,0.047965, 0.184755,0.089078, 0.282081,0.089078, 0.255814,0.044539, 0.225170,0.044539, 0.207849,0.044539, 0.225170,0.029693, 0.229728,1.221136
50,0.062849, 0.272346,0.065016, 0.244413,0.062849, 0.273509,0.032508, 0.252628,0.031424, 0.252628,0.023277, 0.238393,0.017458, 0.170701,1.409236
51,0.061147, 0.285355,0.048274, 0.246288,0.076434, 0.280259,0.025478, 0.203825,0.030574, 0.246288,0.047036, 0.246288,0.020382, 0.182370,1.381346
52,0.095205, 0.277681,0.095205, 0.277681,0.095205, 0.277681,0.023801, 0.156102,0.047602, 0.197682,0.047602, 0.197682,0.031735, 0.179135,1.127289
53,0.070276, 0.245966,0.043072, 0.226130,0.078544, 0.287994,0.052707, 0.228899,0.032304, 0.228397,0.035138, 0.228397,0.026181, 0.215995,1.323555
54,0.071751, 0.263086,0.064576, 0.269065,0.053813, 0.244604,0.053813, 0.251127,0.035875, 0.244604,0.028076, 0.224611,0.017938, 0.177062,1.348317
55,0.076379, 0.254596,0.062492, 0.229137,0.114568, 0.267326,0.057284, 0.229137,0.057284, 0.208306,0.022175, 0.199571,0.022175, 0.199571,1.175287
56,0.094084, 0.258730,0.094084, 0.258730,0.094084, 0.258730,0.047042, 0.162113,0.094084, 0.258730,0.047042, 0.177311,0.023521, 0.131717,1.012122
57,0.063415, 0.202927,0.066914, 0.223045,0.066914, 0.277213,0.038049, 0.228293,0.046202, 0.246412,0.043122, 0.237171,0.030801, 0.229521,1.289167
58,0.041839, 0.239624,0.083678, 0.292873,0.041839, 0.202758,0.041839, 0.239624,0.053250, 0.239624,0.041839, 0.247816,0.022529, 0.210869,1.346375
59,0.094897, 0.228770,0.079081, 0.250424,0.079081, 0.250424,0.039541, 0.183016,0.039541, 0.217473,0.059311, 0.217473,0.039541, 0.221427,1.138015
60,0.062018, 0.223264,0.033490, 0.196997,0.089305, 0.287053,0.035252, 0.246765,0.031009, 0.196997,0.062018, 0.267916,0.044653, 0.223264,1.284512
61,0.043855, 0.219276,0.051829, 0.248277,0.071265, 0.267243,0.051829, 0.255570,0.034553, 0.250506,0.034553, 0.250506,0.017816, 0.202923,1.388602
62,0.057270, 0.248172,0.048460, 0.258451,0.059998, 0.274989,0.028635, 0.262490,0.033157, 0.232096,0.022104, 0.196867,0.028635, 0.248675,1.443481
63,0.112023, 0.259689,0.089618, 0.285658,0.056011, 0.218444,0.056011, 0.229137,0.056011, 0.252051,0.030552, 0.159190,0.015276, 0.180329,1.168996
64,0.083088, 0.249265,0.099706, 0.274191,0.062316, 0.224338,0.071218, 0.224338,0.062316, 0.218107,0.035609, 0.201786,0.031158, 0.162564,1.109176
65,0.068630, 0.255217,0.044873, 0.224367,0.044873, 0.224367,0.034315, 0.240205,0.044873, 0.269240,0.034315, 0.240205,0.034315, 0.240205,1.387610
66,0.106984, 0.267459,0.053492, 0.173848,0.106984, 0.267459,0.053492, 0.154532,0.053492, 0.213967,0.053492, 0.173848,0.106984, 0.213967,0.930163
67,0.086976, 0.289919,0.086976, 0.239183,0.086976, 0.275423,0.043488, 0.218554,0.028992, 0.160218,0.043488, 0.218554,0.028992, 0.192262,1.188227
68,0.041158, 0.260666,0.059450, 0.247708,0.041158, 0.219508,0.029725, 0.260666,0.029725, 0.260666,0.019817, 0.239365,0.029725, 0.260666,1.498486
69,0.059728, 0.238911,0.055995, 0.250471,0.018665, 0.173403,0.045944, 0.270641,0.027997, 0.220049,0.045944, 0.270641,0.045944, 0.275666,1.399565
70,0.066883, 0.251508,0.066883, 0.242942,0.050162, 0.248104,0.052279, 0.193029,0.022294, 0.209543,0.066883, 0.284252,0.033441, 0.211796,1.282349
71,0.066464, 0.234999,0.066464, 0.265857,0.066464, 0.239272,0.033232, 0.219332,0.037386, 0.219332,0.066464, 0.280396,0.018693, 0.185642,1.289662
72,0.105833, 0.332617,0.066842, 0.211665,0.038100, 0.183443,0.052916, 0.284077,0.026458, 0.200525,0.025400, 0.215898,0.033421, 0.222805,1.302062
73,0.038622, 0.251043,0.032524, 0.244606,0.082394, 0.308976,0.041197, 0.205984,0.041197, 0.247181,0.027465, 0.233616,0.021683, 0.223515,1.429840
74,0.057438, 0.306335,0.039612, 0.287189,0.031910, 0.249961,0.031910, 0.249961,0.038292, 0.235752,0.013054, 0.220914,0.019806, 0.217867,1.535957
75,0.082881, 0.266403,0.041440, 0.234829,0.049729, 0.211347,0.032716, 0.218108,0.064304, 0.278652,0.032716, 0.244203,0.042869, 0.199802,1.306688
76,0.112928, 0.341608,0.036536, 0.231392,0.056464, 0.245173,0.033273, 0.194857,0.056464, 0.272910,0.028232, 0.179430,0.022182, 0.188550,1.307840
77,0.040342, 0.229501,0.069158, 0.255499,0.067944, 0.203833,0.034579, 0.229501,0.049652, 0.295841,0.049652, 0.255499,0.023053, 0.195947,1.331243
78,0.102677, 0.317365,0.102677, 0.317365,0.051338, 0.224022,0.025669, 0.172929,0.028003, 0.185796,0.051338, 0.248136,0.018669, 0.154015,1.239258
79,0.072603, 0.273645,0.036302, 0.248062,0.033002, 0.258512,0.036302, 0.234449,0.024201, 0.210031,0.030251, 0.256008,0.018151, 0.268481,1.498376
80,0.068379, 0.253979,0.068379, 0.246164,0.034189, 0.237047,0.068379, 0.256421,0.034189, 0.237047,0.034189, 0.237047,0.017095, 0.207495,1.350400
81,0.078096, 0.273335,0.054066, 0.223638,0.054066, 0.243298,0.065382, 0.228839,0.063896, 0.223638,0.054066, 0.243298,0.027033, 0.167348,1.206787
82,0.036887, 0.233145,0.041143, 0.260574,0.031463, 0.218921,0.020572, 0.230725,0.055331, 0.336003,0.024877, 0.252150,0.018444, 0.239766,1.542568
83,0.052644, 0.228123,0.102656, 0.273748,0.060386, 0.241542,0.070797, 0.263522,0.029755, 0.198368,0.034219, 0.216117,0.029755, 0.198368,1.239578
84,0.110041, 0.247593,0.110041, 0.247593,0.055021, 0.149014,0.110041, 0.238423,0.055021, 0.149014,0.110041, 0.247593,0.027510, 0.143054,0.844567
85,0.038966, 0.259774,0.041749, 0.229622,0.035424, 0.214314,0.041749, 0.292246,0.038966, 0.292246,0.020875, 0.246102,0.017712, 0.230254,1.529117
86,0.080172, 0.257696,0.054663, 0.273314,0.054663, 0.273314,0.040086, 0.240516,0.027331, 0.189881,0.040086, 0.240516,0.027331, 0.200430,1.351335
87,0.048653, 0.250358,0.073687, 0.233344,0.048653, 0.249160,0.048653, 0.259481,0.057499, 0.249160,0.033289, 0.210828,0.022192, 0.215044,1.334750
88,0.089369, 0.214681,0.130224, 0.260448,0.054260, 0.203475,0.081390, 0.225078,0.044685, 0.202571,0.040695, 0.202571,0.027130, 0.223424,1.064494
89,0.110592, 0.359766,0.055296, 0.276481,0.031744, 0.203162,0.027648, 0.226401,0.027648, 0.212872,0.031744, 0.186924,0.021163, 0.228557,1.388329
90,0.073270, 0.280870,0.059949, 0.252783,0.073270, 0.280870,0.029974, 0.230279,0.059949, 0.249786,0.020934, 0.191449,0.019983, 0.176634,1.325341
