No.,tL,tR
true,0.800000,1.333333
0,0.707922,1.702377
1,0.699578,1.752639
2,0.725037,1.610934
3,0.704981,1.719619
4,0.685000,1.851351
5,0.717130,1.651380
6,0.713691,1.669920
7,0.680086,1.888225
8,0.711070,1.684435
9,0.678844,1.897868
10,0.691820,1.803309
11,0.706907,1.708275
12,0.698298,1.760725
13,0.712805,1.674784
14,0.676929,1.912997
15,0.670374,1.967358
16,0.671995,1.953529
17,0.737186,1.554033
18,0.691482,1.805605
19,0.669340,1.976312
20,0.671135,1.960838
21,0.672903,1.945896
22,0.694215,1.787233
23,0.716392,1.655311
24,0.672551,1.948843
25,0.693312,1.793246
26,0.758047,1.468817
27,0.686008,1.844025
28,0.692710,1.797288
29,0.687490,1.833402
30,0.693285,1.793432
31,0.747481,1.510177
32,0.675550,1.924109
33,0.663816,2.026104
34,0.681385,1.878280
35,0.713534,1.670771
36,0.743194,1.527989
37,0.711008,1.684778
38,0.675539,1.924180
39,0.728051,1.596256
40,0.700644,1.745981
41,0.660043,2.062085
42,0.684390,1.855818
43,0.707999,1.701928
44,0.687920,1.830359
45,0.716635,1.654019
46,0.744848,1.521040
47,0.700592,1.746310
48,0.708952,1.696451
49,0.674121,1.935790
50,0.681912,1.874298
51,0.724025,1.615950
52,0.688550,1.825910
53,0.682394,1.870659
54,0.709508,1.693268
55,0.745481,1.518402
56,0.697212,1.767671
57,0.683063,1.865644
58,0.720918,1.631643
59,0.698938,1.756673
60,0.676431,1.916983
61,0.672095,1.952690
62,0.720223,1.635211
63,0.724583,1.613174
64,0.680532,1.884797
65,0.766516,1.438032
66,0.718819,1.642492
67,0.658630,2.075985
68,0.680244,1.887010
69,0.702343,1.735527
70,0.698862,1.757164
71,0.704290,1.723749
72,0.671890,1.954408
73,0.658292,2.079352
74,0.694929,1.782522
75,0.701636,1.739860
76,0.704507,1.722448
77,0.711774,1.680506
78,0.667175,1.995442
79,0.679190,1.895171
80,0.710149,1.689634
81,0.670865,1.963136
82,0.700740,1.745393
83,0.778372,1.398077
84,0.661692,2.046157
85,0.686334,1.841678
86,0.686555,1.840082
87,0.748529,1.505918
88,0.692047,1.801773
89,0.687252,1.835101
90,0.701504,1.740674
91,0.697069,1.768591
92,0.689256,1.820960
93,0.678660,1.899303
94,0.676976,1.912620
95,0.712443,1.676786
96,0.729898,1.587438
97,0.678350,1.901744
98,0.730603,1.584116
99,0.664997,2.015170
100,0.719490,1.639011
101,0.715354,1.660887
102,0.696414,1.772820
103,0.671773,1.955409
104,0.679758,1.890763
105,0.696097,1.774881
106,0.736760,1.555924
107,0.651281,2.152551
108,0.735316,1.562405
109,0.716298,1.655816
110,0.713732,1.669689
111,0.704265,1.723900
112,0.728320,1.594952
113,0.704439,1.722858
114,0.676980,1.912598
115,0.707102,1.707140
116,0.746495,1.514220
117,0.673207,1.943363
118,0.683757,1.860489
119,0.719034,1.641370
120,0.697781,1.764020
121,0.691810,1.803371
122,0.721014,1.631151
123,0.664697,2.017931
124,0.691543,1.805191
125,0.678894,1.897476
126,0.703235,1.730098
127,0.683500,1.862399
128,0.701122,1.743029
129,0.703219,1.730200
130,0.706842,1.708654
131,0.690444,1.812714
132,0.680800,1.882746
133,0.699711,1.751814
134,0.697951,1.762944
135,0.679979,1.889052
136,0.701183,1.742649
137,0.662387,2.039530
138,0.665860,2.007295
139,0.684909,1.852010
140,0.661682,2.046241
141,0.693282,1.793452
142,0.690931,1.809375
143,0.687626,1.832445
144,0.675532,1.924246
145,0.693970,1.788848
146,0.691685,1.804224
147,0.795775,1.345238
148,0.703085,1.731011
149,0.662611,2.037411
150,0.720495,1.633813
151,0.675871,1.921495
152,0.660144,2.061082
153,0.681981,1.873764
154,0.698233,1.761149
155,0.689936,1.816233
156,0.715284,1.661257
157,0.704941,1.719865
158,0.687881,1.830620
159,0.664214,2.022408
160,0.694742,1.783749
161,0.724568,1.613249
162,0.689825,1.817009
163,0.678007,1.904439
164,0.676510,1.916344
165,0.682856,1.867190
