ó^Ç¶ÇΩèdóvìx,0.140000,0.220000,0.120000,0.220000,0.100000,0.220000,0.070000,0.210000,0.070000,0.190000,0.070000,0.170000,0.060000,0.140000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
1,0.137180, 0.157165,0.126971, 0.209481,0.102170, 0.203889,0.137740, 0.269097,0.101784, 0.145644,0.068540, 0.128656,0.064328, 0.147355,0.522572
2,0.183669, 0.200922,0.095431, 0.213234,0.097020, 0.263484,0.103949, 0.221565,0.075826, 0.119091,0.052771, 0.207898,0.069709, 0.095431,0.643250
3,0.150561, 0.322271,0.097441, 0.242062,0.117139, 0.206466,0.077713, 0.129907,0.077913, 0.164596,0.092059, 0.150561,0.063170, 0.108139,0.648006
4,0.137181, 0.194001,0.138020, 0.231570,0.086454, 0.223265,0.107503, 0.188904,0.053521, 0.147443,0.073722, 0.152466,0.114956, 0.150995,0.577287
5,0.141136, 0.225371,0.156100, 0.290946,0.092506, 0.141136,0.054118, 0.225467,0.061196, 0.124838,0.096982, 0.157376,0.065899, 0.166930,0.664128
6,0.152819, 0.244991,0.090871, 0.211964,0.138040, 0.153787,0.062742, 0.183391,0.059884, 0.146391,0.083706, 0.196164,0.107839, 0.167412,0.608199
7,0.121135, 0.207260,0.084221, 0.195679,0.150133, 0.255101,0.118958, 0.149288,0.059836, 0.168442,0.064892, 0.173928,0.086964, 0.164164,0.627724
8,0.181178, 0.183938,0.116497, 0.216830,0.152955, 0.240288,0.102750, 0.195059,0.089505, 0.155553,0.057850, 0.135914,0.045305, 0.126378,0.507920
9,0.153297, 0.181659,0.120520, 0.167101,0.141387, 0.207529,0.068086, 0.152619,0.070251, 0.241880,0.060069, 0.159848,0.069176, 0.206578,0.634426
10,0.131931, 0.254041,0.102716, 0.237359,0.156697, 0.160500,0.077117, 0.212028,0.078537, 0.147371,0.104583, 0.170894,0.063509, 0.102716,0.569818
11,0.106377, 0.236294,0.144104, 0.255129,0.140087, 0.188302,0.084677, 0.147910,0.090735, 0.158395,0.090213, 0.189473,0.059073, 0.109230,0.569465
12,0.146588, 0.245468,0.084676, 0.197334,0.147314, 0.181337,0.079888, 0.156159,0.154760, 0.192543,0.062458, 0.074850,0.098667, 0.177959,0.451300
13,0.142587, 0.222280,0.173463, 0.293919,0.130715, 0.194906,0.064187, 0.090432,0.084602, 0.131885,0.089459, 0.173268,0.074093, 0.134202,0.481787
14,0.089493, 0.229812,0.123546, 0.135148,0.113923, 0.186070,0.076698, 0.258905,0.076555, 0.230095,0.104957, 0.176673,0.074579, 0.123546,0.680496
15,0.191640, 0.222324,0.113609, 0.213296,0.088192, 0.195859,0.092481, 0.273110,0.061735, 0.113609,0.050582, 0.184963,0.089017, 0.109583,0.625489
16,0.132749, 0.190710,0.141285, 0.272051,0.135465, 0.208133,0.095201, 0.209288,0.081789, 0.156521,0.087413, 0.170120,0.051005, 0.068270,0.550184
17,0.144141, 0.182716,0.119373, 0.316732,0.091358, 0.180347,0.141904, 0.177743,0.057457, 0.160294,0.070757, 0.119373,0.084837, 0.152970,0.580348
18,0.152700, 0.316485,0.123176, 0.181581,0.124714, 0.135372,0.112579, 0.156727,0.086888, 0.240150,0.078363, 0.152647,0.062270, 0.076350,0.518622
19,0.098834, 0.264639,0.096954, 0.263435,0.092237, 0.193907,0.076471, 0.220128,0.075925, 0.113926,0.068307, 0.201456,0.112097, 0.121685,0.758351
20,0.097416, 0.230897,0.138770, 0.214620,0.107310, 0.189387,0.075185, 0.194832,0.063457, 0.207801,0.083110, 0.148748,0.067799, 0.180668,0.733906
21,0.127084, 0.223244,0.168868, 0.226154,0.156204, 0.219293,0.064001, 0.127084,0.098449, 0.168868,0.067105, 0.157380,0.048864, 0.147401,0.538848
22,0.122130, 0.243866,0.119379, 0.223667,0.089803, 0.199091,0.076129, 0.164412,0.099545, 0.145626,0.109731, 0.197648,0.078727, 0.130246,0.609111
23,0.171538, 0.196194,0.173524, 0.192793,0.155386, 0.178945,0.059648, 0.074637,0.096153, 0.202957,0.059444, 0.192307,0.064264, 0.182210,0.440086
24,0.134530, 0.157656,0.144794, 0.216018,0.098626, 0.210793,0.105396, 0.200342,0.087751, 0.211075,0.061781, 0.193911,0.063686, 0.113640,0.606870
25,0.092939, 0.180177,0.100475, 0.231868,0.139191, 0.200951,0.150321, 0.183606,0.086901, 0.199938,0.099969, 0.175202,0.065522, 0.092939,0.529361
26,0.085304, 0.213413,0.124458, 0.170608,0.151998, 0.291828,0.076636, 0.156944,0.077593, 0.187813,0.086720, 0.154340,0.067160, 0.155186,0.660263
27,0.118061, 0.188469,0.164031, 0.324254,0.160810, 0.242546,0.058938, 0.083362,0.080453, 0.122503,0.075392, 0.164031,0.099088, 0.118061,0.486453
28,0.128148, 0.244244,0.092047, 0.278393,0.105741, 0.184093,0.110878, 0.132894,0.117848, 0.154964,0.066447, 0.142118,0.076925, 0.165260,0.603932
29,0.114578, 0.280888,0.139875, 0.179196,0.154735, 0.209480,0.085762, 0.208500,0.075369, 0.171524,0.056569, 0.114578,0.067139, 0.141807,0.611946
30,0.135528, 0.223490,0.142250, 0.280836,0.089107, 0.181412,0.087944, 0.158926,0.108424, 0.195734,0.060272, 0.148304,0.056107, 0.131666,0.640736
31,0.092693, 0.228518,0.181892, 0.233322,0.086524, 0.170518,0.078675, 0.206935,0.077774, 0.109242,0.085259, 0.224444,0.065946, 0.158258,0.662476
32,0.128671, 0.154935,0.105098, 0.199652,0.100935, 0.274361,0.092821, 0.247670,0.084019, 0.187079,0.076724, 0.174338,0.068599, 0.105098,0.686265
33,0.187977, 0.221893,0.072785, 0.247151,0.089745, 0.208241,0.060475, 0.169480,0.073964, 0.109802,0.112766, 0.239547,0.079849, 0.126323,0.644877
34,0.116028, 0.227690,0.146956, 0.275322,0.109730, 0.196902,0.081368, 0.120901,0.089586, 0.168282,0.092409, 0.161132,0.077968, 0.135725,0.571910
35,0.142181, 0.182435,0.170350, 0.233485,0.096059, 0.220299,0.109613, 0.196962,0.079769, 0.145633,0.069396, 0.096889,0.085506, 0.171422,0.494251
36,0.113459, 0.181804,0.096300, 0.228553,0.252438, 0.267494,0.066591, 0.135555,0.090902, 0.180530,0.068961, 0.133183,0.082322, 0.101911,0.458057
