ó^Ç¶ÇΩèdóvìx,0.140000,0.220000,0.120000,0.220000,0.100000,0.220000,0.070000,0.210000,0.070000,0.190000,0.070000,0.170000,0.060000,0.140000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
1,0.147173, 0.147173,0.168226, 0.168226,0.153029, 0.153029,0.203419, 0.203419,0.123714, 0.123714,0.098598, 0.098598,0.105841, 0.105841,0.000000
2,0.192295, 0.192295,0.154333, 0.154333,0.180252, 0.180252,0.162757, 0.162757,0.097458, 0.097458,0.130334, 0.130334,0.082570, 0.082570,0.000000
3,0.236416, 0.236416,0.169751, 0.169751,0.161803, 0.161803,0.103810, 0.103810,0.121255, 0.121255,0.121310, 0.121310,0.085655, 0.085655,0.000000
4,0.165591, 0.165591,0.184795, 0.184795,0.154859, 0.154859,0.148204, 0.148204,0.100482, 0.100482,0.113094, 0.113094,0.132976, 0.132976,0.000000
5,0.183253, 0.183253,0.223523, 0.223523,0.116821, 0.116821,0.139792, 0.139792,0.093017, 0.093017,0.127179, 0.127179,0.116415, 0.116415,0.000000
6,0.198905, 0.198905,0.151417, 0.151417,0.145913, 0.145913,0.123066, 0.123066,0.103138, 0.103138,0.139935, 0.139935,0.137625, 0.137625,0.000000
7,0.164197, 0.164197,0.139950, 0.139950,0.202617, 0.202617,0.134123, 0.134123,0.114139, 0.114139,0.119410, 0.119410,0.125564, 0.125564,0.000000
8,0.182558, 0.182558,0.166663, 0.166663,0.196622, 0.196622,0.148904, 0.148904,0.122529, 0.122529,0.096882, 0.096882,0.085841, 0.085841,0.000000
9,0.167478, 0.167478,0.143810, 0.143810,0.174458, 0.174458,0.110352, 0.110352,0.156066, 0.156066,0.109958, 0.109958,0.137877, 0.137877,0.000000
10,0.192986, 0.192986,0.170037, 0.170037,0.158598, 0.158598,0.144572, 0.144572,0.112954, 0.112954,0.137739, 0.137739,0.083112, 0.083112,0.000000
11,0.171336, 0.171336,0.199616, 0.199616,0.164195, 0.164195,0.116293, 0.116293,0.124565, 0.124565,0.139843, 0.139843,0.084152, 0.084152,0.000000
12,0.196028, 0.196028,0.141005, 0.141005,0.164325, 0.164325,0.118023, 0.118023,0.173652, 0.173652,0.068654, 0.068654,0.138313, 0.138313,0.000000
13,0.182434, 0.182434,0.233691, 0.233691,0.162811, 0.162811,0.077310, 0.077310,0.108244, 0.108244,0.131364, 0.131364,0.104148, 0.104148,0.000000
14,0.159652, 0.159652,0.129347, 0.129347,0.149997, 0.149997,0.167802, 0.167802,0.153325, 0.153325,0.140815, 0.140815,0.099063, 0.099063,0.000000
15,0.206982, 0.206982,0.163452, 0.163452,0.142025, 0.142025,0.182796, 0.182796,0.087672, 0.087672,0.117772, 0.117772,0.099300, 0.099300,0.000000
16,0.161730, 0.161730,0.206668, 0.206668,0.171799, 0.171799,0.152245, 0.152245,0.119155, 0.119155,0.128766, 0.128766,0.059638, 0.059638,0.000000
17,0.163428, 0.163428,0.218053, 0.218053,0.135852, 0.135852,0.159823, 0.159823,0.108876, 0.108876,0.095065, 0.095065,0.118903, 0.118903,0.000000
18,0.234593, 0.234593,0.152378, 0.152378,0.130043, 0.130043,0.134653, 0.134653,0.163519, 0.163519,0.115505, 0.115505,0.069310, 0.069310,0.000000
19,0.181737, 0.181737,0.180194, 0.180194,0.143072, 0.143072,0.148300, 0.148300,0.094925, 0.094925,0.134881, 0.134881,0.116891, 0.116891,0.000000
20,0.164157, 0.164157,0.176695, 0.176695,0.148348, 0.148348,0.135009, 0.135009,0.135629, 0.135629,0.115929, 0.115929,0.124233, 0.124233,0.000000
21,0.175164, 0.175164,0.197511, 0.197511,0.187748, 0.187748,0.095542, 0.095542,0.133659, 0.133659,0.112243, 0.112243,0.098133, 0.098133,0.000000
22,0.182998, 0.182998,0.171523, 0.171523,0.144447, 0.144447,0.120271, 0.120271,0.122586, 0.122586,0.153689, 0.153689,0.104487, 0.104487,0.000000
23,0.183866, 0.183866,0.183158, 0.183158,0.167165, 0.167165,0.067143, 0.067143,0.149555, 0.149555,0.125875, 0.125875,0.123237, 0.123237,0.000000
24,0.146093, 0.146093,0.180406, 0.180406,0.154709, 0.154709,0.152869, 0.152869,0.149413, 0.149413,0.127846, 0.127846,0.088663, 0.088663,0.000000
25,0.136558, 0.136558,0.166171, 0.166171,0.170071, 0.170071,0.166964, 0.166964,0.143419, 0.143419,0.137585, 0.137585,0.079231, 0.079231,0.000000
26,0.149358, 0.149358,0.147533, 0.147533,0.221913, 0.221913,0.116790, 0.116790,0.132703, 0.132703,0.120530, 0.120530,0.111173, 0.111173,0.000000
27,0.153265, 0.153265,0.244143, 0.244143,0.201678, 0.201678,0.071150, 0.071150,0.101478, 0.101478,0.119711, 0.119711,0.108575, 0.108575,0.000000
28,0.186196, 0.186196,0.185220, 0.185220,0.144917, 0.144917,0.121886, 0.121886,0.136406, 0.136406,0.104283, 0.104283,0.121092, 0.121092,0.000000
29,0.197733, 0.197733,0.159535, 0.159535,0.182107, 0.182107,0.147131, 0.147131,0.123447, 0.123447,0.085574, 0.085574,0.104473, 0.104473,0.000000
30,0.179509, 0.179509,0.211543, 0.211543,0.135260, 0.135260,0.123435, 0.123435,0.152079, 0.152079,0.104288, 0.104288,0.093886, 0.093886,0.000000
31,0.160606, 0.160606,0.207607, 0.207607,0.128521, 0.128521,0.142805, 0.142805,0.093508, 0.093508,0.154851, 0.154851,0.112102, 0.112102,0.000000
32,0.141803, 0.141803,0.152375, 0.152375,0.187648, 0.187648,0.170246, 0.170246,0.135549, 0.135549,0.125531, 0.125531,0.086849, 0.086849,0.000000
33,0.204935, 0.204935,0.159968, 0.159968,0.148993, 0.148993,0.114977, 0.114977,0.091883, 0.091883,0.176157, 0.176157,0.103086, 0.103086,0.000000
34,0.171859, 0.171859,0.211139, 0.211139,0.153316, 0.153316,0.101135, 0.101135,0.128934, 0.128934,0.126771, 0.126771,0.106847, 0.106847,0.000000
35,0.162308, 0.162308,0.201918, 0.201918,0.158179, 0.158179,0.153288, 0.153288,0.112701, 0.112701,0.083143, 0.083143,0.128464, 0.128464,0.000000
36,0.147631, 0.147631,0.162426, 0.162426,0.259966, 0.259966,0.101073, 0.101073,0.135716, 0.135716,0.101072, 0.101072,0.092116, 0.092116,0.000000
37,0.164998, 0.164998,0.231764, 0.231764,0.133465, 0.133465,0.128722, 0.128722,0.111758, 0.111758,0.156751, 0.156751,0.072543, 0.072543,0.000000
38,0.168286, 0.168286,0.235127, 0.235127,0.086348, 0.086348,0.108735, 0.108735,0.169535, 0.169535,0.142416, 0.142416,0.089553, 0.089553,0.000000
39,0.162943, 0.162943,0.160866, 0.160866,0.213539, 0.213539,0.095294, 0.095294,0.161393, 0.161393,0.117797, 0.117797,0.088169, 0.088169,0.000000
40,0.142699, 0.142699,0.161099, 0.161099,0.201226, 0.201226,0.119238, 0.119238,0.097805, 0.097805,0.156078, 0.156078,0.121855, 0.121855,0.000000
41,0.192213, 0.192213,0.167161, 0.167161,0.167624, 0.167624,0.124061, 0.124061,0.139019, 0.139019,0.110734, 0.110734,0.099188, 0.099188,0.000000
42,0.236844, 0.236844,0.197953, 0.197953,0.172107, 0.172107,0.081850, 0.081850,0.111190, 0.111190,0.085736, 0.085736,0.114321, 0.114321,0.000000
43,0.176089, 0.176089,0.203496, 0.203496,0.176519, 0.176519,0.110039, 0.110039,0.118148, 0.118148,0.145271, 0.145271,0.070438, 0.070438,0.000000
44,0.193655, 0.193655,0.221069, 0.221069,0.122009, 0.122009,0.137593, 0.137593,0.146575, 0.146575,0.117223, 0.117223,0.061876, 0.061876,0.000000
45,0.164919, 0.164919,0.148974, 0.148974,0.168923, 0.168923,0.179372, 0.179372,0.137734, 0.137734,0.102986, 0.102986,0.097092, 0.097092,0.000000
46,0.165709, 0.165709,0.171660, 0.171660,0.163946, 0.163946,0.159292, 0.159292,0.122029, 0.122029,0.120699, 0.120699,0.096665, 0.096665,0.000000
47,0.209975, 0.209975,0.171204, 0.171204,0.165789, 0.165789,0.150499, 0.150499,0.086091, 0.086091,0.105440, 0.105440,0.111002, 0.111002,0.000000
48,0.174227, 0.174227,0.214298, 0.214298,0.154941, 0.154941,0.142901, 0.142901,0.116930, 0.116930,0.085555, 0.085555,0.111149, 0.111149,0.000000
49,0.169883, 0.169883,0.190918, 0.190918,0.157487, 0.157487,0.120027, 0.120027,0.136338, 0.136338,0.131921, 0.131921,0.093425, 0.093425,0.000000
50,0.190975, 0.190975,0.160227, 0.160227,0.148934, 0.148934,0.153677, 0.153677,0.153342, 0.153342,0.090711, 0.090711,0.102134, 0.102134,0.000000
51,0.173596, 0.173596,0.169666, 0.169666,0.208579, 0.208579,0.133936, 0.133936,0.149601, 0.149601,0.093999, 0.093999,0.070623, 0.070623,0.000000
52,0.198253, 0.198253,0.126267, 0.126267,0.172290, 0.172290,0.146243, 0.146243,0.126050, 0.126050,0.136007, 0.136007,0.094890, 0.094890,0.000000
