ó^Ç¶ÇΩèdóvìx,0.140000,0.220000,0.120000,0.220000,0.100000,0.220000,0.070000,0.210000,0.070000,0.190000,0.070000,0.170000,0.060000,0.140000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
1,0.075384, 0.301536,0.056538, 0.245696,0.043077, 0.193845,0.075384, 0.255146,0.043077, 0.231951,0.037692, 0.226152,0.021538, 0.192983,1.294620
2,0.096226, 0.331404,0.048113, 0.251211,0.048113, 0.240954,0.029121, 0.206132,0.019414, 0.224968,0.024057, 0.208490,0.029121, 0.242676,1.411670
3,0.060373, 0.271679,0.054885, 0.228686,0.032343, 0.224919,0.028749, 0.256128,0.021562, 0.237180,0.045280, 0.261617,0.027442, 0.249159,1.458733
4,0.059645, 0.253492,0.089468, 0.283315,0.044734, 0.208758,0.032962, 0.208758,0.021975, 0.190119,0.044734, 0.256933,0.048175, 0.256933,1.316616
5,0.060481, 0.282246,0.062567, 0.260695,0.050401, 0.256587,0.020296, 0.182661,0.027491, 0.252005,0.033601, 0.250565,0.033601, 0.226804,1.423125
6,0.087661, 0.277593,0.034090, 0.230110,0.068181, 0.272723,0.025568, 0.171934,0.029220, 0.226073,0.034090, 0.247155,0.048444, 0.247155,1.345490
7,0.058938, 0.278481,0.029469, 0.194148,0.082513, 0.279955,0.058938, 0.279955,0.022102, 0.187864,0.030942, 0.194148,0.041256, 0.261291,1.351684
8,0.102840, 0.308520,0.051420, 0.224378,0.070519, 0.246816,0.051420, 0.205680,0.051420, 0.224378,0.034280, 0.211557,0.017140, 0.199631,1.241922
9,0.078430, 0.294112,0.040149, 0.243062,0.078430, 0.294423,0.024438, 0.218587,0.039215, 0.197488,0.026766, 0.221874,0.024438, 0.218587,1.376268
10,0.057469, 0.249034,0.052680, 0.245841,0.090309, 0.301030,0.030103, 0.199630,0.045154, 0.226930,0.045154, 0.226930,0.030103, 0.199630,1.298053
11,0.051749, 0.224246,0.077624, 0.246899,0.077624, 0.278151,0.034499, 0.221782,0.038812, 0.238842,0.041399, 0.227696,0.019406, 0.221272,1.317775
12,0.101198, 0.269862,0.050599, 0.193963,0.079732, 0.259129,0.033733, 0.169146,0.079732, 0.269862,0.033733, 0.207723,0.050599, 0.200991,1.141349
13,0.065384, 0.239742,0.087179, 0.270877,0.072234, 0.250185,0.025282, 0.214896,0.036117, 0.222721,0.043589, 0.225731,0.025282, 0.220783,1.289867
14,0.034847, 0.220696,0.059239, 0.310301,0.059239, 0.276450,0.019746, 0.201414,0.042314, 0.205059,0.042314, 0.243033,0.042314, 0.243033,1.399973
15,0.099664, 0.315602,0.049832, 0.237532,0.049832, 0.237532,0.024916, 0.179722,0.033221, 0.239816,0.024916, 0.200119,0.049832, 0.257465,1.335575
16,0.071654, 0.278653,0.087008, 0.249869,0.050755, 0.236855,0.043504, 0.217520,0.035827, 0.226444,0.033836, 0.208819,0.029003, 0.230253,1.296827
17,0.071423, 0.261883,0.053567, 0.232123,0.042854, 0.257121,0.052119, 0.260596,0.023808, 0.232503,0.027948, 0.201664,0.027948, 0.254443,1.400668
18,0.096441, 0.265213,0.075010, 0.225030,0.075010, 0.262534,0.072331, 0.250033,0.037505, 0.168772,0.037505, 0.198555,0.037505, 0.198555,1.137387
19,0.058393, 0.289694,0.029197, 0.243304,0.032631, 0.228420,0.031699, 0.237743,0.026416, 0.237743,0.017611, 0.214497,0.047549, 0.305104,1.513010
20,0.039522, 0.269558,0.079043, 0.289826,0.042562, 0.269558,0.026348, 0.201201,0.026348, 0.237130,0.026348, 0.242677,0.017849, 0.232031,1.483962
21,0.062530, 0.270963,0.059056, 0.275595,0.068581, 0.297185,0.021475, 0.193274,0.051854, 0.248993,0.021475, 0.193274,0.019685, 0.216059,1.390687
22,0.074490, 0.260717,0.074490, 0.269585,0.037245, 0.198641,0.028377, 0.219551,0.033107, 0.244481,0.037245, 0.244481,0.033107, 0.244481,1.363875
23,0.097545, 0.266965,0.097545, 0.276377,0.097545, 0.283650,0.032515, 0.216909,0.048772, 0.199270,0.032515, 0.149186,0.033371, 0.167835,1.120385
24,0.090918, 0.303059,0.090918, 0.287906,0.060202, 0.206408,0.045459, 0.228460,0.045459, 0.212142,0.030306, 0.167480,0.030306, 0.200976,1.212865
25,0.055895, 0.242212,0.044716, 0.206382,0.089432, 0.255520,0.089432, 0.290654,0.047910, 0.183450,0.044716, 0.223580,0.031940, 0.194162,1.191918
26,0.038958, 0.233747,0.068176, 0.254525,0.072721, 0.272705,0.034088, 0.221573,0.034088, 0.233747,0.034088, 0.233747,0.034088, 0.233747,1.367584
27,0.063183, 0.265603,0.095529, 0.256735,0.070983, 0.228724,0.024571, 0.229331,0.032762, 0.226960,0.032762, 0.171632,0.047322, 0.253902,1.265775
28,0.060325, 0.259228,0.031485, 0.199406,0.060325, 0.231244,0.048504, 0.258689,0.060325, 0.288031,0.030162, 0.220396,0.031485, 0.220396,1.354779
29,0.050925, 0.237650,0.064326, 0.273387,0.087300, 0.291000,0.043650, 0.235039,0.029100, 0.209061,0.029100, 0.209061,0.031339, 0.209061,1.328519
30,0.048003, 0.240017,0.053822, 0.260140,0.040830, 0.255191,0.028192, 0.263130,0.040830, 0.252963,0.020415, 0.222016,0.018795, 0.255655,1.498222
31,0.061795, 0.251592,0.090315, 0.308577,0.045158, 0.247661,0.022579, 0.195683,0.030897, 0.226433,0.030897, 0.226580,0.030105, 0.231730,1.376509
32,0.054030, 0.288162,0.054030, 0.288162,0.038593, 0.219042,0.033080, 0.209506,0.025729, 0.244423,0.033080, 0.242011,0.025729, 0.244423,1.471458
33,0.115534, 0.317720,0.028884, 0.177029,0.057767, 0.240697,0.019256, 0.185680,0.038511, 0.248997,0.057767, 0.224650,0.038511, 0.248997,1.287538
34,0.050056, 0.233593,0.085810, 0.257429,0.042905, 0.250279,0.026116, 0.235044,0.031614, 0.225251,0.042905, 0.250279,0.031614, 0.237106,1.377961
35,0.087739, 0.283465,0.087739, 0.263217,0.047244, 0.204724,0.043870, 0.204724,0.043870, 0.204724,0.043870, 0.236220,0.043870, 0.204724,1.203600
36,0.078335, 0.254588,0.060531, 0.211860,0.156670, 0.346795,0.039167, 0.192355,0.041615, 0.192355,0.027744, 0.166461,0.039167, 0.192355,1.113541
37,0.073386, 0.248695,0.101611, 0.270962,0.039628, 0.188706,0.039628, 0.178104,0.036693, 0.229143,0.073386, 0.269080,0.026419, 0.224560,1.218500
38,0.103976, 0.303264,0.103976, 0.303264,0.029708, 0.227758,0.025994, 0.168343,0.051988, 0.217405,0.029708, 0.186063,0.034659, 0.213894,1.239982
39,0.069817, 0.255994,0.054302, 0.226257,0.095359, 0.271509,0.031786, 0.214104,0.051444, 0.256699,0.034296, 0.205775,0.018101, 0.214558,1.289792
40,0.023200, 0.207509,0.036381, 0.259386,0.072763, 0.270555,0.022233, 0.232593,0.023200, 0.249585,0.027364, 0.266797,0.034425, 0.274008,1.520867
41,0.091496, 0.274489,0.091496, 0.259239,0.058225, 0.209610,0.045748, 0.229914,0.045748, 0.229914,0.030499, 0.202255,0.029112, 0.202255,1.215350
42,0.067521, 0.225071,0.092075, 0.281339,0.056268, 0.225071,0.038584, 0.250794,0.046037, 0.199101,0.030692, 0.237859,0.038584, 0.211004,1.260480
43,0.071036, 0.251587,0.086258, 0.251587,0.051755, 0.233732,0.028753, 0.201270,0.034503, 0.213109,0.051755, 0.241524,0.034503, 0.248627,1.282871
44,0.089057, 0.300568,0.099333, 0.273166,0.031242, 0.186903,0.044529, 0.223499,0.061492, 0.239521,0.030746, 0.199849,0.015373, 0.204723,1.256457
45,0.085022, 0.311747,0.046986, 0.239714,0.068017, 0.257900,0.042511, 0.239714,0.021255, 0.215635,0.022672, 0.187943,0.031324, 0.229559,1.364424
46,0.082743, 0.262018,0.082743, 0.220647,0.050919, 0.237620,0.082743, 0.275809,0.050919, 0.237620,0.027581, 0.180529,0.027581, 0.180529,1.189546
47,0.102599, 0.247949,0.102599, 0.282148,0.051300, 0.211062,0.051300, 0.214526,0.034200, 0.219856,0.025650, 0.166113,0.051300, 0.239399,1.162105
48,0.065519, 0.283915,0.056159, 0.255524,0.032759, 0.254367,0.032759, 0.262075,0.019656, 0.214425,0.019656, 0.247661,0.032759, 0.222764,1.481465
49,0.092897, 0.291791,0.092897, 0.255466,0.092897, 0.300128,0.038252, 0.216759,0.046448, 0.216759,0.019126, 0.150789,0.023224, 0.162569,1.188520
50,0.032466, 0.266384,0.039958, 0.292190,0.047223, 0.243984,0.034630, 0.253953,0.019602, 0.218716,0.021644, 0.259725,0.019602, 0.249924,1.569753
51,0.072582, 0.302426,0.041130, 0.205650,0.088136, 0.264407,0.032471, 0.233069,0.029379, 0.233069,0.029379, 0.227297,0.013710, 0.227297,1.386429
52,0.082438, 0.302272,0.041219, 0.238154,0.025516, 0.223269,0.027479, 0.214338,0.025516, 0.238154,0.041219, 0.238154,0.041219, 0.261053,1.430787
53,0.077410, 0.247710,0.043667, 0.245990,0.047306, 0.232229,0.020643, 0.219101,0.034404, 0.266095,0.029111, 0.259575,0.021833, 0.254926,1.451253
54,0.073273, 0.293093,0.097698, 0.309375,0.048849, 0.230921,0.024424, 0.174981,0.024424, 0.204700,0.032566, 0.226100,0.033496, 0.226100,1.330539
55,0.043001, 0.260497,0.086001, 0.339436,0.043001, 0.255833,0.018006, 0.202565,0.017570, 0.194527,0.017570, 0.245983,0.018006, 0.258004,1.513690
56,0.095149, 0.301304,0.047574, 0.223335,0.047574, 0.206155,0.047574, 0.223335,0.051539, 0.240515,0.047574, 0.223335,0.017180, 0.227856,1.291671
57,0.032156, 0.237461,0.077175, 0.303187,0.038587, 0.192937,0.077175, 0.303187,0.032156, 0.222620,0.038587, 0.205800,0.025725, 0.213246,1.356876
58,0.063419, 0.240085,0.047564, 0.269530,0.027179, 0.229035,0.026242, 0.221966,0.023782, 0.245748,0.031709, 0.288357,0.026242, 0.259142,1.507724
59,0.037221, 0.260544,0.042538, 0.244320,0.042538, 0.244320,0.035031, 0.245218,0.016543, 0.235078,0.049628, 0.283586,0.028359, 0.235078,1.496288
60,0.101373, 0.287224,0.035779, 0.226598,0.055294, 0.230393,0.027647, 0.222055,0.035779, 0.226598,0.050687, 0.258040,0.016896, 0.225637,1.353092
61,0.048836, 0.263454,0.048836, 0.270675,0.035926, 0.227529,0.023950, 0.203712,0.019293, 0.236782,0.048836, 0.287592,0.028940, 0.255637,1.490763
62,0.069503, 0.244547,0.060025, 0.250105,0.094325, 0.267255,0.031442, 0.196924,0.030013, 0.181252,0.060025, 0.250105,0.031442, 0.233039,1.246452
63,0.088257, 0.264770,0.078450, 0.261501,0.058838, 0.245157,0.039225, 0.211816,0.067243, 0.235351,0.029419, 0.173416,0.033622, 0.212936,1.209894
64,0.084179, 0.308657,0.042090, 0.225837,0.049104, 0.270075,0.019008, 0.218594,0.019008, 0.218594,0.028060, 0.240354,0.021824, 0.254616,1.473453
65,0.104233, 0.260582,0.093450, 0.280350,0.031758, 0.182821,0.052116, 0.236103,0.030796, 0.166406,0.041061, 0.232895,0.061592, 0.225837,1.169987
66,0.065059, 0.298185,0.039500, 0.268120,0.043658, 0.289666,0.043658, 0.222735,0.019750, 0.232419,0.016265, 0.187259,0.026333, 0.247394,1.491557
67,0.082223, 0.288733,0.041112, 0.263903,0.046821, 0.263903,0.022933, 0.188653,0.034399, 0.263729,0.022933, 0.212410,0.031214, 0.237034,1.436728
68,0.103897, 0.312215,0.067340, 0.269362,0.051948, 0.257118,0.025974, 0.191389,0.034632, 0.233768,0.027548, 0.191389,0.018366, 0.215055,1.340588
69,0.070277, 0.289892,0.089198, 0.289892,0.044599, 0.208128,0.029733, 0.223631,0.035138, 0.233784,0.022299, 0.210067,0.029733, 0.223631,1.358048
70,0.076594, 0.287227,0.069050, 0.236744,0.043403, 0.217016,0.028306, 0.226451,0.043403, 0.200322,0.052788, 0.263938,0.028306, 0.226451,1.316298
71,0.073272, 0.268663,0.052062, 0.247292,0.082431, 0.235517,0.024424, 0.179849,0.024424, 0.209824,0.073272, 0.268663,0.034708, 0.225600,1.270817
72,0.068158, 0.273945,0.044393, 0.265534,0.031239, 0.234295,0.034079, 0.243666,0.034079, 0.237899,0.029595, 0.221963,0.027430, 0.253724,1.462053
73,0.034734, 0.202613,0.047870, 0.250653,0.047870, 0.223394,0.095740, 0.327113,0.036607, 0.244044,0.023156, 0.234835,0.023935, 0.207437,1.380177
74,0.069838, 0.240812,0.040739, 0.247828,0.061108, 0.274610,0.032904, 0.203694,0.021936, 0.219363,0.040739, 0.255923,0.030554, 0.259952,1.404363
75,0.053355, 0.231203,0.080032, 0.293450,0.049250, 0.246252,0.027837, 0.213419,0.049250, 0.262669,0.026677, 0.222698,0.030488, 0.213419,1.366219
