ó^Ç¶ÇΩèdóvìx,0.130000,0.190000,0.115000,0.185000,0.100000,0.180000,0.085000,0.175000,0.070000,0.170000,0.055000,0.165000,0.040000,0.160000,0.025000,0.155000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],ãÊä‘ïùÇÃëçòa
1,0.108923, 0.145854,0.217845, 0.263898,0.108923, 0.154975,0.061604, 0.140173,0.033361, 0.130351,0.071507, 0.225658,0.030703, 0.148858,0.054461, 0.102906,0.625347
2,0.144519, 0.187302,0.144519, 0.187302,0.154936, 0.200472,0.077468, 0.174396,0.077468, 0.128212,0.044389, 0.114726,0.020139, 0.160919,0.013958, 0.169274,0.645206
3,0.109188, 0.189154,0.085973, 0.148077,0.150221, 0.200816,0.079426, 0.194268,0.054594, 0.143608,0.060029, 0.149043,0.092521, 0.148077,0.028658, 0.166350,0.678783
4,0.143789, 0.194136,0.147795, 0.200680,0.077103, 0.182851,0.077103, 0.193268,0.049475, 0.185039,0.040124, 0.178639,0.054874, 0.134012,0.022345, 0.118769,0.774786
5,0.107008, 0.239191,0.111150, 0.173368,0.130633, 0.183874,0.065317, 0.158543,0.058438, 0.152053,0.079730, 0.165173,0.046834, 0.168133,0.020382, 0.140171,0.761015
6,0.144178, 0.193285,0.151123, 0.198742,0.081464, 0.183632,0.075561, 0.144290,0.083895, 0.179893,0.053579, 0.181198,0.026755, 0.166500,0.021589, 0.114316,0.723710
7,0.132097, 0.195636,0.152392, 0.196280,0.066048, 0.181803,0.066048, 0.170192,0.051428, 0.165024,0.084529, 0.170192,0.050797, 0.113776,0.028638, 0.175119,0.736044
8,0.143203, 0.189063,0.143203, 0.189063,0.143203, 0.188657,0.071601, 0.174126,0.080083, 0.174126,0.047734, 0.160167,0.025325, 0.162891,0.020863, 0.086692,0.649570
9,0.151728, 0.191501,0.163092, 0.203270,0.081546, 0.189133,0.081546, 0.189133,0.090474, 0.177770,0.054364, 0.128303,0.030515, 0.113640,0.040773, 0.113212,0.611925
10,0.153784, 0.201999,0.160927, 0.208150,0.088797, 0.186771,0.051135, 0.181761,0.040232, 0.128936,0.053642, 0.124872,0.060587, 0.187713,0.040232, 0.130464,0.701327
11,0.133222, 0.183520,0.146020, 0.199618,0.128460, 0.188318,0.079923, 0.168936,0.044223, 0.173797,0.053282, 0.121116,0.039330, 0.156238,0.022204, 0.161794,0.706674
12,0.151623, 0.196266,0.151623, 0.196266,0.084958, 0.180469,0.070377, 0.173362,0.072433, 0.164402,0.070377, 0.128113,0.040918, 0.171440,0.037906, 0.109470,0.639573
13,0.140443, 0.200669,0.074009, 0.190407,0.165637, 0.211867,0.070221, 0.175075,0.035093, 0.161772,0.091152, 0.173807,0.054416, 0.101109,0.025027, 0.129295,0.688003
14,0.160443, 0.209686,0.097236, 0.192586,0.080222, 0.192586,0.080222, 0.135569,0.056024, 0.182831,0.080222, 0.171486,0.069350, 0.137048,0.027740, 0.126749,0.697085
15,0.127619, 0.175413,0.127619, 0.193106,0.072332, 0.162775,0.063810, 0.162775,0.055254, 0.148926,0.127619, 0.175413,0.031905, 0.154918,0.063067, 0.157449,0.661551
16,0.188592, 0.228365,0.094296, 0.159527,0.105660, 0.220338,0.062659, 0.208329,0.037135, 0.125318,0.035464, 0.132602,0.094296, 0.145432,0.033416, 0.128570,0.696964
17,0.161747, 0.219887,0.137039, 0.202467,0.080874, 0.205497,0.033468, 0.170183,0.059063, 0.194247,0.053916, 0.175501,0.036378, 0.147706,0.022862, 0.099163,0.829305
18,0.130800, 0.176372,0.130800, 0.181581,0.130800, 0.187129,0.065400, 0.168300,0.069476, 0.166911,0.048921, 0.163470,0.034089, 0.160972,0.027008, 0.157973,0.725415
19,0.142528, 0.190322,0.129631, 0.191547,0.132111, 0.177250,0.074940, 0.166995,0.048417, 0.164353,0.048417, 0.171297,0.037368, 0.134190,0.033896, 0.156739,0.705386
20,0.146892, 0.195593,0.137277, 0.181004,0.140642, 0.184392,0.082241, 0.180864,0.033343, 0.164482,0.048964, 0.165848,0.052169, 0.169213,0.024556, 0.092519,0.667832
21,0.204286, 0.247555,0.111758, 0.160370,0.095199, 0.158055,0.068032, 0.153973,0.061088, 0.142713,0.049497, 0.215536,0.034048, 0.138973,0.028808, 0.130109,0.694569
