ó^Ç¶ÇΩèdóvìx,0.130000,0.190000,0.115000,0.185000,0.100000,0.180000,0.085000,0.175000,0.070000,0.170000,0.055000,0.165000,0.040000,0.160000,0.025000,0.155000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],ãÊä‘ïùÇÃëçòa
1,0.108024, 0.185870,0.207800, 0.237170,0.092828, 0.108331,0.062319, 0.192637,0.040699, 0.138253,0.091089, 0.207953,0.048159, 0.139235,0.048103, 0.091530,0.601958
2,0.103907, 0.186353,0.103036, 0.275406,0.109463, 0.225804,0.102401, 0.106861,0.085267, 0.225536,0.073645, 0.126741,0.027732, 0.103036,0.028243, 0.116569,0.732613
3,0.123953, 0.183089,0.117126, 0.124303,0.076053, 0.260608,0.090179, 0.238113,0.054418, 0.148577,0.074289, 0.150945,0.122362, 0.125228,0.034706, 0.076053,0.613829
4,0.147586, 0.159246,0.129539, 0.182566,0.090392, 0.207961,0.091115, 0.184618,0.084901, 0.197313,0.047717, 0.131017,0.048348, 0.172789,0.029456, 0.095434,0.661888
5,0.083549, 0.251871,0.122265, 0.169544,0.117304, 0.173332,0.082729, 0.166383,0.051426, 0.199063,0.077693, 0.200353,0.062904, 0.117304,0.029115, 0.095165,0.746030
6,0.146941, 0.185399,0.143744, 0.210794,0.088308, 0.235302,0.072796, 0.111868,0.105397, 0.156238,0.059679, 0.145593,0.031205, 0.176616,0.023488, 0.106632,0.656882
7,0.118266, 0.196813,0.144540, 0.179405,0.058467, 0.208344,0.069262, 0.127488,0.062316, 0.210505,0.089702, 0.221214,0.052000, 0.062316,0.039914, 0.159450,0.731067
8,0.130211, 0.152401,0.152401, 0.195890,0.143999, 0.160455,0.070490, 0.165629,0.083964, 0.172758,0.048466, 0.167929,0.042204, 0.207650,0.021144, 0.084408,0.614241
9,0.131360, 0.190643,0.152372, 0.221652,0.087975, 0.210285,0.090781, 0.163628,0.108054, 0.137285,0.054543, 0.127811,0.040621, 0.114966,0.046161, 0.121863,0.576267
10,0.158221, 0.182908,0.173541, 0.177393,0.088059, 0.163781,0.067668, 0.228680,0.044384, 0.154178,0.060969, 0.101970,0.073756, 0.188082,0.044936, 0.091475,0.576934
11,0.109726, 0.144952,0.144952, 0.277562,0.076944, 0.216043,0.097458, 0.211684,0.060312, 0.197383,0.052633, 0.121225,0.058336, 0.077242,0.033296, 0.120251,0.732687
12,0.149680, 0.187061,0.164751, 0.177705,0.077351, 0.206764,0.076788, 0.203430,0.074368, 0.153575,0.075112, 0.123129,0.053854, 0.154703,0.043590, 0.078139,0.569014
13,0.140013, 0.235621,0.067827, 0.140379,0.140379, 0.263546,0.080803, 0.166747,0.045300, 0.162473,0.101357, 0.170836,0.059361, 0.090601,0.033349, 0.101408,0.663220
14,0.176585, 0.219375,0.099537, 0.178897,0.066271, 0.177204,0.088602, 0.100320,0.069428, 0.163503,0.079144, 0.202377,0.084064, 0.148168,0.040475, 0.106048,0.591785
15,0.145180, 0.150791,0.118967, 0.197736,0.079442, 0.181685,0.075907, 0.156082,0.051400, 0.158884,0.150289, 0.154036,0.033852, 0.122518,0.065912, 0.157318,0.558100
16,0.162229, 0.209083,0.093590, 0.164093,0.100546, 0.290026,0.072683, 0.244158,0.042061, 0.145367,0.036198, 0.102966,0.089050, 0.095725,0.043631, 0.108595,0.720024
17,0.173177, 0.175937,0.133096, 0.216028,0.105187, 0.189364,0.037581, 0.179656,0.078470, 0.215990,0.052789, 0.133096,0.039372, 0.157820,0.026791, 0.085644,0.707072
18,0.093971, 0.263906,0.107001, 0.171756,0.137758, 0.189499,0.070895, 0.130458,0.085600, 0.183162,0.053539, 0.107001,0.041100, 0.141790,0.043587, 0.178977,0.733098
19,0.127551, 0.268244,0.124810, 0.203640,0.095469, 0.209855,0.096060, 0.104994,0.067803, 0.169795,0.051702, 0.127551,0.046576, 0.143876,0.037267, 0.124810,0.705526
20,0.145382, 0.151210,0.092343, 0.235931,0.094428, 0.295572,0.096426, 0.184307,0.051287, 0.192852,0.043486, 0.092343,0.067483, 0.103435,0.036988, 0.116527,0.744353
