ó^Ç¶ÇΩèdóvìx,0.130000,0.190000,0.115000,0.185000,0.100000,0.180000,0.085000,0.175000,0.070000,0.170000,0.055000,0.165000,0.040000,0.160000,0.025000,0.155000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],ãÊä‘ïùÇÃëçòa
1,0.098129, 0.195766,0.201159, 0.243811,0.084009, 0.117150,0.012778, 0.242177,0.000001, 0.178951,0.076557, 0.222485,0.041370, 0.146024,0.002198, 0.137435,0.967599
2,0.080997, 0.209263,0.095890, 0.282551,0.056825, 0.278443,0.095228, 0.114035,0.029538, 0.281265,0.060877, 0.139509,0.000001, 0.130767,0.000001, 0.144811,1.161285
3,0.120994, 0.186047,0.112951, 0.128478,0.069494, 0.267167,0.080703, 0.247590,0.000001, 0.202994,0.069378, 0.155855,0.112951, 0.134638,0.000001, 0.110758,0.867053
4,0.106776, 0.200057,0.119006, 0.193099,0.089193, 0.209160,0.089139, 0.186595,0.073054, 0.209160,0.045015, 0.133719,0.013263, 0.207873,0.005435, 0.119456,0.918237
5,0.000001, 0.335419,0.105570, 0.186238,0.098015, 0.192621,0.072659, 0.176453,0.000001, 0.250488,0.031465, 0.246581,0.034890, 0.145318,0.000001, 0.124279,1.314795
6,0.096568, 0.235773,0.118639, 0.235899,0.082224, 0.241386,0.065236, 0.119428,0.088634, 0.173000,0.028003, 0.177269,0.000001, 0.207820,0.000001, 0.130118,1.041386
7,0.114316, 0.200762,0.060983, 0.262962,0.018723, 0.248088,0.002322, 0.194428,0.057158, 0.215663,0.080986, 0.229930,0.048575, 0.065741,0.027890, 0.171474,1.178095
8,0.125199, 0.157413,0.146952, 0.201340,0.100566, 0.203888,0.027791, 0.208329,0.073476, 0.183247,0.000001, 0.216393,0.038212, 0.211642,0.007519, 0.098032,0.960568
9,0.092278, 0.229725,0.128684, 0.245340,0.035017, 0.263243,0.035585, 0.218824,0.084338, 0.161001,0.050725, 0.131628,0.034071, 0.121516,0.000001, 0.168023,1.078601
10,0.121619, 0.219509,0.163055, 0.187878,0.084186, 0.167654,0.000001, 0.296347,0.034456, 0.164106,0.058489, 0.104451,0.052937, 0.208901,0.032479, 0.103932,0.905556
11,0.053971, 0.200707,0.133955, 0.288559,0.066194, 0.226793,0.033671, 0.275472,0.053035, 0.204661,0.000001, 0.173857,0.018864, 0.116713,0.017970, 0.135578,1.244678
12,0.139988, 0.196753,0.132884, 0.209572,0.069994, 0.214122,0.071164, 0.209053,0.046100, 0.181843,0.061103, 0.137138,0.000001, 0.208556,0.036115, 0.085614,0.885303
13,0.000001, 0.375633,0.013255, 0.194951,0.117630, 0.286295,0.066397, 0.181153,0.039621, 0.168153,0.081096, 0.191097,0.000001, 0.149960,0.027598, 0.107160,1.308805
14,0.164504, 0.231456,0.089513, 0.188922,0.054553, 0.188922,0.082252, 0.106670,0.034113, 0.198818,0.059262, 0.222259,0.053206, 0.179026,0.036422, 0.110101,0.852349
15,0.139793, 0.156179,0.090971, 0.225732,0.075298, 0.185829,0.073993, 0.157996,0.000001, 0.210283,0.147986, 0.156340,0.006663, 0.149707,0.055665, 0.167565,0.819261
16,0.000001, 0.371311,0.092388, 0.165295,0.060861, 0.329710,0.066238, 0.250604,0.000001, 0.187427,0.032425, 0.106740,0.074872, 0.109903,0.011895, 0.140330,1.322640
