No.,tL,tR
true,0.800000,1.333333
0,0.797194,1.341202
1,0.752492,1.490126
2,0.812655,1.299603
3,0.790821,1.359636
4,0.756442,1.474883
5,0.761688,1.455339
6,0.735466,1.561724
7,0.791207,1.358496
8,0.762733,1.451537
9,0.864729,1.185441
10,0.724355,1.614304
11,0.810310,1.305647
12,0.782001,1.386518
13,0.792727,1.354041
14,0.833786,1.248982
15,0.775188,1.408469
16,0.754618,1.481863
17,0.813479,1.297503
18,0.730915,1.582649
19,0.760655,1.459119
20,0.733306,1.571556
21,0.806433,1.315841
22,0.770093,1.425612
23,0.748661,1.505385
24,0.807749,1.312350
25,0.799777,1.333952
26,0.788869,1.365449
27,0.790772,1.359780
28,0.696710,1.770905
29,0.829371,1.259024
30,0.810332,1.305587
31,0.662404,2.039372
32,0.772327,1.418019
33,0.751163,1.495370
34,0.733446,1.570904
35,0.707405,1.705370
36,0.759040,1.465103
37,0.804764,1.320308
38,0.732223,1.576549
39,0.799303,1.335272
40,0.796942,1.341913
41,0.742366,1.531494
42,0.767741,1.433733
43,0.743703,1.525842
44,0.762439,1.452608
45,0.757155,1.472171
46,0.776202,1.405136
47,0.759489,1.463432
48,0.710135,1.689712
49,0.804617,1.320704
50,0.785939,1.374314
51,0.739545,1.543641
52,0.729448,1.589570
53,0.851732,1.210768
54,0.691261,1.807116
55,0.802174,1.327336
56,0.771664,1.420257
57,0.708302,1.700180
58,0.784521,1.378670
59,0.761831,1.454814
60,0.764634,1.444703
61,0.721282,1.629779
62,0.700703,1.745621
63,0.741167,1.536622
64,0.803534,1.323630
65,0.805514,1.318291
66,0.696204,1.774185
67,0.785071,1.376978
68,0.774203,1.411731
69,0.853674,1.206867
70,0.758431,1.467369
71,0.804139,1.321989
72,0.760177,1.460886
73,0.770025,1.425844
74,0.707135,1.706945
75,0.766888,1.436726
76,0.888096,1.144171
77,0.803740,1.323072
78,0.757327,1.471525
79,0.797574,1.340125
80,0.745729,1.517382
81,0.755580,1.478164
82,0.746127,1.515735
83,0.811238,1.303244
84,0.772751,1.416587
85,0.785675,1.375122
86,0.730221,1.585907
87,0.765788,1.440594
88,0.713299,1.672065
89,0.677668,1.907116
90,0.787939,1.368236
91,0.720106,1.635815
92,0.759373,1.463859
93,0.760161,1.460944
94,0.800312,1.332470
95,0.749822,1.500708
96,0.763541,1.448618
97,0.739245,1.544950
98,0.891920,1.137886
99,0.794948,1.347609
100,0.739013,1.545968
101,0.785581,1.375410
102,0.846130,1.222271
103,0.764227,1.446153
104,0.760825,1.458496
105,0.716956,1.652308
106,0.765599,1.441269
107,0.698989,1.756349
108,0.748854,1.504603
109,0.735992,1.559350
110,0.818663,1.284526
111,0.827355,1.263695
112,0.757910,1.469331
113,0.728093,1.596042
114,0.818208,1.285646
115,0.701147,1.742868
116,0.789992,1.362093
117,0.713527,1.670807
118,0.718257,1.645443
119,0.729030,1.591561
120,0.750554,1.497791
121,0.734601,1.565641
122,0.767528,1.434481
123,0.762800,1.451297
124,0.739598,1.543410
125,0.854309,1.205595
126,0.759112,1.464830
127,0.733389,1.571176
128,0.735490,1.561614
129,0.771135,1.422050
130,0.748720,1.505145
131,0.826205,1.266390
132,0.751836,1.492709
133,0.816424,1.290081
134,0.745117,1.519925
135,0.743061,1.528549
136,0.727317,1.599782
137,0.740287,1.540426
138,0.768931,1.429605
139,0.815407,1.292628
140,0.790413,1.360844
141,0.733394,1.571149
142,0.897467,1.128982
143,0.737265,1.553671
144,0.759633,1.462897
145,0.743676,1.525953
146,0.693733,1.790433
147,0.800962,1.330676
148,0.724998,1.611121
149,0.809555,1.307612
150,0.755734,1.477578
151,0.761073,1.457584
152,0.746642,1.513620
153,0.744647,1.521882
154,0.806734,1.315040
155,0.797445,1.340495
156,0.813819,1.296635
157,0.846610,1.221273
158,0.768591,1.430783
159,0.727861,1.597156
160,0.767311,1.435235
161,0.716666,1.653847
162,0.724414,1.614015
163,0.803508,1.323702
164,0.762286,1.453159
165,0.743771,1.525553
166,0.802189,1.327295
167,0.699566,1.752722
168,0.812774,1.299302
169,0.815370,1.292718
170,0.758356,1.467657
171,0.734837,1.564568
172,0.781852,1.386989
173,0.744749,1.521459
174,0.877333,1.162545
175,0.718944,1.641842
176,0.739125,1.545473
177,0.806718,1.315083
178,0.676840,1.913707
179,0.776147,1.405308
180,0.763674,1.448140
181,0.848365,1.217640
182,0.751714,1.493193
183,0.727362,1.599567
184,0.867943,1.179451
185,0.700526,1.746716
186,0.725355,1.609360
187,0.764803,1.444102
188,0.818878,1.283999
189,0.770351,1.424727
190,0.769092,1.429055
191,0.827787,1.262688
192,0.784728,1.378031
193,0.726931,1.601658
194,0.819101,1.283452
195,0.762544,1.452222
196,0.704868,1.720303
197,0.820221,1.280708
198,0.831821,1.253417
199,0.715712,1.658955
200,0.803576,1.323518
201,0.798693,1.336982
202,0.807644,1.312627
203,0.686246,1.842309
204,0.846713,1.221059
205,0.839976,1.235343
206,0.740899,1.537780
207,0.773828,1.412982
208,0.773294,1.414765
209,0.716667,1.653844
210,0.758206,1.468222
211,0.741993,1.533086
212,0.733122,1.572404
213,0.774487,1.410787
214,0.712956,1.673954
215,0.712971,1.673867
216,0.820063,1.281097
217,0.765833,1.440441
218,0.780532,1.391167
219,0.784857,1.377632
220,0.712376,1.677160
221,0.704132,1.724703
222,0.770801,1.423182
223,0.780485,1.391310
224,0.724171,1.615222
225,0.785193,1.376599
226,0.776893,1.402881
227,0.775127,1.408677
228,0.778357,1.398124
229,0.745703,1.517494
230,0.807677,1.312537
231,0.718414,1.644612
232,0.826388,1.265959
233,0.746985,1.512205
234,0.724108,1.615527
235,0.766526,1.437994
236,0.808769,1.309667
237,0.689054,1.822373
238,0.786075,1.373898
239,0.734191,1.567509
240,0.754729,1.481433
241,0.841873,1.231268
242,0.849505,1.215299
243,0.748051,1.507864
244,0.762143,1.453679
245,0.717481,1.649531
246,0.828899,1.260114
247,0.760518,1.459628
248,0.814394,1.295179
249,0.818428,1.285109
250,0.737808,1.551270
251,0.746690,1.513413
252,0.738856,1.546656
253,0.740300,1.540369
254,0.866742,1.181680
255,0.727038,1.601137
256,0.695631,1.777914
257,0.829820,1.257987
258,0.764719,1.444396
259,0.729674,1.588499
260,0.798468,1.337610
261,0.749659,1.501364
262,0.681772,1.875356
263,0.820749,1.279424
264,0.728027,1.596360
265,0.810047,1.306327
266,0.734391,1.566593
267,0.741559,1.534950
268,0.724563,1.613265
269,0.765529,1.441518
270,0.754528,1.482213
271,0.743257,1.527720
272,0.782320,1.385521
273,0.770601,1.423875
274,0.771867,1.419567
275,0.779296,1.395109
276,0.775605,1.407089
277,0.765187,1.442733
278,0.876797,1.163489
279,0.823499,1.272802
280,0.718882,1.642171
281,0.764390,1.445571
282,0.668724,1.981717
283,0.780368,1.391690
284,0.715156,1.661944
285,0.733633,1.570056
286,0.817859,1.286511
287,0.754101,1.483864
288,0.840329,1.234582
289,0.794808,1.348007
290,0.810331,1.305589
291,0.806212,1.316430
292,0.784677,1.378189
293,0.724113,1.615509
294,0.710431,1.688046
295,0.819878,1.281550
296,0.723498,1.618573
297,0.796404,1.343443
298,0.802033,1.327723
299,0.819383,1.282762
300,0.774322,1.411339
301,0.719125,1.640910
302,0.728459,1.594286
303,0.823082,1.273801
304,0.734584,1.565712
305,0.684071,1.858180
306,0.744975,1.520512
307,0.689921,1.816342
308,0.753689,1.485454
309,0.724880,1.611702
310,0.829095,1.259658
311,0.775173,1.408516
312,0.716312,1.655739
313,0.732470,1.575406
314,0.720301,1.634812
315,0.788931,1.365259
316,0.793754,1.351052
317,0.742790,1.529695
318,0.734836,1.564568
319,0.796631,1.342796
320,0.814515,1.294874
321,0.693653,1.790969
322,0.845351,1.223903
323,0.769733,1.426843
324,0.820152,1.280880
325,0.734596,1.565661
326,0.702334,1.735581
327,0.763112,1.450166
328,0.777157,1.402011
329,0.797008,1.341727
330,0.728695,1.593163
331,0.829222,1.259362
332,0.797940,1.339097
333,0.736968,1.554992
334,0.785403,1.375953
335,0.808187,1.311195
336,0.733305,1.571556
337,0.804893,1.319961
338,0.808548,1.310247
339,0.667499,1.992544
340,0.693248,1.793680
341,0.831788,1.253494
342,0.769108,1.428996
343,0.708078,1.701482
344,0.756805,1.473501
345,0.834670,1.247003
346,0.667510,1.992461
347,0.787549,1.369418
348,0.778540,1.397538
349,0.787475,1.369638
350,0.784196,1.379676
351,0.727095,1.600861
352,0.798885,1.336443
353,0.731902,1.578044
354,0.743284,1.527608
355,0.909703,1.110201
356,0.760872,1.458328
357,0.763519,1.448696
358,0.805464,1.318428
359,0.783487,1.381876
360,0.778279,1.398382
361,0.760931,1.458109
362,0.726798,1.602302
363,0.761703,1.455284
364,0.873536,1.169279
365,0.816118,1.290844
366,0.678359,1.901669
367,0.803568,1.323541
368,0.762499,1.452386
369,0.702196,1.736428
370,0.718533,1.643996
371,0.795725,1.345375
372,0.744585,1.522142
373,0.764664,1.444598
374,0.793728,1.351127
375,0.695969,1.775710
376,0.794724,1.348254
377,0.854781,1.204657
378,0.819093,1.283470
379,0.834133,1.248204
380,0.844661,1.225349
381,0.758599,1.466749
382,0.794856,1.347871
383,0.845690,1.223191
384,0.799799,1.333890
385,0.767662,1.434012
386,0.742059,1.532802
387,0.724858,1.611811
388,0.767020,1.436264
389,0.819107,1.283437
390,0.800661,1.331503
391,0.816957,1.288749
392,0.788588,1.366284
393,0.810058,1.306300
394,0.795844,1.345037
395,0.777985,1.399327
396,0.760962,1.457994
397,0.795181,1.346937
398,0.737004,1.554835
399,0.725602,1.608149
400,0.836681,1.242545
401,0.772161,1.418573
402,0.798612,1.337204
403,0.742241,1.532029
404,0.876552,1.163918
405,0.767340,1.435140
406,0.716199,1.656342
407,0.781504,1.388089
408,0.796175,1.344097
409,0.752139,1.491520
410,0.919093,1.096526
411,0.792327,1.355210
412,0.762670,1.451767
413,0.815663,1.291981
414,0.735486,1.561629
415,0.750573,1.497717
416,0.717969,1.646955
417,0.767582,1.434292
418,0.828245,1.261629
419,0.809404,1.308003
420,0.727341,1.599662
421,0.831550,1.254033
422,0.768435,1.431326
423,0.819320,1.282916
424,0.724743,1.612383
425,0.788300,1.367157
426,0.778100,1.398961
427,0.755090,1.480045
428,0.762185,1.453526
429,0.751320,1.494750
430,0.803011,1.325053
431,0.775276,1.408181
432,0.725323,1.609515
433,0.735852,1.559992
434,0.765420,1.441905
435,0.779934,1.393066
436,0.837889,1.239887
437,0.797607,1.340030
438,0.771155,1.421984
439,0.766849,1.436858
440,0.717706,1.648343
441,0.896621,1.130325
442,0.819377,1.282773
443,0.863043,1.188623
444,0.775159,1.408568
445,0.771974,1.419205
446,0.729146,1.591006
447,0.787800,1.368656
448,0.734902,1.564277
449,0.768680,1.430474
450,0.854761,1.204699
451,0.753457,1.486357
452,0.706175,1.712563
453,0.776141,1.405333
454,0.722993,1.621113
455,0.767968,1.432946
456,0.782061,1.386330
457,0.784682,1.378170
458,0.858214,1.197907
459,0.796519,1.343118
460,0.839989,1.235318
461,0.792974,1.353314
462,0.853925,1.206363
463,0.765413,1.441930
464,0.753302,1.486960
465,0.784741,1.377986
466,0.781403,1.388411
467,0.734045,1.568172
468,0.759571,1.463126
469,0.750133,1.499471
470,0.696475,1.772421
471,0.761860,1.454708
472,0.811980,1.301331
473,0.724460,1.613783
474,0.770926,1.422760
475,0.849675,1.214950
476,0.798078,1.338704
477,0.698764,1.757769
478,0.743244,1.527777
479,0.730313,1.585480
480,0.790860,1.359523
481,0.818313,1.285392
482,0.776181,1.405203
483,0.779892,1.393202
484,0.764280,1.445968
485,0.807642,1.312634
486,0.775959,1.405932
487,0.743803,1.525416
488,0.830928,1.255449
489,0.806792,1.314879
490,0.794662,1.348430
491,0.748816,1.504757
492,0.763528,1.448669
493,0.788430,1.366761
494,0.776628,1.403741
495,0.651379,2.151486
496,0.772706,1.416740
497,0.851428,1.211383
498,0.755811,1.477282
499,0.768332,1.431682
500,0.779291,1.395124
501,0.757171,1.472114
502,0.726805,1.602269
503,0.731247,1.581095
504,0.821645,1.277255
505,0.714868,1.663503
506,0.843199,1.228441
507,0.709116,1.695507
508,0.723525,1.618445
509,0.767755,1.433690
510,0.871308,1.173296
511,0.783660,1.381334
512,0.818547,1.284815
513,0.727756,1.597664
514,0.757330,1.471519
515,0.743866,1.525153
516,0.835151,1.245934
517,0.735311,1.562419
518,0.821402,1.277843
519,0.727561,1.598611
520,0.821955,1.276507
521,0.779737,1.393697
522,0.877013,1.163107
523,0.730110,1.586438
524,0.718967,1.641726
525,0.782239,1.385777
526,0.814381,1.295213
527,0.767012,1.436286
528,0.851624,1.210988
529,0.795819,1.345113
530,0.840872,1.233414
531,0.688904,1.823427
532,0.724802,1.612092
533,0.783236,1.382659
534,0.724131,1.615420
535,0.735474,1.561690
536,0.809776,1.307036
537,0.813030,1.298644
538,0.758327,1.467767
539,0.715583,1.659649
540,0.711931,1.679628
541,0.780126,1.392463
542,0.829314,1.259152
543,0.847565,1.219289
544,0.826594,1.265477
545,0.774622,1.410338
546,0.740618,1.538994
547,0.700400,1.747509
548,0.699841,1.750995
549,0.782356,1.385406
550,0.742617,1.530430
551,0.765785,1.440611
552,0.700899,1.744409
553,0.729414,1.589737
554,0.742285,1.531846
555,0.737234,1.553813
556,0.766278,1.438865
557,0.815733,1.291809
558,0.736812,1.555691
559,0.793331,1.352276
560,0.716479,1.654848
561,0.733774,1.569408
562,0.703875,1.726236
563,0.798223,1.338296
564,0.740118,1.541150
565,0.751057,1.495783
566,0.776449,1.404325
567,0.846493,1.221517
568,0.742179,1.532292
569,0.722170,1.625266
570,0.814342,1.295312
571,0.789835,1.362559
572,0.829022,1.259825
573,0.882518,1.153564
574,0.794038,1.350227
575,0.778253,1.398461
576,0.827617,1.263086
577,0.742073,1.532748
578,0.803833,1.322820
579,0.694621,1.784548
580,0.774264,1.411530
581,0.784112,1.379933
582,0.774241,1.411608
583,0.741597,1.534780
584,0.708463,1.699253
585,0.738122,1.549883
586,0.893824,1.134802
587,0.777226,1.401795
588,0.748793,1.504843
589,0.723258,1.619782
590,0.784416,1.378997
591,0.697781,1.764017
592,0.770315,1.424849
593,0.813974,1.296245
594,0.772926,1.416001
595,0.775089,1.408796
596,0.732091,1.577165
597,0.786582,1.372350
598,0.793129,1.352869
599,0.797303,1.340892
600,0.722417,1.624012
601,0.782722,1.384257
602,0.766244,1.438988
603,0.742636,1.530351
604,0.791721,1.356985
605,0.735906,1.559746
606,0.754188,1.483521
607,0.801253,1.329869
608,0.742377,1.531448
609,0.819084,1.283489
610,0.803180,1.324596
611,0.739747,1.542765
612,0.810300,1.305674
613,0.795153,1.347017
614,0.839350,1.236702
615,0.797300,1.340905
616,0.772337,1.417983
617,0.808795,1.309598
618,0.821647,1.277252
619,0.813343,1.297850
620,0.789139,1.364636
621,0.787439,1.369752
622,0.728285,1.595118
623,0.748456,1.506215
624,0.728075,1.596131
625,0.713437,1.671307
626,0.846461,1.221584
627,0.736123,1.558774
628,0.705724,1.715225
629,0.777286,1.401591
630,0.783725,1.381132
631,0.719994,1.636396
632,0.776991,1.402560
633,0.711830,1.680189
634,0.725820,1.607079
635,0.774793,1.409773
636,0.797262,1.341007
637,0.755136,1.479870
638,0.780735,1.390521
639,0.815946,1.291277
640,0.730277,1.585648
641,0.765465,1.441743
642,0.794830,1.347947
643,0.771204,1.421812
644,0.847308,1.219822
645,0.736643,1.556442
646,0.767674,1.433971
647,0.779892,1.393202
648,0.715602,1.659544
649,0.744021,1.524504
650,0.809417,1.307967
651,0.703896,1.726111
652,0.744258,1.523503
653,0.766448,1.438272
654,0.750148,1.499408
655,0.771687,1.420176
656,0.739410,1.544235
657,0.788510,1.366522
658,0.776998,1.402528
659,0.751970,1.492179
660,0.678274,1.902334
661,0.825925,1.267048
662,0.750645,1.497427
663,0.723353,1.619305
664,0.781752,1.387305
665,0.751755,1.493030
666,0.752633,1.489580
667,0.763850,1.447507
668,0.775335,1.407985
669,0.716175,1.656466
670,0.762267,1.453229
671,0.796715,1.342563
672,0.861022,1.192481
673,0.757827,1.469639
674,0.825376,1.268345
675,0.842139,1.230697
676,0.781582,1.387844
677,0.794113,1.350012
678,0.801749,1.328505
679,0.727400,1.599388
680,0.814426,1.295100
681,0.831795,1.253480
682,0.860831,1.192845
683,0.760743,1.458798
684,0.805126,1.319333
685,0.793111,1.352918
686,0.796853,1.342167
687,0.746670,1.513496
688,0.786469,1.372693
689,0.728873,1.592311
690,0.669858,1.971819
691,0.816297,1.290399
692,0.886203,1.147326
693,0.756443,1.474881
694,0.759705,1.462630
695,0.713323,1.671936
696,0.795591,1.345761
697,0.720469,1.633944
698,0.784892,1.377524
699,0.764466,1.445300
700,0.780911,1.389962
701,0.797930,1.339118
702,0.754863,1.480922
703,0.798691,1.336986
704,0.754111,1.483820
705,0.782399,1.385272
706,0.758874,1.465717
707,0.771915,1.419406
708,0.768287,1.431840
709,0.805577,1.318122
710,0.786330,1.373113
711,0.790472,1.360666
712,0.779582,1.394195
713,0.726222,1.605108
714,0.735891,1.559807
715,0.727737,1.597758
716,0.718462,1.644366
717,0.751293,1.494853
718,0.799704,1.334155
719,0.787901,1.368356
720,0.769058,1.429168
721,0.709544,1.693064
722,0.848248,1.217883
723,0.883685,1.151574
724,0.740847,1.538007
725,0.781039,1.389555
726,0.851456,1.211325
727,0.753934,1.484505
728,0.836859,1.242151
729,0.726787,1.602351
730,0.744929,1.520704
731,0.751614,1.493590
732,0.820763,1.279389
733,0.826125,1.266575
734,0.781271,1.388819
735,0.858412,1.197523
736,0.789019,1.364994
737,0.824105,1.271352
738,0.803113,1.324772
739,0.757263,1.471770
740,0.767971,1.432938
741,0.714088,1.667742
742,0.745647,1.517718
743,0.742264,1.531931
744,0.712457,1.676710
745,0.778025,1.399198
746,0.824734,1.269862
747,0.791538,1.357523
748,0.726401,1.604235
749,0.679002,1.896633
750,0.825607,1.267795
751,0.741333,1.535912
752,0.802888,1.325392
753,0.868146,1.179077
754,0.764515,1.445126
755,0.775366,1.407880
756,0.804797,1.320221
757,0.762980,1.450642
758,0.790676,1.360067
759,0.767781,1.433601
760,0.795076,1.347240
761,0.755440,1.478710
762,0.819944,1.281389
763,0.755192,1.479655
764,0.758216,1.468185
765,0.873542,1.169268
766,0.763432,1.449015
767,0.800169,1.332864
768,0.765336,1.442204
769,0.763567,1.448526
770,0.764928,1.443651
771,0.712394,1.677053
772,0.746646,1.513597
773,0.756702,1.473891
774,0.739507,1.543810
775,0.814533,1.294832
776,0.712977,1.673833
777,0.778965,1.396164
778,0.671816,1.955038
779,0.709301,1.694456
780,0.731984,1.577660
781,0.810929,1.304041
782,0.749318,1.502736
783,0.759965,1.461670
784,0.821458,1.277705
785,0.815421,1.292594
786,0.801363,1.329566
787,0.776823,1.403107
788,0.830515,1.256393
789,0.784362,1.379162
790,0.687206,1.835425
791,0.745291,1.519198
792,0.773177,1.415160
793,0.850478,1.213312
794,0.702251,1.736090
795,0.813457,1.297560
796,0.771781,1.419860
797,0.812529,1.299927
798,0.794581,1.348663
799,0.804946,1.319817
800,0.744003,1.524578
