ó^Ç¶ÇΩèdóvìx,0.130000,0.190000,0.115000,0.185000,0.100000,0.180000,0.085000,0.175000,0.070000,0.170000,0.055000,0.165000,0.040000,0.160000,0.025000,0.155000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],ãÊä‘ïùÇÃëçòa
1,0.146947, 0.146947,0.222485, 0.222485,0.100579, 0.100579,0.127478, 0.127478,0.089476, 0.089476,0.149521, 0.149521,0.093697, 0.093697,0.069817, 0.069817,0.000000
2,0.145130, 0.145130,0.189221, 0.189221,0.167634, 0.167634,0.104631, 0.104631,0.155401, 0.155401,0.100193, 0.100193,0.065384, 0.065384,0.072406, 0.072406,0.000000
3,0.153521, 0.153521,0.120715, 0.120715,0.168330, 0.168330,0.164146, 0.164146,0.101498, 0.101498,0.112617, 0.112617,0.123795, 0.123795,0.055379, 0.055379,0.000000
4,0.153416, 0.153416,0.156052, 0.156052,0.149177, 0.149177,0.137867, 0.137867,0.141107, 0.141107,0.089367, 0.089367,0.110568, 0.110568,0.062445, 0.062445,0.000000
5,0.167710, 0.167710,0.145904, 0.145904,0.145318, 0.145318,0.124556, 0.124556,0.125244, 0.125244,0.139023, 0.139023,0.090104, 0.090104,0.062140, 0.062140,0.000000
6,0.166170, 0.166170,0.177269, 0.177269,0.161805, 0.161805,0.092332, 0.092332,0.130817, 0.130817,0.102636, 0.102636,0.103911, 0.103911,0.065060, 0.065060,0.000000
7,0.157539, 0.157539,0.161972, 0.161972,0.133405, 0.133405,0.098375, 0.098375,0.136410, 0.136410,0.155458, 0.155458,0.057158, 0.057158,0.099682, 0.099682,0.000000
8,0.141306, 0.141306,0.174146, 0.174146,0.152227, 0.152227,0.118060, 0.118060,0.128361, 0.128361,0.108197, 0.108197,0.124927, 0.124927,0.052776, 0.052776,0.000000
9,0.161001, 0.161001,0.187012, 0.187012,0.149130, 0.149130,0.127205, 0.127205,0.122670, 0.122670,0.091177, 0.091177,0.077794, 0.077794,0.084012, 0.084012,0.000000
10,0.170564, 0.170564,0.175467, 0.175467,0.125920, 0.125920,0.148174, 0.148174,0.099281, 0.099281,0.081470, 0.081470,0.130919, 0.130919,0.068205, 0.068205,0.000000
11,0.127339, 0.127339,0.211257, 0.211257,0.146494, 0.146494,0.154571, 0.154571,0.128848, 0.128848,0.086929, 0.086929,0.067789, 0.067789,0.076774, 0.076774,0.000000
12,0.168370, 0.168370,0.171228, 0.171228,0.142058, 0.142058,0.140109, 0.140109,0.113971, 0.113971,0.099121, 0.099121,0.104278, 0.104278,0.060864, 0.060864,0.000000
13,0.187817, 0.187817,0.104103, 0.104103,0.201962, 0.201962,0.123775, 0.123775,0.103887, 0.103887,0.136097, 0.136097,0.074981, 0.074981,0.067379, 0.067379,0.000000
14,0.197980, 0.197980,0.139217, 0.139217,0.121738, 0.121738,0.094461, 0.094461,0.116466, 0.116466,0.140760, 0.140760,0.116116, 0.116116,0.073262, 0.073262,0.000000
15,0.147986, 0.147986,0.158352, 0.158352,0.130564, 0.130564,0.115995, 0.115995,0.105142, 0.105142,0.152163, 0.152163,0.078185, 0.078185,0.111615, 0.111615,0.000000
16,0.185656, 0.185656,0.128841, 0.128841,0.195286, 0.195286,0.158421, 0.158421,0.093714, 0.093714,0.069582, 0.069582,0.092388, 0.092388,0.076113, 0.076113,0.000000
17,0.174557, 0.174557,0.174562, 0.174562,0.147275, 0.147275,0.108619, 0.108619,0.147230, 0.147230,0.092942, 0.092942,0.098596, 0.098596,0.056218, 0.056218,0.000000
18,0.178939, 0.178939,0.139378, 0.139378,0.163629, 0.163629,0.100677, 0.100677,0.134381, 0.134381,0.080270, 0.080270,0.091445, 0.091445,0.111282, 0.111282,0.000000
19,0.197897, 0.197897,0.164225, 0.164225,0.152662, 0.152662,0.100527, 0.100527,0.118799, 0.118799,0.089626, 0.089626,0.095226, 0.095226,0.081038, 0.081038,0.000000
20,0.148296, 0.148296,0.164137, 0.164137,0.195000, 0.195000,0.140366, 0.140366,0.122070, 0.122070,0.067915, 0.067915,0.085459, 0.085459,0.076758, 0.076758,0.000000
21,0.219391, 0.219391,0.153341, 0.153341,0.127928, 0.127928,0.139820, 0.139820,0.089732, 0.089732,0.121297, 0.121297,0.083193, 0.083193,0.065299, 0.065299,0.000000
22,0.131683, 0.131683,0.152898, 0.152898,0.164179, 0.164179,0.132155, 0.132155,0.164232, 0.164232,0.116644, 0.116644,0.093049, 0.093049,0.045160, 0.045160,0.000000
23,0.134502, 0.134502,0.146961, 0.146961,0.136963, 0.136963,0.205059, 0.205059,0.121944, 0.121944,0.095262, 0.095262,0.090617, 0.090617,0.068693, 0.068693,0.000000
24,0.161807, 0.161807,0.206289, 0.206289,0.130478, 0.130478,0.155537, 0.155537,0.098861, 0.098861,0.095884, 0.095884,0.074985, 0.074985,0.076159, 0.076159,0.000000
25,0.185619, 0.185619,0.161830, 0.161830,0.210109, 0.210109,0.099097, 0.099097,0.114799, 0.114799,0.100541, 0.100541,0.069194, 0.069194,0.058811, 0.058811,0.000000
26,0.157472, 0.157472,0.178381, 0.178381,0.099030, 0.099030,0.150544, 0.150544,0.096414, 0.096414,0.142029, 0.142029,0.108373, 0.108373,0.067756, 0.067756,0.000000
27,0.167022, 0.167022,0.147718, 0.147718,0.169742, 0.169742,0.114077, 0.114077,0.125665, 0.125665,0.108703, 0.108703,0.101168, 0.101168,0.065904, 0.065904,0.000000
28,0.225242, 0.225242,0.176281, 0.176281,0.099188, 0.099188,0.123630, 0.123630,0.120790, 0.120790,0.094014, 0.094014,0.057500, 0.057500,0.103354, 0.103354,0.000000
29,0.198031, 0.198031,0.129873, 0.129873,0.143841, 0.143841,0.121796, 0.121796,0.143992, 0.143992,0.091360, 0.091360,0.085763, 0.085763,0.085345, 0.085345,0.000000
30,0.211003, 0.211003,0.152496, 0.152496,0.117772, 0.117772,0.160938, 0.160938,0.129422, 0.129422,0.102647, 0.102647,0.075867, 0.075867,0.049855, 0.049855,0.000000
31,0.183318, 0.183318,0.168045, 0.168045,0.118299, 0.118299,0.079268, 0.079268,0.118172, 0.118172,0.089274, 0.089274,0.139044, 0.139044,0.104581, 0.104581,0.000000
32,0.165865, 0.165865,0.138954, 0.138954,0.156288, 0.156288,0.148669, 0.148669,0.166221, 0.166221,0.075852, 0.075852,0.070155, 0.070155,0.077996, 0.077996,0.000000
33,0.169925, 0.169925,0.117664, 0.117664,0.128636, 0.128636,0.149129, 0.149129,0.190269, 0.190269,0.072037, 0.072037,0.073225, 0.073225,0.099116, 0.099116,0.000000
34,0.144911, 0.144911,0.148028, 0.148028,0.143395, 0.143395,0.117936, 0.117936,0.156051, 0.156051,0.137615, 0.137615,0.082909, 0.082909,0.069154, 0.069154,0.000000
35,0.189054, 0.189054,0.164202, 0.164202,0.179137, 0.179137,0.141294, 0.141294,0.080969, 0.080969,0.125612, 0.125612,0.054978, 0.054978,0.064755, 0.064755,0.000000
36,0.167881, 0.167881,0.183021, 0.183021,0.131252, 0.131252,0.115873, 0.115873,0.152097, 0.152097,0.094209, 0.094209,0.082970, 0.082970,0.072697, 0.072697,0.000000
37,0.189711, 0.189711,0.138595, 0.138595,0.150577, 0.150577,0.185045, 0.185045,0.080376, 0.080376,0.103354, 0.103354,0.100558, 0.100558,0.051783, 0.051783,0.000000
38,0.164528, 0.164528,0.171933, 0.171933,0.126822, 0.126822,0.116608, 0.116608,0.131961, 0.131961,0.101686, 0.101686,0.083188, 0.083188,0.103274, 0.103274,0.000000
39,0.221575, 0.221575,0.135300, 0.135300,0.127943, 0.127943,0.129729, 0.129729,0.137120, 0.137120,0.094755, 0.094755,0.097853, 0.097853,0.055725, 0.055725,0.000000
40,0.141313, 0.141313,0.184385, 0.184385,0.120694, 0.120694,0.150607, 0.150607,0.101978, 0.101978,0.086113, 0.086113,0.157723, 0.157723,0.057188, 0.057188,0.000000
41,0.167741, 0.167741,0.141048, 0.141048,0.088993, 0.088993,0.186186, 0.186186,0.100518, 0.100518,0.145212, 0.145212,0.094285, 0.094285,0.076017, 0.076017,0.000000
42,0.164391, 0.164391,0.195168, 0.195168,0.112563, 0.112563,0.173373, 0.173373,0.083220, 0.083220,0.121534, 0.121534,0.078860, 0.078860,0.070890, 0.070890,0.000000
43,0.188426, 0.188426,0.140263, 0.140263,0.151871, 0.151871,0.100185, 0.100185,0.127572, 0.127572,0.144879, 0.144879,0.068722, 0.068722,0.078082, 0.078082,0.000000
44,0.204113, 0.204113,0.182353, 0.182353,0.146167, 0.146167,0.090093, 0.090093,0.096422, 0.096422,0.132774, 0.132774,0.099135, 0.099135,0.048943, 0.048943,0.000000
45,0.180942, 0.180942,0.124424, 0.124424,0.142302, 0.142302,0.115438, 0.115438,0.132347, 0.132347,0.091860, 0.091860,0.123155, 0.123155,0.089533, 0.089533,0.000000
46,0.200213, 0.200213,0.184902, 0.184902,0.119008, 0.119008,0.172667, 0.172667,0.114953, 0.114953,0.067084, 0.067084,0.078723, 0.078723,0.062449, 0.062449,0.000000
47,0.183390, 0.183390,0.171225, 0.171225,0.141766, 0.141766,0.098639, 0.098639,0.167231, 0.167231,0.106330, 0.106330,0.073425, 0.073425,0.057993, 0.057993,0.000000
48,0.145744, 0.145744,0.163564, 0.163564,0.227473, 0.227473,0.093064, 0.093064,0.098862, 0.098862,0.080184, 0.080184,0.094473, 0.094473,0.096636, 0.096636,0.000000
49,0.205975, 0.205975,0.144927, 0.144927,0.140489, 0.140489,0.106073, 0.106073,0.128348, 0.128348,0.103083, 0.103083,0.108226, 0.108226,0.062880, 0.062880,0.000000
50,0.198762, 0.198762,0.177028, 0.177028,0.147709, 0.147709,0.131833, 0.131833,0.102478, 0.102478,0.078136, 0.078136,0.071216, 0.071216,0.092839, 0.092839,0.000000
51,0.190277, 0.190277,0.149588, 0.149588,0.114076, 0.114076,0.163529, 0.163529,0.084876, 0.084876,0.134329, 0.134329,0.100431, 0.100431,0.062894, 0.062894,0.000000
52,0.200042, 0.200042,0.154074, 0.154074,0.105714, 0.105714,0.146905, 0.146905,0.088387, 0.088387,0.123188, 0.123188,0.084604, 0.084604,0.097085, 0.097085,0.000000
53,0.189397, 0.189397,0.137130, 0.137130,0.140091, 0.140091,0.130068, 0.130068,0.097303, 0.097303,0.108372, 0.108372,0.124169, 0.124169,0.073470, 0.073470,0.000000
54,0.197348, 0.197348,0.150568, 0.150568,0.169223, 0.169223,0.120161, 0.120161,0.091847, 0.091847,0.118020, 0.118020,0.061003, 0.061003,0.091830, 0.091830,0.000000
55,0.169924, 0.169924,0.136535, 0.136535,0.163926, 0.163926,0.136568, 0.136568,0.129613, 0.129613,0.116057, 0.116057,0.073495, 0.073495,0.073882, 0.073882,0.000000
56,0.187614, 0.187614,0.146349, 0.146349,0.110581, 0.110581,0.110581, 0.110581,0.128431, 0.128431,0.136453, 0.136453,0.115305, 0.115305,0.064686, 0.064686,0.000000
57,0.159779, 0.159779,0.168698, 0.168698,0.162719, 0.162719,0.150245, 0.150245,0.092478, 0.092478,0.097372, 0.097372,0.076258, 0.076258,0.092451, 0.092451,0.000000
58,0.171335, 0.171335,0.164320, 0.164320,0.150026, 0.150026,0.144527, 0.144527,0.068775, 0.068775,0.110878, 0.110878,0.102963, 0.102963,0.087175, 0.087175,0.000000
59,0.206550, 0.206550,0.163019, 0.163019,0.142084, 0.142084,0.143863, 0.143863,0.114540, 0.114540,0.099390, 0.099390,0.079909, 0.079909,0.050645, 0.050645,0.000000
60,0.160113, 0.160113,0.135970, 0.135970,0.138917, 0.138917,0.150478, 0.150478,0.140112, 0.140112,0.102804, 0.102804,0.115470, 0.115470,0.056137, 0.056137,0.000000
61,0.162960, 0.162960,0.128775, 0.128775,0.099964, 0.099964,0.136022, 0.136022,0.160843, 0.160843,0.143475, 0.143475,0.072133, 0.072133,0.095829, 0.095829,0.000000
62,0.157389, 0.157389,0.179164, 0.179164,0.180589, 0.180589,0.126990, 0.126990,0.097857, 0.097857,0.115405, 0.115405,0.079155, 0.079155,0.063450, 0.063450,0.000000
63,0.173491, 0.173491,0.127931, 0.127931,0.098150, 0.098150,0.147636, 0.147636,0.150001, 0.150001,0.107059, 0.107059,0.095236, 0.095236,0.100495, 0.100495,0.000000
64,0.148092, 0.148092,0.182305, 0.182305,0.134737, 0.134737,0.105328, 0.105328,0.121374, 0.121374,0.141068, 0.141068,0.091887, 0.091887,0.075209, 0.075209,0.000000
65,0.173473, 0.173473,0.135730, 0.135730,0.143394, 0.143394,0.116748, 0.116748,0.163580, 0.163580,0.122495, 0.122495,0.079945, 0.079945,0.064636, 0.064636,0.000000
66,0.166552, 0.166552,0.148797, 0.148797,0.117019, 0.117019,0.106470, 0.106470,0.157648, 0.157648,0.075613, 0.075613,0.155027, 0.155027,0.072873, 0.072873,0.000000
67,0.147643, 0.147643,0.157618, 0.157618,0.157388, 0.157388,0.121904, 0.121904,0.137825, 0.137825,0.109900, 0.109900,0.110169, 0.110169,0.057553, 0.057553,0.000000
