No.,tL,tR
true,0.800000,1.333333
0,1.000000,1.000000
1,1.000000,1.000000
2,0.999999,1.000000
3,1.000000,1.000001
4,1.000000,1.000001
5,1.000000,1.000000
6,1.000000,1.000001
7,1.000000,1.000000
8,0.999999,1.000000
9,1.000000,1.000000
10,0.999999,1.000000
11,1.000000,1.000001
12,0.999999,1.000000
13,1.000000,1.000000
14,0.999998,1.000000
15,0.999999,1.000000
16,1.000000,1.000001
17,0.999999,1.000000
18,1.000000,1.000000
19,0.999999,1.000000
20,0.999999,1.000000
21,1.000000,1.000000
22,0.999999,1.000000
23,1.000000,1.000000
24,1.000000,1.000000
25,1.000000,1.000001
26,1.000000,1.000001
27,1.000000,1.000001
28,0.999999,1.000000
29,1.000000,1.000000
30,0.999999,1.000000
31,1.000000,1.000000
32,0.999999,1.000000
33,1.000000,1.000001
34,0.999999,1.000000
35,1.000000,1.000000
36,1.000000,1.000001
37,1.000000,1.000000
38,1.000000,1.000000
39,0.999999,1.000000
40,1.000000,1.000000
41,1.000000,1.000001
42,1.000000,1.000000
43,1.000000,1.000000
44,0.999999,1.000000
45,1.000000,1.000001
46,1.000000,1.000001
47,1.000000,1.000000
48,0.999999,1.000000
49,0.999999,1.000000
50,1.000000,1.000000
51,1.000000,1.000001
52,1.000000,1.000000
53,1.000000,1.000000
54,1.000000,1.000000
55,1.000000,1.000000
56,1.000000,1.000000
57,1.000000,1.000001
58,1.000000,1.000000
59,0.999999,1.000000
60,0.999999,1.000000
61,1.000000,1.000001
62,1.000000,1.000001
63,1.000000,1.000000
64,0.999999,1.000000
65,1.000000,1.000001
66,1.000000,1.000000
67,1.000000,1.000000
68,1.000000,1.000001
69,1.000000,1.000001
70,0.999999,1.000000
71,1.000000,1.000000
72,1.000000,1.000000
73,1.000000,1.000001
74,0.999999,1.000000
75,1.000000,1.000001
76,1.000000,1.000000
77,1.000000,1.000000
78,0.999999,1.000000
79,1.000000,1.000000
80,1.000000,1.000000
81,0.999999,1.000000
82,0.999999,1.000000
83,1.000000,1.000001
84,1.000000,1.000001
85,1.000000,1.000000
86,1.000000,1.000001
87,1.000000,1.000000
88,1.000000,1.000000
89,1.000000,1.000000
90,1.000000,1.000000
91,1.000000,1.000000
92,1.000000,1.000000
93,1.000000,1.000000
94,1.000000,1.000001
95,1.000000,1.000001
96,1.000000,1.000001
97,1.000000,1.000000
98,1.000000,1.000000
99,0.999999,1.000000
100,0.999999,1.000000
101,0.999999,1.000000
102,1.000000,1.000000
103,1.000000,1.000000
104,0.999999,1.000000
105,1.000000,1.000000
106,0.999999,1.000000
107,1.000000,1.000001
108,1.000000,1.000000
109,1.000000,1.000000
110,0.999998,1.000000
111,1.000000,1.000002
112,0.999999,1.000000
113,1.000000,1.000000
114,0.999999,1.000000
115,1.000000,1.000001
116,0.999999,1.000000
117,0.999999,1.000000
118,1.000000,1.000000
119,1.000000,1.000001
120,0.999999,1.000000
121,0.999999,1.000000
122,0.999999,1.000000
123,1.000000,1.000001
124,0.999998,1.000000
125,1.000000,1.000000
126,1.000000,1.000000
127,1.000000,1.000001
128,1.000000,1.000001
129,1.000000,1.000001
130,1.000000,1.000000
131,1.000000,1.000000
132,1.000000,1.000002
133,1.000000,1.000000
134,1.000000,1.000001
135,0.999999,1.000000
136,1.000000,1.000000
137,1.000000,1.000000
138,1.000000,1.000000
139,1.000000,1.000001
140,1.000000,1.000000
141,1.000000,1.000001
142,1.000000,1.000000
143,1.000000,1.000000
144,1.000000,1.000001
145,1.000000,1.000000
146,1.000000,1.000000
147,1.000000,1.000000
148,0.999999,1.000000
149,1.000000,1.000000
150,0.999999,1.000000
151,1.000000,1.000000
152,1.000000,1.000000
153,1.000000,1.000000
154,0.999998,1.000000
155,1.000000,1.000000
156,1.000000,1.000001
157,1.000000,1.000000
158,1.000000,1.000000
159,1.000000,1.000001
160,1.000000,1.000000
161,1.000000,1.000001
162,1.000000,1.000001
163,0.999999,1.000000
164,1.000000,1.000000
165,1.000000,1.000000
166,0.999999,1.000000
167,0.999999,1.000000
168,1.000000,1.000001
169,0.999999,1.000000
170,1.000000,1.000000
171,1.000000,1.000000
172,0.999999,1.000000
173,0.999998,1.000000
174,1.000000,1.000000
175,1.000000,1.000000
176,0.999998,1.000000
177,1.000000,1.000000
178,1.000000,1.000000
179,0.999998,1.000000
180,1.000000,1.000000
181,1.000000,1.000001
182,1.000000,1.000001
183,1.000000,1.000000
184,1.000000,1.000000
185,1.000000,1.000000
186,1.000000,1.000000
187,0.999999,1.000000
188,1.000000,1.000000
189,1.000000,1.000001
190,1.000000,1.000002
191,1.000000,1.000001
192,0.999999,1.000000
193,1.000000,1.000002
194,1.000000,1.000000
195,1.000000,1.000000
196,1.000000,1.000000
197,0.999999,1.000000
198,1.000000,1.000001
199,1.000000,1.000000
200,0.999999,1.000000
201,1.000000,1.000000
202,1.000000,1.000000
203,1.000000,1.000001
204,1.000000,1.000000
205,1.000000,1.000001
206,1.000000,1.000000
207,1.000000,1.000000
208,1.000000,1.000000
209,0.999999,1.000000
210,1.000000,1.000000
211,1.000000,1.000000
212,1.000000,1.000000
213,1.000000,1.000000
214,1.000000,1.000002
