ó^Ç¶ÇΩèdóvìx,0.130000,0.190000,0.115000,0.185000,0.100000,0.180000,0.085000,0.175000,0.070000,0.170000,0.055000,0.165000,0.040000,0.160000,0.025000,0.155000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],ãÊä‘ïùÇÃëçòa
1,0.049245, 0.209290,0.098489, 0.313611,0.049245, 0.256591,0.024622, 0.195611,0.014255, 0.154769,0.028510, 0.169279,0.012311, 0.185723,0.024622, 0.213826,1.397400
2,0.046348, 0.236704,0.046348, 0.236704,0.074156, 0.276762,0.037078, 0.218496,0.037078, 0.228428,0.020599, 0.206971,0.009270, 0.163771,0.005885, 0.155401,1.446476
3,0.047462, 0.231558,0.036388, 0.242584,0.036388, 0.220925,0.036388, 0.214427,0.023731, 0.197759,0.023731, 0.221490,0.036388, 0.242584,0.012129, 0.176069,1.494792
4,0.041143, 0.240003,0.050638, 0.259519,0.036126, 0.228345,0.036126, 0.228345,0.018631, 0.200779,0.018063, 0.198770,0.024084, 0.210734,0.006857, 0.201835,1.536664
5,0.039167, 0.201128,0.038163, 0.245938,0.055124, 0.266432,0.027562, 0.223738,0.023625, 0.212621,0.025442, 0.215419,0.018375, 0.208368,0.006528, 0.192371,1.532031
6,0.055730, 0.252774,0.066876, 0.257948,0.027865, 0.207608,0.033438, 0.240547,0.035826, 0.220469,0.022292, 0.199872,0.011146, 0.164800,0.009554, 0.193256,1.474549
7,0.054678, 0.251020,0.065613, 0.238394,0.027339, 0.202628,0.027339, 0.220272,0.021871, 0.201640,0.033552, 0.220272,0.021871, 0.221444,0.013123, 0.178945,1.469230
8,0.070246, 0.259241,0.070246, 0.259241,0.070246, 0.257568,0.035123, 0.202824,0.035123, 0.202824,0.023415, 0.147182,0.011708, 0.160390,0.010035, 0.184590,1.347717
9,0.050312, 0.226402,0.079061, 0.256949,0.039531, 0.207535,0.039531, 0.207535,0.043692, 0.207535,0.026354, 0.211176,0.013177, 0.186969,0.019765, 0.184476,1.377157
10,0.058560, 0.256201,0.068320, 0.261894,0.040453, 0.220617,0.020226, 0.170801,0.017080, 0.191297,0.022773, 0.222490,0.022773, 0.197641,0.017080, 0.211793,1.465467
11,0.045261, 0.248935,0.064005, 0.264022,0.035203, 0.225885,0.036003, 0.226304,0.018859, 0.195572,0.024002, 0.210017,0.018001, 0.195572,0.007543, 0.184815,1.502245
12,0.076286, 0.267002,0.076286, 0.267002,0.038143, 0.205386,0.023218, 0.185741,0.028865, 0.187623,0.023218, 0.222502,0.019072, 0.162806,0.019072, 0.197779,1.391682
13,0.059905, 0.246276,0.029953, 0.204668,0.069667, 0.262911,0.029953, 0.208097,0.013447, 0.176242,0.038232, 0.221967,0.023222, 0.205725,0.009952, 0.199781,1.451337
14,0.068574, 0.280528,0.038962, 0.220415,0.034287, 0.220415,0.034287, 0.226293,0.022042, 0.184228,0.034287, 0.219211,0.022361, 0.192304,0.008944, 0.192863,1.472514
15,0.061150, 0.259889,0.061150, 0.211160,0.030575, 0.211160,0.030575, 0.211160,0.023626, 0.159477,0.061150, 0.259889,0.015288, 0.185208,0.023626, 0.194917,1.385717
16,0.088036, 0.251270,0.044018, 0.243656,0.044018, 0.223351,0.022843, 0.185146,0.015228, 0.168736,0.014673, 0.202637,0.044018, 0.251270,0.014673, 0.186426,1.424986
17,0.067068, 0.290627,0.036413, 0.243967,0.033534, 0.240326,0.011178, 0.196056,0.012517, 0.207367,0.022356, 0.221840,0.010924, 0.201801,0.005007, 0.199020,1.602007
18,0.060895, 0.238506,0.060895, 0.258804,0.060895, 0.248655,0.030448, 0.211103,0.030448, 0.205690,0.020298, 0.193757,0.015224, 0.184785,0.010149, 0.169447,1.421496
19,0.061118, 0.259751,0.049476, 0.247382,0.043292, 0.230890,0.035828, 0.217466,0.019241, 0.197905,0.019241, 0.197905,0.015279, 0.203024,0.014431, 0.187772,1.484189
20,0.073146, 0.282134,0.041262, 0.228905,0.053640, 0.241382,0.036573, 0.224280,0.012191, 0.155186,0.024382, 0.203067,0.024382, 0.203067,0.010449, 0.185953,1.447949
21,0.081745, 0.265671,0.044278, 0.250911,0.029519, 0.211553,0.027965, 0.191096,0.027965, 0.228383,0.018644, 0.175343,0.013624, 0.213485,0.013983, 0.205835,1.484554
22,0.070320, 0.253656,0.070320, 0.253656,0.070320, 0.207780,0.022989, 0.167363,0.045979, 0.209094,0.045979, 0.216757,0.017580, 0.162515,0.010046, 0.175647,1.292932
23,0.062800, 0.262715,0.042028, 0.194730,0.036424, 0.216501,0.072849, 0.258612,0.031400, 0.216501,0.025497, 0.195130,0.015700, 0.184048,0.008406, 0.176658,1.409792
24,0.073995, 0.265148,0.073995, 0.265148,0.036997, 0.205490,0.073995, 0.265148,0.011283, 0.165483,0.018499, 0.172174,0.011283, 0.183312,0.012332, 0.165718,1.375242
25,0.059115, 0.241386,0.048981, 0.214291,0.090228, 0.293885,0.045114, 0.225570,0.022557, 0.168623,0.015038, 0.164506,0.022557, 0.198763,0.014779, 0.174608,1.363263
26,0.040333, 0.221833,0.061686, 0.268408,0.037452, 0.243440,0.037452, 0.221833,0.030843, 0.208191,0.024968, 0.200074,0.018726, 0.188760,0.012484, 0.183516,1.472109
27,0.072450, 0.239218,0.072450, 0.277222,0.036225, 0.194709,0.037771, 0.216807,0.009559, 0.161847,0.025181, 0.194461,0.036225, 0.232612,0.012590, 0.180672,1.395096
28,0.087417, 0.258609,0.047871, 0.228984,0.032781, 0.231557,0.021854, 0.174834,0.024322, 0.213220,0.021854, 0.199464,0.016214, 0.223399,0.014570, 0.203047,1.466232
29,0.053623, 0.241306,0.034472, 0.259868,0.034472, 0.229815,0.026812, 0.231251,0.019698, 0.188336,0.017874, 0.225903,0.010054, 0.209831,0.009849, 0.206833,1.586287
