ó^Ç¶ÇΩèdóvìx,0.095000,0.225000,0.090000,0.210000,0.085000,0.195000,0.080000,0.180000,0.075000,0.165000,0.070000,0.150000,0.065000,0.135000,0.060000,0.120000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],ãÊä‘ïùÇÃëçòa
1,0.119288, 0.207276,0.098831, 0.162819,0.059534, 0.193136,0.089215, 0.154039,0.089215, 0.183070,0.058790, 0.146462,0.075910, 0.142878,0.073076, 0.146462,0.672282
2,0.106658, 0.165686,0.060682, 0.165686,0.106658, 0.196285,0.096061, 0.236927,0.059377, 0.192123,0.076788, 0.149550,0.042993, 0.150005,0.031005, 0.163515,0.839554
3,0.131050, 0.167909,0.140665, 0.178165,0.070333, 0.113898,0.140665, 0.180943,0.077787, 0.165963,0.070333, 0.156348,0.043060, 0.157641,0.049666, 0.155574,0.552881
4,0.071369, 0.189213,0.094408, 0.189213,0.047204, 0.205483,0.071369, 0.189213,0.068494, 0.183857,0.071369, 0.189213,0.071369, 0.143428,0.071369, 0.143428,0.866094
5,0.137381, 0.223631,0.102093, 0.170163,0.116850, 0.179853,0.076682, 0.168631,0.068691, 0.148795,0.065284, 0.146522,0.072367, 0.168631,0.038950, 0.115476,0.643402
6,0.083962, 0.192149,0.140065, 0.200769,0.075241, 0.191430,0.079551, 0.188273,0.047256, 0.183815,0.056506, 0.132621,0.075241, 0.139194,0.040527, 0.173399,0.803300
7,0.204116, 0.238838,0.112475, 0.157043,0.101026, 0.214116,0.097748, 0.149553,0.060409, 0.125497,0.044283, 0.130580,0.053013, 0.134535,0.050513, 0.126256,0.552836
8,0.069479, 0.204463,0.091138, 0.168124,0.055820, 0.170039,0.061210, 0.146513,0.144245, 0.222807,0.057632, 0.139625,0.096279, 0.174106,0.061011, 0.137509,0.726372
9,0.082644, 0.203284,0.078856, 0.203284,0.086668, 0.186594,0.084683, 0.188014,0.075068, 0.141738,0.075068, 0.135528,0.086668, 0.183789,0.046831, 0.141284,0.767031
10,0.118434, 0.212718,0.106800, 0.164268,0.106359, 0.224017,0.097872, 0.154717,0.041561, 0.140282,0.048936, 0.150180,0.106800, 0.160101,0.035600, 0.131354,0.675275
11,0.122323, 0.196575,0.189076, 0.222930,0.102350, 0.152661,0.102350, 0.158573,0.069912, 0.128666,0.054848, 0.138628,0.048571, 0.131522,0.052348, 0.128666,0.516443
12,0.082739, 0.169591,0.136258, 0.181712,0.128693, 0.174407,0.068811, 0.151999,0.063499, 0.166813,0.063499, 0.157554,0.063499, 0.168177,0.063499, 0.159248,0.659004
13,0.094402, 0.170440,0.131551, 0.179345,0.074496, 0.199915,0.059961, 0.164981,0.117016, 0.162074,0.060157, 0.154014,0.046301, 0.150261,0.065775, 0.169311,0.700680
