No.,tL,tR
true,0.800000,1.333333
0,0.831573,1.253980
1,0.781915,1.386793
2,0.860689,1.193118
3,0.784456,1.378873
4,0.816035,1.291052
5,0.790457,1.360715
6,0.859603,1.195210
7,0.814198,1.295676
8,0.794226,1.349684
9,0.819686,1.282018
10,0.851469,1.211302
11,0.816444,1.290031
12,0.816379,1.290193
13,0.835132,1.245974
14,0.847711,1.218989
15,0.810800,1.304378
16,0.801910,1.328065
17,0.832852,1.251082
18,0.793378,1.352141
19,0.850596,1.213070
20,0.845760,1.223046
21,0.809111,1.308772
22,0.836254,1.243481
23,0.828432,1.261193
24,0.828640,1.260710
25,0.796520,1.343115
26,0.829883,1.257846
27,0.830118,1.257305
28,0.841963,1.231075
29,0.838562,1.238416
30,0.873452,1.169431
31,0.825298,1.268528
32,0.788462,1.366665
33,0.820030,1.281177
34,0.804255,1.321680
35,0.858016,1.198294
36,0.797624,1.339985
37,0.781850,1.386999
38,0.772042,1.418975
39,0.833900,1.248729
40,0.825644,1.267710
41,0.825735,1.267491
42,0.780529,1.391175
43,0.789854,1.362504
44,0.773888,1.412781
45,0.778998,1.396069
46,0.804521,1.320960
47,0.870133,1.175433
48,0.786033,1.374030
49,0.814477,1.294971
50,0.801339,1.329630
51,0.805042,1.319557
52,0.778068,1.399055
53,0.824710,1.269917
54,0.807458,1.313122
55,0.839037,1.237382
56,0.862230,1.190170
57,0.814038,1.296082
58,0.845712,1.223141
59,0.811904,1.301531
60,0.773322,1.414671
61,0.834978,1.246316
62,0.805763,1.317629
63,0.820984,1.278853
64,0.837513,1.240713
65,0.793950,1.350483
66,0.781577,1.387858
67,0.799038,1.336011
68,0.812755,1.299348
69,0.834844,1.246619
70,0.826452,1.265808
71,0.777601,1.400578
72,0.837644,1.240425
73,0.913781,1.104184
74,0.834523,1.247331
75,0.835904,1.244261
76,0.799518,1.334675
77,0.790933,1.359301
78,0.850136,1.214006
79,0.816496,1.289903
80,0.837506,1.240726
81,0.827135,1.264213
82,0.837697,1.240313
83,0.788104,1.367738
84,0.825656,1.267676
85,0.804285,1.321596
86,0.817840,1.286558
87,0.811341,1.302981
88,0.795454,1.346150
89,0.849170,1.215983
90,0.796768,1.342408
91,0.774754,1.409902
92,0.829629,1.258425
93,0.802868,1.325443
94,0.836749,1.242397
95,0.800071,1.333136
96,0.819462,1.282566
97,0.780218,1.392164
98,0.809592,1.307516
99,0.799834,1.333792
100,0.833954,1.248608
101,0.788433,1.366751
102,0.760257,1.460590
103,0.833050,1.250638
104,0.800423,1.332159
105,0.832211,1.252535
106,0.811212,1.303309
107,0.818536,1.284842
108,0.853461,1.207289
109,0.881838,1.154726
110,0.820258,1.280618
111,0.866162,1.182759
112,0.823428,1.272968
113,0.844784,1.225089
114,0.833166,1.250375
115,0.812371,1.300331
116,0.788104,1.367738
117,0.812610,1.299719
118,0.800936,1.330739
119,0.825403,1.268274
120,0.868694,1.178071
121,0.772629,1.416999
122,0.808080,1.311479
123,0.840249,1.234755
124,0.844123,1.226487
125,0.785250,1.376425
126,0.818099,1.285921
127,0.847364,1.219704
128,0.833106,1.250510
129,0.813766,1.296770
130,0.860925,1.192664
131,0.859491,1.195430
132,0.824948,1.269354
133,0.797149,1.341331
134,0.853049,1.208119
135,0.814779,1.294209
136,0.776018,1.405740
137,0.810418,1.305365
138,0.797985,1.338970
139,0.796938,1.341929
140,0.859797,1.194836
141,0.792200,1.355579
142,0.838795,1.237909
143,0.809078,1.308858
144,0.830000,1.257580
145,0.790866,1.359503
146,0.813695,1.296951
147,0.793459,1.351910
148,0.808921,1.309264
149,0.796205,1.344012
150,0.840485,1.234243
151,0.813929,1.296358
152,0.816519,1.289840
153,0.809594,1.307509
154,0.803796,1.322921
155,0.812280,1.300564
156,0.843894,1.226968
157,0.819547,1.282355
158,0.774304,1.411399
159,0.803618,1.323406
160,0.772521,1.417362
161,0.848002,1.218383
162,0.828037,1.262113
163,0.819622,1.282175
164,0.817919,1.286369
165,0.796056,1.344433
166,0.814657,1.294518
167,0.809968,1.306534
168,0.825329,1.268454
169,0.805255,1.318985
170,0.819351,1.282837
171,0.799003,1.336109
172,0.825212,1.268728
173,0.831781,1.253511
174,0.847655,1.219103
175,0.849861,1.214569
176,0.878706,1.160143
177,0.795660,1.345569
178,0.819333,1.282882
179,0.800858,1.330955
180,0.817433,1.287566
181,0.822397,1.275444
182,0.801559,1.329024
183,0.793868,1.350723
184,0.781416,1.388362
185,0.851640,1.210956
186,0.826349,1.266050
187,0.812249,1.300646
188,0.797532,1.340245
189,0.833203,1.250289
190,0.835670,1.244775
191,0.856967,1.200343
192,0.859648,1.195129
193,0.835665,1.244791
194,0.828229,1.261662
195,0.861498,1.191566
196,0.798747,1.336832
197,0.850666,1.212928
198,0.811236,1.303249
199,0.797270,1.340986
200,0.774085,1.412122
201,0.835665,1.244792
202,0.817929,1.286341
203,0.832258,1.252427
204,0.848471,1.217420
205,0.832674,1.251486
206,0.814138,1.295830
207,0.860379,1.193715
208,0.846835,1.220801
209,0.776550,1.403995
210,0.830985,1.255323
211,0.775233,1.408318
212,0.806729,1.315059
213,0.823992,1.271624
214,0.820796,1.279311
215,0.827305,1.263815
216,0.804141,1.321987
217,0.849059,1.216212
218,0.804323,1.321496
219,0.794229,1.349677
220,0.812538,1.299900
221,0.817872,1.286480
222,0.833174,1.250358
223,0.804786,1.320247
224,0.793950,1.350479
225,0.844433,1.225830
226,0.812287,1.300546
227,0.825652,1.267692
228,0.811100,1.303601
229,0.888782,1.143036
230,0.839355,1.236693
231,0.808477,1.310434
232,0.826720,1.265184
233,0.817132,1.288314
