No.,tL,tR
true,0.800000,1.333333
0,0.853935,1.206347
1,0.807076,1.314130
2,0.875328,1.166083
3,0.833472,1.249691
4,0.851098,1.212052
5,0.823002,1.273991
6,0.863392,1.187964
7,0.833713,1.249149
8,0.861873,1.190853
9,0.861611,1.191351
10,0.890610,1.140029
11,0.840532,1.234147
12,0.874578,1.167418
13,0.865122,1.184702
14,0.876184,1.164567
15,0.832033,1.252935
16,0.827970,1.262264
17,0.859275,1.195845
18,0.815181,1.293198
19,0.914303,1.103421
20,0.874063,1.168335
21,0.832217,1.252516
22,0.878513,1.160478
23,0.868141,1.179088
24,0.850389,1.213492
25,0.831992,1.253029
26,0.843246,1.228340
27,0.850564,1.213137
28,0.892061,1.137656
29,0.853007,1.208201
30,0.867416,1.180428
31,0.845464,1.223664
32,0.817535,1.287318
33,0.839139,1.237161
34,0.869343,1.176878
35,0.912315,1.106334
36,0.833026,1.250691
37,0.823210,1.273488
38,0.813754,1.296800
39,0.834738,1.246853
40,0.866196,1.182696
41,0.885547,1.148431
42,0.814523,1.294854
43,0.830263,1.256970
44,0.818806,1.284178
45,0.830809,1.255723
46,0.838068,1.239494
47,0.875087,1.166513
48,0.812724,1.299430
49,0.850441,1.213386
50,0.838018,1.239603
51,0.841170,1.232772
52,0.844068,1.226600
53,0.834710,1.246915
54,0.838524,1.238496
55,0.855368,1.203497
56,0.889071,1.142558
57,0.898335,1.127612
58,0.853556,1.207101
59,0.867338,1.180572
60,0.808846,1.309464
61,0.834355,1.247707
62,0.843293,1.228242
63,0.838141,1.239337
64,0.876943,1.163233
65,0.836853,1.242165
66,0.804988,1.319703
67,0.879237,1.159216
68,0.822923,1.274178
69,0.863862,1.187075
70,0.903019,1.120319
71,0.791228,1.358437
72,0.854560,1.205098
73,0.963464,1.039417
74,0.880138,1.157655
75,0.891221,1.139026
76,0.814527,1.294842
77,0.820788,1.279329
78,0.898868,1.126773
79,0.874012,1.168426
80,0.910796,1.108575
81,0.847773,1.218860
82,0.867852,1.179621
83,0.809320,1.308222
84,0.872319,1.171470
85,0.843059,1.228738
86,0.831012,1.255260
87,0.878825,1.159933
88,0.828058,1.262059
89,0.825714,1.267543
90,0.807552,1.312870
91,0.831904,1.253232
92,0.875481,1.165811
93,0.842047,1.230895
94,0.900930,1.123549
95,0.844209,1.226303
96,0.839502,1.236371
97,0.831844,1.253364
98,0.871574,1.172814
99,0.829169,1.259489
100,0.850139,1.214005
101,0.819422,1.282663
102,0.815546,1.292279
103,0.874182,1.168123
104,0.838772,1.237961
105,0.845781,1.223002
106,0.867754,1.179802
107,0.824466,1.270498
108,0.860840,1.192825
109,0.920214,1.094934
110,0.853653,1.206909
111,0.899364,1.125996
112,0.897279,1.129281
113,0.878059,1.161274
114,0.853730,1.206753
115,0.854800,1.204623
116,0.870372,1.174997
117,0.819645,1.282119
118,0.852325,1.209572
119,0.863803,1.187186
120,0.857998,1.198328
121,0.839954,1.235395
122,0.861029,1.192465
123,0.880479,1.157066
124,0.871202,1.173487
125,0.805302,1.318859
126,0.837037,1.241758
127,0.937045,1.072025
128,0.868172,1.179030
129,0.857165,1.199956
130,0.894938,1.133012
131,0.888240,1.143930
132,0.835274,1.245660
133,0.838038,1.239561
134,0.868833,1.177812
135,0.837290,1.241203
136,0.818382,1.285220
137,0.882066,1.154339
138,0.830441,1.256564
139,0.816312,1.290359
140,0.902091,1.121750
141,0.846430,1.221643
142,0.877552,1.162158
143,0.879235,1.159223
144,0.843981,1.226786
145,0.804856,1.320061
146,0.861091,1.192346
147,0.843116,1.228613
148,0.849385,1.215542
149,0.828102,1.261955
150,0.863223,1.188282
151,0.848647,1.217054
152,0.854769,1.204683
153,0.825281,1.268567
154,0.824814,1.269669
155,0.830262,1.256975
156,0.906882,1.114426
157,0.858899,1.196573
158,0.812080,1.301079
159,0.847313,1.219814
160,0.792127,1.355794
161,0.854133,1.205948
162,0.866761,1.181643
163,0.844545,1.225595
164,0.834640,1.247072
165,0.838847,1.237797
166,0.841849,1.231319
167,0.840491,1.234233
168,0.868738,1.177988
169,0.845020,1.224597
170,0.864741,1.185418
171,0.830989,1.255315
172,0.892823,1.136422
173,0.863583,1.187599
174,0.879868,1.158123
175,0.881437,1.155414
176,0.894836,1.133171
177,0.834234,1.247981
178,0.871584,1.172796
179,0.821377,1.277903
180,0.892624,1.136745
181,0.859414,1.195579
182,0.852908,1.208402
183,0.851344,1.211556
184,0.806799,1.314866
185,0.900683,1.123933
186,0.849274,1.215769
187,0.814987,1.293684
188,0.814081,1.295973
189,0.898211,1.127809
190,0.786643,1.372169
191,0.860470,1.193540
192,0.899581,1.125655
193,0.884881,1.149551
194,0.917258,1.099148
195,0.912324,1.106320
196,0.838949,1.237572
197,0.875976,1.164938
198,0.853902,1.206409
199,0.857225,1.199841
200,0.805271,1.318943
201,0.894664,1.133451
202,0.874637,1.167311
203,0.869423,1.176728
204,0.928847,1.082957
205,0.837991,1.239666
206,0.844190,1.226345
207,0.876979,1.163164
208,0.879462,1.158828
209,0.827777,1.262712
210,0.848156,1.218068
211,0.821939,1.276544
212,0.865807,1.183418
213,0.873256,1.169784
214,0.830212,1.257090
215,0.864908,1.185104
216,0.839409,1.236577
217,0.872408,1.171310
218,0.845461,1.223670
219,0.835634,1.244857
220,0.878174,1.161073
221,0.847618,1.219178
222,0.913084,1.105201
223,0.854577,1.205063
224,0.819437,1.282625
225,0.889762,1.141413
226,0.828562,1.260889
227,0.831834,1.253390
228,0.852639,1.208938
229,0.920982,1.093848
230,0.868457,1.178505
231,0.858938,1.196499
232,0.858921,1.196533
233,0.861996,1.190615
234,0.883169,1.152455
235,0.810735,1.304546
236,0.854007,1.206204
237,0.858000,1.198325
238,0.840026,1.235237
239,0.861053,1.192420
240,0.861548,1.191471
241,0.832867,1.251051
242,0.832678,1.251480
243,0.843465,1.227875
244,0.864508,1.185856
245,0.881575,1.155177
246,0.881661,1.155031
247,0.849704,1.214891
248,0.846093,1.222350
249,0.870964,1.173921
250,0.837530,1.240675
251,0.877188,1.162799
252,0.904895,1.117446
253,0.812323,1.300454
254,0.828899,1.260111
255,0.879285,1.159135
256,0.831769,1.253537
257,0.859716,1.194994
258,0.842645,1.229619
259,0.886863,1.146225
260,0.861467,1.191627
261,0.858739,1.196888
262,0.804959,1.319782
263,0.901223,1.123095
264,0.826286,1.266201
265,0.845979,1.222591
266,0.815196,1.293158
267,0.869762,1.176109
268,0.834571,1.247225
269,0.883604,1.151715
270,0.842767,1.229359
271,0.887641,1.144926
272,0.826973,1.264590
273,0.810226,1.305865
274,0.867921,1.179493
275,0.854144,1.205928
276,0.865363,1.184252
277,0.843160,1.228521
278,0.809005,1.309050
279,0.830358,1.256755
280,0.857429,1.199441
281,0.886603,1.146656
282,0.846090,1.222355
283,0.835601,1.244935
284,0.832573,1.251713
285,0.847254,1.219938
286,0.846957,1.220551
287,0.822448,1.275318
288,0.899678,1.125504
289,0.849411,1.215489
290,0.841735,1.231562
291,0.847026,1.220408
292,0.830476,1.256485
293,0.879058,1.159531
294,0.818341,1.285319
295,0.891367,1.138786
296,0.823940,1.271747
297,0.848453,1.217456
298,0.809061,1.308904
299,0.831381,1.254419
300,0.803561,1.323557
301,0.862794,1.189097
302,0.887500,1.145163
303,0.820227,1.280698
304,0.835443,1.245283
305,0.848765,1.216817
306,0.842265,1.230430
307,0.835347,1.245498
308,0.869405,1.176764
309,0.843952,1.226848
310,0.856047,1.202156
311,0.867912,1.179508
312,0.832529,1.251812
313,0.789263,1.364264
314,0.825923,1.267055
315,0.802759,1.325741
316,0.877216,1.162751
317,0.815619,1.292093
318,0.841569,1.231917
319,0.810915,1.304077
320,0.854758,1.204705
321,0.814933,1.293820
322,0.818759,1.284292
323,0.829703,1.258256
324,0.850225,1.213826
325,0.829296,1.259194
326,0.851552,1.211130
327,0.911508,1.107523
328,0.873875,1.168671
329,0.903724,1.119234
330,0.820505,1.280020
331,0.835714,1.244682
332,0.845706,1.223158
333,0.824482,1.270456
334,0.841093,1.232935
335,0.861244,1.192056
336,0.855821,1.202600
337,0.885472,1.148555
338,0.863464,1.187826
339,0.866571,1.181997
340,0.880251,1.157462
341,0.849830,1.214634
342,0.848328,1.217712
343,0.911440,1.107621
344,0.865221,1.184517
345,0.857637,1.199035
346,0.905311,1.116809
347,0.863985,1.186844
348,0.892941,1.136228
349,0.842402,1.230138
350,0.814209,1.295644
351,0.861071,1.192385
352,0.900486,1.124241
353,0.818212,1.285641
354,0.818100,1.285914
355,0.838277,1.239039
356,0.856683,1.200904
357,0.834124,1.248224
358,0.861270,1.192003
359,0.837513,1.240712
360,0.827449,1.263477
361,0.810555,1.305013
362,0.861410,1.191733
363,0.849310,1.215698
364,0.854588,1.205044
365,0.848013,1.218361
366,0.849160,1.216004
367,0.842010,1.230971
368,0.844682,1.225307
369,0.878871,1.159855
370,0.816460,1.289991
371,0.846412,1.221683
372,0.879077,1.159496
373,0.884224,1.150661
374,0.815320,1.292847
375,0.877635,1.162015
376,0.868313,1.178773
377,0.878706,1.160144
378,0.805535,1.318239
379,0.847711,1.218989
380,0.846803,1.220870
381,0.839009,1.237442
382,0.860673,1.193147
383,0.856290,1.201678
384,0.874046,1.168368
385,0.831320,1.254556
386,0.846653,1.221185
387,0.868733,1.177998
388,0.881545,1.155229
389,0.839048,1.237357
390,0.824329,1.270819
391,0.866986,1.181226
392,0.835312,1.245575
393,0.879757,1.158316
394,0.833494,1.249639
395,0.877900,1.161552
396,0.871643,1.172688
397,0.833610,1.249380
398,0.818447,1.285058
399,0.866914,1.181357
400,0.906052,1.115685
401,0.873794,1.168816
402,0.845371,1.223860
403,0.864848,1.185215
404,0.837822,1.240035
405,0.879879,1.158103
406,0.895048,1.132834
407,0.861802,1.190985
408,0.868913,1.177666
409,0.831723,1.253640
410,0.853518,1.207177
411,0.833864,1.248807
412,0.876779,1.163520
413,0.826147,1.266525
414,0.867079,1.181053
415,0.814941,1.293798
416,0.818422,1.285121
417,0.821922,1.276587
418,0.844155,1.226418
419,0.870308,1.175113
420,0.832072,1.252852
421,0.889882,1.141219
422,0.830435,1.256581
423,0.833254,1.250177
424,0.831874,1.253298
425,0.833361,1.249938
426,0.831126,1.254998
427,0.840689,1.233806
428,0.852546,1.209127
429,0.930476,1.080752
430,0.828527,1.260970
431,0.845489,1.223613
432,0.848929,1.216478
433,0.816369,1.290218
434,0.842499,1.229928
435,0.870984,1.173884
436,0.859112,1.196161
437,0.847248,1.219948
438,0.848994,1.216345
439,0.892597,1.136786
440,0.832549,1.251767
441,0.926745,1.085829
442,0.855534,1.203168
443,0.839232,1.236958
444,0.895259,1.132496
445,0.828877,1.260163
446,0.853673,1.206870
447,0.821992,1.276417
448,0.819684,1.282020
449,0.869418,1.176743
450,0.795558,1.345857
