ó^Ç¶ÇΩèdóvìx,0.095000,0.225000,0.090000,0.210000,0.085000,0.195000,0.080000,0.180000,0.075000,0.165000,0.070000,0.150000,0.065000,0.135000,0.060000,0.120000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],ãÊä‘ïùÇÃëçòa
1,0.066207, 0.255026,0.076269, 0.216875,0.019739, 0.240979,0.048776, 0.173230,0.066978, 0.200744,0.060817, 0.127406,0.038336, 0.191743,0.082815, 0.134060,1.080126
2,0.000001, 0.262381,0.051787, 0.221347,0.073902, 0.221347,0.066165, 0.276789,0.000001, 0.255262,0.000001, 0.202414,0.022196, 0.166745,0.034558, 0.145104,1.502777
3,0.085118, 0.199313,0.101846, 0.227124,0.042379, 0.164608,0.134464, 0.168368,0.074392, 0.172869,0.036287, 0.133015,0.061401, 0.174323,0.032802, 0.191689,0.862622
4,0.076008, 0.219345,0.087124, 0.200889,0.005515, 0.317773,0.020056, 0.189772,0.071562, 0.174248,0.046013, 0.200889,0.013683, 0.202876,0.050732, 0.123516,1.258613
5,0.099196, 0.261089,0.103624, 0.194693,0.117288, 0.190448,0.053092, 0.189514,0.027192, 0.185908,0.069083, 0.139402,0.083887, 0.155882,0.039448, 0.090254,0.814381
6,0.078533, 0.249453,0.017556, 0.339664,0.000001, 0.225539,0.040158, 0.229679,0.057753, 0.201888,0.000001, 0.228726,0.044897, 0.136692,0.000001, 0.149459,1.522200
7,0.133934, 0.293960,0.098813, 0.220470,0.092240, 0.208724,0.088240, 0.150980,0.065490, 0.122451,0.015629, 0.178241,0.060190, 0.121171,0.056412, 0.093053,0.778102
8,0.090585, 0.238569,0.064733, 0.230268,0.048917, 0.175849,0.012314, 0.180214,0.115214, 0.268566,0.000001, 0.187940,0.070052, 0.160375,0.043281, 0.113123,1.109806
9,0.082051, 0.257817,0.063088, 0.245172,0.069677, 0.164102,0.072313, 0.257677,0.038576, 0.159107,0.040921, 0.123181,0.077276, 0.189936,0.057816, 0.101291,0.996566
10,0.062981, 0.295100,0.105508, 0.184570,0.114034, 0.244533,0.088750, 0.122266,0.016996, 0.168198,0.052025, 0.134573,0.105508, 0.144840,0.025799, 0.134317,0.856796
11,0.107081, 0.217612,0.173441, 0.250470,0.105978, 0.144492,0.080328, 0.199596,0.059395, 0.139978,0.044028, 0.133907,0.052989, 0.143421,0.028459, 0.118823,0.696602
12,0.087360, 0.194486,0.121570, 0.209033,0.057452, 0.281846,0.057711, 0.170052,0.041294, 0.165301,0.000001, 0.200183,0.037990, 0.190311,0.020831, 0.164578,1.151580
13,0.108328, 0.197383,0.113613, 0.176387,0.029173, 0.305711,0.065145, 0.176493,0.034877, 0.236455,0.031319, 0.184857,0.003979, 0.135666,0.055615, 0.145000,1.115904
14,0.044306, 0.277142,0.069310, 0.215226,0.074788, 0.157164,0.107167, 0.223301,0.095948, 0.165986,0.058593, 0.107115,0.046071, 0.165986,0.081164, 0.110732,0.845305
15,0.026121, 0.238893,0.119447, 0.161773,0.114278, 0.255003,0.077842, 0.140371,0.044482, 0.124049,0.095893, 0.159912,0.045076, 0.190239,0.065878, 0.140743,0.821966
16,0.080370, 0.275796,0.065413, 0.215702,0.000001, 0.197051,0.052560, 0.166617,0.042107, 0.223976,0.063226, 0.250279,0.066695, 0.150058,0.000001, 0.150150,1.259255
17,0.085553, 0.228875,0.000001, 0.256953,0.082286, 0.230719,0.087334, 0.219874,0.063203, 0.164571,0.085553, 0.164571,0.053756, 0.112179,0.034893, 0.129679,1.014842
18,0.084831, 0.206413,0.123608, 0.216727,0.062172, 0.158921,0.000001, 0.281700,0.075197, 0.196503,0.040857, 0.180518,0.068091, 0.150078,0.057353, 0.097030,0.975779
19,0.064774, 0.247382,0.042799, 0.248986,0.079322, 0.204204,0.082995, 0.195330,0.062579, 0.220964,0.019723, 0.184126,0.041091, 0.124899,0.035068, 0.145759,1.143300
20,0.115595, 0.187266,0.082458, 0.290402,0.053658, 0.144395,0.011763, 0.235610,0.127527, 0.172079,0.054935, 0.171487,0.050631, 0.141697,0.077787, 0.082710,0.851290
21,0.056446, 0.127709,0.080183, 0.212991,0.121111, 0.257348,0.087349, 0.196093,0.052090, 0.236950,0.046039, 0.134695,0.059830, 0.098519,0.092077, 0.140569,0.809748
22,0.108437, 0.215730,0.019889, 0.265421,0.074796, 0.206484,0.054028, 0.101464,0.070005, 0.235080,0.022670, 0.226253,0.077458, 0.185261,0.000001, 0.137023,1.145432
23,0.107699, 0.216629,0.103957, 0.122697,0.126378, 0.241205,0.101863, 0.175002,0.071362, 0.164866,0.094587, 0.113327,0.000001, 0.145136,0.045541, 0.169750,0.697223
24,0.120305, 0.208332,0.100841, 0.133970,0.055495, 0.131795,0.083115, 0.212180,0.086859, 0.204678,0.087336, 0.185447,0.082226, 0.137719,0.063611, 0.106090,0.640423
25,0.097049, 0.211689,0.095256, 0.211689,0.086767, 0.238898,0.000576, 0.263943,0.109910, 0.141150,0.065806, 0.070733,0.068269, 0.127005,0.061339, 0.149921,0.830055
26,0.072844, 0.247507,0.077208, 0.227487,0.088475, 0.167349,0.011988, 0.247463,0.087422, 0.192275,0.044858, 0.140404,0.044578, 0.162755,0.023067, 0.164321,1.099121
27,0.086759, 0.218887,0.049328, 0.264935,0.101892, 0.205845,0.045770, 0.170418,0.029457, 0.218886,0.000001, 0.171352,0.071658, 0.145925,0.065017, 0.153869,1.100234
28,0.080113, 0.177525,0.063737, 0.171956,0.047297, 0.244530,0.021998, 0.269398,0.057131, 0.244530,0.058964, 0.124433,0.000001, 0.249372,0.045124, 0.143890,1.251271
