ó^Ç¶ÇΩèdóvìx,0.095000,0.225000,0.090000,0.210000,0.085000,0.195000,0.080000,0.180000,0.075000,0.165000,0.070000,0.150000,0.065000,0.135000,0.060000,0.120000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],ãÊä‘ïùÇÃëçòa
1,0.160617, 0.160617,0.146572, 0.146572,0.130359, 0.130359,0.111003, 0.111003,0.133861, 0.133861,0.094112, 0.094112,0.115039, 0.115039,0.108438, 0.108438,0.000000
2,0.131191, 0.131191,0.136567, 0.136567,0.147625, 0.147625,0.171477, 0.171477,0.127632, 0.127632,0.101208, 0.101208,0.094471, 0.094471,0.089831, 0.089831,0.000000
3,0.142216, 0.142216,0.164485, 0.164485,0.103493, 0.103493,0.151416, 0.151416,0.123630, 0.123630,0.084651, 0.084651,0.117862, 0.117862,0.112246, 0.112246,0.000000
4,0.147676, 0.147676,0.144006, 0.144006,0.161644, 0.161644,0.104914, 0.104914,0.122905, 0.122905,0.123451, 0.123451,0.108280, 0.108280,0.087124, 0.087124,0.000000
5,0.180142, 0.180142,0.149159, 0.149159,0.153868, 0.153868,0.121303, 0.121303,0.106550, 0.106550,0.104243, 0.104243,0.119884, 0.119884,0.064851, 0.064851,0.000000
6,0.163993, 0.163993,0.178610, 0.178610,0.112770, 0.112770,0.134918, 0.134918,0.129821, 0.129821,0.114364, 0.114364,0.090795, 0.090795,0.074730, 0.074730,0.000000
7,0.213947, 0.213947,0.159642, 0.159642,0.150482, 0.150482,0.119610, 0.119610,0.093970, 0.093970,0.096935, 0.096935,0.090680, 0.090680,0.074733, 0.074733,0.000000
8,0.164577, 0.164577,0.147500, 0.147500,0.112383, 0.112383,0.096264, 0.096264,0.191890, 0.191890,0.093970, 0.093970,0.115214, 0.115214,0.078202, 0.078202,0.000000
9,0.169934, 0.169934,0.154130, 0.154130,0.116890, 0.116890,0.164995, 0.164995,0.098841, 0.098841,0.082051, 0.082051,0.133606, 0.133606,0.079553, 0.079553,0.000000
10,0.179041, 0.179041,0.145039, 0.145039,0.179283, 0.179283,0.105508, 0.105508,0.092597, 0.092597,0.093299, 0.093299,0.125174, 0.125174,0.080058, 0.080058,0.000000
11,0.162346, 0.162346,0.211956, 0.211956,0.125235, 0.125235,0.139962, 0.139962,0.099687, 0.099687,0.088968, 0.088968,0.098205, 0.098205,0.073641, 0.073641,0.000000
12,0.140923, 0.140923,0.165301, 0.165301,0.169649, 0.169649,0.113882, 0.113882,0.103298, 0.103298,0.100092, 0.100092,0.114151, 0.114151,0.092705, 0.092705,0.000000
13,0.152855, 0.152855,0.145000, 0.145000,0.167442, 0.167442,0.120819, 0.120819,0.135666, 0.135666,0.108088, 0.108088,0.069822, 0.069822,0.100307, 0.100307,0.000000
14,0.160724, 0.160724,0.142268, 0.142268,0.115976, 0.115976,0.165234, 0.165234,0.130967, 0.130967,0.082854, 0.082854,0.106029, 0.106029,0.095948, 0.095948,0.000000
15,0.132507, 0.132507,0.140610, 0.140610,0.184640, 0.184640,0.109106, 0.109106,0.084266, 0.084266,0.127903, 0.127903,0.117657, 0.117657,0.103310, 0.103310,0.000000
16,0.178083, 0.178083,0.140557, 0.140557,0.098526, 0.098526,0.109588, 0.109588,0.133041, 0.133041,0.156752, 0.156752,0.108377, 0.108377,0.075075, 0.075075,0.000000
17,0.157214, 0.157214,0.128477, 0.128477,0.156502, 0.156502,0.153604, 0.153604,0.113887, 0.113887,0.125062, 0.125062,0.082967, 0.082967,0.082286, 0.082286,0.000000
18,0.145622, 0.145622,0.170167, 0.170167,0.110547, 0.110547,0.140850, 0.140850,0.135850, 0.135850,0.110687, 0.110687,0.109085, 0.109085,0.077192, 0.077192,0.000000
19,0.156078, 0.156078,0.145892, 0.145892,0.141763, 0.141763,0.139162, 0.139162,0.141772, 0.141772,0.101925, 0.101925,0.082995, 0.082995,0.090413, 0.090413,0.000000
20,0.151431, 0.151431,0.186430, 0.186430,0.099026, 0.099026,0.123686, 0.123686,0.149803, 0.149803,0.113211, 0.113211,0.096164, 0.096164,0.080248, 0.080248,0.000000
21,0.092077, 0.092077,0.146587, 0.146587,0.189230, 0.189230,0.141721, 0.141721,0.144520, 0.144520,0.090367, 0.090367,0.079174, 0.079174,0.116323, 0.116323,0.000000
22,0.162083, 0.162083,0.142655, 0.142655,0.140640, 0.140640,0.077746, 0.077746,0.152543, 0.152543,0.124461, 0.124461,0.131359, 0.131359,0.068512, 0.068512,0.000000
23,0.162164, 0.162164,0.113327, 0.113327,0.183791, 0.183791,0.138433, 0.138433,0.118114, 0.118114,0.103957, 0.103957,0.072568, 0.072568,0.107646, 0.107646,0.000000
24,0.164318, 0.164318,0.117406, 0.117406,0.093645, 0.093645,0.147648, 0.147648,0.145769, 0.145769,0.136391, 0.136391,0.109972, 0.109972,0.084850, 0.084850,0.000000
25,0.154369, 0.154369,0.153473, 0.153473,0.162833, 0.162833,0.132259, 0.132259,0.125530, 0.125530,0.068269, 0.068269,0.097637, 0.097637,0.105630, 0.105630,0.000000
26,0.160175, 0.160175,0.152347, 0.152347,0.127912, 0.127912,0.129726, 0.129726,0.139848, 0.139848,0.092631, 0.092631,0.103666, 0.103666,0.093694, 0.093694,0.000000
27,0.152823, 0.152823,0.157131, 0.157131,0.153869, 0.153869,0.108094, 0.108094,0.124172, 0.124172,0.085676, 0.085676,0.108792, 0.108792,0.109443, 0.109443,0.000000
28,0.128819, 0.128819,0.117846, 0.117846,0.145914, 0.145914,0.145698, 0.145698,0.150831, 0.150831,0.091699, 0.091699,0.124686, 0.124686,0.094507, 0.094507,0.000000
29,0.195961, 0.195961,0.187789, 0.187789,0.129763, 0.129763,0.106659, 0.106659,0.099056, 0.099056,0.114158, 0.114158,0.084001, 0.084001,0.082612, 0.082612,0.000000
30,0.198094, 0.198094,0.119940, 0.119940,0.166435, 0.166435,0.140786, 0.140786,0.110396, 0.110396,0.083783, 0.083783,0.076325, 0.076325,0.104239, 0.104239,0.000000
31,0.222793, 0.222793,0.102162, 0.102162,0.161634, 0.161634,0.119574, 0.119574,0.157088, 0.157088,0.067718, 0.067718,0.073801, 0.073801,0.095229, 0.095229,0.000000
32,0.119884, 0.119884,0.131967, 0.131967,0.169290, 0.169290,0.153286, 0.153286,0.123946, 0.123946,0.111323, 0.111323,0.094848, 0.094848,0.095457, 0.095457,0.000000
33,0.142384, 0.142384,0.142104, 0.142104,0.155986, 0.155986,0.124034, 0.124034,0.106586, 0.106586,0.148966, 0.148966,0.107483, 0.107483,0.072457, 0.072457,0.000000
