ó^Ç¶ÇΩèdóvìx,0.095000,0.225000,0.090000,0.210000,0.085000,0.195000,0.080000,0.180000,0.075000,0.165000,0.070000,0.150000,0.065000,0.135000,0.060000,0.120000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],ãÊä‘ïùÇÃëçòa
1,0.042004, 0.210022,0.036404, 0.218423,0.022752, 0.192726,0.036404, 0.250276,0.036404, 0.245726,0.023742, 0.213675,0.026003, 0.208022,0.023742, 0.213675,1.505091
2,0.039236, 0.261571,0.019618, 0.227941,0.039236, 0.255032,0.027696, 0.214488,0.019618, 0.194968,0.024890, 0.216950,0.015188, 0.208835,0.011210, 0.223524,1.606619
3,0.044350, 0.214358,0.076873, 0.249838,0.038437, 0.204995,0.076873, 0.262650,0.038437, 0.199047,0.038437, 0.199047,0.019218, 0.163712,0.025624, 0.148104,1.283502
4,0.026320, 0.235197,0.034419, 0.235197,0.017210, 0.178979,0.026320, 0.235197,0.022946, 0.217836,0.026320, 0.235197,0.026320, 0.228110,0.026320, 0.228110,1.587646
5,0.064132, 0.230164,0.032066, 0.227136,0.038938, 0.236221,0.034070, 0.214156,0.032066, 0.211993,0.021377, 0.199436,0.034070, 0.204422,0.012979, 0.206772,1.460601
6,0.032918, 0.232533,0.039775, 0.238653,0.032918, 0.222194,0.033300, 0.210902,0.018358, 0.203650,0.022200, 0.215369,0.032918, 0.244203,0.016459, 0.203650,1.542309
7,0.098398, 0.262396,0.056228, 0.228538,0.047231, 0.188925,0.040717, 0.217155,0.028114, 0.190549,0.020715, 0.179226,0.024600, 0.196797,0.023616, 0.196797,1.320764
8,0.024254, 0.194029,0.033955, 0.220708,0.022470, 0.202114,0.022637, 0.217213,0.059921, 0.254663,0.022806, 0.205251,0.033955, 0.223538,0.024254, 0.238233,1.511498
9,0.030130, 0.220957,0.030130, 0.220957,0.037084, 0.220957,0.029217, 0.204522,0.029217, 0.234863,0.029217, 0.241044,0.037084, 0.203960,0.018542, 0.212118,1.518755
10,0.052389, 0.187564,0.047626, 0.244480,0.037420, 0.193339,0.037420, 0.253212,0.017463, 0.196457,0.018710, 0.207891,0.047626, 0.246068,0.015875, 0.196457,1.450940
11,0.050125, 0.187968,0.078320, 0.248014,0.050802, 0.228610,0.050802, 0.219297,0.032977, 0.197862,0.027242, 0.190693,0.025401, 0.188963,0.025062, 0.197862,1.318536
12,0.037152, 0.222913,0.050662, 0.253310,0.039806, 0.199030,0.022291, 0.200622,0.020640, 0.222913,0.020640, 0.222913,0.020640, 0.222913,0.020640, 0.222913,1.535056
13,0.034860, 0.232399,0.061517, 0.261449,0.030759, 0.185919,0.024321, 0.212807,0.036481, 0.200647,0.023240, 0.213913,0.021787, 0.205821,0.030759, 0.223321,1.472552
14,0.044466, 0.192685,0.022233, 0.171622,0.044466, 0.237150,0.044466, 0.211953,0.044466, 0.237150,0.022233, 0.201860,0.029644, 0.213991,0.044466, 0.237150,1.407124
15,0.048207, 0.235680,0.048207, 0.245500,0.058920, 0.209902,0.029460, 0.197555,0.029460, 0.197555,0.058920, 0.245500,0.019640, 0.148478,0.029460, 0.197555,1.355451
16,0.054342, 0.244539,0.027171, 0.202451,0.021311, 0.219601,0.019408, 0.207976,0.038816, 0.226425,0.036228, 0.211330,0.032935, 0.216819,0.021956, 0.218693,1.495668
17,0.033898, 0.217918,0.033898, 0.181598,0.036320, 0.217918,0.033898, 0.217918,0.033898, 0.217918,0.033898, 0.217918,0.033898, 0.237288,0.033898, 0.217918,1.452785
18,0.041721, 0.229468,0.047163, 0.246536,0.020861, 0.195257,0.033899, 0.187747,0.033899, 0.203392,0.033899, 0.203392,0.033899, 0.229468,0.023582, 0.235817,1.462155
19,0.024391, 0.222910,0.023151, 0.207417,0.023151, 0.226221,0.040978, 0.260450,0.036424, 0.232206,0.016261, 0.199196,0.024391, 0.235241,0.012196, 0.215414,1.598113
20,0.039755, 0.238529,0.031642, 0.168755,0.031642, 0.223952,0.032301, 0.189498,0.048451, 0.250331,0.016150, 0.196032,0.032301, 0.226105,0.032301, 0.242256,1.470916
21,0.027451, 0.210460,0.027451, 0.182045,0.076864, 0.243401,0.038432, 0.209628,0.048040, 0.205885,0.024020, 0.200514,0.025064, 0.200514,0.048040, 0.232192,1.369277
22,0.068874, 0.264017,0.034437, 0.209082,0.024598, 0.206622,0.022958, 0.223058,0.027922, 0.223375,0.022958, 0.201582,0.024598, 0.221380,0.022958, 0.201582,1.501395
23,0.044862, 0.216392,0.044862, 0.250282,0.056668, 0.216392,0.035889, 0.224309,0.025635, 0.187993,0.035889, 0.250282,0.017090, 0.195761,0.014167, 0.183526,1.449874
24,0.047018, 0.235090,0.038790, 0.232739,0.022487, 0.209342,0.030423, 0.183893,0.038790, 0.224869,0.030423, 0.225445,0.030423, 0.223105,0.020282, 0.206879,1.482726
25,0.042944, 0.243351,0.042944, 0.243351,0.027039, 0.192653,0.025616, 0.182158,0.030419, 0.233212,0.020279, 0.238845,0.025616, 0.224265,0.018026, 0.209282,1.534233
26,0.030791, 0.200995,0.053599, 0.244172,0.026799, 0.230576,0.021927, 0.197341,0.032890, 0.235010,0.026799, 0.230576,0.016634, 0.210698,0.020527, 0.220667,1.540068
27,0.033353, 0.209648,0.052063, 0.214762,0.066706, 0.266825,0.016677, 0.191060,0.033353, 0.189742,0.023718, 0.206183,0.035577, 0.222354,0.028846, 0.209133,1.419414
28,0.042827, 0.249175,0.036709, 0.239831,0.021413, 0.191462,0.042827, 0.228410,0.021413, 0.195780,0.021413, 0.225405,0.036709, 0.221273,0.014276, 0.211076,1.524825
29,0.040272, 0.193307,0.065232, 0.200045,0.047656, 0.225281,0.040272, 0.230336,0.032616, 0.219216,0.031770, 0.196579,0.023828, 0.213239,0.024864, 0.215486,1.386979
30,0.077660, 0.232981,0.030655, 0.208019,0.041604, 0.208019,0.055472, 0.226510,0.023298, 0.186385,0.027736, 0.208019,0.023298, 0.214588,0.027736, 0.208019,1.385081
31,0.093669, 0.228318,0.037468, 0.234173,0.031223, 0.184411,0.018734, 0.162120,0.074935, 0.261627,0.018734, 0.203628,0.023417, 0.203628,0.031223, 0.192691,1.341194
32,0.043077, 0.229024,0.047384, 0.244819,0.043077, 0.210597,0.023692, 0.185821,0.023692, 0.208812,0.031590, 0.228752,0.023692, 0.216139,0.023692, 0.216139,1.480208
