No.,tL,tR
true,0.800000,1.333333
0,0.649911,2.167660
1,0.632521,2.386481
2,0.686825,1.838147
3,0.630936,2.409337
4,0.652308,2.141415
5,0.641079,2.272051
6,0.673879,1.937770
7,0.648605,2.182305
8,0.646182,2.210199
9,0.662394,2.039480
10,0.675009,1.928495
11,0.639027,2.298222
12,0.650896,2.156771
13,0.661867,2.044471
14,0.675479,1.924680
15,0.645351,2.219968
16,0.656597,2.096454
17,0.658396,2.078319
18,0.633078,2.378602
19,0.655521,2.107490
20,0.666450,2.001946
21,0.644912,2.225174
22,0.662013,2.043089
23,0.646688,2.204304
24,0.645765,2.215090
25,0.638464,2.305513
26,0.662432,2.039102
27,0.642647,2.252582
28,0.665395,2.011538
29,0.666112,2.005017
30,0.678476,1.900750
31,0.648228,2.186600
32,0.637204,2.322104
33,0.646210,2.209871
34,0.640853,2.274904
35,0.678548,1.900183
36,0.637056,2.324068
37,0.637773,2.314574
38,0.636411,2.332699
39,0.658940,2.072917
40,0.655665,2.105999
41,0.655576,2.106927
42,0.644523,2.229833
43,0.633842,2.367867
44,0.633264,2.375969
45,0.628865,2.440006
46,0.651044,2.155149
47,0.669469,1.975188
48,0.638694,2.302519
49,0.647066,2.199910
50,0.640717,2.276618
51,0.655168,2.111143
52,0.632309,2.389526
53,0.641278,2.269565
54,0.643908,2.237222
55,0.662758,2.036013
56,0.684667,1.853791
57,0.657270,2.089624
58,0.657291,2.089406
59,0.655849,2.104134
60,0.627410,2.462175
61,0.664462,2.020120
62,0.659730,2.065130
63,0.638393,2.306449
64,0.653153,2.132360
65,0.655448,2.108250
66,0.626588,2.474898
67,0.646511,2.206351
68,0.647478,2.195168
69,0.675252,1.926515
70,0.656172,2.100796
71,0.628234,2.449557
72,0.655957,2.103010
73,0.695200,1.780738
74,0.656695,2.095448
75,0.671215,1.960142
76,0.641574,2.265852
77,0.638739,2.301941
78,0.693069,1.794875
79,0.655884,2.103771
80,0.667518,1.992381
81,0.655854,2.104067
82,0.687501,1.833332
83,0.635954,2.338858
84,0.671264,1.959735
85,0.640223,2.282870
86,0.656395,2.098504
87,0.653807,2.125403
88,0.641226,2.270215
89,0.643255,2.245133
90,0.643431,2.242992
91,0.635078,2.350784
92,0.681036,1.880954
93,0.646841,2.202522
94,0.671907,1.954282
95,0.630880,2.410150
96,0.658899,2.073321
97,0.630354,2.417842
98,0.646334,2.208432
99,0.632139,2.391950
100,0.649583,2.171322
101,0.643113,2.246868
102,0.618223,2.614653
103,0.655919,2.103399
104,0.642883,2.249688
105,0.660465,2.057965
106,0.652310,2.141383
107,0.655411,2.108641
108,0.681598,1.876669
109,0.694910,1.782636
110,0.643968,2.236496
111,0.695241,1.780468
112,0.655711,2.105534
113,0.662624,2.037282
114,0.658844,2.073880
115,0.649142,2.176260
116,0.646126,2.210839
117,0.636789,2.327633
118,0.645380,2.219633
119,0.659314,2.069232
120,0.681541,1.877099
121,0.637802,2.314188
122,0.636548,2.330856
123,0.648602,2.182348
124,0.663376,2.030214
125,0.627458,2.461423
126,0.642874,2.249785
127,0.675268,1.926396
128,0.651204,2.153400
129,0.642547,2.253806
130,0.689498,1.819277
131,0.683491,1.862454
132,0.652531,2.139019
133,0.641947,2.261231
134,0.658674,2.075559
135,0.661006,2.052739
136,0.631934,2.394906
137,0.654996,2.112941
138,0.633441,2.373482
139,0.639408,2.293289
140,0.678575,1.899970
141,0.631167,2.405969
142,0.671387,1.958684
143,0.640377,2.280918
144,0.669892,1.971523
145,0.636990,2.324954
146,0.661167,2.051189
147,0.649394,2.173431
148,0.654130,2.121993
149,0.639083,2.297472
150,0.644997,2.224160
151,0.647975,2.189468
152,0.656146,2.101065
153,0.646335,2.208412
154,0.645920,2.213271
155,0.650219,2.164240
156,0.650500,2.161129
157,0.652121,2.143439
158,0.640677,2.277116
159,0.632680,2.384256
160,0.626894,2.470154
161,0.667239,1.994873
162,0.669654,1.973582
163,0.654312,2.120090
164,0.650158,2.164919
165,0.649675,2.170285
166,0.645317,2.220372
167,0.644399,2.231306
168,0.666248,2.003767
169,0.640258,2.282438
170,0.650369,2.162574
171,0.634790,2.354725
172,0.657549,2.086803
173,0.675332,1.925869
174,0.668219,1.986164
175,0.671329,1.959186
176,0.681981,1.873772
177,0.649435,2.172968
178,0.650323,2.163088
179,0.633986,2.365884
180,0.662443,2.038998
181,0.664320,2.021427
182,0.642401,2.255610
183,0.636137,2.336399
184,0.631864,2.395892
185,0.664718,2.017740
186,0.664783,2.017150
187,0.645760,2.215153
188,0.644289,2.232641
189,0.658485,2.077452
190,0.639764,2.288728
191,0.666995,1.997048
192,0.661955,2.043632
193,0.677879,1.905448
194,0.670760,1.964046
195,0.684415,1.855625
196,0.645206,2.221699
197,0.669640,1.973702
198,0.664417,2.020524
199,0.648890,2.179091
200,0.640154,2.283757
201,0.668375,1.984777
202,0.642550,2.253775
203,0.661759,2.045508
204,0.682723,1.868195
205,0.670644,1.965042
206,0.644726,2.227410
207,0.688007,1.829746
208,0.669872,1.971706
209,0.636085,2.337104
210,0.645592,2.217128
211,0.629270,2.433955
212,0.653180,2.132051
213,0.661630,2.046731
214,0.639440,2.292884
215,0.654465,2.118478
216,0.640468,2.279753
217,0.668430,1.984300
218,0.650795,2.157870
219,0.637924,2.312583
220,0.662464,2.038790
221,0.659487,2.067513
222,0.662103,2.042229
223,0.656190,2.100615
224,0.653160,2.132260
225,0.645123,2.222677
226,0.633490,2.372811
227,0.653670,2.126859
228,0.633611,2.371101
229,0.703740,1.727050
230,0.648442,2.184150
231,0.641082,2.272030
232,0.645285,2.220766
233,0.646426,2.207354
234,0.664051,2.023919
235,0.636930,2.325744
236,0.662329,2.040084
237,0.660603,2.056627
238,0.640174,2.283501
239,0.654404,2.119124
240,0.664350,2.021153
241,0.638874,2.300178
242,0.631513,2.400960
243,0.659067,2.071672
244,0.650015,2.166500
245,0.677376,1.909439
