ó^Ç¶ÇΩèdóvìx,0.100000,0.220000,0.100000,0.200000,0.100000,0.180000,0.100000,0.160000,0.090000,0.150000,0.070000,0.150000,0.050000,0.150000,0.030000,0.150000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],ãÊä‘ïùÇÃëçòa
1,0.130466, 0.189070,0.111761, 0.212857,0.065187, 0.158129,0.078910, 0.164857,0.096485, 0.163244,0.073566, 0.168281,0.043489, 0.148220,0.037458, 0.158020,0.725355
2,0.087289, 0.179662,0.154488, 0.196713,0.154488, 0.196956,0.086959, 0.179662,0.086641, 0.173918,0.077244, 0.133834,0.032252, 0.118539,0.024954, 0.116403,0.591372
3,0.111349, 0.213297,0.072549, 0.232619,0.075419, 0.199102,0.079369, 0.155019,0.064776, 0.159899,0.060158, 0.182783,0.035247, 0.174469,0.034460, 0.149484,0.933344
4,0.116855, 0.164309,0.116855, 0.255845,0.116855, 0.161994,0.116855, 0.164309,0.058427, 0.152394,0.041266, 0.148105,0.058427, 0.152394,0.029214, 0.145895,0.690490
5,0.139678, 0.192667,0.069839, 0.149888,0.077991, 0.187643,0.050638, 0.182833,0.067481, 0.184490,0.069839, 0.187643,0.047861, 0.182833,0.034920, 0.173754,0.883505
6,0.124951, 0.207579,0.070474, 0.154899,0.136781, 0.181226,0.093373, 0.168924,0.114810, 0.172049,0.059644, 0.141894,0.044254, 0.140076,0.040930, 0.148136,0.629565
7,0.121818, 0.179110,0.071326, 0.180151,0.071326, 0.248444,0.121818, 0.179110,0.071326, 0.159318,0.071326, 0.122107,0.071326, 0.180151,0.035663, 0.115681,0.728144
8,0.112991, 0.222567,0.069398, 0.173899,0.073110, 0.247169,0.093611, 0.193911,0.057962, 0.173796,0.040540, 0.175238,0.071797, 0.149748,0.028719, 0.115543,0.903743
9,0.138222, 0.188817,0.077444, 0.169006,0.081909, 0.171556,0.129294, 0.175425,0.077634, 0.173937,0.056335, 0.166631,0.049050, 0.138884,0.046074, 0.159781,0.688075
10,0.128986, 0.168048,0.072305, 0.175376,0.128986, 0.175554,0.064493, 0.162579,0.128986, 0.175554,0.051977, 0.157395,0.051977, 0.157395,0.042995, 0.157395,0.658591
11,0.113479, 0.247270,0.113479, 0.158121,0.113479, 0.159510,0.120621, 0.166455,0.067255, 0.154445,0.060311, 0.152484,0.060311, 0.147302,0.026085, 0.139393,0.649962
