No.,tL,tR
true,0.806452,1.315789
0,0.805078,1.319463
1,0.831266,1.254677
2,0.765344,1.442175
3,0.829012,1.259852
4,0.767509,1.434554
5,0.828105,1.261952
6,0.842493,1.229941
7,0.782588,1.384683
8,0.812790,1.299260
9,0.823116,1.273715
10,0.839497,1.236383
11,0.840990,1.233161
12,0.801279,1.329794
13,0.807413,1.313237
14,0.823101,1.273752
15,0.801031,1.330481
16,0.821446,1.277736
17,0.837850,1.239973
18,0.846617,1.221256
19,0.807211,1.313774
20,0.841717,1.231601
21,0.811308,1.303066
22,0.860317,1.193836
23,0.810724,1.304575
24,0.800872,1.330920
25,0.839703,1.235937
26,0.818465,1.285013
27,0.821720,1.277074
28,0.827454,1.263467
29,0.854695,1.204829
30,0.872361,1.171391
31,0.816979,1.288693
32,0.770408,1.424532
33,0.803880,1.322695
34,0.801132,1.330201
35,0.823543,1.272697
36,0.805076,1.319467
37,0.781410,1.388380
38,0.779818,1.393441
39,0.828022,1.262140
40,0.829152,1.259527
41,0.814260,1.295516
42,0.844086,1.226563
43,0.825875,1.267169
44,0.873806,1.168796
45,0.815631,1.292061
46,0.826591,1.265480
47,0.831718,1.253653
48,0.855717,1.202803
49,0.839303,1.236802
50,0.857270,1.199747
51,0.834664,1.247018
52,0.836037,1.243965
53,0.812781,1.299282
54,0.886659,1.146563
55,0.782771,1.384108
56,0.845670,1.223233
57,0.793881,1.350687
58,0.809549,1.307624
59,0.880820,1.156478
60,0.869293,1.176970
61,0.842195,1.230581
62,0.816851,1.289017
63,0.823292,1.273301
64,0.868922,1.177647
65,0.871826,1.172358
66,0.835308,1.245583
67,0.849192,1.215937
68,0.861269,1.192005
69,0.836474,1.243003
70,0.801151,1.330150
71,0.842394,1.230150
72,0.805086,1.319441
73,0.806013,1.316961
74,0.863023,1.188663
75,0.875271,1.166185
76,0.849330,1.215652
77,0.869138,1.177253
78,0.847311,1.219813
79,0.837102,1.241616
80,0.800508,1.331923
81,0.824575,1.270236
82,0.804336,1.321461
83,0.807293,1.313560
84,0.821841,1.276780
85,0.842910,1.229057
86,0.842615,1.229686
87,0.802678,1.325961
88,0.835077,1.246100
89,0.834998,1.246277
90,0.814722,1.294351
91,0.829171,1.259481
92,0.847961,1.218469
93,0.796731,1.342513
94,0.849967,1.214354
95,0.843480,1.227842
96,0.791569,1.357429
97,0.880574,1.156903
98,0.889847,1.141278
99,0.761615,1.455604
100,0.803849,1.322774
101,0.837590,1.240542
102,0.801743,1.328519
103,0.870200,1.175312
104,0.821721,1.277072
105,0.804818,1.320158
106,0.809956,1.306568
107,0.775693,1.406802
108,0.809242,1.308428
109,0.842396,1.230148
110,0.883638,1.151658
111,0.850188,1.213903
112,0.829273,1.259249
113,0.841960,1.231081
114,0.802807,1.325608
115,0.889826,1.141311
116,0.870702,1.174395
117,0.821736,1.277035
118,0.814845,1.294043
119,0.789849,1.362518
120,0.804454,1.321140
121,0.847973,1.218450
122,0.830656,1.256070
123,0.863933,1.186939
124,0.874350,1.167825
125,0.835847,1.244386
126,0.826912,1.264729
127,0.806230,1.316382
128,0.810613,1.304858
129,0.807534,1.312918
130,0.835481,1.245201
131,0.823017,1.273955
132,0.788698,1.365956
133,0.784661,1.378238
134,0.838967,1.237538
135,0.833029,1.250685
136,0.818199,1.285671
137,0.800358,1.332340
138,0.847601,1.219218
139,0.834915,1.246460
140,0.874648,1.167296
141,0.827682,1.262934
142,0.803166,1.324633
143,0.839479,1.236421
144,0.828303,1.261494
145,0.831554,1.254027
146,0.863339,1.188060
147,0.830434,1.256585
148,0.820252,1.280638
149,0.860097,1.194257
150,0.808322,1.310838
151,0.838427,1.238711
152,0.809618,1.307446
153,0.833978,1.248550
154,0.807257,1.313653
155,0.815906,1.291381
156,0.822429,1.275362
157,0.815525,1.292332
158,0.801414,1.329423
159,0.862702,1.189273
160,0.788149,1.367609
161,0.808513,1.310341
162,0.835931,1.244202
163,0.832782,1.251245
164,0.824131,1.271296
165,0.772949,1.415919
166,0.769963,1.426057
167,0.873324,1.169656
168,0.861197,1.192142
169,0.853811,1.206593
170,0.854569,1.205082
171,0.808143,1.311314
172,0.853556,1.207100
173,0.845746,1.223074
174,0.889873,1.141236
175,0.823820,1.272032
176,0.853701,1.206811
177,0.847211,1.220021
178,0.836934,1.241988
179,0.833331,1.250005
180,0.877116,1.162929
181,0.830862,1.255605
182,0.798055,1.338771
183,0.796241,1.343904
184,0.841751,1.231530
185,0.835822,1.244439
186,0.863366,1.188012
187,0.779874,1.393258
188,0.822046,1.276283
189,0.803030,1.325002
190,0.816908,1.288871
191,0.860698,1.193104
192,0.825455,1.268158
193,0.847769,1.218870
