ó^Ç¶ÇΩèdóvìx,0.100000,0.220000,0.100000,0.200000,0.100000,0.180000,0.100000,0.160000,0.090000,0.150000,0.070000,0.150000,0.050000,0.150000,0.030000,0.150000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],ãÊä‘ïùÇÃëçòa
1,0.118509, 0.184408,0.114441, 0.220148,0.075097, 0.179134,0.088586, 0.150194,0.096777, 0.179496,0.089589, 0.161483,0.049936, 0.124645,0.041617, 0.125940,0.650896
2,0.092983, 0.158599,0.169725, 0.238365,0.136190, 0.169725,0.083998, 0.193456,0.072019, 0.167996,0.076864, 0.174747,0.040897, 0.098661,0.039440, 0.086332,0.575766
3,0.116085, 0.253147,0.081676, 0.265812,0.077663, 0.172580,0.075913, 0.163352,0.060120, 0.131277,0.057779, 0.173279,0.044717, 0.136648,0.036958, 0.152994,0.898176
4,0.090025, 0.147175,0.110450, 0.198603,0.086522, 0.164326,0.143877, 0.183904,0.073588, 0.202233,0.048365, 0.150572,0.072817, 0.175335,0.039464, 0.112743,0.669782
5,0.128701, 0.192035,0.072595, 0.161404,0.096018, 0.263764,0.079702, 0.151801,0.071251, 0.147703,0.065008, 0.170731,0.053280, 0.148131,0.037433, 0.160442,0.792026
6,0.129820, 0.215040,0.076889, 0.182105,0.133228, 0.190344,0.096228, 0.133228,0.122039, 0.156863,0.063818, 0.132665,0.052816, 0.140457,0.044639, 0.129820,0.561046
7,0.116685, 0.212520,0.092624, 0.178040,0.077534, 0.233369,0.113123, 0.193492,0.086134, 0.125031,0.085892, 0.107856,0.063936, 0.172269,0.046648, 0.094847,0.634850
8,0.121733, 0.216300,0.077063, 0.165519,0.080785, 0.264998,0.104582, 0.174559,0.073536, 0.188847,0.046537, 0.139201,0.075585, 0.147072,0.030610, 0.093074,0.779138
9,0.134601, 0.187498,0.096046, 0.206698,0.092686, 0.208477,0.093649, 0.176635,0.083173, 0.168420,0.062424, 0.174689,0.056698, 0.111555,0.053102, 0.093649,0.655240
10,0.133272, 0.192793,0.093813, 0.239449,0.121529, 0.151438,0.063681, 0.182403,0.109576, 0.151866,0.066586, 0.109576,0.079265, 0.144752,0.032638, 0.127362,0.599280
11,0.093569, 0.227625,0.090105, 0.144492,0.107775, 0.191332,0.140446, 0.140935,0.095179, 0.179633,0.080460, 0.172284,0.070468, 0.141458,0.030342, 0.093896,0.583312
12,0.097508, 0.189126,0.173104, 0.210055,0.089313, 0.160112,0.105028, 0.114994,0.092897, 0.123560,0.077198, 0.186110,0.052684, 0.187876,0.037575, 0.102859,0.549386
13,0.105447, 0.137385,0.090146, 0.280722,0.109086, 0.184146,0.046707, 0.197007,0.068692, 0.161492,0.061382, 0.163758,0.056638, 0.180292,0.050535, 0.106563,0.822733
14,0.120667, 0.220752,0.075645, 0.200613,0.108928, 0.244684,0.134319, 0.151009,0.075504, 0.154783,0.066532, 0.114774,0.062871, 0.154633,0.027490, 0.086796,0.656086
