No.,tL,tR
true,0.806452,1.315789
0,0.819846,1.281626
1,0.848592,1.217176
2,0.790543,1.360457
3,0.829018,1.259838
4,0.814157,1.295783
5,0.850842,1.212572
6,0.860890,1.192732
7,0.829630,1.258425
8,0.825198,1.268762
9,0.866549,1.182039
10,0.863857,1.187085
11,0.877578,1.162116
12,0.819142,1.283353
13,0.838724,1.238065
14,0.843249,1.228331
15,0.823679,1.272370
16,0.858971,1.196436
17,0.869208,1.177124
18,0.896092,1.131163
19,0.861744,1.191096
20,0.871801,1.172404
21,0.847342,1.219750
22,0.883516,1.151861
23,0.847231,1.219981
24,0.833440,1.249761
25,0.849289,1.215739
26,0.837996,1.239654
27,0.835673,1.244772
28,0.866279,1.182540
29,0.884013,1.151018
30,0.897345,1.129178
31,0.832434,1.252030
32,0.807315,1.313496
33,0.845989,1.222569
34,0.831908,1.253218
35,0.841861,1.231292
36,0.844787,1.225083
37,0.824800,1.269707
38,0.809961,1.306554
39,0.819301,1.282959
40,0.874516,1.167529
41,0.852349,1.209523
42,0.869143,1.177242
43,0.845014,1.224608
44,0.849226,1.215869
45,0.820127,1.280943
46,0.850061,1.214162
47,0.861749,1.191086
48,0.855209,1.203808
49,0.861845,1.190903
50,0.824509,1.270393
51,0.869034,1.177446
52,0.867309,1.180629
53,0.842813,1.229262
54,0.888812,1.142981
55,0.820569,1.279862
56,0.845641,1.223294
57,0.861572,1.191424
58,0.819698,1.281990
59,0.907198,1.113953
60,0.908864,1.111453
61,0.861872,1.190853
62,0.857622,1.199062
63,0.822602,1.274951
64,0.934184,1.075789
65,0.866650,1.181850
66,0.852277,1.209668
67,0.857065,1.200153
68,0.847677,1.219057
69,0.862104,1.190410
70,0.831646,1.253816
71,0.908604,1.111839
72,0.844493,1.225706
73,0.808065,1.311518
74,0.881987,1.154469
75,0.874507,1.167545
76,0.858486,1.197378
77,0.859971,1.194502
78,0.909862,1.109959
79,0.890420,1.140337
80,0.832142,1.252689
81,0.857456,1.199387
82,0.872919,1.170386
83,0.840892,1.233370
84,0.855253,1.203720
85,0.918033,1.098037
86,0.869348,1.176867
87,0.852951,1.208312
88,0.856063,1.202124
89,0.854112,1.205987
90,0.867340,1.180568
91,0.857254,1.199783
92,0.852362,1.209496
93,0.845745,1.223080
94,0.879927,1.158021
95,0.860856,1.192794
96,0.848461,1.217438
97,0.913686,1.104324
98,0.902576,1.121001
99,0.792442,1.354870
100,0.824659,1.270038
101,0.832807,1.251185
102,0.847660,1.219091
103,0.873625,1.169122
104,0.848140,1.218102
105,0.849141,1.216044
106,0.812187,1.300801
107,0.825516,1.268012
108,0.887088,1.145847
109,0.892831,1.136405
110,0.843769,1.227232
111,0.897019,1.129693
112,0.887372,1.145377
113,0.890244,1.140624
114,0.833412,1.249825
115,0.899257,1.126162
116,0.871609,1.172748
117,0.833905,1.248715
118,0.840103,1.235073
119,0.870564,1.174646
120,0.837647,1.240422
121,0.883989,1.151065
122,0.831665,1.253771
123,0.884632,1.149973
124,0.893935,1.134620
125,0.857056,1.200172
126,0.849693,1.214912
127,0.849183,1.215959
128,0.856262,1.201730
129,0.856723,1.200825
130,0.827725,1.262830
131,0.857415,1.199468
132,0.833249,1.250189
133,0.837851,1.239970
134,0.872081,1.171892
135,0.897997,1.128145
136,0.837040,1.241750
137,0.830516,1.256390
138,0.847553,1.219316
139,0.843725,1.227324
140,0.885178,1.149048
141,0.865889,1.183267
142,0.874354,1.167816
143,0.853712,1.206788
144,0.857784,1.198748
145,0.891440,1.138667
146,0.908798,1.111550
147,0.859386,1.195632
148,0.837096,1.241627
149,0.879020,1.159594
150,0.846836,1.220801
151,0.883051,1.152654
152,0.838144,1.239331
153,0.857616,1.199071
154,0.886310,1.147148
155,0.866469,1.182185
156,0.861344,1.191862
157,0.834626,1.247102
158,0.813582,1.297239
159,0.910196,1.109465
160,0.804092,1.322118
161,0.822681,1.274757
162,0.862221,1.190187
163,0.895291,1.132445
164,0.845110,1.224405
165,0.821355,1.277955
166,0.823312,1.273245
167,0.880695,1.156694
168,0.853283,1.207649
169,0.880117,1.157691
170,0.906733,1.114654
171,0.850656,1.212952
172,0.898935,1.126668
173,0.852245,1.209735
174,0.840529,1.234150
175,0.819973,1.281317
176,0.852272,1.209680
177,0.851447,1.211344
178,0.884762,1.149752
179,0.876552,1.163919
180,0.890862,1.139613
181,0.864494,1.185881
182,0.857768,1.198775
183,0.827027,1.264465
184,0.869605,1.176397
185,0.854154,1.205906
186,0.868972,1.177557
187,0.869911,1.175840
188,0.872697,1.170786
189,0.833913,1.248701
190,0.855491,1.203254
191,0.868573,1.178293
192,0.840122,1.235033
193,0.893731,1.134955
194,0.843419,1.227976
195,0.844991,1.224659
196,0.867243,1.180748
197,0.861618,1.191336
198,0.900339,1.124471
199,0.811955,1.301395
200,0.850032,1.214218
201,0.846080,1.222379
202,0.854391,1.205434
203,0.835980,1.244092
204,0.797499,1.340341
205,0.902900,1.120498
206,0.860185,1.194091
207,0.882967,1.152798
208,0.828552,1.260913
209,0.857025,1.200232
210,0.812747,1.299371
211,0.878681,1.160186
212,0.839738,1.235862
213,0.907340,1.113738
