No.,tL,tR
true,0.806452,1.315789
0,0.738987,1.546080
1,0.778151,1.398793
2,0.626349,2.478659
3,0.750705,1.497190
4,0.725109,1.610578
5,0.776683,1.403562
6,0.854675,1.204872
7,0.696651,1.771288
8,0.740734,1.538492
9,0.800703,1.331386
10,0.802787,1.325662
11,0.827031,1.264453
12,0.667322,1.994117
13,0.769746,1.426794
14,0.771404,1.421135
15,0.676434,1.916965
16,0.749327,1.502695
17,0.832735,1.251348
18,0.857239,1.199815
19,0.769397,1.428002
20,0.818832,1.284109
21,0.754914,1.480722
22,0.790115,1.361728
23,0.748068,1.507791
24,0.761042,1.457698
25,0.746344,1.514839
26,0.786934,1.371279
27,0.723065,1.620748
28,0.786922,1.371319
29,0.924240,1.089289
30,0.853459,1.207294
31,0.731679,1.579080
32,0.754027,1.484144
33,0.736769,1.555887
34,0.763003,1.450560
35,0.805117,1.319355
36,0.694424,1.785851
37,0.751735,1.493103
38,0.787694,1.368976
39,0.780855,1.390140
40,0.854426,1.205368
41,0.748411,1.506401
42,0.805593,1.318077
43,0.707640,1.704007
44,0.817638,1.287056
45,0.775191,1.408461
46,0.750309,1.498767
47,0.766711,1.437345
48,0.774563,1.410537
49,0.766055,1.439657
50,0.722474,1.623722
51,0.771375,1.421236
52,0.793475,1.351857
53,0.774287,1.411451
54,0.866526,1.182079
55,0.754946,1.480602
56,0.774139,1.411943
57,0.730390,1.585115
58,0.700523,1.746740
59,0.752147,1.491487
60,0.828860,1.260198
61,0.821121,1.278522
62,0.790223,1.361406
63,0.662203,2.041275
64,0.920565,1.094438
65,0.769757,1.426759
66,0.757069,1.472507
67,0.804243,1.321711
68,0.798461,1.337632
69,0.762747,1.451484
70,0.728482,1.594179
71,0.761639,1.455517
72,0.774170,1.411845
73,0.714745,1.664170
74,0.786522,1.372533
75,0.843584,1.227625
76,0.753173,1.487469
77,0.808757,1.309705
78,0.843352,1.228116
79,0.840728,1.233726
80,0.728162,1.595711
81,0.775987,1.405843
82,0.853795,1.206628
83,0.745936,1.516523
84,0.759291,1.464167
85,0.791637,1.357230
86,0.748895,1.504438
87,0.792976,1.353306
88,0.789091,1.364778
89,0.833980,1.248547
90,0.822548,1.275079
91,0.808399,1.310638
92,0.746714,1.513324
93,0.771918,1.419396
94,0.848293,1.217785
95,0.810055,1.306305
96,0.754001,1.484243
97,0.869889,1.175877
98,0.909305,1.110790
99,0.679754,1.890785
100,0.736826,1.555628
101,0.732004,1.577566
102,0.711152,1.683984
103,0.814519,1.294865
104,0.795378,1.346375
105,0.803714,1.323142
106,0.760563,1.459466
107,0.802268,1.327077
108,0.818160,1.285770
109,0.821837,1.276789
110,0.755946,1.476771
111,0.819154,1.283320
112,0.783989,1.380316
113,0.784129,1.379887
114,0.723781,1.617170
115,0.866628,1.181891
116,0.824790,1.269727
117,0.735322,1.562383
118,0.758304,1.467851
119,0.849531,1.215243
120,0.737372,1.553195
121,0.851015,1.212217
122,0.773925,1.412661
123,0.770071,1.425683
124,0.870205,1.175302
125,0.801244,1.329892
126,0.777630,1.400480
127,0.714046,1.667976
128,0.753971,1.484362
129,0.762069,1.453947
130,0.708194,1.700805
131,0.721869,1.626786
132,0.677997,1.904522
133,0.739184,1.545220
134,0.844860,1.224932
135,0.829498,1.258729
136,0.783242,1.382638
137,0.775026,1.409004
138,0.773493,1.414103
139,0.752010,1.492023
140,0.877223,1.162739
141,0.773845,1.412924
142,0.846960,1.220548
143,0.837510,1.240716
144,0.725314,1.609567
145,0.854965,1.204295
146,0.820111,1.280979
147,0.810779,1.304432
148,0.749579,1.501689
149,0.829885,1.257838
150,0.749214,1.503156
151,0.731384,1.580453
152,0.758687,1.466420
153,0.795252,1.346734
154,0.757738,1.469979
155,0.736158,1.558616
156,0.804602,1.320742
157,0.777212,1.401842
158,0.681814,1.875029
159,0.909112,1.111080
160,0.740593,1.539101
161,0.737077,1.554509
162,0.759643,1.462859
163,0.879834,1.158184
164,0.772196,1.418456
165,0.729537,1.589148
166,0.706267,1.712021
167,0.782121,1.386151
168,0.744019,1.524513
169,0.839455,1.236475
170,0.875776,1.165293
171,0.756123,1.476095
172,0.889429,1.141963
173,0.769528,1.427550
174,0.780680,1.390695
175,0.761688,1.455337
176,0.727199,1.600356
177,0.768742,1.430257
178,0.736580,1.556723
179,0.757041,1.472611
180,0.884560,1.150096
181,0.855981,1.202284
182,0.761873,1.454664
183,0.722057,1.625836
184,0.814647,1.294542
185,0.753217,1.487294
186,0.749453,1.502192
187,0.733032,1.572819
188,0.771577,1.420551
189,0.731348,1.580625
190,0.777187,1.401921
191,0.821458,1.277705
192,0.757199,1.472013
193,0.878164,1.161091
194,0.753966,1.484378
195,0.731860,1.578233
196,0.772963,1.415877
197,0.757811,1.469704
198,0.876555,1.163913
199,0.697687,1.764624
200,0.752077,1.491758
201,0.753824,1.484933
202,0.822043,1.276295
203,0.750613,1.497553
204,0.727807,1.597416
205,0.793182,1.352713
206,0.796174,1.344099
207,0.831072,1.255122
208,0.780984,1.389732
209,0.729526,1.589201
210,0.720973,1.631359
211,0.802322,1.326934
212,0.745398,1.518748
213,0.838297,1.238996
214,0.730617,1.584051
215,0.656766,2.094723
216,0.806381,1.315976
217,0.715739,1.658807
218,0.734244,1.567263
219,0.799634,1.334349
220,0.709362,1.694111
221,0.766946,1.436513
222,0.698958,1.756546
223,0.788201,1.367454
224,0.838914,1.237654
225,0.791823,1.356683
226,0.819960,1.281345
227,0.837963,1.239726
228,0.791238,1.358404
229,0.806854,1.314720
230,0.742001,1.533058
231,0.803536,1.323627
232,0.779694,1.393835
233,0.680705,1.883473
234,0.918131,1.097899
235,0.699640,1.752259
236,0.798522,1.337462
237,0.740913,1.537721
238,0.841566,1.231919
239,0.885650,1.148255
240,0.786309,1.373181
241,0.776222,1.405071
242,0.837830,1.240016
243,0.758131,1.468502
244,0.857242,1.199805
245,0.813495,1.297461
246,0.738040,1.550243
247,0.793208,1.352636
248,0.719391,1.639519
249,0.802964,1.325181
250,0.716706,1.653636
251,0.778357,1.398126
252,0.791459,1.357757
253,0.809873,1.306780
254,0.769738,1.426827
255,0.792512,1.354665
256,0.767638,1.434097
257,0.833297,1.250083
258,0.763842,1.447536
259,0.780852,1.390148
260,0.825866,1.267186
261,0.785906,1.374414
262,0.758461,1.467267
263,0.874748,1.167119
264,0.695024,1.781896
265,0.751590,1.493674
266,0.790272,1.361261
267,0.786486,1.372638
268,0.850008,1.214267
269,0.816661,1.289487
270,0.688931,1.823237
271,0.747322,1.510830
272,0.789011,1.365020
273,0.822658,1.274811
274,0.779376,1.394856
275,0.850692,1.212878
276,0.813824,1.296625
277,0.733729,1.569617
278,0.808884,1.309367
279,0.774313,1.411367
280,0.723509,1.618526
281,0.717225,1.650876
282,0.737908,1.550823
283,0.763363,1.449263
284,0.780144,1.392399
285,0.819295,1.282976
286,0.838136,1.239349
287,0.771002,1.422503
288,0.823367,1.273117
289,0.740365,1.540085
290,0.832797,1.251209
291,0.789847,1.362526
292,0.768511,1.431064
293,0.791586,1.357377
294,0.762307,1.453083
295,0.799743,1.334050
296,0.816962,1.288740
297,0.886394,1.147010
298,0.668746,1.981512
299,0.756135,1.476050
300,0.719373,1.639610
301,0.794374,1.349258
302,0.809125,1.308731
303,0.755987,1.476614
304,0.737821,1.551205
305,0.778397,1.397997
306,0.741502,1.535186
307,0.761333,1.456637
308,0.752741,1.489154
309,0.696460,1.772522
310,0.814345,1.295305
311,0.789402,1.363853
312,0.837677,1.240352
313,0.782352,1.385420
314,0.894481,1.133744
315,0.857515,1.199274
316,0.811545,1.302453
317,0.771417,1.421092
318,0.834102,1.248277
319,0.834522,1.247334
320,0.965523,1.037029
321,0.812228,1.300696
322,0.861603,1.191365
323,0.797894,1.339226
324,0.768991,1.429398
325,0.820409,1.280254
326,0.756472,1.474765
327,0.793811,1.350888
328,0.740738,1.538473
329,0.754969,1.480516
330,0.780900,1.390001
331,0.734589,1.565693
332,0.779659,1.393944
333,0.745440,1.518573
334,0.793812,1.350886
