ó^Ç¶ÇΩèdóvìx,0.100000,0.220000,0.100000,0.200000,0.100000,0.180000,0.100000,0.160000,0.090000,0.150000,0.070000,0.150000,0.050000,0.150000,0.030000,0.150000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],ãÊä‘ïùÇÃëçòa
1,0.151459, 0.151459,0.167295, 0.167295,0.127115, 0.127115,0.119390, 0.119390,0.138136, 0.138136,0.125536, 0.125536,0.087290, 0.087290,0.083779, 0.083779,0.000000
2,0.125791, 0.125791,0.204045, 0.204045,0.152957, 0.152957,0.138727, 0.138727,0.120008, 0.120008,0.125806, 0.125806,0.069779, 0.069779,0.062886, 0.062886,0.000000
3,0.184616, 0.184616,0.173744, 0.173744,0.125122, 0.125122,0.119633, 0.119633,0.095698, 0.095698,0.115529, 0.115529,0.090683, 0.090683,0.094976, 0.094976,0.000000
4,0.118600, 0.118600,0.154527, 0.154527,0.125424, 0.125424,0.163891, 0.163891,0.137910, 0.137910,0.099469, 0.099469,0.124076, 0.124076,0.076104, 0.076104,0.000000
5,0.160368, 0.160368,0.117000, 0.117000,0.179891, 0.179891,0.115751, 0.115751,0.109477, 0.109477,0.117870, 0.117870,0.100706, 0.100706,0.098937, 0.098937,0.000000
6,0.172430, 0.172430,0.129497, 0.129497,0.161786, 0.161786,0.114728, 0.114728,0.139451, 0.139451,0.098241, 0.098241,0.096636, 0.096636,0.087230, 0.087230,0.000000
7,0.164602, 0.164602,0.135332, 0.135332,0.155451, 0.155451,0.153308, 0.153308,0.105583, 0.105583,0.096874, 0.096874,0.118103, 0.118103,0.070747, 0.070747,0.000000
8,0.169016, 0.169016,0.121291, 0.121291,0.172892, 0.172892,0.139570, 0.139570,0.131191, 0.131191,0.092869, 0.092869,0.111329, 0.111329,0.061842, 0.061842,0.000000
9,0.161049, 0.161049,0.151372, 0.151372,0.150581, 0.150581,0.135142, 0.135142,0.125797, 0.125797,0.118557, 0.118557,0.084127, 0.084127,0.073375, 0.073375,0.000000
10,0.163033, 0.163033,0.166631, 0.166631,0.136484, 0.136484,0.123042, 0.123042,0.130721, 0.130721,0.088081, 0.088081,0.112008, 0.112008,0.080000, 0.080000,0.000000
11,0.160597, 0.160597,0.117298, 0.117298,0.149554, 0.149554,0.140690, 0.140690,0.137406, 0.137406,0.126372, 0.126372,0.105963, 0.105963,0.062119, 0.062119,0.000000
12,0.143317, 0.143317,0.191580, 0.191580,0.124712, 0.124712,0.110011, 0.110011,0.108228, 0.108228,0.131654, 0.131654,0.120280, 0.120280,0.070217, 0.070217,0.000000
13,0.121416, 0.121416,0.185434, 0.185434,0.146616, 0.146616,0.121857, 0.121857,0.115092, 0.115092,0.112570, 0.112570,0.118465, 0.118465,0.078549, 0.078549,0.000000
14,0.170709, 0.170709,0.138129, 0.138129,0.176806, 0.176806,0.142664, 0.142664,0.115144, 0.115144,0.090653, 0.090653,0.108752, 0.108752,0.057143, 0.057143,0.000000
15,0.223298, 0.223298,0.109053, 0.109053,0.144570, 0.144570,0.085101, 0.085101,0.152050, 0.152050,0.102762, 0.102762,0.108440, 0.108440,0.074727, 0.074727,0.000000
16,0.183494, 0.183494,0.160597, 0.160597,0.147840, 0.147840,0.114654, 0.114654,0.140023, 0.140023,0.106478, 0.106478,0.084990, 0.084990,0.061926, 0.061926,0.000000
17,0.171699, 0.171699,0.224910, 0.224910,0.126162, 0.126162,0.126348, 0.126348,0.117160, 0.117160,0.082776, 0.082776,0.084116, 0.084116,0.066829, 0.066829,0.000000
18,0.168750, 0.168750,0.114814, 0.114814,0.127902, 0.127902,0.172725, 0.172725,0.111219, 0.111219,0.107058, 0.107058,0.117994, 0.117994,0.079538, 0.079538,0.000000
19,0.169837, 0.169837,0.173785, 0.173785,0.147487, 0.147487,0.130929, 0.130929,0.127196, 0.127196,0.101676, 0.101676,0.080268, 0.080268,0.068822, 0.068822,0.000000
20,0.174160, 0.174160,0.154095, 0.154095,0.146606, 0.146606,0.119815, 0.119815,0.136589, 0.136589,0.117293, 0.117293,0.093322, 0.093322,0.058120, 0.058120,0.000000
21,0.141058, 0.141058,0.178659, 0.178659,0.160021, 0.160021,0.105258, 0.105258,0.160416, 0.160416,0.095234, 0.095234,0.087220, 0.087220,0.072134, 0.072134,0.000000
22,0.157021, 0.157021,0.173121, 0.173121,0.140867, 0.140867,0.137211, 0.137211,0.130461, 0.130461,0.108414, 0.108414,0.066195, 0.066195,0.086710, 0.086710,0.000000
23,0.127476, 0.127476,0.200149, 0.200149,0.177042, 0.177042,0.118762, 0.118762,0.118020, 0.118020,0.093095, 0.093095,0.090579, 0.090579,0.074877, 0.074877,0.000000
24,0.132370, 0.132370,0.175402, 0.175402,0.165903, 0.165903,0.133271, 0.133271,0.116309, 0.116309,0.127915, 0.127915,0.088598, 0.088598,0.060230, 0.060230,0.000000
25,0.211975, 0.211975,0.144083, 0.144083,0.133691, 0.133691,0.131548, 0.131548,0.114931, 0.114931,0.106094, 0.106094,0.095933, 0.095933,0.061746, 0.061746,0.000000
