ó^Ç¶ÇΩèdóvìx,0.100000,0.220000,0.100000,0.200000,0.100000,0.180000,0.100000,0.160000,0.090000,0.150000,0.070000,0.150000,0.050000,0.150000,0.030000,0.150000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],ãÊä‘ïùÇÃëçòa
1,0.052124, 0.242241,0.045806, 0.217576,0.025405, 0.223280,0.029639, 0.243243,0.033591, 0.199305,0.026062, 0.228643,0.017375, 0.209942,0.013436, 0.192334,1.513128
2,0.043073, 0.206093,0.069994, 0.239146,0.069994, 0.276386,0.034997, 0.206093,0.040618, 0.174078,0.034997, 0.214981,0.014358, 0.185389,0.010768, 0.179032,1.362401
3,0.026760, 0.237870,0.015164, 0.209410,0.016849, 0.255896,0.021663, 0.209410,0.015164, 0.245660,0.015870, 0.237572,0.008425, 0.244312,0.007221, 0.232753,1.745768
4,0.055161, 0.243628,0.055161, 0.212025,0.055161, 0.234434,0.055161, 0.243628,0.027580, 0.199553,0.018387, 0.183686,0.027580, 0.199553,0.013790, 0.175512,1.384036
5,0.057344, 0.243712,0.028672, 0.229588,0.029309, 0.230043,0.016590, 0.214585,0.024885, 0.223966,0.028672, 0.230043,0.016590, 0.214585,0.014336, 0.197079,1.567203
6,0.055248, 0.230199,0.034530, 0.201424,0.055248, 0.251684,0.036832, 0.231514,0.046040, 0.231514,0.024555, 0.202575,0.018416, 0.182200,0.015347, 0.182674,1.427572
7,0.042073, 0.231403,0.031555, 0.218781,0.031555, 0.174766,0.042073, 0.231403,0.031555, 0.218781,0.031555, 0.236662,0.031555, 0.218781,0.015777, 0.211724,1.484602
8,0.031280, 0.249290,0.022691, 0.226318,0.020853, 0.226912,0.031876, 0.255276,0.015388, 0.222319,0.011346, 0.225054,0.020853, 0.225755,0.008341, 0.206448,1.674743
9,0.069443, 0.243049,0.034721, 0.198222,0.034721, 0.208328,0.037201, 0.229408,0.034721, 0.223208,0.023148, 0.189389,0.023148, 0.224899,0.023148, 0.203246,1.439499
10,0.060997, 0.226831,0.030498, 0.184345,0.060997, 0.254153,0.030498, 0.207389,0.060997, 0.254153,0.021603, 0.188535,0.021603, 0.188535,0.020332, 0.188535,1.384951
11,0.045222, 0.217633,0.045222, 0.233649,0.045222, 0.222762,0.058622, 0.252073,0.029311, 0.204831,0.029311, 0.196555,0.029311, 0.204831,0.011724, 0.173720,1.412109
12,0.044357, 0.227091,0.063665, 0.257844,0.025769, 0.194128,0.044357, 0.252076,0.031833, 0.245441,0.024976, 0.184894,0.017179, 0.169684,0.012733, 0.203973,1.470261
13,0.049267, 0.251353,0.033431, 0.217303,0.049267, 0.242230,0.013001, 0.208017,0.024634, 0.238607,0.017335, 0.224658,0.016422, 0.179837,0.022287, 0.212350,1.548711
14,0.033592, 0.206029,0.035769, 0.215490,0.031217, 0.217817,0.059204, 0.255563,0.033592, 0.231306,0.023846, 0.212376,0.019735, 0.206910,0.010406, 0.207149,1.505282
15,0.077280, 0.249871,0.030053, 0.223896,0.043277, 0.223896,0.030053, 0.223896,0.060106, 0.238422,0.021638, 0.186089,0.012880, 0.199465,0.007728, 0.171451,1.433970
16,0.066791, 0.273288,0.033396, 0.230162,0.041506, 0.221366,0.020753, 0.242119,0.008349, 0.199392,0.022264, 0.223730,0.016892, 0.214182,0.011261, 0.174551,1.557576
17,0.030096, 0.195416,0.120386, 0.324233,0.030096, 0.183512,0.060193, 0.233448,0.030096, 0.215626,0.011656, 0.153198,0.011656, 0.198263,0.008646, 0.193477,1.394346
