ó^Ç¶ÇΩèdóvìx,0.110000,0.210000,0.100000,0.200000,0.090000,0.190000,0.080000,0.180000,0.070000,0.170000,0.060000,0.160000,0.050000,0.150000,0.040000,0.140000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],ãÊä‘ïùÇÃëçòa
1,0.116659, 0.181442,0.094587, 0.154420,0.143398, 0.234748,0.079275, 0.180898,0.066142, 0.160137,0.047944, 0.133337,0.051200, 0.147523,0.035850, 0.172439,0.729889
2,0.097286, 0.195129,0.068044, 0.220082,0.144744, 0.214316,0.092184, 0.158195,0.066992, 0.136088,0.047797, 0.177888,0.033930, 0.162210,0.042645, 0.142468,0.812756
3,0.106267, 0.185561,0.095851, 0.224202,0.105851, 0.219479,0.095851, 0.158616,0.061316, 0.147517,0.033617, 0.150542,0.064182, 0.137517,0.076114, 0.137517,0.721904
4,0.147834, 0.210835,0.128575, 0.177145,0.068598, 0.176380,0.068598, 0.176380,0.059048, 0.165058,0.093612, 0.170123,0.068598, 0.161664,0.033048, 0.094503,0.664175
5,0.096078, 0.201624,0.060075, 0.192156,0.064739, 0.147927,0.094562, 0.160728,0.094562, 0.151967,0.173499, 0.219072,0.044677, 0.133253,0.036982, 0.128099,0.669652
6,0.118986, 0.175595,0.146749, 0.193971,0.082521, 0.178673,0.082990, 0.176220,0.073374, 0.177999,0.073374, 0.162828,0.051892, 0.147950,0.035162, 0.121716,0.669903
7,0.130342, 0.210727,0.074023, 0.153199,0.062016, 0.182609,0.088318, 0.191125,0.051981, 0.172842,0.060141, 0.213541,0.049697, 0.172008,0.049516, 0.137914,0.867931
8,0.094998, 0.213919,0.059317, 0.169014,0.094311, 0.220444,0.085382, 0.184386,0.051620, 0.216895,0.041241, 0.156667,0.068826, 0.160627,0.035527, 0.146827,0.937557
9,0.137719, 0.168275,0.137719, 0.165497,0.068860, 0.152600,0.137719, 0.168275,0.048684, 0.146865,0.137719, 0.168275,0.045906, 0.094428,0.068860, 0.152600,0.433628
10,0.101697, 0.142138,0.172021, 0.231171,0.077390, 0.198960,0.043703, 0.141219,0.038695, 0.177597,0.101697, 0.152912,0.029101, 0.115353,0.077390, 0.198960,0.716618
11,0.128851, 0.178330,0.079703, 0.172832,0.128851, 0.178330,0.064426, 0.170518,0.071370, 0.164962,0.064426, 0.162184,0.064426, 0.164962,0.045728, 0.160101,0.704440
12,0.124112, 0.175674,0.136612, 0.189997,0.068306, 0.176889,0.068306, 0.176889,0.068306, 0.170271,0.064997, 0.173892,0.043331, 0.171108,0.034153, 0.157158,0.783758
13,0.135414, 0.194607,0.135414, 0.188985,0.070683, 0.154169,0.052832, 0.200731,0.094909, 0.177080,0.037205, 0.140989,0.037938, 0.165819,0.044478, 0.168747,0.782254
14,0.134712, 0.189400,0.083638, 0.198132,0.075169, 0.174891,0.067356, 0.185133,0.075169, 0.179355,0.067356, 0.133502,0.038142, 0.171750,0.048614, 0.177681,0.819687
15,0.095799, 0.200432,0.078523, 0.215036,0.088429, 0.195450,0.074682, 0.153907,0.065451, 0.164293,0.053227, 0.173813,0.058930, 0.162143,0.049853, 0.170033,0.870213
16,0.099958, 0.170094,0.160273, 0.237118,0.102934, 0.155565,0.065760, 0.185273,0.053112, 0.185273,0.049258, 0.141833,0.044793, 0.151610,0.050746, 0.146402,0.746335
17,0.090140, 0.186339,0.138944, 0.200475,0.079842, 0.189668,0.072189, 0.193385,0.050518, 0.194170,0.049606, 0.186895,0.046315, 0.147607,0.034371, 0.139535,0.876150
18,0.073138, 0.157697,0.093040, 0.154609,0.125145, 0.170488,0.125145, 0.170488,0.125145, 0.169788,0.048696, 0.186080,0.041715, 0.146089,0.059186, 0.153554,0.617583
19,0.069037, 0.168630,0.118591, 0.170126,0.138075, 0.248343,0.069037, 0.168630,0.069037, 0.168630,0.069037, 0.113308,0.069037, 0.113308,0.082781, 0.164391,0.630733
20,0.078855, 0.178710,0.072242, 0.181091,0.072242, 0.167532,0.139854, 0.189622,0.137021, 0.186461,0.072242, 0.176461,0.037609, 0.165724,0.029558, 0.114776,0.720756
21,0.069411, 0.175345,0.076134, 0.219462,0.062200, 0.214613,0.067971, 0.145587,0.094286, 0.162631,0.098596, 0.188394,0.049245, 0.136886,0.060253, 0.178984,0.843808
22,0.159518, 0.197539,0.152375, 0.192256,0.159518, 0.197539,0.044880, 0.115450,0.056298, 0.126485,0.042162, 0.170547,0.056298, 0.170467,0.050576, 0.108092,0.556752
23,0.119918, 0.174413,0.141160, 0.186116,0.077159, 0.151862,0.090333, 0.178127,0.046185, 0.180666,0.056983, 0.117784,0.086087, 0.170765,0.070580, 0.151862,0.623191
24,0.094092, 0.192885,0.062918, 0.167085,0.060122, 0.162021,0.108340, 0.233322,0.066620, 0.231172,0.053701, 0.148239,0.056339, 0.163991,0.037242, 0.161911,0.921253
25,0.124996, 0.186261,0.075891, 0.187254,0.056239, 0.166663,0.070828, 0.194697,0.049190, 0.175806,0.066962, 0.171508,0.051936, 0.155092,0.086237, 0.180437,0.835438
26,0.185068, 0.219551,0.096844, 0.207985,0.096844, 0.125885,0.062942, 0.204654,0.096844, 0.140405,0.068873, 0.128094,0.054282, 0.130575,0.050577, 0.130575,0.575447
27,0.119852, 0.215706,0.090529, 0.159266,0.090529, 0.154166,0.103118, 0.216474,0.090529, 0.156223,0.052976, 0.134180,0.035913, 0.201147,0.032160, 0.147233,0.768789
28,0.106001, 0.190832,0.126629, 0.244369,0.090952, 0.162168,0.110466, 0.158680,0.070667, 0.163393,0.063314, 0.142766,0.036465, 0.156363,0.057658, 0.119278,0.675697
29,0.128822, 0.178684,0.064411, 0.154558,0.079577, 0.149656,0.072744, 0.157989,0.071764, 0.157989,0.128822, 0.171791,0.128822, 0.171791,0.032206, 0.150374,0.585663
30,0.148420, 0.205647,0.077335, 0.185364,0.082543, 0.187843,0.138616, 0.186410,0.044351, 0.180607,0.045795, 0.169616,0.044458, 0.139739,0.032990, 0.130268,0.770986
31,0.080617, 0.182067,0.143377, 0.195687,0.082218, 0.171651,0.132960, 0.183307,0.066480, 0.173139,0.047792, 0.176913,0.047792, 0.125697,0.029218, 0.161085,0.739091
32,0.197007, 0.228257,0.106316, 0.146889,0.106316, 0.146889,0.106316, 0.140691,0.110222, 0.209970,0.039345, 0.125513,0.037671, 0.127745,0.041485, 0.129366,0.510641
33,0.119166, 0.159607,0.119166, 0.162058,0.146439, 0.253610,0.059583, 0.160075,0.059583, 0.160075,0.119166, 0.162058,0.042173, 0.144432,0.032064, 0.100745,0.605320
34,0.085780, 0.211333,0.085780, 0.156596,0.171560, 0.228852,0.089421, 0.211333,0.037213, 0.200686,0.048141, 0.134391,0.030329, 0.136163,0.034475, 0.137948,0.834602
35,0.139303, 0.189177,0.129687, 0.203049,0.095915, 0.169858,0.077985, 0.176265,0.054280, 0.168624,0.060738, 0.144043,0.056015, 0.140168,0.037344, 0.157549,0.697465
36,0.105127, 0.175254,0.113902, 0.158410,0.147506, 0.243609,0.062633, 0.145765,0.113902, 0.161356,0.040418, 0.145152,0.029701, 0.134168,0.056951, 0.166146,0.659718
37,0.127838, 0.178620,0.137901, 0.277998,0.127838, 0.171956,0.043006, 0.165245,0.063919, 0.174012,0.071272, 0.165338,0.031960, 0.113925,0.035864, 0.113305,0.720801
38,0.084832, 0.160256,0.093760, 0.188385,0.154038, 0.199611,0.154038, 0.212818,0.041132, 0.117237,0.040140, 0.116521,0.028920, 0.175998,0.052913, 0.179401,0.700453
39,0.211939, 0.253606,0.114303, 0.161671,0.057151, 0.221314,0.057151, 0.150414,0.057151, 0.150414,0.057151, 0.150414,0.057151, 0.150414,0.047388, 0.102364,0.681225
40,0.092607, 0.211795,0.155194, 0.218241,0.092607, 0.186395,0.066168, 0.133679,0.057712, 0.129009,0.092607, 0.183604,0.046304, 0.130941,0.069458, 0.133679,0.654683
41,0.135827, 0.181400,0.123327, 0.175827,0.067914, 0.179716,0.076436, 0.179716,0.055692, 0.166509,0.067914, 0.179716,0.048401, 0.175032,0.027947, 0.158628,0.793086
42,0.108869, 0.226186,0.108869, 0.171234,0.054434, 0.242247,0.056450, 0.157114,0.064026, 0.161147,0.097972, 0.163146,0.048986, 0.149517,0.036290, 0.153512,0.848207
43,0.066541, 0.172984,0.085420, 0.173260,0.133082, 0.187003,0.073894, 0.174234,0.082822, 0.180876,0.080420, 0.184234,0.076492, 0.179038,0.035746, 0.113955,0.731165
44,0.141758, 0.192540,0.064718, 0.179050,0.088692, 0.180449,0.070879, 0.123657,0.070879, 0.165150,0.046121, 0.170475,0.078692, 0.180449,0.070879, 0.175613,0.734763
45,0.105826, 0.172206,0.079593, 0.175018,0.105826, 0.178530,0.087509, 0.232486,0.069176, 0.149944,0.070168, 0.171090,0.058015, 0.165287,0.030133, 0.149194,0.787508
46,0.088642, 0.240560,0.071959, 0.192909,0.115072, 0.155136,0.115072, 0.170740,0.124687, 0.176574,0.068923, 0.164039,0.023306, 0.146322,0.039524, 0.106535,0.705631
47,0.110363, 0.164123,0.102403, 0.264057,0.132029, 0.180640,0.132029, 0.180640,0.051202, 0.143914,0.044010, 0.134903,0.044010, 0.142863,0.037914, 0.134903,0.692085
48,0.137216, 0.190944,0.051624, 0.194786,0.082707, 0.189457,0.120264, 0.192427,0.074776, 0.165752,0.052785, 0.158124,0.049841, 0.140123,0.031916, 0.167258,0.797743
49,0.090485, 0.245617,0.111181, 0.187766,0.053338, 0.153734,0.071929, 0.140574,0.071929, 0.180970,0.074120, 0.179654,0.072617, 0.187071,0.040551, 0.138464,0.827701
50,0.068589, 0.161633,0.160627, 0.235501,0.105548, 0.193559,0.049154, 0.157339,0.053372, 0.187413,0.055053, 0.134846,0.049078, 0.159213,0.041662, 0.187413,0.833833
51,0.142819, 0.184486,0.149229, 0.188474,0.149229, 0.191381,0.074615, 0.169382,0.046410, 0.167563,0.052650, 0.124832,0.046410, 0.167563,0.035705, 0.109253,0.605865
52,0.083446, 0.175699,0.138199, 0.197326,0.069099, 0.173437,0.080707, 0.195365,0.078246, 0.171830,0.043923, 0.134583,0.073238, 0.173199,0.046066, 0.165638,0.774151
53,0.107962, 0.145462,0.200300, 0.243269,0.107962, 0.151712,0.060560, 0.207653,0.053981, 0.134278,0.060231, 0.140857,0.053981, 0.140857,0.050075, 0.140857,0.609893
54,0.124719, 0.222183,0.074562, 0.157114,0.060700, 0.149365,0.057321, 0.161856,0.099360, 0.191832,0.090837, 0.167008,0.038482, 0.217185,0.030350, 0.157126,0.847339
55,0.114963, 0.169888,0.068845, 0.208573,0.198677, 0.236177,0.114963, 0.171024,0.068845, 0.146908,0.039479, 0.147511,0.038321, 0.137094,0.028674, 0.110059,0.654464
56,0.091875, 0.204087,0.152734, 0.213511,0.090493, 0.194401,0.082946, 0.140982,0.082946, 0.132626,0.046281, 0.129613,0.041473, 0.180986,0.036577, 0.178470,0.749349
57,0.075614, 0.183172,0.134561, 0.195036,0.075614, 0.177617,0.078131, 0.177617,0.087278, 0.180692,0.049773, 0.188275,0.044854, 0.139345,0.039283, 0.173141,0.829787
58,0.100065, 0.170872,0.138095, 0.219575,0.077381, 0.171107,0.138095, 0.186134,0.069047, 0.125420,0.054199, 0.162428,0.049392, 0.139250,0.041693, 0.157248,0.664068
59,0.083279, 0.183269,0.081218, 0.196450,0.127682, 0.211519,0.088714, 0.204438,0.083279, 0.135363,0.046104, 0.161016,0.062931, 0.142208,0.036145, 0.156386,0.781296
60,0.164618, 0.207887,0.157475, 0.198546,0.045962, 0.177299,0.078632, 0.177695,0.082309, 0.120770,0.082309, 0.124937,0.058496, 0.184261,0.028077, 0.110727,0.604245
61,0.102873, 0.160105,0.066858, 0.167415,0.119827, 0.178819,0.072743, 0.214636,0.119827, 0.163809,0.072743, 0.156592,0.042393, 0.154827,0.053659, 0.152873,0.698152
62,0.082187, 0.182708,0.132708, 0.201874,0.051853, 0.194821,0.090466, 0.181319,0.073854, 0.178839,0.047014, 0.128707,0.047212, 0.176915,0.056818, 0.172708,0.835778
63,0.143812, 0.194354,0.134197, 0.177466,0.074955, 0.172979,0.063857, 0.171251,0.080240, 0.175062,0.071906, 0.158965,0.063857, 0.159197,0.038866, 0.119033,0.656617
64,0.182947, 0.232401,0.068625, 0.179641,0.089821, 0.190600,0.065826, 0.124260,0.109341, 0.162436,0.109341, 0.158438,0.039120, 0.097273,0.055880, 0.134050,0.558198
65,0.149806, 0.192862,0.143709, 0.189797,0.140191, 0.180255,0.061251, 0.160739,0.040316, 0.166698,0.055644, 0.145368,0.061251, 0.164257,0.049935, 0.097920,0.595792
66,0.086933, 0.206852,0.173865, 0.220874,0.100020, 0.174844,0.070929, 0.130584,0.070929, 0.195795,0.070929, 0.130336,0.043466, 0.165409,0.032450, 0.125784,0.700955
67,0.075704, 0.193075,0.085320, 0.193075,0.151409, 0.201409,0.072326, 0.188571,0.061581, 0.187593,0.075704, 0.183460,0.050470, 0.124485,0.028284, 0.127534,0.798406
68,0.054974, 0.146885,0.212761, 0.258334,0.111789, 0.158664,0.114193, 0.163151,0.046873, 0.216974,0.040308, 0.124458,0.046873, 0.146645,0.030712, 0.126404,0.683032
69,0.111361, 0.223425,0.074360, 0.222723,0.073325, 0.199042,0.077287, 0.173808,0.068264, 0.173388,0.058386, 0.167484,0.055959, 0.149092,0.033526, 0.138571,0.895064
70,0.126892, 0.181000,0.132845, 0.172775,0.077107, 0.176535,0.143261, 0.183261,0.074131, 0.171535,0.051226, 0.114039,0.052754, 0.155711,0.039974, 0.146954,0.603620
71,0.183172, 0.239720,0.091586, 0.149601,0.068194, 0.167191,0.057033, 0.208866,0.052033, 0.167339,0.062241, 0.208866,0.037648, 0.150066,0.037825, 0.118620,0.820538
72,0.054052, 0.163742,0.128641, 0.183604,0.096020, 0.183277,0.121678, 0.211386,0.061037, 0.164970,0.072194, 0.147805,0.050907, 0.168429,0.036873, 0.155386,0.757194
73,0.090975, 0.180412,0.137221, 0.261836,0.118889, 0.175759,0.059445, 0.126720,0.041007, 0.191067,0.085129, 0.167618,0.046215, 0.168571,0.023562, 0.125574,0.795113
74,0.163348, 0.209066,0.081674, 0.190431,0.079591, 0.183024,0.095563, 0.184181,0.083757, 0.183024,0.056533, 0.138765,0.053757, 0.138896,0.035050, 0.123341,0.701455
75,0.084667, 0.216308,0.102545, 0.191919,0.150815, 0.206371,0.041965, 0.175507,0.075408, 0.168650,0.042328, 0.182065,0.063492, 0.125408,0.050272, 0.122283,0.777018
76,0.102491, 0.217826,0.084256, 0.217683,0.083474, 0.151649,0.052024, 0.202570,0.053755, 0.214640,0.056454, 0.147359,0.053755, 0.159088,0.043565, 0.159411,0.940451
77,0.132404, 0.198701,0.081581, 0.164445,0.085257, 0.193254,0.075278, 0.164202,0.112177, 0.169263,0.050470, 0.146268,0.044630, 0.147177,0.066202, 0.168694,0.704005
78,0.145949, 0.191208,0.148464, 0.206131,0.102198, 0.176398,0.066443, 0.128075,0.072975, 0.178912,0.039127, 0.155736,0.074508, 0.169500,0.034870, 0.109505,0.630932
79,0.119007, 0.212736,0.063968, 0.161138,0.119602, 0.166130,0.127935, 0.176342,0.045249, 0.150257,0.063968, 0.163742,0.050208, 0.160343,0.063968, 0.155409,0.692193
80,0.114371, 0.162288,0.110583, 0.149094,0.139371, 0.234188,0.110583, 0.149725,0.114371, 0.162288,0.057186, 0.141332,0.040439, 0.136871,0.040439, 0.136871,0.545313
81,0.081116, 0.183882,0.133065, 0.175773,0.088469, 0.164315,0.133065, 0.185842,0.088469, 0.167291,0.047331, 0.162028,0.072782, 0.124008,0.033266, 0.159299,0.644876
82,0.093133, 0.151095,0.121806, 0.209703,0.071388, 0.154385,0.060745, 0.169092,0.069366, 0.221482,0.099711, 0.171285,0.046566, 0.151662,0.054166, 0.154415,0.766238
83,0.135163, 0.231768,0.097004, 0.153551,0.081691, 0.181637,0.056002, 0.191569,0.052966, 0.173496,0.074338, 0.181637,0.045054, 0.135754,0.033791, 0.174577,0.847981
84,0.098140, 0.258947,0.117273, 0.201763,0.066099, 0.176681,0.113542, 0.181727,0.080597, 0.162360,0.029599, 0.158510,0.053500, 0.160641,0.031665, 0.108955,0.819169
85,0.173596, 0.231437,0.108576, 0.184194,0.045837, 0.138467,0.072489, 0.165708,0.053960, 0.202455,0.043178, 0.196585,0.061306, 0.122794,0.065634, 0.133784,0.750847
86,0.108432, 0.156349,0.201240, 0.245511,0.054216, 0.145713,0.108432, 0.156349,0.054216, 0.213495,0.036144, 0.141915,0.054216, 0.145713,0.036144, 0.141915,0.693917
87,0.101774, 0.243210,0.115195, 0.174840,0.066783, 0.217219,0.059956, 0.169750,0.115195, 0.174736,0.072406, 0.159684,0.033925, 0.108937,0.044522, 0.141868,0.780490
88,0.095269, 0.206516,0.164850, 0.222389,0.052635, 0.139799,0.090888, 0.204793,0.082425, 0.148603,0.052538, 0.197047,0.019411, 0.181777,0.042701, 0.098358,0.798565
89,0.186256, 0.235275,0.064502, 0.206710,0.096314, 0.160535,0.096314, 0.157157,0.057745, 0.142585,0.053227, 0.122303,0.041798, 0.205615,0.036907, 0.136756,0.733875
90,0.078826, 0.165425,0.071363, 0.164181,0.178773, 0.220462,0.102046, 0.163559,0.142726, 0.195930,0.072296, 0.132960,0.050063, 0.118456,0.041570, 0.101363,0.524674
91,0.178474, 0.220140,0.097049, 0.152109,0.058848, 0.147645,0.067126, 0.198210,0.058197, 0.138716,0.069908, 0.145040,0.089237, 0.152853,0.032350, 0.194099,0.697623
92,0.102203, 0.162178,0.113040, 0.204620,0.057352, 0.226079,0.062736, 0.140745,0.102310, 0.224354,0.059768, 0.146030,0.101676, 0.167139,0.027490, 0.102281,0.746851
93,0.159412, 0.228739,0.185337, 0.236473,0.046334, 0.183222,0.065251, 0.137311,0.046334, 0.183222,0.047433, 0.133190,0.032874, 0.130975,0.051542, 0.132351,0.730966
94,0.119343, 0.169589,0.062877, 0.153718,0.119343, 0.174896,0.072172, 0.246127,0.073355, 0.167160,0.119343, 0.169023,0.035813, 0.150257,0.046605, 0.120377,0.702295
95,0.138090, 0.189714,0.113061, 0.171424,0.138090, 0.184659,0.069045, 0.171017,0.051085, 0.165174,0.069045, 0.146741,0.041506, 0.161396,0.048481, 0.141470,0.663190
96,0.131184, 0.233641,0.125370, 0.181184,0.057481, 0.170628,0.070497, 0.175206,0.065592, 0.136317,0.065592, 0.162349,0.043728, 0.170628,0.046728, 0.163874,0.787655
97,0.163910, 0.218512,0.115610, 0.194152,0.071455, 0.137496,0.096235, 0.175108,0.049680, 0.140878,0.051799, 0.181767,0.058605, 0.146860,0.053992, 0.143943,0.677430
98,0.106440, 0.199784,0.171659, 0.223556,0.055114, 0.143619,0.061553, 0.188106,0.056491, 0.147159,0.098106, 0.138384,0.085830, 0.155368,0.028853, 0.139976,0.671908
