No.,tL,tR
true,0.769231,1.428571
0,0.814097,1.295934
1,0.797233,1.341094
2,0.811293,1.303101
3,0.816789,1.289170
4,0.831431,1.254304
5,0.812792,1.299253
6,0.780905,1.389982
7,0.767163,1.435756
8,0.893947,1.134601
9,0.820070,1.281072
10,0.807855,1.312071
11,0.791076,1.358880
12,0.804358,1.321402
13,0.783554,1.381666
14,0.770064,1.425706
15,0.805797,1.317532
16,0.772546,1.417280
17,0.853673,1.206864
18,0.829808,1.258020
19,0.811516,1.302528
20,0.787719,1.368909
21,0.869573,1.176457
22,0.849535,1.215235
23,0.771561,1.420604
24,0.774532,1.410646
25,0.872591,1.170979
26,0.820236,1.280672
27,0.821051,1.278691
28,0.851307,1.211628
29,0.800488,1.331976
30,0.807964,1.311783
31,0.865372,1.184236
32,0.836478,1.242991
33,0.797557,1.340174
34,0.813982,1.296223
35,0.819226,1.283145
36,0.819469,1.282553
37,0.831152,1.254940
38,0.850016,1.214258
39,0.827708,1.262873
40,0.789975,1.362140
41,0.808872,1.309399
42,0.794192,1.349783
43,0.804486,1.321053
44,0.800783,1.331163
45,0.832711,1.251403
46,0.844317,1.226070
47,0.796363,1.343561
48,0.794459,1.349014
49,0.786679,1.372055
50,0.846180,1.222165
51,0.788952,1.365195
52,0.863668,1.187444
53,0.803235,1.324444
54,0.842101,1.230777
55,0.811173,1.303411
56,0.783458,1.381960
57,0.822045,1.276288
58,0.787149,1.370627
59,0.854128,1.205960
60,0.828375,1.261327
61,0.784361,1.379158
62,0.819059,1.283559
63,0.856104,1.202043
64,0.853596,1.207022
65,0.815919,1.291344
66,0.785429,1.375875
67,0.853669,1.206878
68,0.769722,1.426878
69,0.836939,1.241974
70,0.794637,1.348499
71,0.793597,1.351507
72,0.801605,1.328898
73,0.805172,1.319209
74,0.800785,1.331152
75,0.763743,1.447893
76,0.803854,1.322758
77,0.834129,1.248217
78,0.809086,1.308832
79,0.850177,1.213924
80,0.835837,1.244406
81,0.812346,1.300395
82,0.779300,1.395099
83,0.800783,1.331164
84,0.818319,1.285375
85,0.841977,1.231043
86,0.806577,1.315457
87,0.808462,1.310473
88,0.831173,1.254894
89,0.855053,1.204121
90,0.842415,1.230106
91,0.830083,1.257384
92,0.813938,1.296336
93,0.849479,1.215353
94,0.825283,1.268564
95,0.789311,1.364122
96,0.827302,1.263817
97,0.826857,1.264864
98,0.812580,1.299793
99,0.792578,1.354476
100,0.794654,1.348456
101,0.832865,1.251059
102,0.775297,1.408116
103,0.817173,1.288210
104,0.821446,1.277735
105,0.842482,1.229962
106,0.822064,1.276241
107,0.791395,1.357943
108,0.829148,1.259535
109,0.815619,1.292093
110,0.785995,1.374142
111,0.825711,1.267556
112,0.816014,1.291104
113,0.845536,1.223517
114,0.869729,1.176173
115,0.798306,1.338065
116,0.835629,1.244873
117,0.850885,1.212484
118,0.870755,1.174299
119,0.824343,1.270787
120,0.780699,1.390637
121,0.858573,1.197209
122,0.831294,1.254620
123,0.797374,1.340695
124,0.795649,1.345600
125,0.762499,1.452384
126,0.851887,1.210454
127,0.823748,1.272206
128,0.844600,1.225481
129,0.801468,1.329273
130,0.820335,1.280434
131,0.828063,1.262048
132,0.789972,1.362155
133,0.831774,1.253521
134,0.779570,1.394232
135,0.843842,1.227080
136,0.831375,1.254428
137,0.805894,1.317277
138,0.822862,1.274324
139,0.812389,1.300282
140,0.786226,1.373436
141,0.796683,1.342651
142,0.791241,1.358393
143,0.827911,1.262402
144,0.831006,1.255274
145,0.789887,1.362402
146,0.880394,1.157215
147,0.800429,1.332147
148,0.821950,1.276518
149,0.800173,1.332854
150,0.852242,1.209740
151,0.864968,1.184993
152,0.833898,1.248734
153,0.823035,1.273913
154,0.841516,1.232029
155,0.849598,1.215108
156,0.856851,1.200574
157,0.770183,1.425299
158,0.796438,1.343349
159,0.840196,1.234873
160,0.816021,1.291086
161,0.783700,1.381212
162,0.790157,1.361604
163,0.797750,1.339630
164,0.817020,1.288593
165,0.799866,1.333707
166,0.825381,1.268329
167,0.835378,1.245426
168,0.821563,1.277452
169,0.778597,1.397355
170,0.818271,1.285489
171,0.781910,1.386805
172,0.822253,1.275785
173,0.785081,1.376944
174,0.815240,1.293044
175,0.832477,1.251936
176,0.831098,1.255063
177,0.800186,1.332820
178,0.850003,1.214276
179,0.811210,1.303315
180,0.836424,1.243113
181,0.751578,1.493732
182,0.781611,1.387746
183,0.822426,1.275370
184,0.817643,1.287049
185,0.808732,1.309756
186,0.800262,1.332607
187,0.788325,1.367076
188,0.823752,1.272197
189,0.839431,1.236528
190,0.806516,1.315615
191,0.804968,1.319757
192,0.817627,1.287086
193,0.776835,1.403062
194,0.824923,1.269409
195,0.812061,1.301123
196,0.843697,1.227385
197,0.874903,1.166841
198,0.803566,1.323543
199,0.852279,1.209665
200,0.815357,1.292750
201,0.741682,1.534415
202,0.761747,1.455119
203,0.777985,1.399327
204,0.795052,1.347309
205,0.834132,1.248206
206,0.759121,1.464800
207,0.839646,1.236063
208,0.836177,1.243656
209,0.807989,1.311716
210,0.748708,1.505194
211,0.801959,1.327928
212,0.875235,1.166249
213,0.824648,1.270067
214,0.786355,1.373045
215,0.828623,1.260745
216,0.812552,1.299866
217,0.819631,1.282153
218,0.839561,1.236242
219,0.761589,1.455697
220,0.792024,1.356096
221,0.789569,1.363349
222,0.816963,1.288731
223,0.798219,1.338310
224,0.799633,1.334355
225,0.853481,1.207251
226,0.809648,1.307369
227,0.774923,1.409348
228,0.831033,1.255209
229,0.861332,1.191882
230,0.821420,1.277797
231,0.859783,1.194860
232,0.827335,1.263743
233,0.775828,1.406365
234,0.843584,1.227619
235,0.770344,1.424749
236,0.798582,1.337290
237,0.835737,1.244631
238,0.805543,1.318218
239,0.861288,1.191969
240,0.817697,1.286914
241,0.807168,1.313890
242,0.816524,1.289828
243,0.785903,1.374423
244,0.803490,1.323749
245,0.813505,1.297438
246,0.815675,1.291951
247,0.814261,1.295518
248,0.775851,1.406288
249,0.775202,1.408425
250,0.778285,1.398355
251,0.794974,1.347527
252,0.821866,1.276723
253,0.747617,1.509625
254,0.780646,1.390803
255,0.790734,1.359889
256,0.755709,1.477666
257,0.816849,1.289020
258,0.797711,1.339741
259,0.803046,1.324958
260,0.823809,1.272054
261,0.827556,1.263228
262,0.816860,1.288994
263,0.802967,1.325172
264,0.798903,1.336393
265,0.811071,1.303672
266,0.783158,1.382898
267,0.847517,1.219389
268,0.806084,1.316770
269,0.817175,1.288210
270,0.811913,1.301502
271,0.823097,1.273767
272,0.802682,1.325952
273,0.809779,1.307027
274,0.826254,1.266278
275,0.791579,1.357405
276,0.807126,1.314000
277,0.819046,1.283585
278,0.813439,1.297606
279,0.834205,1.248042
280,0.830498,1.256436
281,0.787275,1.370248
282,0.833451,1.249738
283,0.836512,1.242914
284,0.789810,1.362635
285,0.817792,1.286678
286,0.834630,1.247094
287,0.819994,1.281264
288,0.819150,1.283330
289,0.765156,1.442839
290,0.886957,1.146069
291,0.789772,1.362751
292,0.829678,1.258319
293,0.819600,1.282232
294,0.794686,1.348359
295,0.857650,1.199005
296,0.847146,1.220156
297,0.797722,1.339709
298,0.769019,1.429307
299,0.817721,1.286852
300,0.804918,1.319890
301,0.822552,1.275066
