ó^Ç¶ÇΩèdóvìx,0.110000,0.210000,0.100000,0.200000,0.090000,0.190000,0.080000,0.180000,0.070000,0.170000,0.060000,0.160000,0.050000,0.150000,0.040000,0.140000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],ãÊä‘ïùÇÃëçòa
1,0.129390, 0.175297,0.099630, 0.154988,0.120154, 0.253899,0.065808, 0.173034,0.070791, 0.200198,0.066733, 0.119668,0.061874, 0.138089,0.038830, 0.131616,0.693579
2,0.127449, 0.189375,0.085784, 0.254897,0.098062, 0.271096,0.102380, 0.139079,0.067047, 0.177773,0.045895, 0.098062,0.039994, 0.152329,0.046218, 0.104559,0.774341
3,0.101134, 0.182599,0.108215, 0.207874,0.101397, 0.217518,0.093151, 0.168311,0.083356, 0.155862,0.045538, 0.135827,0.066596, 0.117447,0.091299, 0.123877,0.618628
4,0.138970, 0.223581,0.108286, 0.261743,0.069504, 0.145934,0.078638, 0.148632,0.087248, 0.181554,0.106909, 0.165550,0.076026, 0.115765,0.036483, 0.055176,0.595871
5,0.089450, 0.211649,0.073386, 0.178899,0.074477, 0.189370,0.098252, 0.169025,0.101848, 0.125033,0.149700, 0.203697,0.059826, 0.102727,0.046766, 0.125895,0.612591
6,0.108717, 0.187298,0.159739, 0.161015,0.096878, 0.189262,0.093649, 0.216992,0.088691, 0.171361,0.080508, 0.134781,0.055317, 0.120259,0.037608, 0.097925,0.557787
7,0.121017, 0.240134,0.076566, 0.142301,0.069389, 0.221479,0.104020, 0.166567,0.064629, 0.146396,0.071799, 0.234935,0.048799, 0.142650,0.058734, 0.090585,0.770095
8,0.085038, 0.224232,0.095773, 0.176637,0.096340, 0.201607,0.079786, 0.180422,0.060750, 0.194051,0.052131, 0.137973,0.073502, 0.195301,0.045106, 0.101353,0.823152
9,0.141496, 0.151808,0.117194, 0.186284,0.075281, 0.171631,0.125838, 0.153868,0.062095, 0.161244,0.141521, 0.150562,0.040337, 0.063693,0.075904, 0.181243,0.440666
10,0.116147, 0.193241,0.129791, 0.275140,0.072034, 0.129791,0.063506, 0.137524,0.055405, 0.168204,0.124340, 0.125735,0.048256, 0.122435,0.084102, 0.154350,0.612839
11,0.123853, 0.129530,0.099717, 0.188483,0.129530, 0.176263,0.076207, 0.199435,0.083039, 0.133717,0.054646, 0.181944,0.066859, 0.128376,0.059592, 0.168809,0.613114
12,0.064037, 0.243629,0.127270, 0.145208,0.071507, 0.237365,0.091449, 0.185715,0.068061, 0.204467,0.072960, 0.143013,0.059946, 0.182898,0.038438, 0.064037,0.812664
